t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,rot60_k
0.0,run,0.44,3.53,0.01,-0.03,0.03,0.0,0.0,0.0,0.033,0.09,-0.09,0.18,0.09,0.62,0.09,0.18,0.09,0.44,0.09,0.53,0.09,-0.18,0.35,0.0,0.0,0.18,0.26,0.04,1.41,1.68,1.59,2.03,1.59,1.68,-1.41,1.94,-1.41,1.94,1.59,1.32,-1.32,1.5,1.5,1.68,1.76,0.0012,0.5877,-0.268,0.2408,0.6949,-0.4407,0.198,0.3682,0.0928,-0.1141,0.6502,-0.3335,0.1121,0.2836,0.0598,0.3036,0.6519,-0.3712,0.0,0.006,0.006,0.006,0.006,0.006,0.006,0.019,0.0,0.013,0.0,0.013,0.006,0.033,0.013,0.013,0.006,0.006,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,-0.002,-0.001,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,run,0.43,3.53,-0.15,-0.01,0.07,0.0,0.0,0.0,0.033,0.09,-0.09,0.18,0.09,0.7,0.26,0.18,-0.18,0.53,-0.18,0.62,0.26,-0.09,0.0,0.18,0.0,0.26,0.35,1.08,2.91,3.18,3.09,3.53,3.09,3.18,-2.91,3.44,-1.73,3.44,3.09,2.82,-2.82,3.0,3.0,3.18,3.26,0.031,0.6364,-0.3142,0.2343,0.7059,-0.4251,0.2128,0.4001,0.0598,-0.0495,0.6824,-0.3844,0.1478,0.3817,0.0835,0.202,0.6223,-0.276,0.0,0.006,0.006,0.006,0.006,0.006,0.006,0.019,0.0,0.013,0.0,0.013,0.006,0.033,0.013,0.013,0.006,0.006,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0,0.0,0.0,0.0027,0.0,0.0,0.0053,0.0,0.0,0.0,0.0,0.0003,0.0002,0.0001,-0.0005,0.0006,0.0012,0.5877,-0.268,0.2408,0.6949,-0.4407,0.198,0.3682,0.0928,-0.1141,0.6502,-0.3335,0.1121,0.2836,0.0598,0.3036,0.6519,-0.3712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,run,0.42,3.55,0.39,0.45,1.23,0.0,0.0,0.0,0.033,0.09,0.62,0.44,0.53,1.23,1.05,0.44,-0.79,1.05,-0.97,1.23,1.05,0.79,-0.7,0.97,1.05,0.35,0.97,1.06,4.41,4.68,4.59,5.03,4.59,4.68,-3.59,4.94,-1.27,4.94,4.59,4.32,-4.0,4.5,4.5,4.68,4.76,0.0303,0.6162,-0.3069,0.2148,0.6903,-0.4171,0.1963,0.3893,0.058,-0.0363,0.6676,-0.3749,0.131,0.3818,0.0709,0.1812,0.6149,-0.2773,0.0,0.006,0.006,0.006,0.006,0.006,0.006,0.019,0.0,0.013,0.0,0.013,0.006,0.033,0.013,0.013,0.006,0.006,0.0,0.0,0.0,0.0,0.0031,0.0031,0.0,-0.0046,0.0015,-0.0046,0.0031,0.0031,0.0015,-0.0031,0.0031,0.0,0.0015,0.0015,0.0,0.0,0.0,0.0,0.0076,0.0115,0.0,-0.0172,0.0057,-0.0172,0.0076,0.0115,0.0057,-0.0192,0.0115,0.0,0.0057,0.0057,-0.0007,0.0003,-0.0027,-0.0002,0.0012,0.031,0.6364,-0.3142,0.2343,0.7059,-0.4251,0.2128,0.4001,0.0598,-0.0495,0.6824,-0.3844,0.1478,0.3817,0.0835,0.202,0.6223,-0.276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12,run,0.38,3.47,-1.27,-1.47,-1.3,0.0,0.0,0.0,0.033,0.44,1.49,1.67,1.58,2.11,2.02,1.58,-1.67,1.32,-1.49,2.02,2.11,1.76,-1.67,2.11,1.93,1.58,1.58,1.3,5.91,6.18,6.09,6.53,6.09,6.18,-5.09,6.44,-1.06,6.44,6.09,5.29,-5.5,6.0,6.0,6.18,6.26,0.0372,0.5703,-0.4167,0.2249,0.6617,-0.5425,0.2132,0.269,-0.0076,-0.0304,0.6373,-0.4981,0.1512,0.277,-0.0168,0.209,0.6005,-0.428,0.0,0.013,0.013,0.013,0.006,0.019,0.006,0.026,0.026,0.006,0.013,0.006,0.019,0.033,0.006,0.019,0.0,0.019,0.0,0.0123,0.0046,0.0077,0.0123,0.0169,0.0046,-0.0153,0.0107,-0.0184,0.0138,0.0169,0.0169,-0.0153,0.0169,0.0184,0.0031,0.0123,0.0,0.0462,0.0173,0.0289,0.0399,0.06,0.0173,-0.0524,0.0386,-0.064,0.0457,0.06,0.0617,-0.0596,0.06,0.0692,0.0098,0.0444,-0.0019,0.0019,0.0068,0.0078,0.0215,0.0303,0.6162,-0.3069,0.2148,0.6903,-0.4171,0.1963,0.3893,0.058,-0.0363,0.6676,-0.3749,0.131,0.3818,0.0709,0.1812,0.6149,-0.2773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,run,0.42,3.47,0.69,0.6,-0.36,0.0,0.0,0.0,0.033,1.32,2.64,2.72,2.55,3.16,3.25,2.72,-2.81,2.72,-1.67,3.16,3.25,2.9,-2.81,3.25,3.16,2.64,2.72,1.93,7.41,7.68,7.59,8.03,7.59,7.68,-6.59,7.94,-2.21,7.94,7.59,6.79,-7.0,7.5,7.5,7.42,7.76,0.0551,0.6036,-0.594,0.2938,0.6747,-0.6703,0.2783,0.1948,-0.0528,-0.0631,0.6447,-0.6262,0.1961,0.2028,-0.0789,0.3188,0.5895,-0.5522,0.0,0.013,0.013,0.013,0.006,0.019,0.006,0.026,0.026,0.006,0.013,0.006,0.019,0.033,0.006,0.019,0.0,0.019,0.0061,0.0276,0.0261,0.0261,0.0276,0.0337,0.0245,-0.0307,0.0153,-0.0276,0.0276,0.0353,0.0337,-0.0322,0.0368,0.0337,0.0245,0.023,0.023,0.0899,0.0927,0.0893,0.0855,0.1053,0.0869,-0.0943,0.0443,-0.0793,0.0838,0.1111,0.1065,-0.1051,0.1168,0.106,0.0874,0.0714,-0.0054,-0.0051,-0.0222,-0.0256,-0.0227,0.0372,0.5703,-0.4167,0.2249,0.6617,-0.5425,0.2132,0.269,-0.0076,-0.0304,0.6373,-0.4981,0.1512,0.277,-0.0168,0.209,0.6005,-0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,run,0.4,3.47,-0.6,-0.43,0.58,0.0,0.0,0.0,0.033,1.23,3.87,4.22,3.87,4.48,4.57,3.96,-3.87,3.96,-1.58,4.48,4.57,4.04,-4.04,4.57,4.39,3.78,3.96,2.14,8.91,9.18,9.09,9.53,9.09,9.18,-8.09,9.44,-3.13,9.44,9.09,7.43,-8.5,9.0,9.0,6.83,9.26,0.0612,0.6582,-0.6194,0.3405,0.693,-0.6313,0.3049,0.2421,-0.0134,-0.0893,0.666,-0.5863,0.2123,0.2452,-0.0552,0.3753,0.5787,-0.4925,0.0,0.013,0.013,0.013,0.006,0.019,0.006,0.026,0.026,0.006,0.013,0.006,0.019,0.033,0.006,0.019,0.0,0.019,0.0215,0.0476,0.0445,0.043,0.046,0.0552,0.0445,-0.0506,0.0399,-0.0307,0.0476,0.0552,0.0537,-0.0522,0.0568,0.0552,0.043,0.043,0.0735,0.1375,0.1337,0.1256,0.1287,0.154,0.1354,-0.1406,0.1228,-0.067,0.1332,0.1523,0.1491,-0.1481,0.1563,0.1545,0.13,0.1245,-0.0014,-0.0044,0.012,0.0105,-0.0062,0.0551,0.6036,-0.594,0.2938,0.6747,-0.6703,0.2783,0.1948,-0.0528,-0.0631,0.6447,-0.6262,0.1961,0.2028,-0.0789,0.3188,0.5895,-0.5522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.24,run,0.4,3.46,0.24,0.05,0.25,0.0,0.0,0.0,0.033,2.02,5.19,5.54,5.27,5.8,5.98,5.36,-5.19,5.36,-1.58,5.8,5.89,5.27,-5.36,5.89,5.71,4.83,5.19,2.35,10.41,10.68,10.59,11.03,10.59,10.68,-9.59,10.94,-2.75,10.94,10.59,7.56,-10.0,10.5,10.5,6.72,10.76,0.0672,0.6793,-0.6102,0.3495,0.7109,-0.6053,0.3063,0.2712,0.0111,-0.0787,0.6802,-0.5544,0.2161,0.2643,-0.0282,0.3826,0.5767,-0.4612,0.006,0.006,0.013,0.019,0.013,0.013,0.013,0.019,0.019,0.019,0.006,0.006,0.006,0.026,0.013,0.019,0.019,0.026,0.0199,0.069,0.0706,0.066,0.069,0.0782,0.066,-0.069,0.0614,-0.0291,0.0706,0.0782,0.0736,-0.0736,0.0798,0.0767,0.0629,0.0644,0.0457,0.177,0.1916,0.1744,0.1766,0.1943,0.1755,-0.1676,0.1667,-0.0411,0.1798,0.1931,0.1794,-0.1844,0.1959,0.1889,0.166,0.1679,-0.0038,-0.0047,-0.0105,-0.0075,0.0102,0.0612,0.6582,-0.6194,0.3405,0.693,-0.6313,0.3049,0.2421,-0.0134,-0.0893,0.666,-0.5863,0.2123,0.2452,-0.0552,0.3753,0.5787,-0.4925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,run,0.43,3.48,0.4,0.29,-0.3,0.0,0.0,0.0,0.033,2.2,6.59,6.5,6.59,7.21,7.38,6.68,-6.59,6.86,-2.46,7.12,7.38,6.33,-6.77,7.29,7.12,5.8,6.59,2.44,11.91,12.18,12.09,12.53,12.09,10.74,-8.09,12.44,-2.36,12.44,12.09,7.69,-8.98,12.0,12.0,6.79,12.26,0.0696,0.694,-0.5865,0.3523,0.7226,-0.5678,0.3069,0.3079,0.0332,-0.0675,0.6954,-0.52,0.2198,0.2912,-0.004,0.3871,0.5779,-0.4269,0.006,0.006,0.013,0.019,0.013,0.013,0.013,0.019,0.019,0.019,0.006,0.006,0.006,0.026,0.013,0.019,0.019,0.026,0.0337,0.092,0.0936,0.0905,0.092,0.1028,0.0905,-0.092,0.0859,-0.0291,0.0936,0.1012,0.0951,-0.0966,0.1028,0.0997,0.0813,0.0859,0.0837,0.21,0.2203,0.214,0.2098,0.2279,0.2148,-0.2035,0.2086,-0.0288,0.212,0.2213,0.206,-0.2152,0.2233,0.2184,0.1851,0.1979,-0.0037,-0.0061,0.0041,0.0009,0.0043,0.0672,0.6793,-0.6102,0.3495,0.7109,-0.6053,0.3063,0.2712,0.0111,-0.0787,0.6802,-0.5544,0.2161,0.2643,-0.0282,0.3826,0.5767,-0.4612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.32,run,0.38,3.46,-0.67,-0.33,2.38,0.0,0.0,0.0,0.033,2.29,7.91,8.09,8.0,8.53,8.7,8.0,-7.73,8.17,-2.55,8.53,8.7,7.03,-8.0,8.7,8.53,6.33,7.91,2.58,13.41,13.68,12.18,14.03,13.59,10.73,-6.59,13.94,-1.93,13.94,13.59,7.83,-7.9,13.5,13.5,6.85,13.76,0.0736,0.6995,-0.558,0.348,0.7293,-0.5313,0.3065,0.337,0.0545,-0.0552,0.7099,-0.493,0.2236,0.3109,0.0225,0.3887,0.579,-0.3985,0.006,0.006,0.013,0.019,0.013,0.013,0.013,0.019,0.019,0.019,0.006,0.006,0.006,0.026,0.013,0.019,0.019,0.026,0.0368,0.1166,0.1104,0.1135,0.1166,0.1273,0.1135,-0.1166,0.112,-0.0445,0.1166,0.1273,0.1135,-0.1212,0.1273,0.1243,0.0982,0.1104,0.0701,0.2394,0.2177,0.2363,0.2392,0.2519,0.2369,-0.2348,0.2441,-0.0779,0.2349,0.253,0.2134,-0.243,0.2486,0.2452,0.1931,0.2309,-0.0006,-0.004,0.0069,0.005,-0.0053,0.0696,0.694,-0.5865,0.3523,0.7226,-0.5678,0.3069,0.3079,0.0332,-0.0675,0.6954,-0.52,0.2198,0.2912,-0.004,0.3871,0.5779,-0.4269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.36,run,0.44,3.49,1.0,0.48,-1.66,0.0,0.0,0.0,0.033,2.81,9.32,9.49,9.32,9.93,10.11,9.05,-8.53,9.67,-2.55,9.93,10.11,7.47,-8.88,10.11,9.84,6.68,9.32,2.74,13.6,15.18,11.97,15.31,15.09,10.72,-5.14,15.44,-1.5,14.68,15.09,7.9,-7.06,15.0,13.51,6.98,15.26,0.0782,0.7018,-0.5313,0.3419,0.7329,-0.4981,0.3062,0.3611,0.0724,-0.0429,0.7215,-0.4714,0.2256,0.3262,0.0489,0.3861,0.5814,-0.3762,0.0,0.006,0.006,0.013,0.006,0.006,0.006,0.013,0.019,0.013,0.006,0.006,0.0,0.013,0.0,0.026,0.006,0.026,0.0383,0.1396,0.1381,0.1381,0.1396,0.1503,0.1365,-0.1365,0.135,-0.046,0.1411,0.1503,0.1258,-0.1427,0.1519,0.1488,0.1074,0.1335,0.0548,0.2536,0.2556,0.2572,0.2535,0.2623,0.2519,-0.2389,0.2569,-0.0602,0.2562,0.2632,0.1953,-0.2504,0.2658,0.2634,0.1696,0.2477,-0.0047,-0.0055,-0.0117,-0.0058,0.0416,0.0736,0.6995,-0.558,0.348,0.7293,-0.5313,0.3065,0.337,0.0545,-0.0552,0.7099,-0.493,0.2236,0.3109,0.0225,0.3887,0.579,-0.3985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
