t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,rot60_k
0.0,run,5.07,3.4,0.2,0.0,-0.56,0.0,0.0,0.0,0.026,0.0,19.25,79.37,0.26,16.61,78.57,-0.26,19.42,80.33,0.09,17.75,79.1,-0.18,19.34,80.24,0.18,17.67,79.98,-0.03,17.84,77.87,1.76,15.29,77.07,1.24,18.01,78.66,-1.41,16.25,77.6,1.32,17.75,78.57,1.59,16.34,78.22,-0.0008,0.3351,-0.0811,0.1334,0.4406,-0.3128,0.1641,-0.0821,-0.1982,-0.2259,0.5753,-0.0815,0.0697,-0.0308,-0.2548,0.4151,0.4367,-0.1729,0.0,0.0,0.006,0.006,0.0,0.013,0.006,0.013,0.006,0.019,0.006,0.013,0.006,0.013,0.026,0.013,0.0,0.019,0.0,0.0,0.0,0.0,-0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0031,0.0015,-0.0031,0.0,0.0,0.0,0.0,0.0,-0.0075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0075,0.0037,-0.0075,0.0,0.0,0.0,-0.0015,-0.0113,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,run,5.08,3.4,0.24,-0.05,2.77,0.0,0.0,0.0,0.026,0.0,19.25,79.1,0.53,16.35,78.22,-0.18,19.16,80.33,-0.44,17.67,78.66,0.09,18.9,80.24,0.53,17.58,79.98,-0.45,16.34,76.37,3.26,13.79,75.57,2.74,16.51,77.16,-2.14,14.75,76.1,2.82,16.25,77.07,3.09,14.84,76.72,-0.0129,0.5483,-0.2824,0.1647,0.5622,-0.4383,0.1782,0.1642,-0.1645,-0.0612,0.6183,-0.3988,0.1383,0.1338,-0.0233,0.3323,0.5797,-0.5145,0.0,0.0,0.006,0.006,0.0,0.013,0.006,0.013,0.006,0.019,0.006,0.013,0.006,0.013,0.026,0.013,0.0,0.019,0.0,-0.0015,0.0,0.0,-0.0031,0.0,0.0,-0.0015,0.0031,0.0,0.0,0.0,0.0,0.0015,0.0031,0.0015,-0.0031,0.0046,0.0,-0.0025,0.0,0.0,-0.0052,0.0,0.0,-0.0025,0.005,0.0,0.0,0.0,0.0,0.0026,0.0052,0.0026,-0.0052,0.0075,0.0012,0.0006,0.0035,0.0001,-0.0098,-0.0008,0.3351,-0.0811,0.1334,0.4406,-0.3128,0.1641,-0.0821,-0.1982,-0.2259,0.5753,-0.0815,0.0697,-0.0308,-0.2548,0.4151,0.4367,-0.1729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,run,5.65,3.6,16.29,4.92,12.38,0.0,0.0,0.0,0.026,0.0,18.54,78.49,1.05,15.73,77.26,0.44,18.19,80.07,-1.05,17.05,77.87,0.88,18.37,79.8,1.32,16.96,79.89,-0.29,14.84,74.87,4.76,12.29,74.07,4.24,15.01,75.66,-0.64,13.25,74.6,4.32,14.75,75.57,4.59,13.34,75.22,-0.0083,0.6065,-0.3483,0.1826,0.6353,-0.462,0.1984,0.1888,-0.0822,-0.0137,0.6354,-0.4375,0.1633,0.1846,-0.0762,0.2746,0.5616,-0.4967,0.0,0.0,0.006,0.006,0.0,0.013,0.006,0.013,0.006,0.019,0.006,0.013,0.006,0.013,0.026,0.013,0.0,0.019,0.0,-0.0015,-0.0046,0.0046,-0.0077,-0.0061,0.0015,-0.0061,0.0031,-0.0092,-0.0015,-0.0077,0.0046,-0.0061,0.0031,0.0077,-0.0046,0.0046,0.0,-0.0018,-0.0141,0.0141,-0.0177,-0.0188,0.0047,-0.0158,0.0035,-0.0281,-0.0047,-0.0234,0.0141,-0.0216,0.0037,0.0206,-0.0084,0.0053,0.0016,0.001,0.0043,-0.0009,0.0483,-0.0129,0.5483,-0.2824,0.1647,0.5622,-0.4383,0.1782,0.1642,-0.1645,-0.0612,0.6183,-0.3988,0.1383,0.1338,-0.0233,0.3323,0.5797,-0.5145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12,run,5.57,3.27,-0.54,-6.88,15.96,0.0,0.0,0.0,0.149,-0.26,17.75,78.05,1.85,14.94,76.46,1.23,17.4,79.37,-1.67,16.26,76.99,1.67,17.49,78.93,2.2,16.17,79.45,-0.84,13.34,73.37,5.15,10.79,72.57,5.74,13.51,74.16,0.74,11.75,73.1,5.03,13.25,74.07,6.09,11.84,73.72,-0.0241,0.581,-0.2371,0.1472,0.6325,-0.3625,0.1868,0.2509,-0.0801,0.0211,0.6364,-0.3514,0.1437,0.2498,-0.1088,0.2366,0.5932,-0.4654,0.013,0.019,0.006,0.013,0.013,0.019,0.019,0.013,0.091,0.0,0.019,0.013,0.026,0.039,0.149,0.019,0.019,0.117,0.0,-0.0138,-0.0153,0.0138,-0.0184,-0.023,0.0123,-0.023,-0.0015,-0.0199,-0.0123,-0.0215,0.0184,-0.0153,-0.0046,0.0215,-0.0153,0.0031,0.0,-0.0467,-0.0497,0.044,-0.0522,-0.0757,0.0431,-0.0737,-0.0146,-0.0595,-0.0431,-0.0676,0.0611,-0.0493,-0.0259,0.0656,-0.0457,-0.002,0.0517,0.018,0.2843,0.0859,0.216,-0.0083,0.6065,-0.3483,0.1826,0.6353,-0.462,0.1984,0.1888,-0.0822,-0.0137,0.6354,-0.4375,0.1633,0.1846,-0.0762,0.2746,0.5616,-0.4967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,run,5.12,2.89,-11.11,-6.29,16.32,0.0,0.0,0.0,0.149,-0.53,16.79,76.64,2.72,14.15,75.23,2.37,16.26,78.49,-2.02,15.21,75.85,2.81,16.17,76.82,3.34,15.64,78.49,-0.86,11.84,71.87,4.15,9.29,71.07,4.86,12.01,72.66,-0.29,10.94,71.6,3.98,11.75,72.57,5.66,10.34,72.22,-0.0246,0.6077,-0.0861,0.1186,0.6149,-0.1851,0.1387,0.4255,-0.0372,-0.0082,0.6534,-0.1814,0.1136,0.4017,-0.0079,0.1617,0.5719,-0.2699,0.013,0.019,0.006,0.013,0.013,0.019,0.019,0.013,0.091,0.0,0.019,0.013,0.026,0.039,0.149,0.019,0.019,0.117,-0.0046,-0.0276,-0.023,0.0276,-0.0322,-0.0368,0.0261,-0.0368,-0.0138,-0.0307,-0.0261,-0.0368,0.0322,-0.0307,-0.0199,0.0368,-0.0291,-0.0046,-0.0173,-0.0845,-0.0636,0.0826,-0.0884,-0.1048,0.082,-0.1034,-0.0563,-0.082,-0.082,-0.1049,0.0946,-0.0921,-0.0757,0.1035,-0.0838,-0.0302,0.0442,-0.0105,-0.0094,-0.1201,0.2785,-0.0241,0.581,-0.2371,0.1472,0.6325,-0.3625,0.1868,0.2509,-0.0801,0.0211,0.6364,-0.3514,0.1437,0.2498,-0.1088,0.2366,0.5932,-0.4654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,run,6.15,2.2,24.62,-16.55,10.88,0.0,0.0,0.0,0.149,-0.88,15.56,75.5,3.43,13.01,74.0,3.43,14.94,77.43,-1.93,13.97,74.53,3.87,14.77,75.85,4.48,14.15,77.78,-0.43,10.34,73.37,2.65,8.27,72.57,3.36,11.3,74.16,-0.79,12.44,73.1,2.48,10.25,74.07,4.16,8.84,73.44,-0.0122,0.6275,0.2289,0.0617,0.605,0.1571,0.0501,0.6599,0.1291,-0.0226,0.693,0.1584,0.0469,0.6226,0.2099,0.0322,0.5761,0.0992,0.013,0.019,0.006,0.013,0.013,0.019,0.019,0.013,0.091,0.0,0.019,0.013,0.026,0.039,0.149,0.019,0.019,0.117,-0.0092,-0.0445,-0.0476,0.043,-0.046,-0.0583,0.046,-0.0568,-0.0291,-0.0368,-0.0445,-0.0568,0.0522,-0.0537,-0.0568,0.0568,-0.0383,-0.0215,-0.0293,-0.1224,-0.1365,0.1153,-0.1136,-0.1539,0.1321,-0.1471,-0.0969,-0.0804,-0.1264,-0.1482,0.1409,-0.1507,-0.191,0.1472,-0.0932,-0.0844,0.0049,-0.0443,-0.194,-0.1097,0.2849,-0.0246,0.6077,-0.0861,0.1186,0.6149,-0.1851,0.1387,0.4255,-0.0372,-0.0082,0.6534,-0.1814,0.1136,0.4017,-0.0079,0.1617,0.5719,-0.2699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.24,run,6.65,2.41,12.7,5.9,9.68,0.0,0.0,0.0,0.299,-0.62,14.33,74.18,4.31,11.43,72.77,4.39,13.54,76.46,-1.41,12.92,73.39,4.39,13.54,74.44,5.27,12.92,76.99,1.07,8.84,74.87,1.15,6.77,74.07,1.86,9.8,75.66,-0.94,13.94,74.6,0.98,11.75,75.57,2.66,10.34,74.94,0.0371,0.5736,0.3896,0.011,0.5726,0.3908,-0.0056,0.6322,0.2561,-0.027,0.7329,0.2871,-0.0022,0.6709,0.2554,0.0029,0.7074,0.3075,0.006,0.026,0.006,0.0,0.013,0.006,0.0,0.006,0.13,0.013,0.013,0.006,0.006,0.033,0.026,0.0,0.026,0.299,-0.0153,-0.066,-0.0675,0.0552,-0.066,-0.0798,0.0644,-0.0798,-0.0476,-0.0353,-0.066,-0.0798,0.0706,-0.0782,-0.0736,0.0767,-0.0644,-0.0337,-0.0436,-0.1663,-0.1704,0.1268,-0.1544,-0.1883,0.1616,-0.1893,-0.1369,-0.0505,-0.1691,-0.1901,0.1677,-0.1976,-0.197,0.1779,-0.1631,-0.1051,0.0953,-0.1042,0.4297,-0.2889,0.1899,-0.0122,0.6275,0.2289,0.0617,0.605,0.1571,0.0501,0.6599,0.1291,-0.0226,0.693,0.1584,0.0469,0.6226,0.2099,0.0322,0.5761,0.0992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,run,7.29,2.87,17.15,11.88,12.83,0.0,0.0,0.0,0.299,-0.26,12.92,72.77,4.75,10.63,71.89,5.01,12.48,75.59,-0.79,12.13,72.51,4.75,12.57,73.74,5.8,11.78,76.46,2.02,8.4,76.37,1.27,7.61,75.57,0.36,8.3,77.16,-0.77,15.23,76.1,-0.52,10.69,77.07,1.16,11.84,76.44,0.0577,0.6072,0.3249,0.0362,0.5929,0.3717,-0.0193,0.5748,0.284,-0.0221,0.7315,0.3048,-0.0163,0.649,0.2562,-0.012,0.7237,0.2988,0.006,0.026,0.006,0.0,0.013,0.006,0.0,0.006,0.13,0.013,0.013,0.006,0.006,0.033,0.026,0.0,0.026,0.299,-0.0107,-0.0874,-0.0905,0.0706,-0.0936,-0.1012,0.0813,-0.1043,-0.0644,-0.0261,-0.0844,-0.0997,0.0798,-0.0997,-0.0982,0.0905,-0.0859,-0.0476,-0.0133,-0.1969,-0.2055,0.1462,-0.2116,-0.2123,0.1764,-0.2245,-0.1591,-0.0009,-0.1874,-0.2078,0.1519,-0.2188,-0.2299,0.1763,-0.1947,-0.1253,0.1387,-0.0853,0.2216,0.1031,0.169,0.0371,0.5736,0.3896,0.011,0.5726,0.3908,-0.0056,0.6322,0.2561,-0.027,0.7329,0.2871,-0.0022,0.6709,0.2554,0.0029,0.7074,0.3075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.32,run,8.17,3.12,21.4,7.07,11.85,0.0,0.0,0.0,0.299,0.53,11.6,72.51,5.01,9.23,71.37,5.36,11.07,74.97,-0.79,11.51,71.89,4.66,11.43,72.69,6.15,10.99,76.03,2.13,8.26,77.87,1.29,6.34,77.07,-0.78,6.8,78.66,-0.72,14.87,77.6,-0.14,10.83,78.57,-0.25,13.34,77.94,0.0609,0.6048,0.3286,0.0367,0.5699,0.3834,-0.0222,0.5473,0.2867,-0.0204,0.7248,0.3056,-0.0039,0.6515,0.2578,-0.007,0.7401,0.2893,0.006,0.026,0.006,0.0,0.013,0.006,0.0,0.006,0.13,0.013,0.013,0.006,0.006,0.033,0.026,0.0,0.026,0.299,-0.0046,-0.112,-0.115,0.0782,-0.1074,-0.1166,0.092,-0.1227,-0.0798,-0.0153,-0.0982,-0.115,0.0859,-0.1166,-0.1104,0.0997,-0.1058,-0.0568,0.0137,-0.2298,-0.2358,0.1311,-0.1998,-0.2061,0.1637,-0.2262,-0.1688,0.0396,-0.1829,-0.2029,0.1293,-0.2164,-0.2069,0.1579,-0.211,-0.1222,0.1949,-0.0458,0.2994,0.2074,0.224,0.0577,0.6072,0.3249,0.0362,0.5929,0.3717,-0.0193,0.5748,0.284,-0.0221,0.7315,0.3048,-0.0163,0.649,0.2562,-0.012,0.7237,0.2988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.36,run,9.14,3.5,26.07,11.43,4.47,0.0,0.0,0.0,0.299,1.32,10.46,72.16,4.83,7.56,71.1,5.36,9.84,74.71,-0.79,11.34,71.72,4.13,10.72,72.77,5.54,10.37,75.59,2.09,7.9,79.37,1.07,5.28,78.57,-0.94,5.3,80.16,-0.82,14.78,79.1,0.01,10.86,80.07,-0.12,14.84,79.44,0.0598,0.5983,0.3386,0.0307,0.5506,0.4009,-0.0268,0.5322,0.294,-0.0235,0.7232,0.303,0.0003,0.6519,0.2586,-0.0033,0.7512,0.2914,0.0,0.019,0.006,0.019,0.0,0.0,0.013,0.019,0.084,0.0,0.006,0.0,0.013,0.006,0.0,0.0,0.039,0.247,0.0092,-0.135,-0.1197,0.0828,-0.1319,-0.1258,0.0982,-0.1473,-0.0905,-0.0153,-0.1089,-0.1258,0.0844,-0.1365,-0.1289,0.1058,-0.1197,-0.0644,0.0614,-0.2472,-0.1823,0.109,-0.2319,-0.1788,0.1376,-0.2504,-0.1585,0.0277,-0.1683,-0.1823,0.0848,-0.2263,-0.2139,0.1335,-0.1995,-0.1143,0.2715,-0.0239,0.3735,0.1233,0.2068,0.0609,0.6048,0.3286,0.0367,0.5699,0.3834,-0.0222,0.5473,0.2867,-0.0204,0.7248,0.3056,-0.0039,0.6515,0.2578,-0.007,0.7401,0.2893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
