time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/approx_kl,train/learning_rate,train/std,train/explained_variance,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/loss
32768,922.7527465820312,1,800.0,5,5524,,,,,,,,,,,
65536,871.8611450195312,2,800.0,12,5164,0.0262154,0.00015,0.18257077038288116,0.02261042594909668,0.2,0.3522542317708333,5.911505288134019,0.12460720618158423,6,0.0009295716372434981,0.0168442539870739
98304,872.8877563476562,3,800.0,19,5061,0.024777636,0.00015,0.1823662966489792,0.7528567910194397,0.2,0.3287150065104167,5.932037640362978,0.02728911879239604,12,0.002385327280232256,0.00921062845736742
131072,906.64208984375,4,800.0,25,5042,0.024255253,0.00015,0.18243105709552765,0.8445073366165161,0.2,0.3330485026041667,5.9330237830678625,0.025364130502566695,18,0.0008991917372137929,4.798825830221176e-05
163840,926.5311889648438,5,798.0,32,5044,0.025637835,0.00015,0.18227621912956238,0.8643357753753662,0.2,0.3408610026041667,5.944655764847994,0.02758640293905046,24,0.0012887132003622053,1.6573816537857056e-05
196608,938.8604736328125,6,798.0,39,5005,0.026172241,0.00015,0.18220515549182892,0.8832801580429077,0.2,0.3389333089192708,5.953453958034515,0.025519011479142744,30,0.00016922941722441465,-0.0007262751460075378
229376,889.3738403320312,7,800.0,45,4990,0.024225805,0.00015,0.1821301281452179,0.8951660394668579,0.2,0.3325347900390625,5.963749743998051,0.03185347481242692,36,-0.00019624720728946463,0.004513750784099102
262144,893.103515625,8,800.0,52,4987,0.026008656,0.00015,0.18208888173103333,0.925937831401825,0.2,0.34344482421875,5.970066623141368,0.03145744401748137,42,-0.0009200683480230509,0.010825426317751408
294912,914.3153076171875,9,800.0,59,4992,0.028103786,0.00015,0.1819501668214798,0.913195788860321,0.2,0.3514149983723958,5.981928793092568,0.03372716701414902,48,-0.0015905299951555207,0.007266108877956867
327680,922.435791015625,10,798.0,65,4994,0.026535623,0.00015,0.18169352412223816,0.9130210280418396,0.2,0.3398234049479167,6.008424791196982,0.03211321272344018,54,0.0002783394756988855,0.024946799501776695
360448,901.3699951171875,11,798.0,72,4983,0.026489317,0.00015,0.18165051937103271,0.9208900928497314,0.2,0.3417205810546875,6.020387264589469,0.03272137793343669,60,-0.0001795909253511733,0.021160293370485306
393216,898.640869140625,12,798.0,78,4981,0.027367257,0.00015,0.18160660564899445,0.9342057704925537,0.2,0.3498077392578125,6.027118033419053,0.037231533885157354,66,-0.001217279264286238,0.011202944442629814
425984,893.093994140625,13,800.0,85,4981,0.025146673,0.00015,0.1813146322965622,0.9432014226913452,0.2,0.3328297932942708,6.048977896571159,0.03211795325720838,72,0.0012901193331344984,0.03572791814804077
458752,926.711669921875,14,800.0,92,4976,0.02877369,0.00015,0.18125276267528534,0.9379151463508606,0.2,0.3538462320963542,6.067365126063426,0.03354210474450762,78,-0.002105761230874729,0.029186081141233444
491520,921.8934326171875,15,800.0,98,4978,0.02780886,0.00015,0.1810571849346161,0.9427090883255005,0.2,0.3529154459635417,6.08415994917353,0.032267432931500174,84,-0.0017720912337608752,0.011658871546387672
524288,925.8735961914062,16,800.0,105,4978,0.027518326,0.00015,0.1809392124414444,0.9315387010574341,0.2,0.3567911783854167,6.098683765778939,0.031673193123424426,90,-0.0008967746938045215,0.010544868186116219
557056,919.0093994140625,17,800.0,111,4976,0.028622221,0.00015,0.1809241622686386,0.9301500916481018,0.2,0.3546193440755208,6.110558583090703,0.03184735748315385,96,-0.00016630885329504963,0.011645117774605751
589824,896.0419311523438,18,800.0,118,4972,0.029512368,0.00015,0.18064212799072266,0.9292483925819397,0.2,0.3625691731770833,6.1251107814411325,0.03238931770223038,102,-0.0026030141859033997,0.011876454576849937
622592,884.2713012695312,19,800.0,125,4971,0.029665453,0.00015,0.18058645725250244,0.9425241351127625,0.2,0.3610890706380208,6.144406348466873,0.031170678848866373,108,-0.0026410824872679464,0.011493190191686153
655360,882.8269653320312,20,800.0,131,4970,0.029082486,0.00015,0.18060939013957977,0.942621648311615,0.2,0.3556467692057292,6.147205737729867,0.031593233895061225,114,-0.0024701291798313227,0.0007981173694133759
688128,900.148193359375,21,800.0,138,4970,0.029391218,0.00015,0.18057435750961304,0.9389773011207581,0.2,0.3677622477213542,6.147093536953132,0.0421599962428445,120,-0.001629437850472944,0.0326172299683094
720896,888.5390014648438,22,800.0,145,4970,0.029764485,0.00015,0.18036818504333496,0.9377013444900513,0.2,0.3649546305338542,6.161872858802478,0.037796098840772174,126,-0.0009904360437455277,0.014348514378070831
753664,896.5028686523438,23,798.0,151,4971,0.030132167,0.00015,0.18043239414691925,0.9273605942726135,0.2,0.3620351155598958,6.1690668836236,0.0420490299196293,132,-0.001698465702550796,0.024829113855957985
786432,903.7557983398438,24,798.0,158,4973,0.03118857,0.00015,0.18025843799114227,0.9307940006256104,0.2,0.3676706949869792,6.179463518162568,0.03417116960918065,138,-0.0028089451043342706,-0.00032833218574523926
819200,889.0977172851562,25,800.0,164,4971,0.031906933,0.00015,0.1801786720752716,0.9266024231910706,0.2,0.3741556803385417,6.192968423167865,0.03879149098550746,144,-0.0029071549591511334,0.018182747066020966
851968,890.0682983398438,26,800.0,171,4972,0.031480223,0.00015,0.1802290976047516,0.9357167482376099,0.2,0.3734385172526042,6.1896815585593385,0.0385023915975277,150,-0.002556086180751057,-0.0017216112464666367
884736,905.946533203125,27,800.0,177,4975,0.029888734,0.00015,0.18005630373954773,0.9263253211975098,0.2,0.3725535074869792,6.20283596093456,0.03683056257917391,156,-0.0027041763672362626,0.00395403616130352
917504,908.8284301757812,28,800.0,184,4973,0.031077426,0.00015,0.17986547946929932,0.9374661445617676,0.2,0.36700439453125,6.224697886655728,0.038423100020736456,162,-0.003515415999572724,0.013636551797389984
950272,874.2117309570312,29,798.0,191,4970,0.030334983,0.00015,0.1796501874923706,0.9374301433563232,0.2,0.3568064371744792,6.244432897617419,0.03172733189421706,168,-0.0031610241033680118,0.006613931152969599
983040,856.9099731445312,30,798.0,197,4972,0.031533614,0.00015,0.17947708070278168,0.9396591782569885,0.2,0.3725433349609375,6.2706504960854845,0.035565784264084264,174,-0.003406126017580391,0.010115053504705429
1015808,858.5128784179688,31,800.0,204,4972,0.031874374,0.00015,0.1794394850730896,0.9377608895301819,0.2,0.372100830078125,6.28184129173557,0.035838166149915196,180,-0.002895465286807545,0.008455021306872368
