t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,0.33,3.4,0.63,-0.03,-0.48,0.0,0.0,0.0,0.026,-0.18,19.95,79.8,0.0,17.05,78.84,0.0,19.51,81.91,0.09,17.4,79.1,-0.09,18.81,79.54,-0.09,17.23,80.07,-1.68,18.45,78.3,-1.5,15.55,80.25,1.5,18.01,83.06,1.59,15.9,80.6,1.41,17.31,78.04,-1.59,15.99,81.3,-1.0,-1.0,-0.4211,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.2472,-1.0,-0.3055,-1.0,-1.0,1.0,0.019,0.006,0.006,0.006,0.006,0.006,0.006,0.019,0.0,0.013,0.006,0.013,0.013,0.026,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006,0.0,0.0,0.0,0.0043,-0.001,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,run,0.2,3.41,-1.94,-0.27,0.22,0.0,0.0,0.0,0.026,-0.53,19.78,79.63,0.0,16.88,79.1,0.0,18.98,82.35,0.35,17.14,79.45,0.18,18.54,79.1,-0.44,17.05,80.6,-3.18,19.95,79.8,-3.0,14.05,81.75,0.0,16.51,81.56,3.09,14.4,82.1,-0.09,15.81,79.54,-3.09,14.49,82.8,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.2257,1.0,-1.0,-1.0,1.0,0.019,0.006,0.006,0.006,0.006,0.006,0.006,0.019,0.0,0.013,0.006,0.013,0.013,0.026,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046,0.0046,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0067,0.0075,0.0043,-0.0001,0.0111,-0.0005,-0.0083,-1.0,-1.0,-0.4211,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.2472,-1.0,-0.3055,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,run,0.09,3.43,-2.53,0.2,-0.83,0.0,0.0,0.0,0.026,-1.49,19.34,79.1,-0.7,16.52,79.8,0.35,18.28,82.97,1.23,16.52,80.24,0.97,17.75,78.4,-1.41,16.44,81.04,-4.68,21.45,78.9,-4.5,12.55,83.25,-1.5,18.01,83.06,4.59,12.9,83.6,-1.59,17.31,81.04,-4.59,12.99,84.3,-0.4819,1.0,0.1635,-1.0,-1.0,0.7421,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.6567,1.0,1.0,-1.0,-1.0,1.0,0.019,0.006,0.006,0.006,0.006,0.006,0.006,0.019,0.0,0.013,0.006,0.013,0.013,0.026,0.013,0.013,0.0,0.0,-0.0061,-0.0031,-0.0031,0.0,-0.0031,0.0061,0.0,-0.0092,0.0138,0.0046,-0.0046,0.0061,0.0046,-0.0046,-0.0077,-0.0061,-0.0077,0.0138,-0.0192,-0.0096,-0.0096,0.0,-0.0096,0.0158,0.0,-0.0288,0.031,0.0144,-0.0144,0.0192,0.0144,-0.0144,-0.024,-0.0192,-0.0143,0.034,-0.0069,0.0005,-0.0338,-0.0047,0.0039,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.2257,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,run,-0.18,3.54,-6.18,1.55,-3.73,0.0,0.0,0.0,0.026,-2.29,18.9,78.75,-1.58,15.64,80.77,0.97,17.67,83.23,2.2,15.91,81.12,1.14,17.14,78.22,-2.2,15.64,81.91,-6.18,22.95,77.4,-6.0,11.05,84.75,-3.0,19.51,84.56,6.09,11.4,85.1,-0.09,15.81,79.54,-6.09,11.49,85.8,-1.0,1.0,0.0988,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.3234,-0.7385,-1.0,-1.0,1.0,0.013,0.0,0.006,0.019,0.019,0.019,0.0,0.0,0.0,0.019,0.013,0.013,0.0,0.013,0.006,0.019,0.0,0.0,-0.023,-0.0107,-0.0123,-0.0123,-0.0092,0.0184,0.0061,-0.0215,0.0245,0.0199,-0.0153,0.0199,0.0184,-0.0184,-0.0199,-0.023,-0.0184,0.0215,-0.0761,-0.0352,-0.0409,-0.0456,-0.0295,0.0567,0.0228,-0.0657,0.0616,0.0671,-0.05,0.0647,0.0614,-0.0614,-0.0624,-0.0761,-0.0499,0.0523,-0.0168,0.003,-0.0441,0.0035,-0.0145,-0.4819,1.0,0.1635,-1.0,-1.0,0.7421,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.6567,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,run,-0.68,3.57,-12.66,0.96,-5.18,0.0,0.0,0.0,0.026,-3.52,18.81,78.49,-2.64,14.59,81.91,1.05,17.4,83.58,3.25,14.59,82.27,1.14,16.61,78.22,-3.43,14.41,83.06,-7.68,24.45,75.9,-7.5,9.55,86.25,-4.5,18.64,83.06,7.59,9.9,86.6,1.41,14.31,81.04,-7.59,9.99,87.3,-1.0,1.0,-0.1358,-1.0,-0.5551,1.0,-0.2303,0.7934,-0.1191,1.0,-1.0,1.0,1.0,0.2259,1.0,-1.0,-1.0,1.0,0.013,0.0,0.006,0.019,0.019,0.019,0.0,0.0,0.0,0.019,0.013,0.013,0.0,0.013,0.006,0.019,0.0,0.0,-0.0368,-0.0184,-0.0184,-0.0276,-0.0245,0.0353,0.0169,-0.0322,0.0291,0.0368,-0.0261,0.0353,0.0215,-0.0291,-0.023,-0.0368,-0.0322,0.0368,-0.1051,-0.0534,-0.0517,-0.0895,-0.0782,0.103,0.0563,-0.0863,0.0604,0.1103,-0.0753,0.1029,0.0545,-0.0833,-0.0552,-0.1051,-0.0867,0.0942,-0.0404,0.012,-0.1079,0.0271,-0.0651,-1.0,1.0,0.0988,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.3234,-0.7385,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,run,-1.22,3.62,-14.52,1.45,-6.04,0.0,0.0,0.0,0.026,-4.83,18.81,78.05,-3.96,13.36,83.23,0.97,17.58,84.11,4.57,13.18,83.58,0.62,15.91,78.66,-4.66,13.27,84.29,-9.18,25.95,77.4,-9.0,8.05,87.75,-6.0,20.14,84.56,9.09,8.4,88.1,2.91,12.81,82.54,-9.09,8.49,88.8,-1.0,1.0,0.687,-1.0,-0.8026,1.0,-0.7816,1.0,0.512,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.013,0.0,0.006,0.019,0.019,0.019,0.0,0.0,0.0,0.019,0.013,0.013,0.0,0.013,0.006,0.019,0.0,0.0,-0.0583,-0.0199,-0.023,-0.046,-0.043,0.0552,0.0184,-0.0368,0.0353,0.0552,-0.0491,0.0552,0.0215,-0.0383,-0.023,-0.0583,-0.0537,0.0568,-0.1541,-0.0432,-0.0534,-0.1317,-0.1238,0.1469,0.0451,-0.0777,0.0653,0.1462,-0.139,0.1468,0.0381,-0.0928,-0.0386,-0.1541,-0.1413,0.1407,-0.0838,0.015,-0.221,0.0167,-0.0904,-1.0,1.0,-0.1358,-1.0,-0.5551,1.0,-0.2303,0.7934,-0.1191,1.0,-1.0,1.0,1.0,0.2259,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,run,-1.61,3.52,-10.98,-1.9,-6.91,0.0,0.0,0.0,0.026,-6.15,19.34,77.52,-5.27,12.04,84.64,0.44,18.19,84.55,5.8,12.04,84.9,0.53,15.03,79.89,-5.98,11.95,85.52,-10.52,27.45,78.9,-10.5,9.55,89.25,-4.5,18.64,83.06,10.59,6.9,89.6,4.41,11.31,84.04,-10.59,6.99,90.3,-0.3006,1.0,0.652,-1.0,1.0,1.0,0.5019,-0.0526,-0.6113,1.0,-1.0,1.0,0.171,-1.0,1.0,-1.0,-1.0,1.0,0.013,0.013,0.013,0.019,0.013,0.013,0.006,0.0,0.013,0.026,0.006,0.006,0.006,0.006,0.019,0.019,0.006,0.0,-0.0813,-0.0199,-0.0307,-0.069,-0.0644,0.0782,0.0169,-0.0337,0.0445,0.0782,-0.0736,0.0782,0.0123,-0.0506,-0.0153,-0.0798,-0.0736,0.0782,-0.1941,-0.0302,-0.0661,-0.1784,-0.1671,0.1891,0.0258,-0.0429,0.0802,0.1886,-0.1893,0.189,-0.0078,-0.111,0.0017,-0.1884,-0.1736,0.179,-0.1316,0.0188,-0.2534,0.0254,-0.1053,-1.0,1.0,0.687,-1.0,-0.8026,1.0,-0.7816,1.0,0.512,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,run,-1.87,3.73,-6.96,6.14,-10.92,0.0,0.0,0.0,0.026,-7.56,20.65,77.08,-6.59,10.72,85.96,-0.79,18.81,84.81,7.21,10.81,86.22,0.79,13.71,81.04,-7.38,10.55,86.84,-12.02,28.95,77.4,-12.0,8.05,87.75,-6.0,17.14,81.56,12.09,5.4,91.1,5.91,9.81,85.54,-12.09,5.49,91.8,-0.4937,0.9896,0.1443,-1.0,-0.0391,-1.0,-1.0,-0.4211,-0.0325,1.0,-1.0,1.0,0.9933,-0.1208,1.0,-1.0,-1.0,1.0,0.013,0.013,0.013,0.019,0.013,0.013,0.006,0.0,0.013,0.026,0.006,0.006,0.006,0.006,0.019,0.019,0.006,0.0,-0.1043,-0.0107,-0.0399,-0.092,-0.0874,0.1028,0.0077,-0.023,0.0522,0.0997,-0.0936,0.1012,0.0107,-0.066,0.0061,-0.1028,-0.0966,0.0997,-0.2222,0.0134,-0.0808,-0.2112,-0.2033,0.2244,-0.0164,0.0103,0.0849,0.2126,-0.2073,0.2186,-0.0112,-0.1352,0.0818,-0.2182,-0.2079,0.2059,-0.1655,0.0101,-0.1916,-0.0332,-0.1207,-0.3006,1.0,0.652,-1.0,1.0,1.0,0.5019,-0.0526,-0.6113,1.0,-1.0,1.0,0.171,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,run,-2.52,3.75,-17.25,0.96,-15.59,0.0,0.0,0.0,0.026,-8.79,21.71,76.99,-8.0,9.84,87.28,-2.02,18.98,84.9,8.53,9.4,87.63,1.67,12.39,82.53,-8.7,9.23,88.07,-13.52,30.0,75.9,-13.5,9.55,89.25,-7.5,18.64,80.06,13.59,3.9,92.6,4.74,8.31,87.04,-13.59,3.99,93.3,-1.0,1.0,0.1259,-1.0,1.0,1.0,-1.0,0.9872,-0.2949,1.0,-1.0,1.0,0.1354,0.4316,1.0,-1.0,-1.0,1.0,0.013,0.013,0.013,0.019,0.013,0.013,0.006,0.0,0.013,0.026,0.006,0.006,0.006,0.006,0.019,0.019,0.006,0.0,-0.1289,0.0123,-0.0476,-0.115,-0.1104,0.1258,-0.0138,-0.0123,0.0568,0.1243,-0.115,0.1243,0.0153,-0.089,0.0261,-0.1273,-0.1212,0.1227,-0.2475,0.0956,-0.0853,-0.2341,-0.2286,0.2433,-0.092,0.0474,0.0767,0.2408,-0.2256,0.2393,0.0094,-0.1809,0.132,-0.2447,-0.2375,0.2303,-0.1881,0.0289,-0.1215,0.1072,-0.1906,-0.4937,0.9896,0.1443,-1.0,-0.0391,-1.0,-1.0,-0.4211,-0.0325,1.0,-1.0,1.0,0.9933,-0.1208,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,run,-3.14,3.62,-16.76,-2.44,-11.65,0.0,0.0,0.0,0.117,-10.2,22.94,76.99,-9.4,9.05,88.15,-3.43,18.98,84.9,9.93,7.82,89.03,2.55,11.07,84.02,-10.2,7.91,89.3,-15.02,28.5,74.4,-15.0,11.05,87.75,-9.0,17.14,81.56,15.09,2.4,94.1,6.24,6.81,88.54,-15.09,2.49,94.8,-1.0,0.6835,-0.5074,-1.0,1.0,-1.0,-1.0,0.6701,1.0,1.0,-1.0,1.0,0.9131,-1.0,1.0,-1.0,-1.0,1.0,0.013,0.052,0.0,0.006,0.006,0.006,0.019,0.013,0.117,0.013,0.019,0.013,0.019,0.006,0.0,0.013,0.006,0.006,-0.1503,0.0307,-0.0491,-0.1396,-0.1258,0.1488,-0.0353,-0.0092,0.0583,0.1473,-0.1396,0.1488,0.0307,-0.112,0.0522,-0.1503,-0.1442,0.1442,-0.2537,0.1358,-0.0655,-0.2557,-0.2174,0.2565,-0.1448,0.0447,0.0594,0.2547,-0.2498,0.2594,0.064,-0.2128,0.19,-0.2574,-0.2524,0.2416,-0.2445,0.0304,-0.3011,0.0167,-0.272,-1.0,1.0,0.1259,-1.0,1.0,1.0,-1.0,0.9872,-0.2949,1.0,-1.0,1.0,0.1354,0.4316,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
