t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,0.14,4.42,0.99,0.13,-1.13,0.0,0.0,0.0,0.019,-0.09,19.69,79.28,0.44,17.05,78.93,0.0,19.51,82.0,0.09,17.58,79.37,-0.09,19.16,79.45,-0.09,17.14,79.8,-1.59,18.19,77.78,-1.06,15.55,80.25,1.5,18.01,83.24,1.59,16.25,80.69,-1.59,17.66,77.95,-1.59,15.9,81.04,-0.9119,-1.0,-0.3628,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.2822,-1.0,-0.5782,-1.0,-1.0,1.0,0.013,0.006,0.006,0.006,0.006,0.0,0.0,0.019,0.0,0.006,0.006,0.0,0.013,0.019,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,-0.0015,0.0031,0.0,0.0031,0.0,0.0,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,-0.0038,0.0076,0.0,0.007,0.0,0.0,-0.0038,0.0,0.0,0.0,-0.0057,0.0033,-0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,run,0.06,4.41,-1.32,-0.26,-2.13,0.0,0.0,0.0,0.019,-0.35,19.6,79.28,0.44,16.96,79.01,0.0,19.34,82.53,0.18,17.67,79.54,-0.18,18.98,79.19,-0.35,16.96,80.07,-3.09,19.69,79.28,-2.56,14.05,81.75,0.0,16.51,81.74,3.09,14.75,82.19,-3.09,16.88,79.45,-3.09,14.4,82.54,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.7614,1.0,-1.0,-1.0,1.0,0.013,0.006,0.006,0.006,0.006,0.0,0.0,0.019,0.0,0.006,0.006,0.0,0.013,0.019,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0046,0.0,-0.0031,0.0031,0.0,0.0,0.0,0.0,-0.0046,0.0046,0.0,0.0,0.0,0.0,0.0,0.0049,0.0,0.0,0.0076,0.0,-0.0052,0.0053,0.0,-0.0002,0.0,0.0,-0.0077,0.0076,0.0071,0.0014,0.0173,0.0022,-0.0197,-0.9119,-1.0,-0.3628,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.2822,-1.0,-0.5782,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,run,-0.21,4.42,-6.69,-0.01,-1.03,0.0,0.0,0.0,0.019,-1.23,19.07,78.75,-0.09,16.44,79.63,0.18,18.63,83.23,1.14,16.88,80.33,-1.23,18.28,78.49,-1.32,16.44,80.68,-1.59,18.19,80.78,-4.06,12.55,83.25,-1.5,18.01,83.24,4.59,13.25,83.69,-4.59,18.38,80.95,-4.59,12.9,84.04,0.1603,0.5033,0.2503,-1.0,-1.0,0.5743,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.013,0.006,0.006,0.006,0.006,0.0,0.0,0.019,0.0,0.006,0.006,0.0,0.013,0.019,0.013,0.013,0.0,0.0,-0.0046,-0.0015,0.0,0.0,-0.0015,0.0046,0.0,-0.0031,0.0138,0.0015,-0.0015,0.0061,-0.0015,-0.0031,-0.0046,-0.0046,-0.0077,0.0092,-0.0173,-0.0058,0.0,0.0,-0.0058,0.0092,0.0,-0.0115,0.0399,0.0058,0.0021,0.0152,-0.0058,-0.0116,-0.0173,-0.0173,-0.0169,0.0226,0.0006,0.0004,-0.023,-0.0045,-0.0373,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.7614,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,run,-0.3,4.47,-2.26,0.75,-1.95,0.0,0.0,0.0,0.026,-1.93,18.63,78.4,-0.97,15.82,80.68,0.79,18.11,83.5,2.02,16.08,81.21,-2.02,17.67,78.31,-2.2,15.64,81.47,-3.09,19.69,82.28,-5.56,11.05,84.75,-3.0,19.51,84.74,6.09,11.75,85.19,-3.09,16.88,79.45,-6.09,11.4,85.54,-1.0,1.0,0.3476,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.9723,0.3575,-0.2986,-1.0,-1.0,-1.0,1.0,0.006,0.0,0.0,0.019,0.026,0.013,0.0,0.019,0.006,0.026,0.019,0.019,0.013,0.013,0.0,0.019,0.006,0.0,-0.0199,-0.0107,-0.0092,-0.0092,-0.0107,0.0153,0.0031,-0.0153,0.0261,0.0184,-0.0153,0.0199,-0.0199,-0.0153,-0.0169,-0.0215,-0.0169,0.0199,-0.0694,-0.0384,-0.0344,-0.0344,-0.0384,0.0465,0.0115,-0.0539,0.0738,0.0671,-0.0501,0.0622,-0.0728,-0.054,-0.0579,-0.0751,-0.0462,0.0559,-0.0235,0.0013,-0.1168,-0.0002,-0.0179,0.1603,0.5033,0.2503,-1.0,-1.0,0.5743,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,run,-0.4,4.67,-1.68,5.68,-3.76,0.0,0.0,0.0,0.026,-2.46,17.93,78.49,-2.11,14.59,81.91,0.79,17.75,83.85,3.16,15.38,82.18,-2.99,17.14,78.66,-3.34,14.41,82.71,-4.59,21.19,80.78,-7.06,9.55,86.25,-4.5,18.01,83.24,7.59,10.25,86.69,-4.59,18.38,80.95,-7.59,9.9,87.04,-1.0,1.0,0.0803,-1.0,-0.4842,1.0,-0.5761,-0.472,-0.2934,1.0,-1.0,1.0,-0.5751,1.0,1.0,-1.0,-1.0,1.0,0.006,0.0,0.0,0.019,0.026,0.013,0.0,0.019,0.006,0.026,0.019,0.019,0.013,0.013,0.0,0.019,0.006,0.0,-0.0322,-0.0184,-0.0153,-0.0245,-0.0215,0.0337,0.0138,-0.0245,0.0307,0.0337,-0.0291,0.0353,-0.0337,-0.0261,-0.0199,-0.0368,-0.0307,0.0337,-0.0947,-0.0557,-0.0471,-0.0817,-0.0672,0.1017,0.0483,-0.0723,0.0689,0.1045,-0.0869,0.1012,-0.1028,-0.0781,-0.0521,-0.1102,-0.0842,0.091,-0.0314,0.0058,-0.0394,0.0131,-0.0341,-1.0,1.0,0.3476,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.9723,0.3575,-0.2986,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,run,-0.74,4.71,-10.05,0.4,-9.17,0.0,0.0,0.0,0.026,-3.08,18.28,78.75,-3.43,13.36,83.23,0.79,17.75,84.55,4.48,13.62,83.67,-3.69,17.05,79.1,-4.75,13.18,83.85,-6.09,22.69,82.28,-8.56,8.05,87.75,-6.0,19.51,84.74,9.09,8.75,88.19,-6.09,16.88,82.45,-9.09,8.4,88.54,-0.5881,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.6511,0.2901,1.0,-1.0,-1.0,1.0,0.006,0.0,0.0,0.019,0.026,0.013,0.0,0.019,0.006,0.026,0.019,0.019,0.013,0.013,0.0,0.019,0.006,0.0,-0.0414,-0.0307,-0.0138,-0.0445,-0.043,0.0552,0.0138,-0.0307,0.0368,0.0537,-0.0414,0.0522,-0.0506,-0.0353,-0.0138,-0.0568,-0.0522,0.0552,-0.101,-0.0853,-0.0272,-0.1324,-0.128,0.1522,0.0338,-0.0737,0.0714,0.1484,-0.1071,0.1344,-0.1356,-0.0894,-0.0133,-0.1523,-0.1399,0.1447,-0.0396,0.023,-0.0293,0.0991,-0.0656,-1.0,1.0,0.0803,-1.0,-0.4842,1.0,-0.5761,-0.472,-0.2934,1.0,-1.0,1.0,-0.5751,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,run,-0.87,4.81,-4.75,3.42,-19.37,0.0,0.0,0.0,0.033,-3.87,18.81,79.72,-4.83,12.04,84.55,-0.26,18.19,84.9,5.8,12.66,84.99,-4.57,16.96,80.16,-6.15,11.95,85.08,-7.59,24.19,80.78,-10.06,6.55,89.25,-7.5,21.01,86.24,10.59,7.25,89.69,-7.59,15.38,80.95,-10.59,6.9,90.04,-1.0,1.0,-0.1943,-1.0,-0.2135,1.0,-1.0,1.0,1.0,1.0,-1.0,0.7559,-0.4989,-1.0,-1.0,-1.0,-1.0,1.0,0.019,0.033,0.006,0.019,0.026,0.013,0.019,0.013,0.0,0.013,0.013,0.013,0.013,0.006,0.013,0.006,0.006,0.0,-0.0522,-0.0245,-0.0092,-0.0675,-0.0644,0.0782,0.0138,-0.0307,0.0491,0.0767,-0.0721,0.0782,-0.0629,-0.0368,-0.0061,-0.0813,-0.0736,0.0752,-0.1107,-0.0368,-0.0019,-0.1784,-0.1696,0.1922,0.0237,-0.0516,0.0957,0.1896,-0.1893,0.1913,-0.1406,-0.0683,0.0193,-0.1981,-0.1779,0.1756,-0.0693,0.0263,-0.1755,0.007,-0.16,-0.5881,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.6511,0.2901,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,run,-1.21,4.85,-10.13,1.18,-25.94,0.0,0.0,0.0,0.033,-5.01,19.6,80.6,-6.15,10.63,85.96,-1.41,18.9,85.34,7.21,11.07,86.31,-5.62,16.7,81.04,-7.65,10.63,86.4,-9.09,25.69,82.28,-11.56,5.05,90.75,-9.0,19.51,84.74,12.09,5.75,91.19,-9.09,13.88,82.45,-12.09,5.4,91.54,-1.0,1.0,1.0,-1.0,0.5448,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.4285,1.0,-1.0,-1.0,1.0,0.019,0.033,0.006,0.019,0.026,0.013,0.019,0.013,0.0,0.013,0.013,0.013,0.013,0.006,0.013,0.006,0.006,0.0,-0.066,-0.0153,0.0077,-0.092,-0.0874,0.1012,-0.0046,-0.023,0.0552,0.0997,-0.089,0.1012,-0.0782,-0.0383,0.0123,-0.1058,-0.0951,0.0966,-0.1293,0.0088,0.062,-0.217,-0.2051,0.221,-0.0525,-0.0073,0.09,0.2191,-0.1958,0.2203,-0.156,-0.0536,0.0826,-0.2308,-0.2052,0.2035,-0.081,0.035,-0.0829,0.0596,-0.3381,-1.0,1.0,-0.1943,-1.0,-0.2135,1.0,-1.0,1.0,1.0,1.0,-1.0,0.7559,-0.4989,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,run,-1.43,4.75,-6.69,-3.03,-19.62,0.0,0.0,0.0,0.033,-6.24,20.57,81.39,-7.56,9.23,87.36,-2.72,19.69,85.96,8.61,9.76,87.8,-6.77,15.82,82.18,-8.88,9.32,87.71,-7.59,24.19,80.78,-13.06,3.55,89.25,-10.5,21.01,86.24,13.59,4.25,92.69,-10.59,12.38,83.95,-13.59,3.9,93.04,0.3546,-0.1723,-0.7809,-1.0,0.3674,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.019,0.033,0.006,0.019,0.026,0.013,0.019,0.013,0.0,0.013,0.013,0.013,0.013,0.006,0.013,0.006,0.006,0.0,-0.0859,-0.0015,0.023,-0.115,-0.112,0.1258,-0.0245,-0.0107,0.0629,0.1243,-0.1166,0.1243,-0.0966,-0.043,0.0276,-0.1319,-0.1181,0.1197,-0.1652,0.0579,0.1009,-0.2381,-0.2356,0.2466,-0.1115,0.0409,0.0917,0.2453,-0.2406,0.2404,-0.1782,-0.0547,0.1153,-0.2593,-0.2299,0.2287,-0.1104,0.0386,-0.1768,0.0206,-0.4528,-1.0,1.0,1.0,-1.0,0.5448,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.4285,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,run,-1.7,4.55,-6.47,-5.08,-12.01,0.0,0.0,0.0,0.065,-7.29,21.62,81.74,-8.88,8.0,88.59,-4.04,20.57,86.31,10.02,8.35,89.21,-8.0,14.94,82.62,-10.37,8.44,88.95,-9.09,22.69,82.28,-14.56,2.05,90.75,-12.0,19.51,87.74,15.09,2.75,94.19,-12.09,10.88,85.45,-15.09,2.4,94.54,-1.0,-0.132,0.7054,-1.0,0.2609,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-0.0747,1.0,-1.0,-1.0,1.0,0.013,0.065,0.0,0.019,0.026,0.006,0.019,0.006,0.0,0.019,0.019,0.013,0.013,0.0,0.006,0.006,0.039,0.006,-0.1074,0.0153,0.0368,-0.1396,-0.1365,0.1503,-0.0476,0.0031,0.0736,0.1488,-0.1396,0.1503,-0.1166,-0.0583,0.0476,-0.1534,-0.1411,0.1427,-0.1959,0.1035,0.1222,-0.2584,-0.2566,0.2643,-0.164,0.0802,0.1043,0.2634,-0.2543,0.2657,-0.1992,-0.0956,0.1552,-0.2617,-0.2468,0.246,-0.1297,0.0299,-0.1168,-0.053,-0.3425,0.3546,-0.1723,-0.7809,-1.0,0.3674,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
