t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,1.77,0.75,0.52,-0.48,-0.55,0.0,0.0,0.0,0.013,-0.18,19.16,79.72,-0.09,16.0,78.93,-0.09,19.42,80.33,0.44,16.08,79.01,0.0,18.98,79.54,-0.09,17.4,79.37,-1.68,17.66,78.22,-1.59,14.76,80.25,1.41,17.92,81.66,1.76,14.94,80.51,1.5,17.48,78.04,-1.59,16.08,80.69,-1.0,-1.0,-0.3818,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.2565,-1.0,-0.3427,-1.0,-1.0,1.0,0.013,0.006,0.006,0.013,0.0,0.0,0.006,0.013,0.0,0.0,0.0,0.013,0.006,0.006,0.013,0.013,0.006,0.0,0.0,0.0,0.0,0.0,-0.0031,0.0031,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0,0.0,0.0,-0.0015,0.0015,0.0,0.0,0.0,0.0,-0.0075,0.0064,0.0,0.0,0.0,0.0069,0.0,0.0,0.0,0.0,0.0,0.0,-0.0037,0.0037,0.0,0.0,-0.0063,-0.0011,0.0107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,run,1.71,0.8,-0.56,0.25,1.03,0.0,0.0,0.0,0.013,-0.53,18.98,79.72,-0.26,15.73,79.19,0.0,18.98,80.33,0.7,15.73,79.1,0.0,18.63,79.37,-0.26,17.23,79.54,-3.18,19.16,79.72,-3.09,13.26,81.75,-0.09,16.42,80.16,3.26,13.44,82.01,0.0,15.98,79.54,-3.09,14.58,82.19,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.2873,1.0,-1.0,-1.0,1.0,0.013,0.006,0.006,0.013,0.0,0.0,0.006,0.013,0.0,0.0,0.0,0.013,0.006,0.006,0.013,0.013,0.006,0.0,0.0,0.0,0.0,0.0,-0.0046,0.0031,0.0,0.0,0.0031,0.0031,-0.0061,0.0,0.0,0.0,0.0,0.0,-0.0031,0.0031,0.0,0.0,0.0,0.0,-0.0078,0.0045,0.0,0.0,0.0051,0.0048,-0.0101,0.0,0.0,0.0,0.0,0.0,-0.0051,0.0051,0.0035,-0.0035,0.0091,-0.0085,-0.0095,-1.0,-1.0,-0.3818,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.2565,-1.0,-0.3427,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,run,1.37,0.82,-8.07,-0.5,2.97,0.0,0.0,0.0,0.013,-1.23,18.46,79.19,-0.79,15.21,79.8,0.09,18.28,80.95,1.41,15.38,79.98,0.88,18.02,78.57,-1.23,16.7,80.07,-4.68,20.66,81.22,-4.59,11.76,83.25,-1.59,17.92,81.66,4.76,11.94,83.51,-1.5,17.48,81.04,-4.59,13.08,83.69,-0.4213,1.0,0.2907,-1.0,-1.0,0.6382,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.8666,1.0,1.0,-1.0,-1.0,1.0,0.013,0.006,0.006,0.013,0.0,0.0,0.006,0.013,0.0,0.0,0.0,0.013,0.006,0.006,0.013,0.013,0.006,0.0,-0.0061,-0.0031,0.0,-0.0031,-0.0092,0.0077,0.0015,-0.0077,0.0031,0.0077,-0.0123,0.0015,0.0,-0.0061,-0.0031,-0.0031,-0.0061,0.0061,-0.0231,-0.0115,0.0,-0.0115,-0.0228,0.0204,0.0058,-0.0289,0.0035,0.0207,-0.0302,0.0058,0.0,-0.0231,-0.0115,-0.0115,-0.0151,0.0151,-0.0019,0.001,-0.0098,0.0043,0.0179,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.2873,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,run,1.19,0.74,-2.66,-3.17,-4.78,0.0,0.0,0.0,0.033,-2.37,18.11,78.93,-1.49,14.41,80.77,0.62,17.58,81.3,2.11,14.41,81.04,1.05,17.23,78.66,-2.02,15.91,80.95,-6.18,22.16,79.72,-6.09,10.26,84.75,-3.09,19.42,83.16,6.26,10.44,85.01,0.0,15.98,79.54,-6.09,11.58,85.19,-1.0,1.0,0.0821,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.3073,-1.0,-1.0,-1.0,1.0,0.026,0.0,0.0,0.026,0.006,0.013,0.006,0.006,0.0,0.033,0.0,0.019,0.006,0.006,0.0,0.026,0.013,0.006,-0.0184,-0.0123,-0.0092,-0.0123,-0.0184,0.0184,0.0031,-0.0199,0.0138,0.0199,-0.0184,0.0169,0.0153,-0.0169,-0.0169,-0.0199,-0.0153,0.0153,-0.062,-0.0424,-0.0344,-0.0424,-0.0503,0.0544,0.0098,-0.066,0.0426,0.0603,-0.044,0.0613,0.0573,-0.0562,-0.0596,-0.0711,-0.045,0.045,-0.0321,0.0024,-0.1408,-0.0087,0.0519,-0.4213,1.0,0.2907,-1.0,-1.0,0.6382,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.8666,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,run,0.94,0.79,-5.37,1.86,-10.39,0.0,0.0,0.0,0.033,-3.34,18.11,79.01,-2.9,13.36,82.0,0.62,17.31,81.74,3.34,13.27,82.18,0.79,16.61,78.84,-3.34,14.85,81.91,-7.68,23.66,81.22,-7.59,8.76,86.25,-1.59,17.92,81.66,7.76,8.94,86.51,1.5,17.48,81.04,-7.59,10.08,86.69,-1.0,1.0,0.2249,-1.0,-0.4371,1.0,-0.0134,0.354,-0.839,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.026,0.0,0.0,0.026,0.006,0.013,0.006,0.006,0.0,0.033,0.0,0.019,0.006,0.006,0.0,0.026,0.013,0.006,-0.0383,-0.0184,-0.0138,-0.0245,-0.0322,0.0353,0.0123,-0.0322,0.0199,0.0322,-0.0353,0.0353,0.0184,-0.0307,-0.0153,-0.0337,-0.0291,0.0307,-0.1183,-0.0528,-0.0413,-0.0758,-0.0871,0.1015,0.0414,-0.0923,0.0528,0.0883,-0.0942,0.1121,0.0516,-0.0912,-0.036,-0.1016,-0.0833,0.0891,-0.0471,-0.0041,-0.0464,-0.0554,-0.0835,-1.0,1.0,0.0821,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.3073,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,run,0.76,0.62,-4.23,-3.84,-3.66,0.0,0.0,0.0,0.033,-4.92,18.19,79.37,-3.96,12.13,83.23,0.62,17.4,82.35,4.66,12.04,83.41,0.26,15.82,79.54,-4.57,13.62,83.06,-9.18,25.16,82.72,-9.09,7.26,87.75,-3.09,19.42,83.16,9.26,7.44,88.01,3.0,15.98,82.54,-9.09,8.58,88.19,-1.0,1.0,0.79,-1.0,-1.0,0.4046,-1.0,1.0,0.8048,1.0,-1.0,1.0,1.0,-0.2359,1.0,-1.0,-1.0,1.0,0.026,0.0,0.0,0.026,0.006,0.013,0.006,0.006,0.0,0.033,0.0,0.019,0.006,0.006,0.0,0.026,0.013,0.006,-0.0552,-0.0184,-0.0123,-0.0491,-0.0506,0.0568,0.0123,-0.0368,0.0276,0.0537,-0.0552,0.0552,0.0138,-0.0414,-0.0123,-0.0568,-0.0476,0.0476,-0.1463,-0.0369,-0.0232,-0.1455,-0.1302,0.1519,0.029,-0.0819,0.0659,0.1427,-0.141,0.1535,0.0188,-0.1043,-0.0136,-0.1577,-0.1276,0.1259,-0.0695,0.0,-0.0937,0.0324,-0.1814,-1.0,1.0,0.2249,-1.0,-0.4371,1.0,-0.0134,0.354,-0.839,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,run,0.52,0.3,-5.22,-7.82,-3.64,0.0,0.0,0.0,0.104,-5.89,18.81,80.16,-4.92,10.72,84.73,-0.62,18.02,82.88,5.98,10.63,84.73,0.18,15.82,80.33,-5.98,12.57,83.94,-10.68,23.66,83.79,-10.59,5.76,89.25,-4.59,20.92,81.66,10.76,5.94,89.51,4.5,14.48,84.04,-10.59,7.08,89.69,-1.0,0.5691,0.2211,-1.0,0.077,1.0,-0.7434,1.0,0.0588,1.0,-1.0,1.0,0.7745,0.4712,0.4565,-1.0,-1.0,1.0,0.013,0.104,0.006,0.026,0.006,0.0,0.006,0.013,0.006,0.019,0.0,0.013,0.0,0.0,0.033,0.013,0.026,0.006,-0.0828,-0.0169,-0.0061,-0.0675,-0.0721,0.0782,0.0123,-0.0353,0.0383,0.0767,-0.0767,0.0767,0.0046,-0.0552,0.0,-0.0782,-0.069,0.0675,-0.2055,-0.0201,0.0067,-0.1706,-0.1714,0.1865,0.0203,-0.0516,0.0862,0.1858,-0.1789,0.1877,-0.0212,-0.1246,0.0363,-0.1906,-0.1695,0.1626,-0.0853,-0.0147,-0.0738,-0.0671,-0.0639,-1.0,1.0,0.79,-1.0,-1.0,0.4046,-1.0,1.0,0.8048,1.0,-1.0,1.0,1.0,-0.2359,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,run,0.24,0.09,-7.3,-3.82,-2.16,0.0,0.0,0.0,0.104,-7.91,19.86,81.39,-6.86,9.23,86.4,-1.93,18.98,83.06,7.56,8.96,86.31,0.44,15.29,81.56,-7.73,11.07,85.96,-12.18,22.16,82.29,-12.09,4.26,90.75,-6.09,22.42,80.16,12.26,4.44,91.01,6.0,12.98,85.54,-12.09,5.58,91.19,-1.0,0.0331,0.1976,-1.0,-0.3963,0.3946,-1.0,1.0,-0.1702,1.0,-1.0,1.0,1.0,-0.149,0.3474,-1.0,-1.0,1.0,0.013,0.104,0.006,0.026,0.006,0.0,0.006,0.013,0.006,0.019,0.0,0.013,0.0,0.0,0.033,0.013,0.026,0.006,-0.0997,-0.0061,0.0077,-0.0844,-0.0966,0.1043,-0.0092,-0.0245,0.0476,0.0997,-0.1012,0.0997,0.0031,-0.0552,0.0138,-0.1028,-0.0874,0.0828,-0.2072,0.0262,0.0565,-0.1827,-0.212,0.2284,-0.0664,0.0041,0.0949,0.2164,-0.2173,0.2177,-0.0206,-0.0872,0.0772,-0.2255,-0.1877,0.1714,-0.1056,-0.0428,-0.0911,-0.1365,-0.0635,-1.0,0.5691,0.2211,-1.0,0.077,1.0,-0.7434,1.0,0.0588,1.0,-1.0,1.0,0.7745,0.4712,0.4565,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,run,0.23,-0.12,-0.45,-5.13,-5.08,0.0,0.0,0.0,0.104,-8.88,20.48,82.35,-8.17,8.0,87.45,-2.99,20.04,83.06,8.88,7.65,87.54,1.41,14.68,82.62,-8.96,9.58,87.19,-13.68,20.66,83.79,-13.59,5.76,92.25,-7.59,20.92,78.66,13.76,2.94,92.51,4.5,11.48,87.04,-13.59,4.08,92.69,-1.0,-0.0349,0.768,-1.0,0.8985,1.0,-1.0,0.648,-1.0,1.0,-1.0,1.0,-0.3575,-0.1509,0.8085,-1.0,-1.0,1.0,0.013,0.104,0.006,0.026,0.006,0.0,0.006,0.013,0.006,0.019,0.0,0.013,0.0,0.0,0.033,0.013,0.026,0.006,-0.135,0.0123,0.0291,-0.1181,-0.1227,0.1335,-0.0322,-0.0077,0.0506,0.1273,-0.1304,0.1273,0.0077,-0.0644,0.0353,-0.1335,-0.1135,0.1181,-0.2542,0.0753,0.106,-0.2323,-0.2291,0.25,-0.1176,0.0551,0.0759,0.2369,-0.2423,0.2378,-0.0002,-0.0895,0.1205,-0.2528,-0.2121,0.2291,-0.1302,-0.0608,-0.1274,-0.0667,-0.0377,-1.0,0.0331,0.1976,-1.0,-0.3963,0.3946,-1.0,1.0,-0.1702,1.0,-1.0,1.0,1.0,-0.149,0.3474,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,run,-0.09,-0.34,-8.49,-6.32,-6.07,0.0,0.0,0.0,0.123,-10.28,21.01,83.06,-9.58,6.86,88.77,-4.13,20.83,82.88,10.11,6.33,88.95,2.29,13.54,83.67,-10.37,8.35,88.59,-15.18,19.16,82.29,-15.09,4.26,90.75,-9.09,19.42,77.16,15.26,1.44,94.01,3.0,9.98,88.54,-15.09,2.58,94.19,-0.6275,-1.0,-0.4734,-1.0,-0.153,-1.0,-1.0,0.1219,-0.4066,1.0,-1.0,1.0,-0.4571,0.5618,1.0,-1.0,-1.0,1.0,0.013,0.123,0.0,0.013,0.006,0.0,0.013,0.006,0.071,0.026,0.0,0.026,0.0,0.006,0.026,0.006,0.026,0.013,-0.1519,0.023,0.046,-0.1411,-0.1442,0.1519,-0.0506,0.0107,0.0506,0.1503,-0.1534,0.1488,0.0245,-0.0752,0.0537,-0.1549,-0.1396,0.1396,-0.2406,0.0926,0.1369,-0.2481,-0.2402,0.2435,-0.1508,0.107,0.0531,0.2514,-0.2551,0.2463,0.0626,-0.1026,0.1528,-0.2568,-0.2454,0.2402,-0.1314,-0.0798,-0.0078,-0.0895,-0.0887,-1.0,-0.0349,0.768,-1.0,0.8985,1.0,-1.0,0.648,-1.0,1.0,-1.0,1.0,-0.3575,-0.1509,0.8085,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
