t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,-0.71,4.1,0.09,-0.83,1.72,0.0,0.0,0.0,0.019,0.18,16.08,79.37,0.35,17.58,78.4,0.0,17.75,79.37,0.09,16.35,79.19,-0.18,16.79,77.43,-0.09,16.79,78.31,-1.32,14.94,77.87,-1.15,16.08,79.99,1.5,16.43,80.87,1.59,15.11,80.69,-1.02,15.64,76.2,-1.59,15.38,79.81,-1.0,-1.0,-0.5007,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.029,-1.0,-0.1731,-1.0,-1.0,1.0,0.019,0.0,0.006,0.006,0.006,0.019,0.006,0.0,0.006,0.013,0.0,0.013,0.013,0.0,0.0,0.006,0.0,0.006,0.0,-0.0061,0.0,0.0,0.0,-0.0015,0.0,-0.0031,0.0,0.0,-0.0046,0.0,0.0,-0.0061,-0.0031,0.0,-0.0015,0.0,0.0,-0.0149,0.0,0.0,0.0,-0.0032,0.0,-0.0064,0.0,0.0,-0.0107,0.0,0.0,-0.0149,-0.0064,0.0,-0.0037,0.0,0.0,0.0,-0.0157,0.0063,-0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,run,-0.74,4.14,0.43,0.1,-0.26,0.0,0.0,0.0,0.019,0.09,15.73,79.28,0.26,17.23,78.75,0.0,17.49,79.45,0.18,16.08,79.37,-0.35,16.35,77.26,-0.53,16.44,78.4,-2.82,16.44,79.37,-2.65,14.58,81.49,0.0,14.93,79.37,3.09,13.61,82.19,-2.52,14.14,77.7,-3.09,13.88,81.31,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.9934,1.0,-1.0,1.0,-1.0,0.0842,1.0,-1.0,-1.0,1.0,0.019,0.0,0.006,0.006,0.006,0.019,0.006,0.0,0.006,0.013,0.0,0.013,0.013,0.0,0.0,0.006,0.0,0.006,0.0,-0.0061,0.0,0.0,0.0,-0.0015,0.0,-0.0031,0.0,0.0,-0.0046,0.0,0.0,-0.0061,-0.0046,0.0,-0.0015,0.0,0.0,-0.0105,0.0,0.0,0.0,-0.0022,0.0,-0.0045,0.0,0.0,-0.0075,0.0,0.0,-0.0105,-0.007,0.0,-0.0026,0.0,-0.0012,-0.0061,0.0016,-0.0144,0.03,-1.0,-1.0,-0.5007,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.029,-1.0,-0.1731,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,run,-1.37,4.1,-4.51,-0.42,-9.31,0.0,0.0,0.0,0.071,-1.85,15.03,78.84,-2.46,14.33,81.83,0.62,15.73,80.77,3.25,13.1,82.44,-3.25,14.77,76.99,-3.78,13.62,80.95,-1.32,17.94,80.87,-4.15,13.08,82.99,-1.5,16.43,80.87,4.59,12.11,83.69,-4.02,15.64,79.2,-4.59,12.38,82.81,0.41,0.8379,0.3708,-1.0,-1.0,0.9626,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.006,0.071,0.0,0.013,0.0,0.006,0.019,0.013,0.0,0.019,0.0,0.013,0.006,0.045,0.013,0.006,0.006,0.013,-0.0015,-0.0123,-0.0015,-0.0015,-0.0061,0.0046,0.0,-0.0077,0.0015,0.0015,-0.0092,0.0031,-0.0031,-0.0138,-0.0077,-0.0077,-0.0077,0.0015,-0.0058,-0.0304,-0.0058,-0.0058,-0.023,0.0215,0.0,-0.0204,0.0058,0.0058,-0.0225,0.0115,-0.0115,-0.0361,-0.0164,-0.0288,-0.0249,0.0058,-0.0042,-0.0031,0.0075,0.0018,-0.0045,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.9934,1.0,-1.0,1.0,-1.0,0.0842,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,run,-1.42,4.1,-4.82,0.68,-6.88,0.0,0.0,0.0,0.071,-1.58,15.21,79.37,-3.08,13.8,82.35,0.53,15.73,80.86,3.69,12.57,82.88,-3.69,14.68,77.78,-4.31,13.01,81.47,-2.82,19.44,82.37,-5.65,11.58,84.49,-3.0,17.93,82.37,6.09,10.61,85.19,-2.52,14.14,77.7,-6.09,10.88,84.31,-1.0,1.0,0.3122,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.5832,0.4212,-0.2551,-1.0,-1.0,-1.0,1.0,0.006,0.071,0.0,0.013,0.0,0.006,0.019,0.013,0.0,0.019,0.0,0.013,0.006,0.045,0.013,0.006,0.006,0.013,-0.0353,-0.0245,-0.0092,-0.0491,-0.0568,0.0583,0.0107,-0.0383,0.0245,0.0552,-0.0614,0.0568,-0.0537,-0.0414,-0.0123,-0.0644,-0.0568,0.046,-0.0396,-0.0342,-0.0121,-0.0542,-0.0695,0.0716,0.0113,-0.0466,0.0283,0.0606,-0.0707,0.0647,-0.0614,-0.0544,-0.0163,-0.08,-0.0692,0.0509,-0.0587,-0.0065,-0.0787,-0.0074,-0.1625,0.41,0.8379,0.3708,-1.0,-1.0,0.9626,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,run,-1.3,4.08,0.83,-0.47,-2.52,0.0,0.0,0.0,0.071,-1.41,15.73,80.07,-3.6,13.36,82.79,-0.44,16.17,81.04,4.04,12.13,83.32,-3.96,14.77,78.31,-4.57,12.48,82.0,-4.32,17.94,83.87,-7.15,10.08,85.99,-4.38,16.43,80.87,7.59,9.11,86.69,-4.02,12.64,79.2,-7.59,9.37,85.81,-1.0,0.7234,0.5523,-1.0,0.3722,1.0,-0.1251,-0.3946,-0.5439,1.0,-1.0,1.0,-1.0,-0.3461,1.0,-1.0,-1.0,1.0,0.006,0.071,0.0,0.013,0.0,0.006,0.019,0.013,0.0,0.019,0.0,0.013,0.006,0.045,0.013,0.006,0.006,0.013,-0.0307,-0.0215,0.0,-0.0598,-0.066,0.0675,0.0092,-0.0383,0.0261,0.0629,-0.0706,0.0644,-0.0614,-0.043,0.0015,-0.0736,-0.0675,0.0552,-0.0061,-0.0095,0.0347,-0.0883,-0.0918,0.0933,0.0007,-0.0326,0.027,0.0784,-0.0927,0.0812,-0.079,-0.0453,0.0533,-0.0992,-0.0988,0.0788,-0.0635,-0.0059,-0.0841,0.0118,-0.12,-1.0,1.0,0.3122,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.5832,0.4212,-0.2551,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,run,-1.22,3.82,1.54,-6.71,-1.58,0.0,0.0,0.0,0.084,-1.49,16.44,80.95,-4.31,12.92,83.5,-1.32,16.26,81.04,4.66,11.51,83.94,-3.87,14.77,78.75,-5.01,11.95,82.71,-5.82,16.44,85.37,-8.65,8.58,84.49,-5.88,14.93,82.37,9.09,7.61,88.19,-5.52,14.14,80.7,-9.09,7.87,87.31,-1.0,-0.2404,0.6729,-1.0,-1.0,-1.0,-1.0,-0.4638,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.013,0.084,0.013,0.013,0.019,0.006,0.033,0.013,0.0,0.058,0.0,0.033,0.013,0.0,0.019,0.026,0.006,0.026,-0.0276,-0.0123,0.0123,-0.069,-0.0736,0.0752,-0.0077,-0.0307,0.0291,0.069,-0.0782,0.0721,-0.066,-0.0414,0.0107,-0.0782,-0.0767,0.0644,0.007,0.0273,0.0696,-0.0958,-0.0926,0.0937,-0.0618,0.0055,0.0302,0.0776,-0.0932,0.0852,-0.0723,-0.026,0.0713,-0.0864,-0.1031,0.0892,-0.0528,-0.0077,0.0144,-0.0082,-0.0441,-1.0,0.7234,0.5523,-1.0,0.3722,1.0,-0.1251,-0.3946,-0.5439,1.0,-1.0,1.0,-1.0,-0.3461,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,run,-1.26,3.7,-0.46,-3.92,-3.56,0.0,0.0,0.0,0.084,-2.11,16.88,81.56,-5.27,12.39,84.2,-2.37,16.26,81.04,5.54,10.63,85.08,-4.39,13.97,79.28,-6.15,11.07,83.58,-7.32,14.94,83.87,-10.15,7.08,85.99,-7.38,16.43,83.87,10.59,6.11,89.69,-7.02,12.64,79.2,-10.59,6.37,88.81,-1.0,-1.0,0.0499,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-0.2893,-1.0,-1.0,-1.0,1.0,0.013,0.084,0.013,0.013,0.019,0.006,0.033,0.013,0.0,0.058,0.0,0.033,0.013,0.0,0.019,0.026,0.006,0.026,-0.0291,0.0,0.0276,-0.0813,-0.0813,0.0874,-0.023,-0.0291,0.0291,0.0798,-0.089,0.0828,-0.0644,-0.0414,0.0184,-0.0859,-0.0859,0.0767,-0.0008,0.0653,0.1064,-0.1132,-0.0937,0.1117,-0.101,0.0096,0.0212,0.0947,-0.1056,0.1,-0.0448,-0.0182,0.0788,-0.0893,-0.1068,0.1086,-0.0454,-0.0305,0.0269,-0.1172,-0.0275,-1.0,-0.2404,0.6729,-1.0,-1.0,-1.0,-1.0,-0.4638,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,run,-1.25,3.66,2.59,-1.81,-15.81,0.0,0.0,0.0,0.084,-2.99,16.96,82.88,-6.5,11.07,84.73,-3.6,15.73,81.21,6.86,9.49,86.22,-4.92,13.71,79.98,-7.38,9.93,84.81,-8.82,13.44,85.37,-11.65,5.58,87.49,-8.88,14.93,82.37,12.09,4.61,91.19,-8.52,14.14,80.7,-12.09,4.87,90.31,-1.0,-0.8178,0.7379,-1.0,-0.2242,1.0,-1.0,-1.0,-0.2162,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.013,0.084,0.013,0.013,0.019,0.006,0.033,0.013,0.0,0.058,0.0,0.033,0.013,0.0,0.019,0.026,0.006,0.026,-0.0399,0.0077,0.0383,-0.0982,-0.0905,0.0997,-0.0414,-0.0291,0.0291,0.0951,-0.1043,0.1028,-0.0736,-0.0552,0.0276,-0.1058,-0.1012,0.092,-0.0408,0.0744,0.1147,-0.1425,-0.1001,0.1242,-0.1397,0.0067,0.0148,0.1238,-0.1314,0.1448,-0.0659,-0.0645,0.0896,-0.1373,-0.1323,0.1335,-0.0493,-0.0412,-0.008,-0.0684,-0.0622,-1.0,-1.0,0.0499,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-0.2893,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,run,-1.28,3.55,1.1,-3.64,-22.1,0.0,0.0,0.0,0.084,-4.22,16.96,83.94,-7.73,9.76,85.61,-4.92,15.21,81.83,8.35,8.17,87.71,-5.98,13.1,80.6,-8.79,9.05,86.13,-10.32,11.94,86.87,-13.15,4.08,85.99,-10.38,16.43,83.87,13.59,3.11,92.69,-10.02,12.64,82.2,-13.59,3.37,91.81,-1.0,-1.0,0.4536,-1.0,-0.974,-0.2346,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0473,1.0,-1.0,-1.0,1.0,0.033,0.006,0.013,0.019,0.019,0.006,0.026,0.0,0.0,0.033,0.006,0.026,0.0,0.0,0.006,0.019,0.026,0.019,-0.0552,0.0092,0.0614,-0.1197,-0.1135,0.1089,-0.0629,-0.0383,0.0322,0.1181,-0.1243,0.1227,-0.0828,-0.0598,0.0399,-0.1273,-0.1212,0.1135,-0.0861,0.0579,0.1666,-0.1803,-0.1563,0.1214,-0.1783,-0.0298,0.0219,0.1729,-0.1668,0.1761,-0.0806,-0.0624,0.1088,-0.1766,-0.1673,0.174,-0.0484,-0.0446,0.0452,-0.0315,-0.2759,-1.0,-0.8178,0.7379,-1.0,-0.2242,1.0,-1.0,-1.0,-0.2162,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,run,-1.34,3.51,0.21,-1.4,-21.57,0.0,0.0,0.0,0.084,-5.62,16.88,84.73,-9.14,8.35,86.48,-6.24,14.77,82.35,9.76,6.86,89.03,-7.03,12.74,80.95,-10.28,7.65,87.54,-11.82,10.44,88.37,-14.65,2.58,87.49,-11.88,14.93,85.37,15.09,1.61,94.19,-11.52,11.14,80.7,-15.09,1.87,93.31,-1.0,-1.0,1.0,-1.0,-0.0977,1.0,-1.0,0.2992,1.0,1.0,-1.0,1.0,-1.0,0.3955,-0.3861,-1.0,-1.0,1.0,0.033,0.006,0.013,0.019,0.019,0.006,0.026,0.0,0.0,0.033,0.006,0.026,0.0,0.0,0.006,0.019,0.026,0.019,-0.0767,0.0092,0.0798,-0.1411,-0.1365,0.1243,-0.0859,-0.0476,0.043,0.1442,-0.1473,0.1488,-0.1012,-0.0706,0.0506,-0.1519,-0.1365,0.1365,-0.1406,0.0405,0.1855,-0.2065,-0.1955,0.1424,-0.2109,-0.0553,0.0555,0.2186,-0.2028,0.2208,-0.1253,-0.0839,0.1163,-0.2155,-0.1745,0.2079,-0.0513,-0.0544,0.0192,-0.0635,-0.3858,-1.0,-1.0,0.4536,-1.0,-0.974,-0.2346,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.0473,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
