t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,0.64,4.4,-0.01,0.24,-0.63,0.0,0.0,0.0,0.019,0.0,19.69,79.28,0.09,17.05,78.84,0.0,19.51,81.83,0.09,17.49,79.1,-0.09,18.9,79.45,-0.09,17.31,79.89,-1.5,18.28,77.78,-1.41,15.55,80.25,1.5,18.01,83.06,1.59,16.08,80.6,1.41,17.4,77.95,-1.59,15.99,81.13,-1.0,-1.0,-0.4441,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.2526,-1.0,-0.2673,-1.0,-1.0,1.0,0.019,0.006,0.006,0.006,0.0,0.006,0.0,0.019,0.0,0.013,0.006,0.013,0.006,0.019,0.013,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031,0.0015,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0075,0.0038,0.0,0.0,-0.0045,0.0143,-0.0024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,run,0.61,4.39,-0.74,-0.65,-1.01,0.0,0.0,0.0,0.019,-0.35,19.6,79.1,0.09,16.96,79.01,0.09,19.34,82.35,0.26,17.49,79.37,0.09,18.81,79.1,-0.53,17.05,80.16,-3.0,19.78,79.28,-2.91,14.05,81.75,0.0,16.51,81.56,3.09,14.58,82.1,-0.09,15.9,79.45,-3.09,14.49,82.63,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0456,1.0,-1.0,-1.0,1.0,0.019,0.006,0.006,0.006,0.0,0.006,0.0,0.019,0.0,0.013,0.006,0.013,0.006,0.019,0.013,0.013,0.0,0.0,0.0,-0.0015,0.0,0.0,0.0,0.0015,0.0,0.0,0.0046,0.0,-0.0015,0.0,0.0,0.0,0.0,0.0,-0.0031,0.0046,0.0,-0.0025,0.0,0.0,0.0,0.0026,0.0,0.0,0.0075,0.0,-0.0025,0.0,0.0,0.0,0.0,0.0,-0.0053,0.0077,-0.0004,0.0022,-0.0003,0.0042,-0.011,-1.0,-1.0,-0.4441,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.2526,-1.0,-0.2673,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,run,0.44,4.38,-3.78,-1.25,0.54,0.0,0.0,0.0,0.019,-1.14,19.25,79.01,-0.26,16.44,79.54,0.09,18.63,82.97,0.97,16.79,80.16,0.7,18.11,78.49,-1.14,16.52,80.77,-4.5,21.28,78.27,-4.41,12.55,83.25,-1.5,18.01,83.06,4.59,13.08,83.6,-1.59,17.4,80.95,-4.59,12.99,84.13,-0.2549,1.0,0.1561,-1.0,-1.0,0.63,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.819,1.0,1.0,-1.0,-1.0,1.0,0.019,0.006,0.006,0.006,0.0,0.006,0.0,0.019,0.0,0.013,0.006,0.013,0.006,0.019,0.013,0.013,0.0,0.0,-0.0061,-0.0031,-0.0031,0.0,-0.0015,0.0046,0.0015,-0.0031,0.0138,0.0031,-0.0015,0.0046,0.0031,-0.0015,-0.0061,-0.0077,-0.0077,0.0092,-0.023,-0.0075,-0.0115,0.0,-0.0057,0.0133,0.0057,-0.0115,0.0398,0.0115,-0.0018,0.0172,0.0115,-0.0057,-0.023,-0.0287,-0.0209,0.0226,-0.0034,0.0007,-0.0129,-0.0114,-0.0177,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0456,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,run,0.32,4.5,-2.41,2.39,-2.62,0.0,0.0,0.0,0.026,-2.02,18.46,78.49,-1.32,15.56,80.77,0.79,18.02,83.32,2.11,16.0,81.04,0.88,17.31,78.4,-2.11,15.73,81.65,-6.0,22.78,79.77,-5.91,11.05,84.75,-3.0,19.51,84.56,6.09,11.58,85.1,-0.09,15.9,79.45,-6.09,11.49,85.63,-1.0,1.0,0.1876,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.3299,-1.0,-1.0,-1.0,1.0,0.013,0.013,0.0,0.019,0.026,0.006,0.0,0.013,0.006,0.019,0.026,0.019,0.006,0.019,0.006,0.013,0.006,0.0,-0.0199,-0.0092,-0.0046,-0.0061,-0.0107,0.0138,0.0015,-0.0153,0.0245,0.0153,-0.0138,0.0184,0.0138,-0.0138,-0.0169,-0.0184,-0.0169,0.0199,-0.0679,-0.0283,-0.0138,-0.023,-0.0386,0.0439,0.004,-0.0541,0.0681,0.0541,-0.0473,0.0639,0.0483,-0.0501,-0.0564,-0.0604,-0.0492,0.0561,-0.0178,0.0001,-0.0659,-0.0218,0.0094,-0.2549,1.0,0.1561,-1.0,-1.0,0.63,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.819,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,run,-0.15,4.34,-12.02,-3.84,-9.91,0.0,0.0,0.0,0.026,-3.25,18.63,78.49,-2.46,14.85,81.83,0.79,17.75,83.76,3.16,14.94,82.18,0.62,16.79,78.57,-3.43,14.59,82.79,-7.5,24.28,78.27,-7.41,9.55,86.25,-4.5,18.01,83.06,7.59,10.08,86.6,1.41,17.4,80.95,-7.59,9.99,87.13,-1.0,1.0,-0.3186,-1.0,-0.8501,1.0,-0.4609,0.1702,-0.3294,1.0,-1.0,1.0,1.0,0.8719,1.0,-1.0,-1.0,1.0,0.013,0.013,0.0,0.019,0.026,0.006,0.0,0.013,0.006,0.019,0.026,0.019,0.006,0.019,0.006,0.013,0.006,0.0,-0.0353,-0.023,-0.0138,-0.0245,-0.0261,0.0353,0.0138,-0.0261,0.0307,0.0353,-0.0276,0.0337,0.0169,-0.0276,-0.0184,-0.0353,-0.0307,0.0353,-0.1051,-0.0717,-0.0442,-0.0853,-0.0846,0.1114,0.0489,-0.0782,0.0707,0.1128,-0.085,0.1023,0.0454,-0.0869,-0.0452,-0.1057,-0.0863,0.0969,-0.028,0.0108,-0.0421,0.0418,-0.0457,-1.0,1.0,0.1876,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.3299,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,run,-0.67,4.5,-13.06,3.61,-6.24,0.0,0.0,0.0,0.026,-4.48,19.07,78.75,-3.69,13.45,83.23,0.7,17.75,84.2,4.48,13.45,83.5,0.09,16.26,79.28,-4.66,13.36,84.02,-9.0,25.78,79.77,-8.91,8.05,87.75,-6.0,19.51,84.56,9.09,8.58,88.1,2.91,15.9,82.45,-9.09,8.49,88.63,-1.0,1.0,0.9951,-1.0,-1.0,1.0,-1.0,1.0,0.6209,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.013,0.013,0.0,0.019,0.026,0.006,0.0,0.013,0.006,0.019,0.026,0.019,0.006,0.019,0.006,0.013,0.006,0.0,-0.0568,-0.0199,-0.0138,-0.0445,-0.0383,0.0537,0.0138,-0.0307,0.0383,0.0537,-0.046,0.0537,0.0123,-0.0368,-0.0153,-0.0583,-0.0506,0.0552,-0.1539,-0.0387,-0.031,-0.1342,-0.1051,0.1468,0.0342,-0.0719,0.0782,0.1477,-0.1283,0.1462,0.0146,-0.0952,-0.0202,-0.16,-0.1349,0.1424,-0.0694,-0.0038,-0.2098,-0.0671,-0.173,-1.0,1.0,-0.3186,-1.0,-0.8501,1.0,-0.4609,0.1702,-0.3294,1.0,-1.0,1.0,1.0,0.8719,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,run,-1.06,4.53,-11.22,0.5,-9.91,0.0,0.0,0.0,0.033,-5.8,19.86,79.28,-5.1,12.04,84.55,-0.44,18.11,84.64,5.71,12.22,84.81,0.0,15.91,80.24,-6.06,12.04,85.17,-8.31,27.28,81.27,-10.41,9.55,89.25,-4.5,18.01,83.06,10.59,7.08,89.6,1.41,14.4,83.95,-10.59,6.99,90.13,-0.2375,1.0,0.4311,-1.0,1.0,1.0,0.3405,-0.1854,-0.5804,1.0,-1.0,1.0,-0.3077,-1.0,1.0,-1.0,-1.0,1.0,0.006,0.033,0.006,0.013,0.019,0.006,0.013,0.006,0.006,0.019,0.013,0.019,0.006,0.006,0.013,0.006,0.006,0.006,-0.0782,-0.0123,-0.0092,-0.066,-0.0629,0.0782,0.0123,-0.0307,0.046,0.0767,-0.0721,0.0767,0.0031,-0.046,-0.0031,-0.0798,-0.0721,0.0767,-0.1886,0.0018,-0.0043,-0.1749,-0.1661,0.1952,0.0182,-0.0504,0.0836,0.1901,-0.1881,0.189,-0.0245,-0.1013,0.0321,-0.1929,-0.1754,0.1806,-0.1152,0.0107,-0.2279,0.0631,-0.1089,-1.0,1.0,0.9951,-1.0,-1.0,1.0,-1.0,1.0,0.6209,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,run,-1.56,4.64,-14.4,3.58,-14.02,0.0,0.0,0.0,0.033,-7.03,20.74,79.72,-6.5,10.81,85.96,-1.49,18.72,84.9,7.12,11.25,86.22,0.0,15.29,81.39,-7.65,10.63,86.48,-9.81,25.78,82.77,-11.91,8.05,87.75,-6.0,16.51,84.56,12.09,5.58,91.1,-0.09,12.9,85.45,-12.09,5.49,91.63,-0.7538,0.7158,0.2986,-1.0,-0.0993,-1.0,-1.0,-0.2579,0.4289,1.0,-1.0,1.0,-0.0766,-0.102,1.0,-1.0,-1.0,1.0,0.006,0.033,0.006,0.013,0.019,0.006,0.013,0.006,0.006,0.019,0.013,0.019,0.006,0.006,0.013,0.006,0.006,0.006,-0.1012,0.0015,0.0,-0.0905,-0.0874,0.1012,-0.0077,-0.0245,0.0537,0.0982,-0.0936,0.0997,0.0015,-0.0522,0.0138,-0.1043,-0.0951,0.0966,-0.2182,0.0529,0.0314,-0.2143,-0.2081,0.2228,-0.0619,-0.0123,0.0872,0.2135,-0.212,0.2184,-0.0229,-0.0939,0.0856,-0.2269,-0.2089,0.201,-0.1484,0.0135,-0.1958,0.0087,-0.173,-0.2375,1.0,0.4311,-1.0,1.0,1.0,0.3405,-0.1854,-0.5804,1.0,-1.0,1.0,-0.3077,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,run,-1.92,4.61,-10.99,-0.22,-13.99,0.0,0.0,0.0,0.033,-8.0,21.8,80.16,-7.82,9.84,87.28,-2.64,18.81,84.9,8.53,9.67,87.63,0.97,14.94,82.62,-8.88,9.4,87.8,-11.31,24.28,81.27,-13.41,9.55,89.25,-7.5,18.01,86.06,13.59,4.08,92.6,-1.59,11.4,86.95,-13.59,3.99,93.13,-1.0,0.0911,-0.4255,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.006,0.033,0.006,0.013,0.019,0.006,0.013,0.006,0.006,0.019,0.013,0.019,0.006,0.006,0.013,0.006,0.006,0.006,-0.1227,0.0169,0.0077,-0.115,-0.1089,0.1258,-0.0261,-0.0138,0.0583,0.1227,-0.1104,0.1243,0.0015,-0.0629,0.0337,-0.1319,-0.1197,0.1197,-0.233,0.0944,0.0506,-0.2417,-0.2259,0.2476,-0.1121,0.0315,0.0783,0.2411,-0.2115,0.2446,-0.016,-0.1059,0.1344,-0.262,-0.2379,0.2267,-0.1921,0.0223,-0.2514,0.0626,-0.2447,-0.7538,0.7158,0.2986,-1.0,-0.0993,-1.0,-1.0,-0.2579,0.4289,1.0,-1.0,1.0,-0.0766,-0.102,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,run,-2.41,4.46,-13.84,-2.74,-10.94,0.0,0.0,0.0,0.065,-9.05,22.76,80.86,-9.23,9.14,88.07,-3.96,18.72,85.08,9.93,8.26,89.03,1.05,13.89,84.02,-10.28,8.0,89.03,-12.81,22.78,82.5,-14.91,11.05,87.75,-9.0,16.51,87.56,15.09,2.58,94.1,-3.09,9.9,88.45,-15.09,2.49,94.63,-1.0,0.5018,0.2059,-1.0,0.8833,-0.3536,-1.0,-1.0,0.9383,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.013,0.065,0.006,0.019,0.013,0.006,0.019,0.026,0.0,0.013,0.019,0.019,0.006,0.0,0.006,0.013,0.006,0.006,-0.1396,0.0353,0.0153,-0.1381,-0.1258,0.1488,-0.046,-0.0123,0.0583,0.1473,-0.1381,0.1488,0.0184,-0.069,0.0552,-0.1534,-0.1411,0.1427,-0.2264,0.1352,0.0642,-0.2555,-0.2215,0.2597,-0.1533,0.0278,0.0548,0.2609,-0.2516,0.2633,0.0521,-0.0971,0.1747,-0.264,-0.2471,0.2451,-0.2236,0.0201,-0.1918,-0.0039,-0.2442,-1.0,0.0911,-0.4255,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
