time/fps,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/approx_kl,train/value_loss,train/entropy_loss,train/clip_fraction,train/std,train/loss
5730,1,300.0,2,16384,319.0172424316406,,,,,,,,,,,
5133,2,300.0,6,32768,311.7420959472656,0.0003,10,0.2,-0.2186281681060791,0.00021214159205555915,0.0496663,0.16002999210031704,5.0437563672661785,0.482452392578125,0.18287216126918793,0.13035236299037933
4944,3,300.0,9,49152,323.3460998535156,0.0003,20,0.2,0.6273002624511719,-0.0011202572859474458,0.04974433,0.021980032953433693,5.028977292776108,0.46734619140625,0.18294355273246765,0.006638650316745043
4889,4,300.0,13,65536,312.62567138671875,0.0003,30,0.2,0.8297119736671448,-0.0029946942944661715,0.048540175,0.017842409064178354,5.021472476422787,0.47449951171875,0.1830577850341797,-0.0003036963753402233
4829,5,300.0,16,81920,312.7169189453125,0.0003,40,0.2,0.9008187055587769,-0.002952217002894031,0.050721258,0.015332685975590721,5.01010224968195,0.470196533203125,0.18324105441570282,0.0010155728086829185
4737,6,300.0,20,98304,294.7324523925781,0.0003,50,0.2,0.9284281134605408,-0.005272593970585149,0.050068274,0.015028952027205379,5.024715994298458,0.472705078125,0.1828778088092804,-0.006497264839708805
4692,7,300.0,24,114688,277.1817932128906,0.0003,60,0.2,0.9507509469985962,-0.003848494331759866,0.054526,0.014463047936442309,5.0660686701536175,0.472564697265625,0.1825179010629654,-0.0149030527099967
4691,8,300.0,27,131072,286.54364013671875,0.0003,70,0.2,0.9555597305297852,-0.005026064704725286,0.05176259,0.014234398488770238,5.093534903228283,0.4695068359375,0.18231000006198883,-0.018732495605945587
4693,9,300.0,31,147456,305.3932800292969,0.0003,80,0.2,0.9639439582824707,-0.005448634250205942,0.051614016,0.011339924229832831,5.089977021515369,0.4674072265625,0.18231536448001862,-0.005514618940651417
4697,10,300.0,34,163840,303.5885314941406,0.0003,90,0.2,0.9745871424674988,-0.007614676778030116,0.060876228,0.011334589966281783,5.077189765870571,0.4914306640625,0.182533398270607,-0.016522269695997238
4698,11,300.0,38,180224,286.74224853515625,0.0003,100,0.2,0.9784916639328003,-0.00802675293525681,0.05640427,0.010912992278463207,5.101138344407081,0.484796142578125,0.1821414828300476,-0.009170139208436012
4702,12,300.0,41,196608,285.132080078125,0.0003,110,0.2,0.9745729565620422,-0.009544832693063655,0.05964329,0.011368799253250472,5.1436116099357605,0.489154052734375,0.18172454833984375,-0.009986705146729946
4708,13,300.0,45,212992,304.3569641113281,0.0003,120,0.2,0.9783034920692444,-0.008827343614393612,0.055696577,0.009777984395623208,5.166937059164047,0.484149169921875,0.18151074647903442,-0.005312749650329351
4710,14,300.0,48,229376,291.2872009277344,0.0003,130,0.2,0.9844211339950562,-0.009950871519686188,0.058616966,0.009039661417773459,5.186353647708893,0.490789794921875,0.1812780797481537,-0.0302467942237854
4712,15,300.0,52,245760,283.3605651855469,0.0003,140,0.2,0.9806824922561646,-0.007907103077013745,0.059039697,0.010585646946856287,5.22091656178236,0.492816162109375,0.18099480867385864,-0.0037414059042930603
4718,16,300.0,55,262144,309.5227966308594,0.0003,150,0.2,0.9869353771209717,-0.009576161193399458,0.06114243,0.009413334784039763,5.25577025860548,0.496002197265625,0.18059638142585754,-0.021824387833476067
4723,17,300.0,58,278528,303.9510498046875,0.0003,160,0.2,0.9828999638557434,-0.006246131760417484,0.05808351,0.007837772771017626,5.262904536724091,0.49229736328125,0.18066205084323883,-0.005042780190706253
4728,18,300.0,62,294912,310.03326416015625,0.0003,170,0.2,0.9847590327262878,-0.010756113106617704,0.060784884,0.008965528305270708,5.278200323879719,0.50704345703125,0.18041777610778809,-0.006091493181884289
4722,19,300.0,65,311296,281.1108703613281,0.0003,180,0.2,0.9858036041259766,-0.00978407089569373,0.062028848,0.008354037189565133,5.30267512947321,0.48917236328125,0.18014571070671082,-0.024561403319239616
4721,20,300.0,69,327680,281.2837829589844,0.0003,190,0.2,0.9822449088096619,-0.007487169779051328,0.06643109,0.011064731868100353,5.288114333152771,0.513775634765625,0.1804511994123459,-0.008874041959643364
4729,21,300.0,72,344064,312.7755126953125,0.0003,200,0.2,0.9865410327911377,-0.008658697817736538,0.0679635,0.00872913768980652,5.2845574274659155,0.51180419921875,0.18035787343978882,-0.022522151470184326
4734,22,300.0,76,360448,316.3941650390625,0.0003,210,0.2,0.9855396747589111,-0.01043492947719642,0.06478404,0.008397609263192862,5.296508188545704,0.508984375,0.18021215498447418,-0.016889167949557304
4741,23,300.0,79,376832,320.5823974609375,0.0003,220,0.2,0.9880145192146301,-0.007542106887558475,0.06566084,0.008465510203677695,5.321758671104908,0.50501708984375,0.17991197109222412,-0.014997182413935661
4743,24,300.0,82,393216,321.51849365234375,0.0003,230,0.2,0.9866482615470886,-0.009635146200162125,0.063967384,0.007696544258214999,5.348082673549652,0.50284423828125,0.17969411611557007,-0.008227599784731865
4745,25,300.0,86,409600,315.3545837402344,0.0003,240,0.2,0.9870404601097107,-0.010730422953201924,0.064421885,0.008105615178646986,5.349063727259636,0.50245361328125,0.1797540932893753,-0.02154250256717205
4747,26,300.0,89,425984,281.33209228515625,0.0003,250,0.2,0.9873273968696594,-0.011214888033646276,0.07596915,0.00857522518344922,5.354828649759293,0.529364013671875,0.17964284121990204,-0.02760210819542408
4746,27,300.0,93,442368,316.3807678222656,0.0003,260,0.2,0.9883743524551392,-0.01290177558112191,0.07581588,0.00793474114034325,5.389847202599048,0.531719970703125,0.17921598255634308,-0.03633792698383331
4745,28,300.0,96,458752,318.15838623046875,0.0003,270,0.2,0.9910880327224731,-0.008523539611633168,0.068158254,0.00664270873676287,5.435436242818833,0.522601318359375,0.1787450760602951,-0.01960330829024315
4748,29,300.0,100,475136,317.85089111328125,0.0003,280,0.2,0.9891952276229858,-0.010120995283068623,0.06763282,0.008328380004968494,5.479590559005738,0.52723388671875,0.17837460339069366,-0.017979728057980537
4754,30,300.0,103,491520,317.9116516113281,0.0003,290,0.2,0.9910116791725159,-0.009612579336680938,0.07023768,0.007764093521109317,5.511187860369683,0.52269287109375,0.17815004289150238,-0.023758476600050926
4754,31,300.0,106,507904,296.6825256347656,0.0003,300,0.2,0.9897423386573792,-0.010096499571955065,0.07056818,0.007213043398223817,5.523021800816059,0.519671630859375,0.17795051634311676,-0.010801594704389572
4756,32,300.0,110,524288,297.1748962402344,0.0003,310,0.2,0.9893752336502075,-0.008351088824565523,0.07356947,0.009038670799054672,5.5661780595779415,0.531640625,0.17746257781982422,-0.033553723245859146
4755,33,300.0,113,540672,300.4171142578125,0.0003,320,0.2,0.9881736636161804,-0.01154680189647479,0.084135234,0.007502708463289309,5.602473020553589,0.5461669921875,0.1771783083677292,-0.017899299040436745
4758,34,300.0,117,557056,309.06561279296875,0.0003,330,0.2,0.9856782555580139,-0.008527853484702063,0.08445502,0.007972953021817376,5.63913926333189,0.548187255859375,0.17677265405654907,-0.024339420720934868
4759,35,300.0,120,573440,312.17205810546875,0.0003,340,0.2,0.9895246624946594,-0.006827124987466959,0.07848086,0.007578667122288607,5.704604095220565,0.535125732421875,0.1760326474905014,-0.014782161451876163
4761,36,300.0,123,589824,315.0530700683594,0.0003,350,0.2,0.98779296875,-0.01029186926461989,0.083749354,0.008051646016247105,5.737984779477119,0.558819580078125,0.17580954730510712,0.0032995184883475304
4755,37,300.0,127,606208,336.0590515136719,0.0003,360,0.2,0.9914992451667786,-0.010769910144153983,0.07795907,0.00596509915558272,5.770298303663731,0.535260009765625,0.1755743771791458,-0.03416468948125839
4751,38,300.0,131,622592,329.64312744140625,0.0003,370,0.2,0.9889588952064514,-0.00909060619014781,0.07602161,0.006669929115014383,5.775432679057121,0.52769775390625,0.17559781670570374,-0.02592388726770878
4751,39,300.0,134,638976,311.6856689453125,0.0003,380,0.2,0.9903243184089661,-0.009598920771531993,0.082404405,0.0066115124674979596,5.800217452645302,0.53756103515625,0.1752285212278366,-0.020129038020968437
4750,40,300.0,137,655360,317.5644836425781,0.0003,390,0.2,0.9872056841850281,-0.009605619520880283,0.083633006,0.007201188654289581,5.831559109687805,0.55635986328125,0.1750253140926361,-0.026181388646364212
4743,41,300.0,141,671744,315.3718566894531,0.0003,400,0.2,0.9907559156417847,-0.007730542576609878,0.085477136,0.005918746625684435,5.858691719174385,0.55120849609375,0.17463497817516327,-0.022652242332696915
4741,42,300.0,145,688128,315.767333984375,0.0003,410,0.2,0.9892536401748657,-0.006317855579982279,0.08382639,0.006973920090240426,5.885921250283718,0.55889892578125,0.1744971126317978,-0.0017317316960543394
4744,43,300.0,148,704512,305.454345703125,0.0003,420,0.2,0.9879224896430969,-0.006907663704623701,0.080854625,0.00665900783642428,5.894990360736847,0.551495361328125,0.17436639964580536,-0.012535114772617817
4748,44,300.0,151,720896,318.95184326171875,0.0003,430,0.2,0.9888753890991211,-0.009308722096466226,0.091214724,0.0074384144973009825,5.921538731455803,0.5660400390625,0.17417509853839874,-0.01908934861421585
4751,45,300.0,155,737280,326.3637390136719,0.0003,440,0.2,0.9892233610153198,-0.0069829807849600915,0.07699812,0.005573776285018539,5.937053367495537,0.5466552734375,0.17412012815475464,-0.018942497670650482
4754,46,300.0,158,753664,332.57550048828125,0.0003,450,0.2,0.9892631769180298,-0.007494838192360476,0.08843928,0.006582234328379855,5.965879313647747,0.563726806640625,0.17370165884494781,-0.022684605792164803
4751,47,300.0,162,770048,327.6783142089844,0.0003,460,0.2,0.9921557307243347,-0.00834766780535574,0.08384289,0.004911504065967165,5.981909015774727,0.55284423828125,0.1735127717256546,-0.043526437133550644
4754,48,300.0,165,786432,329.8803405761719,0.0003,470,0.2,0.9932219386100769,-0.008402293623657898,0.087512165,0.005839871381613193,5.9954106554389,0.562933349609375,0.17346374690532684,-0.035645585507154465
4757,49,300.0,168,802816,321.8858337402344,0.0003,480,0.2,0.9880392551422119,-0.009436933136021253,0.08396059,0.00591488125428441,6.00009848177433,0.548919677734375,0.17346952855587006,-0.011277731508016586
4758,50,300.0,172,819200,300.4927062988281,0.0003,490,0.2,0.988791823387146,-0.008192460813006619,0.09111089,0.006696581100550247,6.029026152193547,0.576165771484375,0.17299892008304596,-0.020685499534010887
4760,51,300.0,175,835584,308.467529296875,0.0003,500,0.2,0.9912756681442261,-0.008781771656504133,0.09065388,0.006515427152771735,6.0685799539089205,0.56861572265625,0.17274528741836548,-0.03166854381561279
4761,52,300.0,178,851968,312.340576171875,0.0003,510,0.2,0.9847680926322937,-0.006894440751057118,0.087978564,0.007256854182924144,6.081090292334556,0.5762939453125,0.17270615696907043,-0.019033199176192284
4763,53,300.0,182,868352,323.8003845214844,0.0003,520,0.2,0.9903689026832581,-0.005613777325197589,0.08982693,0.006367943084478611,6.098036883771419,0.5603759765625,0.17254073917865753,-0.01614992879331112
4768,54,300.0,185,884736,342.49566650390625,0.0003,530,0.2,0.9898066520690918,-0.00802329481302877,0.08768191,0.005882225372624816,6.078464014828205,0.57119140625,0.17268170416355133,-0.02383679524064064
4769,55,300.0,188,901120,329.8746032714844,0.0003,540,0.2,0.9911050200462341,-0.006504377364763059,0.088387586,0.0052153698918118606,6.07121452987194,0.560540771484375,0.17276334762573242,-0.012558508664369583
4767,56,300.0,192,917504,319.250732421875,0.0003,550,0.2,0.988723635673523,-0.010949116211850195,0.0919183,0.006675167482171673,6.0746291249990465,0.573419189453125,0.1727582812309265,-0.018981749191880226
4767,57,300.0,195,933888,304.41192626953125,0.0003,560,0.2,0.9832816123962402,-0.00821526416038978,0.09272981,0.006109696060593706,6.114617817103863,0.57568359375,0.17220745980739594,-0.025495558977127075
4769,58,300.0,199,950272,302.0177001953125,0.0003,570,0.2,0.9880004525184631,-0.00904489728854969,0.093754455,0.007574171705346089,6.1371680974960325,0.580865478515625,0.17217034101486206,-0.021526668220758438
4771,59,300.0,202,966656,298.7469787597656,0.0003,580,0.2,0.990595817565918,-0.0065241619173320945,0.09392589,0.006503616907866672,6.13916872292757,0.566143798828125,0.17204195261001587,-0.026956547051668167
4773,60,300.0,205,983040,330.8623352050781,0.0003,590,0.2,0.9846357107162476,-0.008744953016139334,0.09555526,0.006870488426648081,6.149361126124859,0.575189208984375,0.17193230986595154,-0.00334075465798378
4774,61,300.0,209,999424,334.9906005859375,0.0003,600,0.2,0.9926055669784546,-0.009736377024455577,0.08610122,0.004881949877017178,6.1728172019124035,0.55360107421875,0.1717783361673355,-0.025723837316036224
4775,62,300.0,212,1015808,296.13818359375,0.0003,610,0.2,0.9914960265159607,-0.008754512976884144,0.10178274,0.007223912655899767,6.186053572595119,0.5795654296875,0.17169176042079926,-0.0005914168432354927
4777,63,300.0,216,1032192,307.7423095703125,0.0003,620,0.2,0.9903751015663147,-0.008226189608831192,0.10091802,0.0062010875590203796,6.218858739733696,0.59051513671875,0.17124629020690918,-0.007364884950220585
4776,64,300.0,219,1048576,321.6875915527344,0.0003,630,0.2,0.9905543923377991,-0.0076603109773714095,0.09467363,0.006363001255522249,6.235632188618183,0.578424072265625,0.17120085656642914,-0.013779927976429462
4776,65,300.0,222,1064960,312.42987060546875,0.0003,640,0.2,0.9941400289535522,-0.005241736424068222,0.097287655,0.005863894682988757,6.264233453571796,0.57410888671875,0.17081598937511444,-0.011252929456532001
4780,66,300.0,226,1081344,329.4335632324219,0.0003,650,0.2,0.9909056425094604,-0.004626997106242925,0.10406144,0.00652006967284251,6.314748108386993,0.592919921875,0.17035514116287231,0.006227458827197552
4778,67,300.0,229,1097728,317.7914123535156,0.0003,660,0.2,0.9889562129974365,-0.005831622389086988,0.101714656,0.00613154086531722,6.340244381129741,0.584027099609375,0.17008870840072632,-0.019431553781032562
4778,68,300.0,233,1114112,300.1746826171875,0.0003,670,0.2,0.991769552230835,-0.006868366635899292,0.10613391,0.007189483854745049,6.406179700791836,0.592578125,0.16942089796066284,-0.007928410544991493
4779,69,300.0,236,1130496,302.49407958984375,0.0003,680,0.2,0.99135422706604,-0.010299107649188954,0.10466244,0.006315339215507265,6.437204825878143,0.585198974609375,0.16915124654769897,-0.013669805601239204
4783,70,300.0,239,1146880,326.1274719238281,0.0003,690,0.2,0.9928604960441589,-0.006085897265074891,0.1058221,0.0066934783419128506,6.474000716209412,0.5891845703125,0.16886231303215027,-0.02240833453834057
4785,71,300.0,243,1163264,327.4332580566406,0.0003,700,0.2,0.9939351677894592,-0.01015213639839203,0.100238234,0.004750105866696686,6.5127618804574015,0.573828125,0.16834938526153564,-0.023944446817040443
4786,72,300.0,246,1179648,300.1368408203125,0.0003,710,0.2,0.9886801242828369,-0.008945838162617292,0.09440549,0.006945225944946287,6.522513960301876,0.58182373046875,0.16856645047664642,-0.005112980492413044
4787,73,300.0,249,1196032,305.60009765625,0.0003,720,0.2,0.9930381774902344,-0.006233487255667569,0.10456867,0.006356052050250582,6.510694129765033,0.582379150390625,0.16852819919586182,-0.027477487921714783
4787,74,300.0,253,1212416,313.7699279785156,0.0003,730,0.2,0.9917295575141907,-0.005435167358518811,0.10239128,0.0055972754409594925,6.517073753476143,0.594696044921875,0.16863897442817688,-0.032034508883953094
