t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,1.32,0.79,0.25,0.24,0.5,0.0,0.0,0.0,0.026,-0.35,19.95,69.43,-0.26,19.78,68.73,0.0,20.92,70.66,0.44,19.78,68.64,0.09,20.57,69.08,0.09,20.39,68.91,-1.68,18.63,67.93,-1.76,18.54,70.41,1.5,19.42,71.9,1.76,18.63,70.32,-1.41,19.15,67.58,-1.41,18.89,70.41,-0.9734,-1.0,-0.4161,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.1909,-1.0,-0.599,-1.0,-1.0,1.0,0.0,0.0,0.006,0.006,0.0,0.026,0.0,0.013,0.0,0.0,0.0,0.019,0.019,0.013,0.013,0.013,0.006,0.006,-0.0031,-0.0031,0.0,0.0,-0.0031,-0.0031,0.0,0.0,0.0,0.0031,-0.0061,-0.0031,0.0,-0.0015,0.0,0.0,0.0,0.0,-0.0064,-0.0075,0.0,0.0,-0.0075,-0.0064,0.0,0.0,0.0,0.0069,-0.015,-0.0064,0.0,-0.0038,0.0,0.0,0.0,0.0,0.0,0.0,-0.0084,-0.0002,0.0552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,run,0.73,0.76,-0.4,-0.02,0.37,0.0,0.0,0.0,0.045,-3.34,19.07,69.43,-3.08,17.14,71.72,0.18,18.28,71.63,3.34,16.79,71.63,-2.64,17.75,68.91,-2.81,17.49,71.54,-3.18,20.13,69.43,-3.26,17.04,71.91,0.0,17.92,70.4,3.26,17.13,71.82,-2.91,17.65,69.08,-2.91,17.39,71.91,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.5195,1.0,-1.0,-1.0,1.0,0.0,0.033,0.0,0.0,0.0,0.006,0.006,0.013,0.045,0.0,0.006,0.006,0.013,0.0,0.006,0.0,0.0,0.006,-0.0031,-0.0031,0.0,0.0,-0.0046,-0.0031,0.0,0.0,0.0046,0.0031,-0.0061,-0.0031,0.0,-0.0015,0.0,0.0,0.0,0.0,-0.0045,-0.0053,0.0,0.0,-0.0078,-0.0045,0.0,0.0,0.0075,0.0049,-0.0105,-0.0045,0.0,-0.0026,0.0,0.0,0.0,0.0,0.0019,0.0018,0.0044,0.0042,0.0087,-0.9734,-1.0,-0.4161,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.1909,-1.0,-0.599,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,run,0.74,0.75,0.09,0.05,0.18,0.0,0.0,0.0,0.045,-3.34,19.07,69.43,-3.08,17.14,71.72,0.18,18.28,71.63,3.34,16.79,71.63,-2.64,17.75,68.91,-2.81,17.49,71.54,-3.63,18.63,70.93,-4.76,15.54,73.41,-1.5,19.42,71.9,4.76,15.63,73.32,-4.41,19.15,70.58,-4.41,15.89,73.41,-0.1037,0.5189,0.5018,-1.0,-1.0,0.482,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.033,0.0,0.0,0.0,0.006,0.006,0.013,0.045,0.0,0.006,0.006,0.013,0.0,0.006,0.0,0.0,0.006,-0.0552,-0.0184,0.0,-0.0491,-0.0506,0.0491,0.0031,-0.046,0.0215,0.0537,-0.0583,0.0491,-0.0476,-0.0506,-0.0031,-0.0506,-0.0506,0.046,-0.0045,-0.0053,0.0,0.0,-0.0078,-0.0045,0.0,0.0,0.0075,0.0049,-0.0105,-0.0045,0.0,-0.0026,0.0,0.0,0.0,0.0,-0.0501,-0.0014,-0.0071,-0.0003,0.0064,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.5195,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,run,0.77,0.74,0.93,-0.35,-0.1,0.0,0.0,0.0,0.045,-3.34,19.07,69.43,-3.08,16.88,71.72,0.18,18.28,71.63,3.34,16.79,71.72,-2.64,17.75,68.91,-2.9,17.49,71.54,-5.13,20.13,72.43,-6.26,14.04,74.91,-3.0,17.92,73.4,6.26,14.13,74.82,-5.91,17.65,69.08,-5.91,14.39,74.91,-1.0,0.9252,0.1626,-1.0,-1.0,1.0,-1.0,0.6045,1.0,1.0,-1.0,1.0,-0.3543,-0.1236,-1.0,-1.0,-1.0,1.0,0.0,0.033,0.0,0.0,0.0,0.006,0.006,0.013,0.045,0.0,0.006,0.006,0.013,0.0,0.006,0.0,0.0,0.006,-0.0552,-0.0184,0.0,-0.0491,-0.0506,0.0491,0.0031,-0.046,0.0215,0.0537,-0.0583,0.0491,-0.0476,-0.0506,-0.0031,-0.0506,-0.0506,0.046,-0.0031,-0.0037,0.0,0.0,-0.0054,-0.0031,0.0,0.0,0.0053,0.0034,-0.0074,-0.0031,0.0,-0.0018,0.0,0.0,0.0,0.0,-0.0485,-0.0016,0.0016,0.0009,0.0031,-0.1037,0.5189,0.5018,-1.0,-1.0,0.482,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,run,0.76,0.59,0.95,-3.53,-5.07,0.0,0.0,0.0,0.045,-3.87,19.07,69.79,-3.43,16.44,72.07,-0.35,18.28,71.63,3.34,16.44,71.98,-3.16,17.75,68.91,-3.52,17.14,71.89,-6.63,21.63,73.93,-7.76,12.54,76.41,-4.5,16.42,71.9,7.76,12.63,76.32,-7.41,19.15,70.58,-7.41,12.89,76.41,-1.0,0.9542,0.2988,-1.0,-0.6445,1.0,-1.0,-0.9657,-0.2573,1.0,-1.0,1.0,-1.0,0.8967,1.0,-1.0,-1.0,1.0,0.0,0.045,0.0,0.006,0.0,0.019,0.013,0.026,0.0,0.026,0.0,0.026,0.026,0.0,0.006,0.006,0.013,0.013,-0.0552,-0.0184,0.0,-0.0491,-0.0552,0.0491,0.0031,-0.046,0.0215,0.0537,-0.0583,0.0506,-0.0476,-0.0506,-0.0031,-0.0522,-0.0506,0.046,-0.0022,-0.0026,0.0,0.0,-0.0209,-0.0022,0.0,0.0,0.0037,0.0024,-0.0052,0.0035,0.0,-0.0013,0.0,-0.0057,0.0,0.0,-0.0462,-0.0029,0.0163,-0.0061,-0.0017,-1.0,0.9252,0.1626,-1.0,-1.0,1.0,-1.0,0.6045,1.0,1.0,-1.0,1.0,-0.3543,-0.1236,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,run,0.63,0.46,-2.35,-4.31,-6.38,0.0,0.0,0.0,0.045,-4.66,19.16,70.4,-4.04,15.73,72.86,-0.97,18.02,71.81,4.48,15.64,72.77,-3.96,17.67,68.99,-4.22,16.7,72.6,-8.13,20.13,75.43,-9.26,11.04,77.91,-6.0,17.92,73.4,9.26,11.13,77.82,-8.91,17.65,72.08,-8.91,11.39,77.91,-1.0,0.1626,0.9568,-1.0,-1.0,0.3683,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.3758,1.0,-1.0,-1.0,1.0,0.0,0.045,0.0,0.006,0.0,0.019,0.013,0.026,0.0,0.026,0.0,0.026,0.026,0.0,0.006,0.006,0.013,0.013,-0.0644,-0.0184,0.0061,-0.0552,-0.0629,0.0552,-0.0061,-0.046,0.0215,0.0537,-0.0644,0.0552,-0.0568,-0.0506,-0.0031,-0.0629,-0.0568,0.0522,-0.036,-0.0018,0.023,-0.023,-0.0434,0.0215,-0.0345,0.0,0.0026,0.0017,-0.0266,0.0197,-0.0345,-0.0009,0.0,-0.0442,-0.023,0.023,-0.0472,-0.0158,0.0165,-0.0616,-0.0886,-1.0,0.9542,0.2988,-1.0,-0.6445,1.0,-1.0,-0.9657,-0.2573,1.0,-1.0,1.0,-1.0,0.8967,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,run,0.63,0.17,-0.14,-8.9,-9.47,0.0,0.0,0.0,0.045,-5.71,19.51,71.28,-4.92,14.77,74.0,-1.85,17.4,72.25,5.27,14.68,73.74,-4.92,17.67,69.43,-5.27,15.91,73.56,-9.63,18.63,76.93,-10.76,9.54,79.41,-7.5,16.42,74.9,10.76,9.63,79.32,-10.41,16.15,70.58,-10.41,9.89,79.41,-1.0,-0.5787,0.2894,-1.0,-0.919,1.0,-1.0,0.4506,1.0,1.0,-1.0,1.0,-1.0,-0.4371,-1.0,-1.0,-1.0,1.0,0.0,0.045,0.0,0.006,0.0,0.019,0.013,0.026,0.0,0.026,0.0,0.026,0.026,0.0,0.006,0.006,0.013,0.013,-0.0782,-0.0169,0.0169,-0.066,-0.0752,0.069,-0.0169,-0.0506,0.0245,0.0736,-0.0782,0.069,-0.0706,-0.0522,-0.0015,-0.0752,-0.0644,0.0644,-0.0772,0.0045,0.0565,-0.0565,-0.0766,0.067,-0.0646,-0.0173,0.0134,0.0763,-0.0706,0.0658,-0.0762,-0.0064,0.0058,-0.0772,-0.045,0.0623,-0.0581,-0.0271,-0.041,-0.0752,-0.1113,-1.0,0.1626,0.9568,-1.0,-1.0,0.3683,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,0.3758,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,run,0.61,0.05,-0.72,-3.93,-13.9,0.0,0.0,0.0,0.045,-6.94,19.69,72.51,-6.15,13.62,75.32,-3.08,16.96,72.86,6.59,13.45,75.06,-6.24,17.67,69.96,-6.59,14.5,74.79,-11.13,17.13,78.43,-12.26,8.04,80.91,-9.0,14.92,73.4,12.26,8.13,80.82,-11.91,17.65,72.08,-11.91,8.39,80.91,-1.0,-1.0,0.8302,-1.0,-0.1651,1.0,-1.0,-0.1256,-0.2687,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.006,0.039,0.013,0.026,0.0,0.026,0.019,0.019,0.0,0.033,0.0,0.026,0.039,0.006,0.019,0.013,0.013,0.019,-0.0966,-0.0107,0.0322,-0.0813,-0.092,0.089,-0.0322,-0.0614,0.0322,0.0874,-0.0951,0.0859,-0.0874,-0.0522,0.0061,-0.0936,-0.0782,0.0813,-0.1228,0.0261,0.0969,-0.0969,-0.1167,0.1214,-0.1025,-0.0522,0.038,0.105,-0.1125,0.1091,-0.1163,-0.0045,0.0327,-0.1228,-0.0831,0.1067,-0.0585,-0.0522,-0.0024,-0.1553,-0.1653,-1.0,-0.5787,0.2894,-1.0,-0.919,1.0,-1.0,0.4506,1.0,1.0,-1.0,1.0,-1.0,-0.4371,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,run,0.68,-0.22,2.26,-7.49,-10.15,0.0,0.0,0.0,0.045,-8.35,19.69,73.83,-7.56,12.3,76.82,-4.39,16.61,73.56,7.82,12.13,76.55,-7.56,17.31,70.4,-8.0,13.1,76.2,-12.63,15.63,79.93,-13.76,6.54,82.41,-10.5,16.42,74.9,13.76,6.63,82.32,-13.41,16.15,73.58,-13.41,6.89,82.41,-1.0,-1.0,0.5897,-1.0,-1.0,0.2123,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,0.6607,-1.0,-1.0,1.0,0.006,0.039,0.013,0.026,0.0,0.026,0.019,0.019,0.0,0.033,0.0,0.026,0.039,0.006,0.019,0.013,0.013,0.019,-0.1181,-0.0077,0.0537,-0.1028,-0.112,0.112,-0.0537,-0.069,0.043,0.1104,-0.1166,0.1089,-0.1104,-0.0522,0.0153,-0.1166,-0.1028,0.1028,-0.1665,0.0298,0.1483,-0.1483,-0.1564,0.1713,-0.1523,-0.0653,0.0669,0.1597,-0.1592,0.1626,-0.1677,-0.0031,0.0574,-0.1722,-0.1502,0.1552,-0.0605,-0.0634,-0.0125,-0.0685,-0.2426,-1.0,-1.0,0.8302,-1.0,-0.1651,1.0,-1.0,-0.1256,-0.2687,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,run,1.0,-0.42,9.03,-6.68,-5.95,0.0,0.0,0.0,0.045,-9.67,19.69,74.79,-8.88,10.81,78.22,-5.8,15.91,74.18,9.05,10.63,77.96,-8.88,17.23,71.1,-9.49,11.78,77.61,-14.13,14.13,81.43,-15.26,5.04,83.91,-12.0,14.92,76.4,15.26,5.13,83.82,-14.91,17.65,75.08,-14.91,5.39,83.91,-1.0,-1.0,1.0,-1.0,-0.6051,1.0,-1.0,-0.4097,1.0,1.0,-1.0,1.0,-1.0,0.7992,1.0,-1.0,-1.0,1.0,0.006,0.039,0.013,0.026,0.0,0.026,0.019,0.019,0.0,0.033,0.0,0.026,0.039,0.006,0.019,0.013,0.013,0.019,-0.1427,-0.0077,0.0767,-0.1273,-0.135,0.1381,-0.0767,-0.0752,0.0552,0.1319,-0.1396,0.135,-0.1335,-0.0583,0.023,-0.1411,-0.1273,0.1273,-0.2085,0.0208,0.19,-0.1958,-0.1957,0.2176,-0.1928,-0.0687,0.0928,0.1923,-0.1977,0.2115,-0.2036,-0.0252,0.0689,-0.2125,-0.1971,0.2006,-0.0542,-0.0867,0.0394,-0.1308,-0.1772,-1.0,-1.0,0.5897,-1.0,-1.0,0.2123,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,0.6607,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
