t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,-0.54,0.87,0.19,0.65,0.96,0.0,-0.0,0.0,0.019,-0.09,19.25,79.54,0.18,16.52,79.28,-0.44,19.42,79.72,0.09,16.79,78.75,-0.09,18.54,79.63,0.0,17.58,78.75,-1.59,17.75,77.95,-1.32,15.2,80.51,1.06,17.92,81.22,1.59,15.55,80.34,1.41,17.22,78.13,-1.5,16.25,80.16,-1.0,-1.0,-0.3783,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.2172,-1.0,-0.3395,-1.0,-1.0,1.0,0.019,0.006,0.006,0.006,0.0,0.006,0.006,0.013,0.006,0.006,0.0,0.013,0.013,0.006,0.013,0.019,0.006,0.006,0.0,0.0,0.0015,0.0,-0.0031,0.0046,0.0,0.0,0.0,0.0,-0.0046,-0.0015,0.0,-0.0031,0.0015,0.0,-0.0031,0.0015,0.0,0.0,0.0038,0.0,-0.0075,0.0113,0.0,0.0,0.0,0.0,-0.0113,-0.0032,0.0,-0.007,0.0038,0.0,-0.0075,0.0038,0.0,0.0,0.0011,-0.0059,0.0152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.04,run,-0.58,0.88,0.21,-0.48,0.22,0.0,-0.0,0.0,0.019,-0.35,19.07,79.37,0.09,16.44,79.63,-0.44,19.07,79.8,0.18,16.52,79.1,-0.09,18.28,79.37,-0.26,17.49,78.84,-3.09,19.25,79.45,-2.82,13.7,82.01,-0.44,16.42,79.72,3.09,14.05,81.84,-0.09,15.72,79.63,-3.0,14.75,81.66,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.2451,1.0,-1.0,-1.0,1.0,0.019,0.006,0.006,0.006,0.0,0.006,0.006,0.013,0.006,0.006,0.0,0.013,0.013,0.006,0.013,0.019,0.006,0.006,0.0,0.0,0.0015,0.0,-0.0031,0.0046,0.0,0.0,0.0,0.0,-0.0046,-0.0015,0.0,-0.0031,0.0,0.0,-0.0031,0.0015,0.0,0.0,0.0026,0.0,-0.0053,0.0079,0.0,0.0,0.0,0.0,-0.0079,-0.0022,0.0,-0.0049,0.0001,0.0,-0.0053,0.0026,0.0011,0.0045,0.0033,0.0114,0.0167,-1.0,-1.0,-0.3783,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.2172,-1.0,-0.3395,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.08,run,-0.77,0.96,-3.3,1.42,2.15,0.0,-0.0,0.0,0.019,-1.23,18.54,78.75,-0.18,15.82,80.24,0.09,18.28,80.33,1.05,15.91,79.63,0.79,17.75,79.01,-0.97,16.88,79.37,-4.59,20.75,80.69,-4.32,12.2,83.51,-1.94,17.92,81.22,4.59,12.55,83.34,-1.59,17.22,81.13,-4.5,13.25,83.16,-0.322,1.0,0.1846,-1.0,-1.0,0.4945,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.7877,1.0,1.0,-1.0,-1.0,1.0,0.019,0.006,0.006,0.006,0.0,0.006,0.006,0.013,0.006,0.006,0.0,0.013,0.013,0.006,0.013,0.019,0.006,0.006,-0.0046,-0.0031,-0.0015,-0.0015,-0.0046,0.0107,0.0,-0.0061,0.0015,0.0015,-0.0092,0.0046,0.0,-0.0077,-0.0046,-0.0046,-0.0046,0.0031,-0.0173,-0.0115,-0.0097,-0.0058,-0.0095,0.0286,0.0,-0.0231,0.0058,0.0058,-0.0228,0.0215,0.0,-0.0207,-0.0172,-0.0173,-0.0095,0.0076,-0.0024,0.0048,0.0037,-0.0083,0.0038,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.2451,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.12,run,-0.72,0.99,2.73,-0.2,-1.11,0.0,-0.0,0.0,0.033,-2.29,18.28,78.57,-1.14,14.85,81.21,0.35,17.58,80.77,2.02,15.03,80.68,0.88,16.79,78.75,-1.85,16.0,80.24,-6.09,22.25,79.19,-5.82,10.7,85.01,-3.44,19.42,82.72,6.09,11.05,84.84,-0.09,15.72,79.63,-6.0,11.75,84.66,-1.0,1.0,0.1593,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.9362,0.1948,-1.0,-1.0,-1.0,1.0,0.013,0.006,0.0,0.013,0.006,0.0,0.0,0.006,0.0,0.019,0.0,0.019,0.006,0.019,0.006,0.033,0.006,0.013,-0.0199,-0.0123,-0.0123,-0.0061,-0.0153,0.0215,0.0092,-0.0199,0.0107,0.0169,-0.0199,0.0138,0.0153,-0.0169,-0.0107,-0.0169,-0.0153,0.0123,-0.0698,-0.0427,-0.0472,-0.0213,-0.047,0.0604,0.0346,-0.0681,0.0386,0.0617,-0.0564,0.0497,0.0577,-0.0491,-0.0351,-0.0583,-0.047,0.0399,-0.0186,0.0122,-0.0577,0.0249,0.0375,-0.322,1.0,0.1846,-1.0,-1.0,0.4945,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.7877,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.16,run,-0.95,1.04,-4.27,0.7,-8.92,0.0,-0.0,0.0,0.033,-3.52,18.28,78.57,-2.64,13.62,82.71,0.26,17.31,81.3,3.34,13.71,82.0,0.7,16.17,79.19,-3.34,14.68,80.95,-7.59,23.75,77.69,-7.32,9.2,86.51,-4.94,17.92,81.22,7.59,9.55,86.34,1.41,17.22,81.13,-7.5,10.25,86.16,-1.0,1.0,-0.1856,-1.0,-1.0,1.0,-0.7245,-0.0086,-0.4648,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.013,0.006,0.0,0.013,0.006,0.0,0.0,0.006,0.0,0.019,0.0,0.019,0.006,0.019,0.006,0.033,0.006,0.013,-0.0383,-0.0169,-0.0153,-0.023,-0.0322,0.0383,0.0138,-0.0322,0.0184,0.0337,-0.0353,0.0322,0.0169,-0.0337,-0.0153,-0.0322,-0.0307,0.0276,-0.1175,-0.047,-0.0444,-0.0778,-0.0958,0.1052,0.0414,-0.0934,0.0556,0.1061,-0.0966,0.1034,0.0461,-0.0973,-0.0417,-0.0979,-0.0901,0.0851,-0.0145,0.015,0.0476,-0.0035,-0.0194,-1.0,1.0,0.1593,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.9362,0.1948,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.2,run,-0.98,0.45,3.48,-17.73,-5.07,0.0,-0.0,0.0,0.033,-4.83,18.37,79.01,-3.78,12.39,83.67,0.0,17.49,81.91,4.39,12.39,83.23,0.0,15.64,79.54,-4.48,13.71,82.62,-9.09,25.25,79.19,-8.82,7.7,88.01,-6.44,19.42,82.72,9.09,8.05,87.84,2.91,15.72,82.63,-9.0,8.75,87.66,-0.9029,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.5708,1.0,-1.0,1.0,1.0,-0.1684,1.0,-1.0,-1.0,1.0,0.013,0.006,0.0,0.013,0.006,0.0,0.0,0.006,0.0,0.019,0.0,0.019,0.006,0.019,0.006,0.033,0.006,0.013,-0.0598,-0.0169,-0.0153,-0.0491,-0.0537,0.0644,0.0123,-0.0368,0.0276,0.0568,-0.0583,0.0552,0.0138,-0.0445,-0.0077,-0.0583,-0.0537,0.0399,-0.1498,-0.0329,-0.0311,-0.1365,-0.1346,0.1557,0.0241,-0.0798,0.0679,0.1467,-0.14,0.1448,0.0226,-0.1019,-0.0051,-0.1506,-0.1355,0.0982,-0.0344,0.0195,-0.0745,0.0122,-0.1557,-1.0,1.0,-0.1856,-1.0,-1.0,1.0,-0.7245,-0.0086,-0.4648,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.24,run,-1.21,0.17,-4.76,-6.39,-8.76,0.0,-0.0,0.0,0.071,-5.98,18.98,79.01,-5.01,11.07,84.99,-0.97,18.02,82.44,5.71,11.07,84.55,0.09,15.56,80.16,-5.89,13.01,83.85,-10.59,23.75,77.69,-10.32,6.2,89.51,-7.94,20.92,81.22,10.59,6.55,89.34,4.41,17.22,84.13,-10.5,7.25,89.16,-0.7798,-1.0,0.1369,-1.0,-1.0,1.0,-1.0,1.0,-0.6445,1.0,-1.0,1.0,1.0,1.0,0.2594,-1.0,-1.0,1.0,0.006,0.071,0.0,0.019,0.006,0.013,0.013,0.006,0.006,0.026,0.0,0.026,0.0,0.039,0.039,0.019,0.039,0.013,-0.0828,-0.0153,-0.0077,-0.069,-0.0752,0.0813,0.0077,-0.0337,0.0383,0.0752,-0.0813,0.0767,0.0015,-0.0537,-0.0015,-0.0782,-0.0706,0.069,-0.1905,-0.0173,0.0068,-0.1698,-0.1741,0.1717,-0.0002,-0.0445,0.0875,0.1711,-0.1836,0.1812,-0.0298,-0.1056,0.0193,-0.1796,-0.1576,0.1772,-0.0372,-0.0323,0.0608,-0.3094,-0.0884,-0.9029,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.5708,1.0,-1.0,1.0,1.0,-0.1684,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.28,run,-1.24,-0.56,-1.71,-14.55,-2.19,0.0,-0.0,0.0,0.071,-7.82,20.04,79.01,-6.77,9.58,86.75,-2.64,19.25,82.53,7.38,9.4,86.13,0.7,15.47,81.21,-7.73,11.07,85.52,-12.09,25.25,79.19,-11.82,4.7,91.01,-9.44,22.42,79.72,12.09,5.05,90.84,5.91,15.72,85.63,-12.0,5.75,90.66,-1.0,1.0,1.0,-1.0,-0.4953,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.4831,0.7403,-1.0,-1.0,1.0,0.006,0.071,0.0,0.019,0.006,0.013,0.013,0.006,0.006,0.026,0.0,0.026,0.0,0.039,0.039,0.019,0.039,0.013,-0.1028,-0.0046,-0.0077,-0.0905,-0.0982,0.1043,-0.0092,-0.0245,0.0476,0.0982,-0.1043,0.0997,0.0031,-0.0552,0.0092,-0.1028,-0.0828,0.0905,-0.2081,0.0282,0.0047,-0.1994,-0.2082,0.2066,-0.0635,0.0034,0.0958,0.2061,-0.2149,0.2132,-0.0151,-0.0796,0.0538,-0.2178,-0.1564,0.2046,-0.0576,-0.0571,-0.0831,-0.1114,-0.1529,-0.7798,-1.0,0.1369,-1.0,-1.0,1.0,-1.0,1.0,-0.6445,1.0,-1.0,1.0,1.0,1.0,0.2594,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.32,run,-1.27,-1.0,-2.57,-11.59,-0.88,0.0,-0.0,0.0,0.071,-8.88,20.74,78.57,-8.0,8.26,87.89,-3.96,20.13,82.53,8.61,8.0,87.45,1.49,15.64,82.18,-8.88,9.76,86.84,-13.59,23.75,77.69,-13.32,3.2,89.51,-10.94,23.92,78.22,13.59,3.55,92.34,7.41,17.22,87.13,-13.5,4.25,92.16,-1.0,-1.0,-0.0302,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.9099,0.3113,-1.0,-1.0,1.0,0.006,0.071,0.0,0.019,0.006,0.013,0.013,0.006,0.006,0.026,0.0,0.026,0.0,0.039,0.039,0.019,0.039,0.013,-0.135,0.0138,-0.0077,-0.1212,-0.1243,0.135,-0.0383,-0.0031,0.0491,0.1273,-0.1335,0.1273,0.0138,-0.0568,0.0276,-0.135,-0.1166,0.1197,-0.2449,0.0764,0.0033,-0.2341,-0.2261,0.2391,-0.1342,0.0685,0.0718,0.2341,-0.2402,0.2343,0.0225,-0.0605,0.0943,-0.2517,-0.2134,0.233,-0.0597,-0.1202,-0.0298,-0.254,-0.0382,-1.0,1.0,1.0,-1.0,-0.4953,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.4831,0.7403,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.36,run,-0.93,-1.78,7.45,-22.27,3.4,0.0,-0.0,0.0,0.123,-10.28,21.53,78.13,-9.32,6.94,89.03,-5.36,21.18,81.83,9.93,6.77,88.59,2.37,16.08,83.5,-10.28,8.53,88.59,-15.09,22.25,79.19,-14.82,1.7,91.01,-12.44,25.42,76.72,15.09,2.05,93.84,5.91,15.72,85.63,-15.0,2.75,93.66,-1.0,-1.0,1.0,-1.0,-0.1351,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.6661,-0.221,0.1824,-1.0,-1.0,1.0,0.019,0.123,0.0,0.026,0.006,0.0,0.006,0.019,0.045,0.033,0.0,0.045,0.013,0.045,0.039,0.006,0.033,0.006,-0.1534,0.0261,-0.0153,-0.1427,-0.1473,0.1549,-0.0614,0.0123,0.0491,0.1488,-0.158,0.1503,0.0276,-0.0537,0.0445,-0.1549,-0.1396,0.1427,-0.2399,0.0991,-0.0262,-0.2437,-0.2438,0.2415,-0.1795,0.105,0.0502,0.2437,-0.2593,0.2495,0.067,-0.0309,0.1287,-0.2503,-0.2349,0.2486,-0.0625,-0.159,-0.0449,-0.2023,-0.0153,-1.0,-1.0,-0.0302,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,0.9099,0.3113,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
