t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,2.77,-1.43,0.33,1.02,1.38,0.0,0.0,0.0,0.039,5.71,16.7,79.37,-6.42,13.36,82.35,5.98,18.63,80.24,-5.8,13.45,82.62,6.15,17.67,78.66,-6.06,14.94,83.41,4.39,15.46,77.87,-7.92,12.39,84.21,7.48,17.13,81.57,-4.39,12.47,84.47,4.65,16.43,77.25,-7.56,13.44,85.0,-1.0,-1.0,-0.2434,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.2311,-1.0,-0.6472,-1.0,-1.0,1.0,0.0,0.0,0.006,0.006,0.0,0.039,0.006,0.013,0.0,0.006,0.0,0.033,0.013,0.0,0.013,0.019,0.0,0.006,-0.0031,0.0,0.0,0.0,-0.0077,-0.0046,0.0,0.0,0.0,0.0015,-0.0092,-0.0061,0.0,-0.0046,-0.0015,0.0,0.0,-0.0015,-0.0064,0.0,0.0,0.0,-0.0188,-0.0113,0.0,0.0,0.0,0.0038,-0.0225,-0.015,0.0,-0.0113,-0.0032,0.0,0.0,-0.0032,0.0,0.0,-0.0486,-0.0026,0.0632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,run,2.7,-1.51,0.01,-1.56,0.09,0.0,0.0,0.0,0.039,5.1,16.17,79.37,-6.77,12.74,82.53,5.98,18.11,80.6,-5.27,12.83,82.88,5.54,17.14,78.22,-6.68,14.68,83.76,2.89,16.96,79.37,-9.42,10.89,85.71,5.98,15.63,80.07,-2.89,10.97,85.97,3.15,16.05,78.75,-9.06,11.94,86.5,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.7463,1.0,-1.0,-1.0,1.0,0.0,0.0,0.006,0.006,0.0,0.039,0.006,0.013,0.0,0.006,0.0,0.033,0.013,0.0,0.013,0.019,0.0,0.006,-0.0031,-0.0046,0.0,0.0,-0.0092,-0.0061,0.0,0.0,0.0031,0.0015,-0.0092,-0.0061,0.0,-0.0046,-0.0015,0.0,0.0,-0.0015,-0.0045,-0.0075,0.0,0.0,-0.0157,-0.0104,0.0,0.0,0.005,0.0026,-0.0158,-0.0105,0.0,-0.0079,-0.0022,0.0,0.0,-0.0022,0.0016,0.0093,0.0057,0.0178,0.024,-1.0,-1.0,-0.2434,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,-0.2311,-1.0,-0.6472,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,run,2.62,-1.53,-1.82,-1.94,6.45,0.0,0.0,0.0,0.039,4.39,15.64,78.84,-6.94,12.22,83.14,6.77,17.58,81.12,-4.57,12.22,83.58,4.92,16.44,77.52,-7.38,14.06,84.38,3.66,15.46,80.87,-10.92,9.39,87.21,4.48,17.13,81.57,-1.39,9.47,87.47,1.65,17.55,80.25,-10.56,10.44,88.0,0.1046,0.5338,0.4587,-1.0,-1.0,0.9429,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.006,0.006,0.0,0.039,0.006,0.013,0.0,0.006,0.0,0.033,0.013,0.0,0.013,0.019,0.0,0.006,-0.0138,-0.0138,0.0,-0.0061,-0.0199,-0.0031,0.0,-0.0092,0.0092,0.0107,-0.0199,-0.0015,-0.0107,-0.0138,-0.0092,-0.0107,-0.0046,0.0046,-0.0311,-0.0293,0.0,-0.016,-0.039,0.0007,0.0,-0.024,0.0195,0.0258,-0.0391,0.0046,-0.028,-0.0295,-0.0216,-0.028,-0.012,0.0144,-0.0039,0.0025,0.0001,-0.0272,0.0016,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.7463,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,run,2.79,-1.66,3.63,-3.77,-0.82,0.0,0.0,0.0,0.078,3.87,15.56,78.57,-7.82,11.34,84.11,7.03,17.14,81.39,-3.87,11.51,84.46,4.13,16.26,77.43,-8.17,13.36,85.08,2.16,16.96,79.37,-12.42,7.89,88.71,2.98,18.63,83.07,0.11,7.97,88.97,3.15,17.92,78.75,-12.06,8.94,89.5,-1.0,1.0,0.1684,-1.0,-1.0,1.0,-1.0,0.9136,1.0,1.0,-1.0,1.0,0.6101,0.7805,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.013,0.0,0.078,0.0,0.019,0.006,0.019,0.0,0.065,0.013,0.0,0.0,0.013,0.019,0.019,-0.0261,-0.023,-0.0092,-0.0092,-0.0291,0.0077,0.0138,-0.0184,0.0184,0.023,-0.0307,0.0107,-0.0215,-0.0261,-0.0215,-0.023,-0.0153,0.0153,-0.0676,-0.0549,-0.0344,-0.0227,-0.0617,0.0406,0.0516,-0.0512,0.048,0.0639,-0.0674,0.0491,-0.0597,-0.0665,-0.0609,-0.0654,-0.0485,0.0502,-0.0109,0.0001,-0.0318,-0.0339,0.1126,0.1046,0.5338,0.4587,-1.0,-1.0,0.9429,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,run,2.92,-1.88,3.98,-6.61,-9.75,0.0,0.0,0.0,0.078,3.16,15.56,78.57,-8.96,10.28,85.25,7.03,16.96,81.65,-2.99,10.28,85.61,3.25,16.0,77.52,-9.32,12.48,86.13,0.66,18.46,80.87,-13.92,6.39,90.21,1.48,20.13,81.57,1.61,6.47,90.47,4.65,19.42,80.25,-13.56,7.44,91.0,-1.0,1.0,0.2416,-1.0,-1.0,1.0,-1.0,0.8678,-0.1431,1.0,-1.0,1.0,0.4499,1.0,0.688,-1.0,-1.0,1.0,0.0,0.0,0.0,0.013,0.0,0.078,0.0,0.019,0.006,0.019,0.0,0.065,0.013,0.0,0.0,0.013,0.019,0.019,-0.0353,-0.0245,-0.0138,-0.0245,-0.0445,0.0245,0.0184,-0.0261,0.023,0.0353,-0.043,0.0261,-0.0353,-0.0291,-0.023,-0.0368,-0.0276,0.0276,-0.0818,-0.0442,-0.0413,-0.0733,-0.1006,0.0916,0.0533,-0.0645,0.0509,0.0907,-0.0932,0.0918,-0.0935,-0.058,-0.0484,-0.0975,-0.0799,0.0811,0.0032,-0.0106,0.0634,-0.0659,-0.0143,-1.0,1.0,0.1684,-1.0,-1.0,1.0,-1.0,0.9136,1.0,1.0,-1.0,1.0,0.6101,0.7805,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,run,3.0,-2.03,2.73,-4.13,-4.13,0.0,0.0,0.0,0.078,2.29,15.56,78.75,-10.11,9.05,86.48,7.03,17.05,82.18,-1.58,9.05,86.92,2.72,16.17,78.22,-10.55,11.25,87.36,-0.84,16.96,82.37,-15.42,4.89,91.71,-0.02,21.63,83.07,3.11,4.97,91.97,6.15,20.92,78.75,-15.06,5.94,92.5,-1.0,0.2432,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.6863,1.0,-1.0,1.0,0.3476,1.0,0.0079,-1.0,-1.0,1.0,0.0,0.0,0.0,0.013,0.0,0.078,0.0,0.019,0.006,0.019,0.0,0.065,0.013,0.0,0.0,0.013,0.019,0.019,-0.0476,-0.0245,-0.0138,-0.0445,-0.0629,0.0445,0.0184,-0.0291,0.0276,0.0506,-0.0644,0.046,-0.0506,-0.0337,-0.0215,-0.0568,-0.043,0.046,-0.1033,-0.0309,-0.0289,-0.1261,-0.1394,0.1389,0.0373,-0.0567,0.0529,0.121,-0.1457,0.139,-0.123,-0.0579,-0.0281,-0.143,-0.1134,0.1258,0.0152,-0.0304,0.0694,-0.1153,-0.1701,-1.0,1.0,0.2416,-1.0,-1.0,1.0,-1.0,0.8678,-0.1431,1.0,-1.0,1.0,0.4499,1.0,0.688,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,run,3.12,-2.21,2.8,-4.77,-4.01,0.0,0.0,0.0,0.13,1.23,15.56,79.54,-11.34,7.65,87.89,6.06,17.75,82.62,-0.44,7.73,88.42,2.55,16.79,78.75,-12.04,10.02,88.77,-2.34,15.46,80.87,-16.92,3.39,93.21,-1.52,23.13,84.57,4.61,3.47,93.47,6.54,22.42,77.25,-16.56,4.44,94.0,-1.0,0.0797,0.1009,-1.0,-1.0,1.0,-1.0,1.0,0.7473,1.0,-1.0,1.0,0.1867,1.0,-1.0,-1.0,-1.0,1.0,0.006,0.0,0.0,0.019,0.013,0.019,0.0,0.0,0.0,0.013,0.006,0.006,0.0,0.13,0.013,0.0,0.013,0.0,-0.0629,-0.0245,-0.0107,-0.0644,-0.0844,0.066,0.0184,-0.0276,0.0368,0.0752,-0.0859,0.069,-0.0598,-0.0307,-0.0092,-0.0782,-0.0644,0.0675,-0.1297,-0.0216,-0.0088,-0.1628,-0.1779,0.1775,0.0261,-0.0339,0.0714,0.1765,-0.1823,0.1834,-0.1205,-0.029,0.0262,-0.1804,-0.1597,0.1684,0.022,-0.0428,0.0477,-0.072,-0.0722,-1.0,0.2432,1.0,-1.0,-1.0,1.0,-1.0,1.0,0.6863,1.0,-1.0,1.0,0.3476,1.0,0.0079,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,run,2.99,-2.17,-0.11,0.04,0.32,0.0,0.0,0.0,0.13,-2.55,15.29,80.86,-16.17,2.81,92.64,-1.23,23.2,84.46,4.31,3.08,93.25,6.59,21.18,76.9,-16.52,5.01,93.96,-3.84,13.96,82.37,-18.42,1.89,94.71,-3.02,21.63,83.07,6.11,1.97,94.97,5.04,20.92,75.75,-18.06,2.94,95.5,-1.0,0.2742,0.8216,-1.0,-1.0,1.0,-1.0,0.5051,-0.5371,1.0,-1.0,1.0,-0.9914,0.6916,-0.492,-1.0,-1.0,1.0,0.0,0.006,0.0,0.019,0.006,0.019,0.006,0.006,0.0,0.013,0.0,0.006,0.006,0.084,0.006,0.0,0.013,0.0,-0.0813,-0.0245,0.0031,-0.0859,-0.1089,0.0905,0.0015,-0.0153,0.0445,0.0951,-0.1089,0.0951,-0.0629,-0.0199,0.0,-0.1043,-0.0859,0.092,-0.1584,-0.0151,0.0446,-0.1929,-0.2147,0.2144,-0.0437,0.0213,0.0782,0.1968,-0.2122,0.2242,-0.0956,0.0191,0.0522,-0.2221,-0.1907,0.208,0.032,-0.0588,0.0489,-0.0832,-0.07,-1.0,0.0797,0.1009,-1.0,-1.0,1.0,-1.0,1.0,0.7473,1.0,-1.0,1.0,0.1867,1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,run,2.99,-2.2,-0.56,-0.39,-0.49,0.0,0.0,0.0,0.13,-2.81,15.21,80.86,-16.17,2.81,92.64,-1.23,23.2,84.46,4.31,3.08,93.25,6.59,21.18,76.73,-16.52,5.01,93.96,-5.34,12.46,80.87,-19.92,0.39,93.21,-4.52,20.13,84.57,7.61,0.47,96.47,3.54,19.42,77.25,-19.56,1.44,97.0,-1.0,-0.8446,-0.4605,-1.0,-0.4227,-0.3222,-1.0,-0.0093,0.8362,1.0,-1.0,1.0,-1.0,-0.7453,1.0,-1.0,-1.0,0.7806,0.0,0.006,0.0,0.019,0.006,0.019,0.006,0.006,0.0,0.013,0.0,0.006,0.006,0.084,0.006,0.0,0.013,0.0,-0.1473,-0.0291,0.0261,-0.1703,-0.1933,0.1733,-0.1258,0.0798,0.0767,0.1779,-0.1902,0.1795,0.0077,0.0568,-0.0322,-0.1825,-0.1733,0.1825,-0.1584,-0.0151,0.0446,-0.1929,-0.2147,0.2144,-0.0437,0.0213,0.0782,0.1968,-0.2122,0.2242,-0.0956,0.0191,0.0522,-0.2221,-0.1907,0.208,0.0207,-0.0557,-0.0019,0.0007,0.0055,-1.0,0.2742,0.8216,-1.0,-1.0,1.0,-1.0,0.5051,-0.5371,1.0,-1.0,1.0,-0.9914,0.6916,-0.492,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,run,3.02,-2.3,0.58,-2.15,0.39,0.0,0.0,0.0,0.13,-3.08,14.85,80.86,-16.7,2.29,92.99,-1.67,22.85,84.46,4.66,2.64,93.78,6.24,21.18,76.46,-17.14,4.57,94.04,-6.84,10.96,82.37,-21.42,-1.11,94.71,-6.02,18.63,86.07,9.11,-1.03,97.97,2.04,17.92,78.75,-21.06,-0.06,98.5,-1.0,-0.0449,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.5968,1.0,-1.0,1.0,-1.0,-0.816,1.0,-1.0,-1.0,1.0,0.0,0.006,0.0,0.019,0.006,0.019,0.006,0.006,0.0,0.013,0.0,0.006,0.006,0.084,0.006,0.0,0.013,0.0,-0.1519,-0.0307,0.0261,-0.1703,-0.1933,0.1733,-0.1258,0.0798,0.0767,0.1779,-0.1902,0.1795,0.0077,0.0568,-0.0353,-0.1825,-0.1733,0.1825,-0.1305,-0.0171,0.0312,-0.135,-0.1503,0.1501,-0.0306,0.0149,0.0547,0.1378,-0.1485,0.1569,-0.0669,0.0134,0.0234,-0.1555,-0.1335,0.1456,0.0213,-0.0583,-0.0097,-0.0069,-0.0085,-1.0,-0.8446,-0.4605,-1.0,-0.4227,-0.3222,-1.0,-0.0093,0.8362,1.0,-1.0,1.0,-1.0,-0.7453,1.0,-1.0,-1.0,0.7806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
