t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,rot60_k
0.0,run,0.4,6.07,-1.98,0.66,5.19,0.0,0.0,0.0,0.104,-0.09,16.7,77.96,0.53,14.15,77.34,-0.44,15.29,77.52,0.09,14.94,77.87,-0.26,15.29,77.78,0.26,14.59,76.55,-0.05,15.73,76.81,2.03,13.18,76.2,1.06,14.5,76.37,-1.41,13.88,76.81,1.24,14.67,76.81,1.68,13.71,75.4,-0.0013,0.3363,-0.0673,0.1303,0.4428,-0.3022,0.1623,-0.0733,-0.1937,-0.2269,0.5789,-0.0669,0.0659,-0.0209,-0.2541,0.4128,0.44,-0.1609,0.0,0.0,0.026,0.0,0.006,0.071,0.013,0.039,0.026,0.013,0.006,0.071,0.006,0.033,0.104,0.0,0.019,0.026,0.0,0.0,-0.0031,0.0,0.0,-0.0061,0.0,0.0,-0.0031,0.0,0.0,-0.0077,0.0,0.0,-0.0077,0.0031,0.0,-0.0015,0.0,0.0,-0.0074,0.0,0.0,-0.0148,0.0,0.0,-0.0074,0.0,0.0,-0.0185,0.0,0.0,-0.0185,0.0074,0.0,-0.0037,0.0,0.0,-0.0035,-0.0106,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,run,0.42,6.02,0.16,-0.64,-0.91,0.0,0.0,0.0,0.104,-0.09,16.7,77.96,0.53,13.89,77.34,-0.35,14.85,77.52,0.09,14.77,78.22,-0.09,15.21,77.78,0.26,14.24,76.55,-0.47,14.23,75.31,3.53,11.68,74.7,2.56,13.0,74.87,-2.15,12.38,75.31,2.74,13.17,75.31,3.18,12.21,73.9,-0.0133,0.556,-0.2256,0.1626,0.5737,-0.3866,0.1723,0.2089,-0.1436,-0.0613,0.6322,-0.3326,0.133,0.1703,0.0048,0.3063,0.5779,-0.4598,0.0,0.0,0.026,0.0,0.006,0.071,0.013,0.039,0.026,0.013,0.006,0.071,0.006,0.033,0.104,0.0,0.019,0.026,0.0,-0.0092,-0.0061,0.0,-0.0092,-0.0061,0.0,-0.0123,-0.0061,0.0,-0.0077,-0.0077,0.0,-0.0153,-0.0092,0.0015,-0.0107,-0.0061,0.0,-0.0152,-0.0102,0.0,-0.0152,-0.0104,0.0,-0.0202,-0.0102,0.0,-0.0126,-0.013,0.0,-0.0253,-0.0155,0.0027,-0.0177,-0.0102,-0.0151,0.0049,-0.0345,0.0115,0.0905,-0.0013,0.3363,-0.0673,0.1303,0.4428,-0.3022,0.1623,-0.0733,-0.1937,-0.2269,0.5789,-0.0669,0.0659,-0.0209,-0.2541,0.4128,0.44,-0.1609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,run,0.4,6.01,-0.33,-0.61,0.96,0.0,0.0,0.0,0.104,-0.09,16.7,77.96,0.53,13.8,77.61,-0.35,14.5,77.61,0.0,14.68,78.31,-0.18,14.94,78.13,0.26,13.89,76.64,-0.19,12.73,73.81,5.03,11.45,73.2,4.06,11.5,73.37,-0.9,11.68,73.81,4.24,11.67,73.81,4.68,10.71,72.4,-0.0054,0.6507,-0.262,0.181,0.6626,-0.3825,0.1878,0.2509,-0.0239,-0.0258,0.6669,-0.3489,0.1625,0.2253,0.01,0.2339,0.5613,-0.3991,0.0,0.0,0.026,0.0,0.006,0.071,0.013,0.039,0.026,0.013,0.006,0.071,0.006,0.033,0.104,0.0,0.019,0.026,0.0,-0.0092,-0.0061,0.0,-0.0138,-0.0061,0.0015,-0.0199,-0.0061,0.0,-0.0107,-0.0015,0.0031,-0.0169,-0.0092,0.0015,-0.0169,-0.0061,0.0,-0.0106,-0.0072,0.0,-0.0277,-0.0073,0.0057,-0.0427,-0.0072,0.0,-0.0203,0.0137,0.0114,-0.0234,-0.0109,0.0019,-0.0352,-0.0071,-0.0131,0.0012,0.0028,-0.0113,-0.0159,-0.0133,0.556,-0.2256,0.1626,0.5737,-0.3866,0.1723,0.2089,-0.1436,-0.0613,0.6322,-0.3326,0.133,0.1703,0.0048,0.3063,0.5779,-0.4598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12,run,0.51,6.03,2.58,0.73,2.99,0.0,0.0,0.0,0.104,-0.35,16.52,77.96,0.53,13.54,77.61,-0.26,13.97,77.7,-0.35,14.68,77.96,0.09,14.5,78.13,0.44,13.36,76.73,-0.12,11.79,72.31,5.87,12.95,71.7,5.56,10.0,71.87,-0.32,12.73,72.31,5.66,10.17,72.31,6.18,9.21,70.9,-0.0036,0.6689,-0.2115,0.1677,0.6911,-0.336,0.1858,0.2771,0.0278,-0.009,0.686,-0.2977,0.1617,0.2596,0.0629,0.2034,0.5696,-0.3423,0.006,0.0,0.019,0.013,0.0,0.0,0.026,0.0,0.013,0.006,0.0,0.0,0.019,0.013,0.019,0.0,0.0,0.026,0.0,-0.0092,-0.0061,0.0,-0.0153,-0.0015,0.0015,-0.0261,-0.0046,-0.0015,-0.0123,0.0,0.0015,-0.0215,-0.0031,0.0015,-0.023,-0.0046,0.0,-0.0074,-0.005,0.0,-0.0251,0.012,0.004,-0.0527,0.0007,-0.0057,-0.0199,0.0153,0.0023,-0.0335,0.0152,0.0013,-0.0474,0.0007,-0.0149,-0.0002,-0.0057,-0.0107,0.0168,-0.0054,0.6507,-0.262,0.181,0.6626,-0.3825,0.1878,0.2509,-0.0239,-0.0258,0.6669,-0.3489,0.1625,0.2253,0.01,0.2339,0.5613,-0.3991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,run,0.55,5.89,0.46,-2.6,9.24,0.0,0.0,0.0,0.104,-0.09,15.73,77.96,0.97,12.83,77.08,0.26,12.92,77.7,-0.7,14.06,77.43,0.62,13.8,78.13,0.88,12.57,76.73,-0.38,11.83,70.81,4.76,12.88,70.2,5.75,8.5,70.48,0.12,12.72,70.81,5.07,8.67,73.81,5.82,7.71,69.4,-0.0108,0.6697,-0.1128,0.1359,0.6886,-0.2295,0.1642,0.3508,0.0645,0.0033,0.6857,-0.1974,0.145,0.3289,0.1115,0.1663,0.5733,-0.2533,0.006,0.0,0.019,0.013,0.0,0.0,0.026,0.0,0.013,0.006,0.0,0.0,0.019,0.013,0.019,0.0,0.0,0.026,-0.0046,-0.0123,-0.0061,0.0,-0.0199,-0.0015,0.0031,-0.0353,-0.0031,-0.0077,-0.0123,-0.0061,0.0061,-0.0291,-0.0031,0.0046,-0.0322,-0.0031,-0.0173,-0.0167,-0.0035,0.0,-0.0348,0.0084,0.0085,-0.0714,0.0062,-0.027,-0.0139,-0.0123,0.0189,-0.0522,0.0106,0.0124,-0.0677,0.0062,-0.0057,0.0018,0.045,0.0127,0.0521,-0.0036,0.6689,-0.2115,0.1677,0.6911,-0.336,0.1858,0.2771,0.0278,-0.009,0.686,-0.2977,0.1617,0.2596,0.0629,0.2034,0.5696,-0.3423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,run,0.49,5.73,-1.07,-4.19,4.94,0.0,0.0,0.0,0.104,-0.09,15.56,78.05,1.41,12.48,76.73,0.79,12.3,77.78,-0.7,13.62,76.99,0.97,13.18,77.78,1.41,11.95,76.82,-0.6,11.56,72.31,3.26,11.75,68.7,4.25,7.0,71.98,0.27,12.66,69.31,3.57,7.17,75.31,4.32,6.21,67.9,-0.0172,0.6647,0.0932,0.0754,0.6681,0.0031,0.1068,0.5269,0.1207,0.0078,0.6847,0.0185,0.0944,0.4966,0.1826,0.0823,0.5643,-0.0305,0.006,0.0,0.019,0.013,0.0,0.0,0.026,0.0,0.013,0.006,0.0,0.0,0.019,0.013,0.019,0.0,0.0,0.026,0.0,-0.0261,-0.0061,0.0077,-0.0322,-0.0107,0.0123,-0.0537,-0.0031,-0.0138,-0.023,-0.0153,0.0153,-0.0414,-0.0031,0.0123,-0.046,-0.0031,0.0053,-0.0637,-0.0025,0.0289,-0.0706,-0.0288,0.0406,-0.1193,0.0044,-0.042,-0.0502,-0.0433,0.0479,-0.0828,0.0074,0.0376,-0.0994,0.0044,-0.0023,-0.0105,0.008,-0.0454,0.1613,-0.0108,0.6697,-0.1128,0.1359,0.6886,-0.2295,0.1642,0.3508,0.0645,0.0033,0.6857,-0.1974,0.145,0.3289,0.1115,0.1663,0.5733,-0.2533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.24,run,0.28,5.75,-4.01,-0.39,11.53,0.0,0.0,0.0,0.104,-0.26,14.85,77.7,1.93,12.3,76.03,1.41,11.43,77.43,-0.26,13.1,76.11,1.49,12.39,77.08,2.02,11.16,76.73,0.15,10.54,73.81,1.76,10.25,70.2,2.75,8.5,73.48,0.05,12.98,70.81,2.07,8.67,76.81,2.82,7.71,69.4,0.0043,0.6462,0.3093,0.0144,0.6339,0.2608,0.0203,0.6505,0.2111,0.0014,0.6905,0.2575,0.0304,0.6356,0.2543,-0.0007,0.6232,0.2253,0.006,0.0,0.0,0.006,0.0,0.0,0.019,0.0,0.0,0.006,0.0,0.006,0.039,0.0,0.006,0.006,0.0,0.0,0.0,-0.0291,-0.0046,0.0153,-0.0383,-0.0169,0.0215,-0.0644,-0.0015,-0.0138,-0.0307,-0.023,0.0215,-0.0522,-0.0092,0.0215,-0.0568,-0.0015,0.0037,-0.056,0.004,0.0488,-0.0723,-0.043,0.0628,-0.1236,0.0088,-0.0294,-0.0637,-0.0589,0.0564,-0.098,-0.0177,0.0606,-0.1096,0.0088,-0.0076,-0.0249,-0.0186,-0.0731,0.0862,-0.0172,0.6647,0.0932,0.0754,0.6681,0.0031,0.1068,0.5269,0.1207,0.0078,0.6847,0.0185,0.0944,0.4966,0.1826,0.0823,0.5643,-0.0305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,run,0.12,5.76,-4.34,0.58,15.4,0.0,0.0,0.0,0.104,-0.26,13.97,77.08,2.64,11.87,75.15,2.2,10.2,77.08,0.09,12.66,75.41,2.37,11.34,76.73,2.64,10.02,76.38,1.21,9.53,75.31,0.68,9.56,71.7,1.25,9.28,74.98,0.11,13.45,72.31,0.57,10.08,78.31,1.32,9.21,70.9,0.0346,0.6278,0.328,0.0193,0.6284,0.3235,-0.0095,0.6232,0.2763,0.003,0.6992,0.3227,-0.0089,0.6377,0.2747,-0.0352,0.6745,0.3057,0.006,0.0,0.0,0.006,0.0,0.0,0.019,0.0,0.0,0.006,0.0,0.006,0.039,0.0,0.006,0.006,0.0,0.0,-0.0031,-0.0414,-0.0107,0.0245,-0.0414,-0.0291,0.0322,-0.0798,-0.0077,-0.0061,-0.0399,-0.0383,0.0307,-0.066,-0.0215,0.0322,-0.0706,-0.0031,-0.0089,-0.0853,-0.0202,0.0687,-0.0621,-0.0762,0.0843,-0.1441,-0.0169,0.0082,-0.0792,-0.0988,0.074,-0.1204,-0.0584,0.0827,-0.1286,0.0004,-0.0256,-0.0228,-0.0699,-0.0069,0.2012,0.0043,0.6462,0.3093,0.0144,0.6339,0.2608,0.0203,0.6505,0.2111,0.0014,0.6905,0.2575,0.0304,0.6356,0.2543,-0.0007,0.6232,0.2253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.32,run,0.21,6.01,1.73,5.84,8.09,0.0,0.0,0.0,0.104,0.09,13.36,76.46,2.9,11.43,74.36,2.72,9.4,76.55,0.18,12.39,74.53,2.72,10.63,76.38,3.08,9.14,75.94,1.52,9.46,76.81,1.09,9.76,73.2,-0.25,8.02,76.48,0.09,13.72,73.81,-0.57,9.06,79.81,-0.18,10.71,72.4,0.0436,0.6265,0.3194,0.0311,0.632,0.3248,-0.0165,0.6004,0.2825,0.0025,0.704,0.321,-0.0164,0.6193,0.2679,-0.0456,0.6792,0.3108,0.006,0.0,0.0,0.006,0.0,0.0,0.019,0.0,0.0,0.006,0.0,0.006,0.039,0.0,0.006,0.006,0.0,0.0,-0.0031,-0.0568,-0.0215,0.0368,-0.0491,-0.0445,0.046,-0.1012,-0.0138,0.0,-0.0476,-0.0506,0.046,-0.0844,-0.0276,0.043,-0.0905,-0.0092,-0.0063,-0.1175,-0.0546,0.0944,-0.0724,-0.1112,0.111,-0.1818,-0.035,0.0289,-0.0843,-0.1154,0.1096,-0.1537,-0.064,0.0984,-0.1652,-0.0229,-0.0392,-0.0216,-0.0757,0.0101,0.2688,0.0346,0.6278,0.328,0.0193,0.6284,0.3235,-0.0095,0.6232,0.2763,0.003,0.6992,0.3227,-0.0089,0.6377,0.2747,-0.0352,0.6745,0.3057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.36,run,0.57,6.05,8.52,1.41,0.92,0.0,0.0,0.0,0.104,0.62,12.48,75.94,2.99,10.99,73.65,2.9,8.61,76.29,0.26,12.39,73.65,2.81,10.02,76.46,3.16,8.61,75.32,1.54,9.69,78.31,0.93,9.86,74.7,-0.57,7.47,77.98,0.23,13.68,75.31,-0.48,8.61,81.31,-1.68,12.21,73.9,0.0441,0.6307,0.3273,0.0265,0.6338,0.3315,-0.0163,0.5903,0.2829,0.0067,0.7033,0.3288,-0.0136,0.6111,0.2606,-0.049,0.6985,0.306,0.0,0.0,0.0,0.019,0.0,0.006,0.0,0.0,0.006,0.0,0.039,0.006,0.0,0.0,0.039,0.006,0.0,0.0,0.0031,-0.0675,-0.0322,0.0414,-0.0568,-0.0583,0.0552,-0.115,-0.023,0.0015,-0.0522,-0.066,0.0522,-0.0966,-0.0337,0.0506,-0.1058,-0.0169,0.0185,-0.1223,-0.0783,0.0832,-0.0793,-0.1293,0.112,-0.1788,-0.0588,0.0259,-0.0762,-0.138,0.0996,-0.1533,-0.0677,0.0975,-0.1728,-0.0446,-0.0313,0.0,0.0303,0.102,0.1413,0.0436,0.6265,0.3194,0.0311,0.632,0.3248,-0.0165,0.6004,0.2825,0.0025,0.704,0.321,-0.0164,0.6193,0.2679,-0.0456,0.6792,0.3108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
