t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,3.79,2.99,-0.17,-0.33,0.69,0.0,0.0,0.0,0.078,-0.35,17.58,79.1,0.62,14.77,77.78,0.18,16.7,77.96,0.62,16.17,78.49,-0.09,18.28,79.72,-0.7,17.31,77.96,-1.76,16.43,77.78,-0.88,13.71,79.72,1.68,15.9,79.81,1.85,15.02,80.25,1.41,17.13,78.13,-1.94,16.17,79.46,-1.0,-1.0,-0.3059,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.221,-1.0,-0.4014,-1.0,-1.0,1.0,0.006,0.0,0.0,0.013,0.0,0.078,0.006,0.0,0.026,0.0,0.0,0.039,0.013,0.0,0.039,0.0,0.0,0.013,-0.0015,0.0,-0.0031,0.0,0.0,-0.0077,0.0,0.0,-0.0046,0.0046,-0.0015,-0.0046,0.0,-0.0046,0.0015,-0.0031,-0.0031,0.0,-0.0037,0.0,-0.0064,0.0,0.0,-0.0176,0.0,0.0,-0.0112,0.0112,-0.0037,-0.0095,0.0,-0.0101,0.0032,-0.0069,-0.0075,0.0,0.0,0.0,-0.0088,-0.0097,-0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,run,3.71,3.0,-1.03,-0.51,2.64,0.0,0.0,0.0,0.078,-1.05,17.05,78.57,0.44,14.24,78.05,0.26,16.17,78.05,0.97,15.82,79.01,0.35,17.84,79.28,-1.23,16.96,78.13,-3.26,17.93,79.28,-2.38,12.21,81.22,0.18,14.4,78.31,3.35,13.52,81.75,-0.09,15.63,79.63,-3.44,14.67,80.96,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.2803,1.0,-1.0,-1.0,1.0,0.006,0.0,0.0,0.013,0.0,0.078,0.006,0.0,0.026,0.0,0.0,0.039,0.013,0.0,0.039,0.0,0.0,0.013,-0.0015,-0.0061,-0.0031,0.0,-0.0077,-0.0077,0.0,-0.0123,-0.0061,0.0046,-0.0061,-0.0046,0.0,-0.0061,0.0015,-0.0046,-0.0061,0.0,-0.0037,0.0,-0.0064,0.0,0.0,-0.0176,0.0,0.0,-0.0112,0.0112,-0.0037,-0.0095,0.0,-0.0101,0.0032,-0.0069,-0.0075,0.0,-0.0226,-0.042,-0.0029,-0.0058,0.012,-1.0,-1.0,-0.3059,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.221,-1.0,-0.4014,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,run,3.67,3.09,-0.14,1.7,1.69,0.0,0.0,0.0,0.078,-1.32,16.88,78.31,0.09,13.8,78.49,0.44,15.82,78.22,1.32,15.38,79.37,0.79,17.49,79.01,-1.58,16.52,78.49,-4.76,19.43,80.78,-3.88,10.71,82.72,-1.32,15.9,79.81,4.85,12.02,83.25,-1.59,17.13,81.13,-4.94,13.17,82.46,-0.6523,0.9787,0.4997,-1.0,-1.0,0.9895,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.5559,1.0,1.0,-1.0,-1.0,1.0,0.006,0.0,0.0,0.013,0.0,0.078,0.006,0.0,0.026,0.0,0.0,0.039,0.013,0.0,0.039,0.0,0.0,0.013,-0.0138,-0.0153,-0.0123,-0.0031,-0.0169,-0.0031,0.0015,-0.0215,-0.0046,0.0107,-0.0123,0.0046,0.0077,-0.0138,-0.0061,-0.0138,-0.0123,0.0031,-0.0407,-0.0286,-0.033,-0.0095,-0.0286,0.002,0.0048,-0.0286,-0.0031,0.0269,-0.0217,0.0219,0.0238,-0.0309,-0.0216,-0.0334,-0.0243,0.0095,-0.0295,-0.0408,-0.018,-0.0089,0.046,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.2803,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,run,3.58,3.14,-3.27,1.29,-3.88,0.0,0.0,0.0,0.078,-1.85,16.79,78.31,-0.26,13.36,78.93,0.53,15.47,78.22,1.76,14.94,79.72,0.79,17.05,79.1,-2.02,16.17,78.93,-6.26,20.93,79.28,-5.38,9.21,84.22,-2.82,17.4,81.31,6.35,10.52,84.75,-0.09,15.63,79.63,-6.44,11.67,83.96,-1.0,1.0,0.0454,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.4595,-1.0,-1.0,-1.0,1.0,0.006,0.026,0.019,0.019,0.0,0.039,0.006,0.033,0.033,0.006,0.006,0.019,0.006,0.0,0.0,0.013,0.0,0.006,-0.0184,-0.0184,-0.0169,-0.0092,-0.0245,0.0046,0.0046,-0.0276,-0.0015,0.0169,-0.0199,0.0107,0.0153,-0.0199,-0.0107,-0.0199,-0.0199,0.0092,-0.0456,-0.0314,-0.0402,-0.0295,-0.0485,0.0299,0.0147,-0.0428,0.0093,0.0416,-0.0437,0.0382,0.0452,-0.0444,-0.0322,-0.0462,-0.0455,0.0295,-0.0328,-0.033,-0.0024,0.0296,0.0295,-0.6523,0.9787,0.4997,-1.0,-1.0,0.9895,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.5559,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,run,3.49,3.14,-2.54,0.23,-3.59,0.0,0.0,0.0,0.078,-2.02,16.79,78.31,-0.7,13.01,79.37,0.53,15.47,78.31,2.11,14.77,80.16,0.09,16.79,79.54,-2.37,15.82,79.19,-7.76,22.43,77.78,-6.88,7.71,85.72,-4.32,15.9,79.81,7.85,9.02,86.25,1.41,14.13,81.13,-7.94,10.17,85.46,-1.0,1.0,0.1409,-1.0,-0.7516,1.0,-0.296,0.7252,-0.3582,1.0,-1.0,1.0,1.0,0.6357,1.0,-1.0,-1.0,1.0,0.006,0.026,0.019,0.019,0.0,0.039,0.006,0.033,0.033,0.006,0.006,0.019,0.006,0.0,0.0,0.013,0.0,0.006,-0.0276,-0.0199,-0.0169,-0.0153,-0.0322,0.0123,0.0061,-0.0337,-0.0015,0.0245,-0.0276,0.0169,0.0153,-0.0276,-0.0092,-0.0276,-0.0261,0.0169,-0.0663,-0.0277,-0.0282,-0.0435,-0.0626,0.0495,0.016,-0.0529,0.0065,0.0578,-0.0592,0.0496,0.0316,-0.0597,-0.0168,-0.061,-0.0547,0.0492,-0.0408,-0.0291,-0.057,0.0225,-0.0676,-1.0,1.0,0.0454,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.4595,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,run,3.18,3.15,-7.59,-1.15,-2.2,0.0,0.0,0.0,0.078,-2.9,17.23,78.49,-1.23,12.48,80.07,0.09,15.47,78.75,2.9,14.06,80.77,0.09,15.91,79.89,-3.16,15.21,79.8,-9.26,23.93,79.28,-8.38,6.21,87.22,-5.82,17.4,81.31,9.35,7.52,87.75,2.91,12.63,82.63,-9.44,8.67,86.96,-1.0,1.0,0.7886,-1.0,-1.0,1.0,-1.0,1.0,0.7078,1.0,-1.0,1.0,1.0,-0.1615,1.0,-1.0,-1.0,1.0,0.006,0.026,0.019,0.019,0.0,0.039,0.006,0.033,0.033,0.006,0.006,0.019,0.006,0.0,0.0,0.013,0.0,0.006,-0.0307,-0.0199,-0.0169,-0.023,-0.0383,0.0199,0.0061,-0.0337,0.0,0.0307,-0.0307,0.0245,0.0031,-0.0322,-0.0015,-0.0337,-0.0322,0.0215,-0.058,-0.0194,-0.0197,-0.0596,-0.0671,0.0638,0.0112,-0.037,0.0104,0.0637,-0.0531,0.0638,-0.0244,-0.0593,0.0173,-0.066,-0.0616,0.0519,-0.0486,-0.0286,-0.0444,0.0041,-0.0627,-1.0,1.0,0.1409,-1.0,-0.7516,1.0,-0.296,0.7252,-0.3582,1.0,-1.0,1.0,1.0,0.6357,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,run,2.81,3.21,-9.34,0.33,-7.17,0.0,0.0,0.0,0.175,-3.87,18.02,78.49,-2.2,11.6,81.04,-1.05,15.56,79.19,3.78,13.1,81.74,0.35,15.03,80.51,-4.13,14.33,80.6,-10.76,25.43,80.73,-9.88,4.71,88.72,-4.32,15.9,82.81,10.85,6.02,89.25,4.41,11.13,84.13,-10.94,7.17,88.46,-1.0,1.0,0.185,-1.0,0.0933,1.0,0.3507,0.658,0.2182,1.0,-1.0,1.0,1.0,-0.3965,0.5079,-1.0,-1.0,1.0,0.006,0.136,0.026,0.026,0.0,0.065,0.045,0.175,0.045,0.019,0.0,0.039,0.006,0.0,0.0,0.006,0.006,0.026,-0.046,-0.0123,-0.0138,-0.0322,-0.0476,0.0322,-0.0015,-0.0337,0.0077,0.0445,-0.043,0.0353,0.0031,-0.0476,0.0046,-0.0476,-0.043,0.0322,-0.0977,0.015,-0.0024,-0.076,-0.0812,0.0903,-0.0207,-0.0259,0.0358,0.096,-0.0828,0.0847,-0.0171,-0.0986,0.035,-0.0976,-0.0831,0.0763,-0.0763,-0.028,-0.1326,-0.02,-0.0385,-1.0,1.0,0.7886,-1.0,-1.0,1.0,-1.0,1.0,0.7078,1.0,-1.0,1.0,1.0,-0.1615,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,run,2.18,3.23,-11.58,-0.44,-7.88,0.0,0.0,0.0,0.175,-5.8,19.6,78.57,-4.04,10.02,83.06,-2.37,15.91,80.24,5.45,11.34,83.67,1.58,13.18,82.0,-6.06,12.57,82.27,-12.26,26.93,82.23,-11.38,3.21,90.22,-5.82,14.4,81.31,12.35,4.52,90.75,5.91,9.63,85.63,-12.44,5.67,89.96,-1.0,1.0,1.0,-1.0,0.2321,0.6359,-0.4452,-1.0,-1.0,1.0,-1.0,1.0,1.0,-0.2412,1.0,-1.0,-1.0,1.0,0.006,0.136,0.026,0.026,0.0,0.065,0.045,0.175,0.045,0.019,0.0,0.039,0.006,0.0,0.0,0.006,0.006,0.026,-0.0629,0.0015,-0.0138,-0.0491,-0.0629,0.0491,-0.0215,-0.0322,0.0153,0.0598,-0.0598,0.0522,0.0077,-0.0629,0.0153,-0.0644,-0.0583,0.046,-0.1317,0.0623,-0.0017,-0.1165,-0.1144,0.1265,-0.0893,-0.0124,0.0538,0.1247,-0.1213,0.1225,0.0053,-0.1265,0.0647,-0.1316,-0.1157,0.1052,-0.1083,-0.0229,-0.1629,0.0058,-0.1251,-1.0,1.0,0.185,-1.0,0.0933,1.0,0.3507,0.658,0.2182,1.0,-1.0,1.0,1.0,-0.3965,0.5079,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,run,1.8,3.33,-10.43,2.19,-7.18,0.0,0.0,0.0,0.175,-7.03,20.65,79.19,-5.54,8.7,84.73,-3.25,15.91,81.12,7.12,9.93,85.17,2.64,12.04,83.06,-7.47,11.25,83.67,-10.76,25.43,80.73,-12.88,1.71,88.72,-7.32,15.9,79.81,13.85,3.02,92.25,7.41,8.13,87.13,-13.94,4.17,91.46,-0.1273,-0.9083,0.0341,-1.0,0.4043,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.7662,-0.2292,1.0,-1.0,-1.0,1.0,0.006,0.136,0.026,0.026,0.0,0.065,0.045,0.175,0.045,0.019,0.0,0.039,0.006,0.0,0.0,0.006,0.006,0.026,-0.0966,0.0291,-0.0123,-0.0813,-0.0905,0.0844,-0.0445,-0.0261,0.0337,0.089,-0.0905,0.0859,0.0291,-0.0951,0.0414,-0.0982,-0.089,0.0752,-0.179,0.1146,0.0028,-0.1643,-0.1511,0.1793,-0.1217,0.0071,0.085,0.1623,-0.1638,0.1725,0.0589,-0.1714,0.1124,-0.1789,-0.1599,0.1486,-0.1634,-0.0209,-0.2021,-0.0077,-0.1374,-1.0,1.0,1.0,-1.0,0.2321,0.6359,-0.4452,-1.0,-1.0,1.0,-1.0,1.0,1.0,-0.2412,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,run,1.45,3.24,-10.08,-1.16,-6.59,0.0,0.0,0.0,0.208,-8.35,21.71,79.63,-6.94,7.47,86.04,-4.13,15.56,81.74,8.44,8.53,86.57,3.96,10.81,84.29,-8.79,9.76,84.99,-12.26,23.93,82.23,-14.38,3.21,90.22,-8.82,14.4,78.31,15.35,1.52,93.75,8.91,6.63,88.63,-15.44,2.67,92.96,-1.0,0.6695,0.8743,-1.0,1.0,1.0,-1.0,0.4323,-0.3948,1.0,-1.0,1.0,0.4354,0.4935,1.0,-1.0,-1.0,1.0,0.006,0.208,0.078,0.019,0.006,0.019,0.052,0.019,0.013,0.019,0.0,0.033,0.026,0.0,0.0,0.019,0.0,0.033,-0.1181,0.0476,-0.0015,-0.1074,-0.1135,0.1135,-0.0598,-0.0261,0.0491,0.1181,-0.115,0.112,0.0476,-0.115,0.0598,-0.1227,-0.112,0.0997,-0.2055,0.149,0.0421,-0.2125,-0.1917,0.2344,-0.1425,0.005,0.1168,0.2225,-0.2064,0.2183,0.11,-0.1945,0.1475,-0.2169,-0.1979,0.1957,-0.1965,-0.0127,-0.182,0.0383,-0.1253,-0.1273,-0.9083,0.0341,-1.0,0.4043,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,0.7662,-0.2292,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
