t_unix,roll_deg,pitch_deg,gx_dps,gy_dps,gz_dps
1786485173.859,-1.23,4.26,-0.04,0.48,-1.1
1786485174.159,-1.46,4.47,-1.21,-0.53,1.58
1786485174.459,-2.0,4.01,0.05,-0.07,0.84
1786485174.76,-1.19,4.17,0.03,0.06,0.53
1786485175.06,-1.12,4.17,-0.31,0.07,0.25
1786485175.361,-1.63,4.16,-0.15,0.05,0.22
1786485175.661,-1.51,4.2,0.03,0.08,0.4
1786485175.961,-1.28,4.29,-0.18,0.06,0.38
1786485176.268,-1.31,3.89,-0.3,0.23,0.3
1786485176.562,-1.47,4.27,-0.19,0.06,0.35
1786485176.862,-1.12,4.04,-0.31,0.04,0.41
1786485177.162,-1.25,4.05,-0.17,0.02,0.53
1786485177.463,-1.22,4.2,0.28,-0.26,0.41
1786485177.763,-1.33,4.08,-0.01,-0.17,0.29
1786485178.063,-1.18,3.96,-0.18,0.22,0.32
1786485178.364,-1.33,4.25,0.03,-0.06,0.35
1786485178.674,-1.34,4.25,-0.34,0.19,0.42
1786485178.964,-1.15,4.18,-0.12,0.02,0.44
1786485179.265,-1.0,4.09,-0.5,0.29,0.47
1786485179.565,-1.4,4.26,-0.06,0.1,0.36
