t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,1.3,4.22,-0.76,-0.23,4.54,0.0,0.0,0.0,0.045,-0.26,16.88,78.93,0.09,14.41,77.52,0.35,15.73,78.13,0.26,14.85,78.22,-0.26,15.64,78.13,0.26,15.21,76.99,-1.76,15.81,77.69,-1.41,13.44,79.55,1.85,15.11,80.07,1.76,13.88,80.16,1.24,14.94,77.16,-1.32,14.23,78.84,-1.0,-1.0,-0.3668,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.1288,-1.0,-0.1108,-1.0,-1.0,1.0,0.013,0.0,0.0,0.006,0.0,0.045,0.006,0.039,0.019,0.013,0.0,0.039,0.013,0.019,0.0,0.019,0.0,0.019,0.0,0.0,-0.0031,0.0,0.0,-0.0092,0.0,0.0,-0.0077,0.0,0.0,-0.0077,0.0,0.0,-0.0092,0.0015,0.0,-0.0061,0.0,0.0,-0.0063,0.0,0.0,-0.0213,0.0,0.0,-0.0188,0.0031,0.0,-0.0163,0.0,0.0,-0.0226,0.0038,0.0,-0.015,0.0,0.0,0.0031,-0.0047,0.0058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,run,1.34,4.24,2.08,0.59,-3.41,0.0,0.0,0.0,0.045,-0.44,16.52,78.66,0.0,14.15,77.61,0.44,15.38,78.13,0.26,14.59,78.31,-0.09,15.56,77.87,-0.09,14.85,76.99,-3.26,17.31,79.19,-2.91,11.94,81.05,0.35,13.61,78.57,3.26,12.38,81.66,-0.26,13.44,78.66,-2.82,12.73,80.34,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.8485,1.0,-1.0,1.0,-1.0,0.123,1.0,-1.0,-1.0,1.0,0.013,0.0,0.0,0.006,0.0,0.045,0.006,0.039,0.019,0.013,0.0,0.039,0.013,0.019,0.0,0.019,0.0,0.019,0.0,-0.0077,-0.0046,0.0,-0.0092,-0.0092,0.0,-0.0153,-0.0077,0.0,-0.0092,-0.0077,0.0,-0.0138,-0.0092,0.0015,-0.0092,-0.0061,0.0,-0.0126,-0.0069,0.0,-0.0151,-0.0149,0.0,-0.0252,-0.0132,0.0022,-0.0151,-0.0114,0.0,-0.0226,-0.0158,0.0026,-0.0151,-0.0105,-0.0055,0.0004,-0.0132,-0.0041,0.0793,-1.0,-1.0,-0.3668,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.1288,-1.0,-0.1108,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,run,0.97,4.26,-7.43,-0.48,5.35,0.0,0.0,0.0,0.045,-1.32,16.0,78.22,-0.26,13.54,78.22,0.7,14.68,78.22,1.23,13.97,78.66,0.26,14.59,77.34,-0.62,14.15,77.17,-4.76,18.81,80.69,-4.41,10.44,82.55,-1.15,15.11,80.07,4.76,10.88,83.16,-1.76,14.94,80.16,-4.32,11.23,81.84,-0.3646,1.0,0.3948,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.013,0.0,0.0,0.006,0.0,0.045,0.006,0.039,0.019,0.013,0.0,0.039,0.013,0.019,0.0,0.019,0.0,0.019,-0.0031,-0.0138,-0.0092,-0.0015,-0.0138,-0.0077,0.0015,-0.0215,-0.0077,0.0,-0.0138,-0.0061,0.0031,-0.0153,-0.0138,-0.0046,-0.0153,-0.0061,-0.0115,-0.0317,-0.022,-0.0057,-0.0278,-0.0047,0.0057,-0.0405,-0.0092,0.0015,-0.0278,-0.0023,0.0115,-0.0216,-0.0283,-0.0211,-0.0335,-0.0074,-0.0016,0.0023,0.0362,0.0103,-0.0595,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-0.8485,1.0,-1.0,1.0,-1.0,0.123,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,run,0.87,4.29,-2.27,-1.16,-3.4,0.0,0.0,0.0,0.136,-2.2,15.91,78.05,-1.23,12.66,79.19,0.88,13.89,78.57,2.11,13.1,79.63,0.44,13.97,77.26,-1.58,13.36,77.87,-6.26,20.31,79.19,-5.91,8.94,84.05,-2.65,16.61,81.57,6.26,9.38,84.66,-0.26,13.44,78.66,-5.82,9.73,83.34,-1.0,1.0,0.1518,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.0806,-1.0,-1.0,-1.0,1.0,0.026,0.013,0.006,0.019,0.0,0.058,0.0,0.019,0.045,0.033,0.0,0.136,0.0,0.013,0.033,0.033,0.0,0.084,-0.0184,-0.023,-0.0169,-0.0061,-0.0245,0.0031,0.0061,-0.0337,-0.0061,0.0169,-0.0245,0.0,0.0092,-0.0322,-0.023,-0.0138,-0.0276,-0.0031,-0.0657,-0.0568,-0.0442,-0.0213,-0.0598,0.037,0.0213,-0.0745,-0.0007,0.0645,-0.0598,0.0215,0.0311,-0.0785,-0.0544,-0.0493,-0.0696,0.0064,-0.0341,0.004,-0.1296,-0.0085,0.0933,-0.3646,1.0,0.3948,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,run,0.63,4.48,-6.34,5.16,-11.54,0.0,0.0,0.0,0.136,-3.34,15.82,78.05,-2.37,11.51,80.42,0.97,13.45,79.1,3.16,11.95,80.95,0.09,13.36,77.26,-2.9,12.13,78.93,-7.76,21.81,80.69,-7.41,7.44,85.55,-3.0,15.11,80.07,7.76,7.88,86.16,1.24,14.94,80.16,-7.32,8.23,84.84,-1.0,1.0,0.2067,-1.0,-0.3527,1.0,-0.0858,0.4642,-0.5307,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.026,0.013,0.006,0.019,0.0,0.058,0.0,0.019,0.045,0.033,0.0,0.136,0.0,0.013,0.033,0.033,0.0,0.084,-0.0337,-0.0245,-0.0199,-0.023,-0.0399,0.0199,0.0092,-0.0476,0.0,0.0322,-0.0399,0.0169,0.0123,-0.043,-0.0245,-0.0307,-0.0414,0.0092,-0.1032,-0.0455,-0.0424,-0.0779,-0.0991,0.0889,0.0264,-0.1037,0.0224,0.1024,-0.0991,0.078,0.0332,-0.095,-0.0438,-0.0975,-0.1002,0.0503,-0.0429,0.0064,-0.0396,-0.0202,-0.0594,-1.0,1.0,0.1518,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.0806,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,run,0.48,4.7,-5.01,6.35,-5.47,0.0,0.0,0.0,0.136,-4.66,15.82,78.13,-3.6,10.37,81.74,0.97,13.36,79.89,4.39,10.63,82.18,-0.09,12.92,77.78,-4.13,10.9,80.07,-9.26,23.31,82.19,-8.91,5.94,87.05,-4.5,16.61,81.57,9.26,6.38,87.66,2.74,13.44,81.66,-8.82,6.73,86.34,-1.0,1.0,0.7486,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.3884,1.0,-1.0,-1.0,1.0,0.026,0.013,0.006,0.019,0.0,0.058,0.0,0.019,0.045,0.033,0.0,0.136,0.0,0.013,0.033,0.033,0.0,0.084,-0.0537,-0.0261,-0.0199,-0.043,-0.0598,0.0414,0.0107,-0.0552,0.0092,0.0506,-0.0598,0.0399,0.0061,-0.0537,-0.0245,-0.0537,-0.0629,0.0276,-0.1478,-0.0376,-0.0297,-0.13,-0.1449,0.1436,0.0243,-0.1016,0.0505,0.1414,-0.1449,0.1417,0.0,-0.1072,-0.0306,-0.1554,-0.1515,0.1049,-0.064,0.023,-0.1106,0.09,-0.2014,-1.0,1.0,0.2067,-1.0,-0.3527,1.0,-0.0858,0.4642,-0.5307,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,run,0.5,4.68,-1.5,0.87,-10.74,0.0,0.0,0.0,0.182,-5.98,16.17,78.84,-4.92,9.14,83.14,0.18,13.36,80.42,5.71,9.4,83.67,-0.09,12.74,78.49,-5.45,9.58,81.47,-7.76,24.81,83.69,-10.41,7.32,88.55,-6.0,15.11,80.07,10.76,4.88,89.16,4.24,11.94,83.16,-10.32,5.23,87.84,-0.1592,1.0,0.4064,-1.0,0.5876,1.0,-0.2133,-0.4468,0.1161,1.0,-1.0,1.0,0.4782,-0.433,1.0,-1.0,-1.0,1.0,0.019,0.182,0.058,0.026,0.0,0.065,0.026,0.149,0.019,0.033,0.0,0.071,0.006,0.019,0.149,0.019,0.0,0.078,-0.0767,-0.0261,-0.0184,-0.0644,-0.0798,0.0644,0.0107,-0.0568,0.023,0.0721,-0.0828,0.0614,0.0031,-0.0614,-0.0153,-0.0752,-0.0844,0.0476,-0.1893,-0.0264,-0.0151,-0.1711,-0.1758,0.1863,0.017,-0.0768,0.0869,0.1791,-0.1872,0.1793,-0.0114,-0.1036,0.0129,-0.1889,-0.1861,0.1478,-0.0768,0.0419,-0.0875,0.1108,-0.0955,-1.0,1.0,0.7486,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.3884,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,run,0.59,4.65,1.86,0.47,-12.72,0.0,0.0,0.0,0.182,-7.12,16.88,79.72,-6.33,7.91,84.73,-0.88,13.36,80.68,7.03,8.09,85.17,0.0,12.48,79.54,-6.94,8.17,82.88,-6.26,26.31,85.19,-11.91,5.82,87.05,-7.5,13.61,78.57,12.26,3.38,90.66,5.74,11.68,84.66,-11.82,3.73,89.34,0.0868,1.0,0.3186,-1.0,-1.0,-1.0,-1.0,-0.0379,-0.3524,1.0,-1.0,1.0,0.7251,0.6669,1.0,-1.0,-1.0,1.0,0.019,0.182,0.058,0.026,0.0,0.065,0.026,0.149,0.019,0.033,0.0,0.071,0.006,0.019,0.149,0.019,0.0,0.078,-0.0997,-0.0199,-0.0061,-0.0874,-0.1012,0.089,-0.0031,-0.0568,0.0322,0.0951,-0.1043,0.0874,0.0031,-0.0644,-0.0031,-0.0982,-0.1074,0.0721,-0.2192,0.0047,0.0357,-0.2065,-0.204,0.2229,-0.0401,-0.0538,0.0955,0.212,-0.212,0.2237,-0.008,-0.0841,0.0552,-0.2189,-0.217,0.1959,-0.0749,0.0405,-0.0262,0.0153,-0.1874,-0.1592,1.0,0.4064,-1.0,0.5876,1.0,-0.2133,-0.4468,0.1161,1.0,-1.0,1.0,0.4782,-0.433,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,run,0.6,4.59,-0.25,-1.06,-7.13,0.0,0.0,0.0,0.182,-8.0,17.93,80.77,-7.73,6.94,85.96,-2.11,13.36,80.68,8.35,6.86,86.66,0.44,11.87,80.77,-8.26,7.03,84.29,-7.76,24.81,86.69,-13.41,4.32,88.55,-9.0,15.11,80.07,13.76,1.88,92.16,4.24,13.18,86.16,-13.32,2.23,90.84,-1.0,0.0905,0.5943,-1.0,-1.0,0.7297,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.2317,1.0,0.3237,-1.0,-1.0,1.0,0.019,0.182,0.058,0.026,0.0,0.065,0.026,0.149,0.019,0.033,0.0,0.071,0.006,0.019,0.149,0.019,0.0,0.078,-0.1197,-0.0077,0.0092,-0.112,-0.1227,0.1166,-0.0215,-0.0568,0.0368,0.1181,-0.1273,0.1135,0.0046,-0.069,0.0153,-0.1243,-0.1319,0.0966,-0.2283,0.0493,0.0826,-0.2367,-0.2234,0.2597,-0.0972,-0.0377,0.0841,0.2348,-0.2348,0.2545,0.0002,-0.0761,0.1078,-0.2511,-0.244,0.2293,-0.0674,0.0383,0.0325,0.0082,-0.2221,0.0868,1.0,0.3186,-1.0,-1.0,-1.0,-1.0,-0.0379,-0.3524,1.0,-1.0,1.0,0.7251,0.6669,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,run,0.58,4.5,-0.71,-2.47,-9.13,0.0,0.0,0.0,0.319,-8.53,18.98,81.83,-9.05,6.06,86.92,-3.43,13.36,80.33,9.76,5.54,88.15,1.23,11.25,82.18,-9.67,5.71,85.78,-9.26,23.31,85.19,-14.91,2.82,90.05,-10.5,13.61,81.57,15.26,0.38,93.66,2.74,11.68,84.66,-14.82,0.73,92.34,-1.0,0.1216,-0.0756,-1.0,-0.5181,1.0,-1.0,0.604,1.0,1.0,-1.0,1.0,-0.197,0.6596,-0.4731,-1.0,-1.0,1.0,0.019,0.319,0.111,0.033,0.0,0.039,0.058,0.149,0.0,0.052,0.0,0.039,0.065,0.026,0.065,0.033,0.0,0.052,-0.135,0.0107,0.0276,-0.1365,-0.1396,0.1381,-0.043,-0.0568,0.0368,0.1411,-0.1488,0.1396,0.0123,-0.0798,0.0368,-0.1473,-0.1519,0.1212,-0.217,0.1032,0.1265,-0.2573,-0.2193,0.2619,-0.1482,-0.0264,0.0589,0.2502,-0.2445,0.2755,0.0287,-0.0934,0.1556,-0.2617,-0.2452,0.2521,-0.0664,0.0324,-0.0044,-0.0186,-0.1245,-1.0,0.0905,0.5943,-1.0,-1.0,0.7297,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.2317,1.0,0.3237,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
