t_unix,live,q0_deg,cur0_a,temp0_c,q1_deg,cur1_a,temp1_c,q2_deg,cur2_a,temp2_c,q3_deg,cur3_a,temp3_c,q4_deg,cur4_a,temp4_c,q5_deg,cur5_a,temp5_c,q6_deg,cur6_a,temp6_c,q7_deg,cur7_a,temp7_c,q8_deg,cur8_a,temp8_c,q9_deg,cur9_a,temp9_c,q10_deg,cur10_a,temp10_c,q11_deg,cur11_a,temp11_c,q12_deg,cur12_a,temp12_c,q13_deg,cur13_a,temp13_c,q14_deg,cur14_a,temp14_c,q15_deg,cur15_a,temp15_c,q16_deg,cur16_a,temp16_c,q17_deg,cur17_a,temp17_c
1786485173.859,18,0.09,0.006,34,17.4,0.136,38,79.89,0.006,36,0.53,0.006,34,16.7,0.006,37,78.4,0.006,36,0.0,0.0,35,19.07,0.006,51,79.45,0.006,36,-0.09,0.006,32,16.96,0.013,37,79.19,0.006,33,-0.26,0.006,32,18.19,0.033,41,78.4,0.071,33,-0.26,0.006,34,17.23,0.033,39,77.87,0.006,36
1786485174.159,18,0.18,0.006,34,17.4,0.039,38,79.37,0.006,36,0.35,0.006,34,17.84,0.019,37,78.93,0.006,36,0.0,0.0,35,18.37,0.006,51,79.45,0.006,36,-0.18,0.006,32,17.4,0.039,37,79.19,0.0,33,-0.18,0.006,32,18.11,0.026,41,78.4,0.033,33,-0.09,0.0,34,17.49,0.039,39,78.49,0.019,36
1786485174.459,18,0.18,0.006,34,17.4,0.039,39,79.37,0.006,36,0.35,0.006,34,17.84,0.019,37,78.93,0.0,36,0.0,0.0,35,18.37,0.006,51,79.45,0.006,36,-0.18,0.006,32,17.4,0.039,37,79.19,0.0,33,-0.18,0.006,32,18.11,0.026,41,78.4,0.033,33,-0.09,0.0,34,17.49,0.033,39,78.49,0.013,36
1786485174.76,18,0.18,0.006,34,17.4,0.039,38,79.37,0.006,36,0.35,0.0,34,17.84,0.019,37,78.93,0.006,36,0.0,0.0,35,18.37,0.006,51,79.45,0.006,36,-0.18,0.006,32,17.4,0.045,37,79.19,0.0,33,-0.18,0.006,32,18.11,0.019,41,78.4,0.033,33,-0.09,0.0,34,17.49,0.033,39,78.49,0.013,38
1786485175.06,18,0.18,0.006,34,17.4,0.039,38,79.37,0.0,36,0.35,0.006,34,17.84,0.019,56,78.93,0.006,36,0.0,0.0,35,18.37,0.006,51,79.45,0.006,36,-0.18,0.006,32,17.4,0.039,37,79.19,0.0,33,-0.18,0.006,32,18.11,0.026,41,78.4,0.039,33,-0.09,0.0,34,17.49,0.033,39,78.49,0.013,36
1786485175.361,18,0.18,0.006,34,17.4,0.039,39,79.37,0.006,36,0.35,0.006,34,17.84,0.019,37,78.93,0.0,36,0.0,0.0,35,18.37,0.006,51,79.45,0.006,36,-0.18,0.006,32,17.4,0.039,37,79.19,0.0,34,-0.18,0.006,32,18.11,0.019,41,78.4,0.033,33,-0.09,0.0,34,17.49,0.033,87,78.49,0.019,36
1786485175.661,18,0.18,0.006,34,17.4,0.039,38,79.37,0.006,36,0.35,0.006,34,17.84,0.019,37,78.93,0.006,36,0.0,0.0,35,18.37,0.013,51,79.45,0.006,36,-0.18,0.006,32,17.4,0.039,47,79.19,0.0,33,-0.18,0.006,32,18.11,0.019,41,78.4,0.033,33,-0.09,0.0,34,17.49,0.033,39,78.49,0.013,36
1786485175.961,18,0.18,0.006,34,17.4,0.033,38,79.37,0.0,36,0.35,0.006,34,17.84,0.019,37,78.93,0.006,36,0.0,0.0,35,18.37,0.006,51,79.45,0.006,36,-0.09,0.0,32,17.4,0.039,37,79.19,0.0,33,-0.18,0.006,32,18.11,0.019,41,78.4,0.033,33,-0.09,0.0,34,17.49,0.033,39,78.49,0.013,36
1786485176.268,18,0.18,0.006,34,17.4,0.039,38,79.37,0.006,36,0.35,0.006,34,17.84,0.019,37,78.93,0.006,36,0.0,0.0,35,18.37,0.013,51,79.45,0.006,36,-0.18,0.006,32,17.4,0.039,37,79.19,0.0,33,-0.18,0.006,32,18.11,0.019,41,78.4,0.033,33,-0.09,0.0,34,17.49,0.033,39,78.49,0.019,36
1786485176.562,18,0.18,0.006,34,17.4,0.033,39,79.37,0.0,36,0.35,0.006,34,17.84,0.019,37,78.93,0.006,36,0.0,0.0,35,18.37,0.013,51,79.45,0.006,36,-0.09,0.0,32,17.4,0.039,37,79.19,0.0,33,-0.18,0.006,32,18.11,0.019,41,78.4,0.033,33,-0.09,0.0,34,17.49,0.033,39,78.49,0.013,36
