t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,2.36,2.03,0.02,0.44,-0.78,0.0,-0.0,0.0,0.513,-0.44,18.19,79.1,-0.18,15.38,77.96,0.35,16.0,78.57,0.35,15.82,78.4,0.09,17.93,79.1,-0.09,17.31,77.7,-1.94,16.69,77.69,-1.76,13.88,79.72,1.85,14.5,80.34,1.94,14.32,79.99,1.59,16.87,77.6,-1.59,15.9,79.2,-1.0,-1.0,-0.4755,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.3634,-1.0,-0.0957,-1.0,-1.0,1.0,0.006,0.033,0.006,0.006,0.065,0.026,0.013,0.513,0.013,0.013,0.091,0.026,0.006,0.052,0.019,0.006,0.019,0.006,0.0,0.0,-0.0015,-0.0015,0.0,-0.0046,0.0,0.0,-0.0046,0.0,0.0,-0.0031,-0.0015,-0.0077,0.0,0.0,-0.0015,0.0,0.002,0.0,-0.0037,-0.0037,0.0,-0.007,0.0,0.0,-0.008,0.0,0.0,-0.0053,-0.0047,-0.0153,0.002,0.0,-0.0037,0.001,0.0,0.0,0.0111,0.0053,-0.0134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.04,run,2.35,2.03,-0.82,0.5,0.17,0.0,-0.0,0.0,0.513,-0.44,18.19,79.1,-0.18,15.38,77.96,0.35,16.0,78.57,0.35,15.82,78.4,0.09,17.93,79.01,-0.09,17.31,77.7,-3.44,18.19,79.19,-3.26,12.38,81.22,0.35,13.0,78.84,3.44,12.82,81.49,0.09,15.37,79.1,-3.09,14.4,80.7,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.7805,-0.0045,1.0,-1.0,-1.0,1.0,0.006,0.033,0.006,0.006,0.065,0.026,0.013,0.513,0.013,0.013,0.091,0.026,0.006,0.052,0.019,0.006,0.019,0.006,0.0,0.0,-0.0015,0.0015,0.0,-0.0046,0.0,0.0,-0.0046,-0.0015,0.0,-0.0015,0.0,-0.0077,0.0,0.0,-0.0015,0.0,0.0014,0.0,-0.0026,0.0025,0.0,-0.0049,0.0,0.0,-0.0056,-0.0025,0.0,-0.0012,-0.0008,-0.0107,0.0014,0.0,-0.0026,0.0007,-0.0005,0.0034,0.0003,0.0077,-0.0135,-1.0,-1.0,-0.4755,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.3634,-1.0,-0.0957,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.08,run,2.37,2.01,0.18,-0.16,-0.31,0.0,-0.0,0.0,0.513,-0.44,18.19,79.1,-0.18,15.38,77.96,0.35,16.0,78.57,0.35,15.82,78.4,0.0,17.93,79.01,0.0,17.31,77.7,-4.94,19.69,77.69,-4.76,10.88,82.72,-1.15,14.5,80.34,4.94,11.32,82.99,-1.41,16.87,80.6,-4.59,12.9,82.2,-0.3619,1.0,0.1221,-1.0,-1.0,0.9064,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.8331,1.0,1.0,-1.0,-1.0,1.0,0.006,0.033,0.006,0.006,0.065,0.026,0.013,0.513,0.013,0.013,0.091,0.026,0.006,0.052,0.019,0.006,0.019,0.006,0.0,0.0,-0.0015,0.0015,0.0,-0.0046,0.0,0.0,-0.0046,-0.0015,0.0,-0.0015,0.0,-0.0077,-0.0015,0.0,-0.0015,0.0,0.001,0.0,-0.0018,0.0017,0.0,-0.0034,0.0,0.0,-0.0039,-0.0018,0.0,-0.0009,-0.0005,-0.0075,-0.0048,0.0,-0.0018,0.0005,-0.0017,0.0039,-0.0142,0.0087,0.003,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.7805,-0.0045,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.12,run,2.35,2.01,-0.28,-0.59,-2.3,0.0,-0.0,0.0,0.513,-0.62,18.19,79.1,-0.18,15.38,78.05,0.18,16.0,78.57,0.35,15.82,78.4,-0.09,17.93,79.19,-0.26,17.31,77.7,-6.44,21.19,76.19,-6.26,9.38,84.22,-2.65,14.98,81.84,6.44,9.82,84.49,0.09,15.37,79.1,-6.09,11.4,83.7,-1.0,1.0,0.0681,-1.0,-1.0,1.0,-1.0,0.7268,1.0,1.0,-1.0,1.0,0.9579,0.3445,-1.0,-1.0,-1.0,1.0,0.0,0.065,0.0,0.006,0.019,0.058,0.026,0.292,0.039,0.006,0.026,0.104,0.026,0.0,0.013,0.013,0.0,0.019,0.0,0.0,-0.0015,0.0015,0.0,-0.0046,0.0,0.0,-0.0046,-0.0015,0.0,-0.0015,-0.0015,-0.0077,-0.0015,0.0015,-0.0015,0.0,0.0007,0.0,-0.0013,0.0012,0.0,-0.0024,0.0,0.0,-0.0027,-0.0012,0.0,-0.0006,-0.0061,-0.0053,-0.0034,0.0057,-0.0013,0.0003,0.0004,0.0021,0.0031,-0.0027,-0.0054,-0.3619,1.0,0.1221,-1.0,-1.0,0.9064,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.8331,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.16,run,2.2,2.07,-3.61,0.81,-6.48,0.0,-0.0,0.0,0.513,-1.14,18.28,79.01,-0.44,15.38,78.57,-0.26,16.0,78.66,0.88,15.82,78.84,-0.44,17.58,79.63,-0.79,17.23,78.31,-7.94,22.69,74.69,-7.76,7.88,85.72,-4.15,13.48,80.34,7.94,8.32,85.99,1.59,13.87,80.6,-7.59,9.9,85.2,-1.0,1.0,-0.3417,-1.0,-1.0,1.0,-0.4963,-0.1169,-0.5191,1.0,-1.0,1.0,1.0,0.6712,1.0,-1.0,-1.0,1.0,0.0,0.065,0.0,0.006,0.019,0.058,0.026,0.292,0.039,0.006,0.026,0.104,0.026,0.0,0.013,0.013,0.0,0.019,-0.0031,0.0,-0.0015,0.0015,0.0,-0.0031,-0.0031,0.0,-0.0046,-0.0015,0.0,-0.0015,-0.0031,-0.0077,0.0015,-0.0031,-0.0015,0.0,-0.0111,0.0,-0.0009,0.0008,0.0,0.0041,-0.0116,0.0,-0.0019,-0.0009,0.0,-0.0004,-0.01,-0.0037,0.0092,-0.0134,-0.0009,0.0002,-0.0018,0.0016,-0.0049,-0.0103,-0.0402,-1.0,1.0,0.0681,-1.0,-1.0,1.0,-1.0,0.7268,1.0,1.0,-1.0,1.0,0.9579,0.3445,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.2,run,1.97,2.27,-5.33,3.19,-6.87,0.0,-0.0,0.0,0.513,-1.93,18.63,78.49,-1.05,15.29,79.37,-0.88,16.0,79.19,1.49,15.64,79.63,-0.18,16.79,79.37,-1.58,16.7,78.93,-9.44,24.19,76.19,-9.26,6.38,87.22,-5.65,14.98,81.84,9.44,6.82,87.49,3.09,12.37,82.1,-9.09,8.4,86.7,-1.0,1.0,0.8408,-1.0,-1.0,1.0,-1.0,1.0,0.6858,1.0,-1.0,1.0,1.0,-0.7477,1.0,-1.0,-1.0,1.0,0.0,0.065,0.0,0.006,0.019,0.058,0.026,0.292,0.039,0.006,0.026,0.104,0.026,0.0,0.013,0.013,0.0,0.019,-0.0123,0.0015,-0.0031,-0.0031,0.0,0.0061,-0.0107,0.0,-0.0031,0.0077,0.0,0.0061,-0.0092,-0.0138,0.0092,-0.0123,-0.0031,0.0107,-0.0424,0.0058,-0.0064,-0.0167,0.0,0.0375,-0.037,0.0,0.0044,0.0341,0.0,0.0286,-0.0301,-0.0257,0.0353,-0.044,-0.0064,0.0406,-0.0148,0.0071,-0.063,0.0142,-0.1131,-1.0,1.0,-0.3417,-1.0,-1.0,1.0,-0.4963,-0.1169,-0.5191,1.0,-1.0,1.0,1.0,0.6712,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.24,run,1.77,2.38,-5.11,1.24,-1.24,0.0,-0.0,0.0,0.513,-2.55,18.98,77.52,-1.76,14.68,80.16,-1.49,15.91,79.72,2.37,14.94,80.42,0.0,16.17,79.19,-2.29,16.0,79.54,-7.94,25.69,74.69,-10.76,4.88,88.72,-4.15,13.48,80.34,10.94,5.32,88.99,4.59,10.87,83.6,-10.59,6.9,88.2,-0.0623,1.0,-0.1439,-1.0,-0.4258,1.0,0.469,-1.0,0.0141,1.0,-1.0,1.0,0.8836,-0.1985,1.0,-1.0,-1.0,1.0,0.006,0.111,0.006,0.006,0.0,0.071,0.039,0.013,0.058,0.019,0.0,0.123,0.019,0.0,0.006,0.013,0.0,0.039,-0.0261,0.0077,-0.0123,-0.0138,-0.0015,0.0199,-0.0215,0.0,0.0061,0.0184,-0.0031,0.0199,-0.0046,-0.0276,0.0046,-0.0261,-0.0123,0.0215,-0.0809,0.0268,-0.0386,-0.0515,-0.0057,0.0775,-0.0657,0.0,0.0372,0.0637,-0.0114,0.0712,-0.004,-0.0692,0.0077,-0.082,-0.0386,0.0683,-0.0349,0.0246,-0.093,0.0556,-0.1199,-1.0,1.0,0.8408,-1.0,-1.0,1.0,-1.0,1.0,0.6858,1.0,-1.0,1.0,1.0,-0.7477,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.28,run,1.4,2.39,-8.17,0.77,-3.68,0.0,-0.0,0.0,0.513,-3.78,19.78,76.2,-2.81,13.8,81.3,-2.37,15.03,80.24,3.43,14.06,81.47,1.32,15.12,79.63,-3.43,15.03,80.6,-6.44,27.19,76.19,-12.26,3.38,90.22,-5.65,11.98,78.84,12.44,3.82,90.49,6.09,12.37,85.1,-12.09,5.4,89.7,0.7872,1.0,1.0,-1.0,-1.0,0.9083,-1.0,0.421,-1.0,1.0,-1.0,1.0,1.0,0.7615,1.0,-1.0,-1.0,1.0,0.006,0.111,0.006,0.006,0.0,0.071,0.039,0.013,0.058,0.019,0.0,0.123,0.019,0.0,0.006,0.013,0.0,0.039,-0.0368,0.0138,-0.0291,-0.0261,-0.0123,0.0337,-0.0322,-0.0015,0.0153,0.0337,-0.0153,0.0337,-0.0015,-0.0383,0.0015,-0.0383,-0.0245,0.0322,-0.0971,0.0419,-0.0906,-0.0823,-0.0444,0.1063,-0.0865,-0.0058,0.0607,0.1024,-0.0542,0.1019,0.0087,-0.0889,-0.0062,-0.1037,-0.0733,0.0882,-0.0523,0.034,-0.0893,0.0217,-0.0217,-0.0623,1.0,-0.1439,-1.0,-0.4258,1.0,0.469,-1.0,0.0141,1.0,-1.0,1.0,0.8836,-0.1985,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.32,run,1.13,2.3,-7.51,-2.37,-1.68,0.0,-0.0,0.0,0.513,-4.83,20.48,75.67,-3.78,12.83,82.53,-3.08,13.97,80.42,4.48,12.92,82.79,1.85,13.97,80.07,-4.48,13.97,81.65,-4.94,28.69,74.69,-13.76,1.88,91.72,-4.15,13.48,80.34,13.94,2.32,91.99,7.59,13.87,86.6,-13.59,3.9,91.2,0.1275,1.0,-0.3127,-1.0,-1.0,1.0,-0.1117,1.0,0.9532,1.0,-1.0,1.0,1.0,1.0,0.8497,-1.0,-1.0,1.0,0.006,0.111,0.006,0.006,0.0,0.071,0.039,0.013,0.058,0.019,0.0,0.123,0.019,0.0,0.006,0.013,0.0,0.039,-0.0583,0.0276,-0.0522,-0.0445,-0.0276,0.0537,-0.0476,-0.0169,0.0245,0.0522,-0.0307,0.0522,0.0215,-0.0568,0.0092,-0.0583,-0.0414,0.0506,-0.14,0.0756,-0.1406,-0.1194,-0.0826,0.1413,-0.112,-0.0555,0.0734,0.1334,-0.0894,0.1331,0.0833,-0.124,0.0214,-0.1395,-0.1079,0.1235,-0.0842,0.0353,-0.1427,0.0134,-0.0642,0.7872,1.0,1.0,-1.0,-1.0,0.9083,-1.0,0.421,-1.0,1.0,-1.0,1.0,1.0,0.7615,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
0.36,run,0.87,2.13,-8.16,-2.9,-3.13,0.0,-0.0,0.0,0.513,-5.62,21.45,75.06,-5.1,11.51,84.11,-3.96,13.01,80.6,5.89,11.6,84.2,3.25,13.27,80.95,-5.98,12.66,83.06,-6.44,30.0,76.19,-15.26,0.38,93.22,-5.65,14.98,81.84,15.44,0.82,93.49,9.09,12.37,88.1,-15.09,2.4,92.7,-0.726,1.0,0.9637,-1.0,-0.8865,1.0,-0.2805,1.0,0.3322,1.0,-1.0,1.0,1.0,0.0987,0.3061,-1.0,-1.0,1.0,0.006,0.169,0.0,0.019,0.0,0.033,0.019,0.006,0.0,0.019,0.0,0.078,0.019,0.0,0.026,0.026,0.0,0.033,-0.0767,0.0399,-0.0614,-0.0614,-0.0445,0.0752,-0.0598,-0.0353,0.0276,0.0706,-0.0506,0.0752,0.0307,-0.0767,0.0169,-0.0767,-0.0598,0.069,-0.1763,0.1051,-0.1376,-0.1553,-0.1295,0.1902,-0.1306,-0.1171,0.0644,0.1717,-0.1474,0.191,0.0975,-0.1716,0.0476,-0.1759,-0.1538,0.1647,-0.1077,0.0275,-0.1311,-0.0414,-0.0293,0.1275,1.0,-0.3127,-1.0,-1.0,1.0,-0.1117,1.0,0.9532,1.0,-1.0,1.0,1.0,1.0,0.8497,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0
