t_unix,live,q0_deg,cur0_a,temp0_c,q1_deg,cur1_a,temp1_c,q2_deg,cur2_a,temp2_c,q3_deg,cur3_a,temp3_c,q4_deg,cur4_a,temp4_c,q5_deg,cur5_a,temp5_c,q6_deg,cur6_a,temp6_c,q7_deg,cur7_a,temp7_c,q8_deg,cur8_a,temp8_c,q9_deg,cur9_a,temp9_c,q10_deg,cur10_a,temp10_c,q11_deg,cur11_a,temp11_c,q12_deg,cur12_a,temp12_c,q13_deg,cur13_a,temp13_c,q14_deg,cur14_a,temp14_c,q15_deg,cur15_a,temp15_c,q16_deg,cur16_a,temp16_c,q17_deg,cur17_a,temp17_c
1786485226.782,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.013,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.013,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.026,42,77.96,0.013,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485227.093,17,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,,,,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.006,36
1786485227.383,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.006,36,0.0,0.0,35,18.11,0.013,51,79.45,0.0,35,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485227.684,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.013,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.006,36
1786485229.204,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.013,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.013,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485229.242,18,0.18,0.0,34,16.88,0.006,39,79.37,0.0,37,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.026,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.006,36
1786485229.539,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.013,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485229.839,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,33,17.14,0.006,40,78.31,0.006,36
1786485230.139,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.006,36
1786485230.44,18,0.18,0.0,34,16.88,0.006,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.006,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485230.74,18,0.18,0.0,34,16.88,0.013,40,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.006,36,0.0,0.0,35,18.11,0.013,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485231.041,18,0.18,0.0,34,16.88,0.006,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.006,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.013,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.026,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485231.341,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485231.641,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,37,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.013,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.006,36
1786485231.942,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.006,36,0.0,0.0,35,18.11,0.013,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.013,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485232.242,18,0.18,0.0,34,16.88,0.006,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.006,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.013,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.006,36
1786485232.542,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,37,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.013,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485232.843,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,37,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.013,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.026,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.0,40,78.31,0.006,36
1786485233.143,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.006,36,0.0,0.0,35,18.11,0.013,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.0,40,78.31,0.0,36
1786485233.443,18,0.18,0.0,34,16.88,0.006,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.013,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.0,36
1786485233.744,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.013,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.0,40,78.31,0.006,36
1786485234.044,18,0.18,0.0,34,16.88,0.013,39,79.37,0.0,36,0.35,0.0,34,17.75,0.0,38,78.66,0.013,36,0.0,0.0,35,18.11,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.96,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.58,0.019,42,77.96,0.019,34,-0.09,0.0,34,17.14,0.006,40,78.31,0.006,36
