t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,obs68,obs69,obs70,obs71,rot60_k
0.0,run,4.99,4.24,0.57,-0.13,-0.94,0.0,0.0,0.0,0.058,0.09,16.88,79.01,0.62,14.06,77.7,0.18,16.26,77.7,0.53,16.26,78.93,0.0,18.19,79.45,-1.14,17.4,77.61,-1.41,15.81,77.78,-0.88,13.09,79.72,1.68,15.46,79.55,1.85,15.02,80.43,1.5,17.04,77.95,-2.29,16.17,79.11,-1.0,-1.0,-0.3111,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.2326,-1.0,-0.4339,-1.0,-1.0,1.0,0.019,0.006,0.0,0.013,0.006,0.058,0.006,0.006,0.013,0.006,0.0,0.013,0.006,0.0,0.019,0.006,0.0,0.006,0.0,0.0,-0.0046,0.0,0.0,-0.0092,0.0,0.0,-0.0061,0.0031,-0.0046,0.0,0.0,-0.0061,0.0,-0.0061,-0.0046,0.0,0.0,0.0,-0.0091,0.0,0.0,-0.0179,0.0,0.0,-0.0112,0.0056,-0.0084,0.0,0.0,-0.0119,0.0,-0.0112,-0.0084,0.0,0.0,0.0,-0.0098,-0.0266,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.04,run,4.86,4.35,-1.34,1.28,4.28,0.0,0.0,0.0,0.058,-0.44,16.17,78.49,0.44,13.45,77.87,0.18,15.64,77.78,1.05,15.82,79.19,0.79,17.67,78.93,-1.85,16.88,77.7,-2.91,17.31,79.28,-2.38,11.59,81.22,0.18,13.96,78.05,3.35,13.52,81.93,0.0,15.54,79.45,-3.79,14.67,80.61,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.4797,1.0,-1.0,-1.0,1.0,0.019,0.006,0.0,0.013,0.006,0.058,0.006,0.006,0.013,0.006,0.0,0.013,0.006,0.0,0.019,0.006,0.0,0.006,0.0,-0.0077,-0.0046,0.0,-0.0092,-0.0092,0.0,-0.0123,-0.0061,0.0031,-0.0046,0.0,0.0,-0.0061,0.0,-0.0061,-0.0046,0.0,0.0,-0.0118,-0.0064,0.0,-0.0142,-0.0125,0.0,-0.019,-0.0078,0.0039,-0.0059,0.0,0.0,-0.0084,0.0,-0.0078,-0.0059,0.0,0.0059,0.0015,0.0099,-0.0022,-0.0165,-1.0,-1.0,-0.3111,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,0.2326,-1.0,-0.4339,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.08,run,4.64,4.35,-5.01,-0.93,4.19,0.0,0.0,0.0,0.058,-1.05,15.73,78.05,0.0,12.83,78.57,0.53,14.94,78.05,1.76,15.21,79.8,1.23,16.96,78.49,-2.37,16.35,78.13,-4.41,18.81,80.78,-3.88,10.09,82.72,-1.32,15.46,79.55,4.85,12.02,83.43,-1.5,17.04,80.95,-5.29,13.17,82.11,-0.598,1.0,0.316,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.5664,1.0,1.0,-1.0,-1.0,1.0,0.019,0.006,0.0,0.013,0.006,0.058,0.006,0.006,0.013,0.006,0.0,0.013,0.006,0.0,0.019,0.006,0.0,0.006,-0.0092,-0.0199,-0.0138,-0.0031,-0.0199,-0.0061,0.0,-0.023,-0.0046,0.0123,-0.0123,0.0046,0.0138,-0.0153,-0.0092,-0.0184,-0.0138,0.0015,-0.0223,-0.038,-0.0268,-0.0074,-0.036,-0.0013,0.0,-0.0393,-0.0017,0.025,-0.0227,0.0112,0.0335,-0.0282,-0.0223,-0.0352,-0.0264,0.0037,-0.0061,0.0107,-0.0233,0.0223,0.0747,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.4797,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.12,run,4.46,4.46,-2.87,2.21,-3.67,0.0,0.0,0.0,0.091,-1.85,15.56,77.87,-0.7,12.13,79.37,1.05,14.59,78.4,2.55,14.5,80.6,1.32,16.52,78.4,-3.25,15.64,78.84,-5.91,20.31,79.28,-5.38,8.59,84.22,-2.82,16.96,81.05,6.35,10.52,84.93,0.0,15.54,79.45,-6.79,11.67,83.61,-1.0,1.0,0.0516,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0014,-1.0,-1.0,-1.0,1.0,0.026,0.013,0.0,0.033,0.0,0.091,0.006,0.006,0.033,0.013,0.0,0.045,0.006,0.0,0.0,0.0,0.0,0.026,-0.0199,-0.0276,-0.0215,-0.0107,-0.0307,0.0061,0.0061,-0.0353,0.0,0.0245,-0.023,0.0153,0.0215,-0.0276,-0.0169,-0.0276,-0.023,0.0092,-0.0615,-0.0594,-0.0515,-0.038,-0.071,0.0515,0.0262,-0.0799,0.0184,0.0699,-0.0617,0.0537,0.0562,-0.0721,-0.0484,-0.0639,-0.0578,0.0353,-0.025,0.0108,-0.0875,-0.0163,0.0732,-0.598,1.0,0.316,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-0.5664,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.16,run,3.97,4.56,-10.85,3.02,-6.26,0.0,0.0,0.0,0.091,-2.99,15.56,77.87,-1.76,11.07,80.6,1.05,14.24,78.93,3.6,13.45,81.65,1.23,15.73,78.57,-4.48,14.5,79.89,-7.41,21.81,77.78,-6.88,7.09,85.72,-4.32,15.46,79.55,7.85,9.02,86.43,1.5,17.04,80.95,-8.29,10.17,85.11,-1.0,1.0,-0.0312,-1.0,-0.2819,1.0,-0.2369,-0.0288,-0.4746,1.0,-1.0,1.0,1.0,0.8299,1.0,-1.0,-1.0,1.0,0.026,0.013,0.0,0.033,0.0,0.091,0.006,0.006,0.033,0.013,0.0,0.045,0.006,0.0,0.0,0.0,0.0,0.026,-0.0337,-0.0307,-0.0245,-0.023,-0.043,0.0199,0.0153,-0.0414,0.0061,0.0383,-0.0353,0.0291,0.023,-0.0353,-0.0184,-0.043,-0.0353,0.0215,-0.0945,-0.053,-0.0475,-0.0723,-0.0955,0.0875,0.0527,-0.0788,0.0358,0.1004,-0.089,0.089,0.045,-0.0791,-0.0396,-0.102,-0.0862,0.0705,-0.041,0.0202,-0.0501,0.0386,-0.064,-1.0,1.0,0.0516,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,0.0014,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.2,run,3.82,4.7,-4.49,4.45,-7.79,0.0,0.0,0.0,0.091,-4.31,15.56,77.96,-2.9,9.84,82.0,0.97,14.24,79.54,4.66,12.22,83.06,0.62,15.29,79.1,-5.71,13.36,81.04,-8.91,23.31,79.28,-8.38,5.59,87.22,-5.82,16.96,81.05,9.35,7.52,87.93,3.0,15.54,82.45,-9.79,8.67,86.61,-1.0,1.0,0.7088,-1.0,-0.9102,1.0,-1.0,1.0,0.8374,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.026,0.013,0.0,0.033,0.0,0.091,0.006,0.006,0.033,0.013,0.0,0.045,0.006,0.0,0.0,0.0,0.0,0.026,-0.0537,-0.0307,-0.0245,-0.0414,-0.0614,0.0414,0.0153,-0.0476,0.0153,0.0568,-0.0537,0.0476,0.0215,-0.0491,-0.0153,-0.0644,-0.0552,0.0399,-0.1352,-0.0371,-0.0332,-0.1143,-0.1305,0.1356,0.0369,-0.0764,0.0569,0.134,-0.126,0.126,0.0262,-0.1031,-0.0171,-0.1457,-0.1293,0.113,-0.0838,0.029,-0.1894,0.0527,-0.1093,-1.0,1.0,-0.0312,-1.0,-0.2819,1.0,-0.2369,-0.0288,-0.4746,1.0,-1.0,1.0,1.0,0.8299,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.24,run,3.62,4.6,-6.4,-1.64,-10.65,0.0,0.0,0.0,0.195,-5.62,16.0,78.05,-4.31,8.61,83.41,0.62,14.24,79.98,6.24,10.99,84.38,0.53,15.12,79.8,-7.12,12.04,82.35,-7.41,24.81,80.78,-9.88,7.09,88.72,-4.32,15.46,79.55,10.85,6.02,89.43,1.5,14.04,83.95,-11.29,7.17,88.11,0.3063,1.0,0.7049,-1.0,0.847,1.0,-0.0179,-1.0,-0.6787,1.0,-1.0,1.0,-0.1137,-0.1893,1.0,-1.0,-1.0,1.0,0.013,0.143,0.033,0.039,0.0,0.052,0.019,0.195,0.013,0.013,0.006,0.019,0.006,0.0,0.019,0.0,0.0,0.039,-0.0767,-0.0307,-0.023,-0.0614,-0.0828,0.066,0.0138,-0.0476,0.0261,0.0752,-0.0752,0.0721,0.0107,-0.0568,-0.0061,-0.0859,-0.0752,0.0598,-0.1887,-0.026,-0.017,-0.1615,-0.1792,0.1952,0.0195,-0.0535,0.0837,0.169,-0.176,0.1885,-0.0255,-0.1035,0.0257,-0.1898,-0.1721,0.1606,-0.0966,0.0413,-0.0783,0.0776,-0.136,-1.0,1.0,0.7088,-1.0,-0.9102,1.0,-1.0,1.0,0.8374,1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.28,run,3.0,4.52,-14.31,-1.5,-11.43,0.0,0.0,0.0,0.195,-7.03,17.14,78.57,-6.15,7.21,85.34,-1.05,14.77,80.33,7.82,9.23,86.31,0.79,14.59,81.47,-8.96,10.28,84.11,-5.91,26.31,79.28,-11.38,5.59,87.22,-5.82,16.96,81.05,12.35,4.52,90.93,3.0,12.54,85.45,-12.79,5.67,89.61,0.1211,1.0,-0.2253,-1.0,-1.0,-1.0,-1.0,1.0,0.7154,1.0,-1.0,1.0,0.9615,0.5252,1.0,-1.0,-1.0,1.0,0.013,0.143,0.033,0.039,0.0,0.052,0.019,0.195,0.013,0.013,0.006,0.019,0.006,0.0,0.019,0.0,0.0,0.039,-0.0997,-0.023,-0.0215,-0.0859,-0.1043,0.0905,0.0077,-0.0476,0.0337,0.1028,-0.0966,0.0951,0.0092,-0.0598,0.0061,-0.1104,-0.0982,0.0828,-0.2126,0.0087,-0.0065,-0.199,-0.2006,0.2225,-0.0078,-0.0374,0.0854,0.215,-0.1983,0.2125,-0.0232,-0.0832,0.0609,-0.2187,-0.201,0.193,-0.1143,0.0324,-0.1116,-0.0287,-0.1858,0.3063,1.0,0.7049,-1.0,0.847,1.0,-0.0179,-1.0,-0.6787,1.0,-1.0,1.0,-0.1137,-0.1893,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.32,run,2.84,4.45,-4.55,-2.56,-5.69,0.0,0.0,0.0,0.195,-7.73,18.19,79.1,-7.47,6.42,86.57,-1.93,14.94,80.33,9.05,8.0,87.54,1.32,13.89,82.53,-10.11,8.96,85.34,-7.41,27.81,80.78,-12.88,7.09,88.72,-7.32,18.46,82.55,13.85,3.02,92.43,4.5,11.04,83.95,-14.29,4.17,91.11,-1.0,1.0,0.4267,-1.0,0.7038,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.2031,-1.0,-1.0,-1.0,-1.0,1.0,0.013,0.143,0.033,0.039,0.0,0.052,0.019,0.195,0.013,0.013,0.006,0.019,0.006,0.0,0.019,0.0,0.0,0.039,-0.1243,-0.0031,-0.0123,-0.1181,-0.1289,0.1243,-0.0215,-0.0383,0.0399,0.1304,-0.1273,0.1289,0.0138,-0.069,0.0353,-0.1427,-0.1289,0.1135,-0.2229,0.0663,0.0232,-0.2366,-0.2145,0.2577,-0.0935,0.0016,0.0783,0.2339,-0.2315,0.2507,-0.0024,-0.086,0.1307,-0.2504,-0.2333,0.2277,-0.1682,0.026,-0.2498,-0.0262,-0.1995,0.1211,1.0,-0.2253,-1.0,-1.0,-1.0,-1.0,1.0,0.7154,1.0,-1.0,1.0,0.9615,0.5252,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.36,run,2.51,4.3,-9.08,-4.71,-5.92,0.0,0.0,0.0,0.331,-8.26,19.34,79.37,-8.79,5.89,87.45,-3.08,15.03,80.33,10.37,6.77,88.95,1.93,12.92,83.58,-11.43,7.73,86.75,-8.91,26.31,79.28,-14.38,8.59,87.22,-8.82,16.96,81.05,15.35,1.52,93.93,3.0,9.54,85.45,-15.79,2.67,92.61,-1.0,-0.2894,-0.5702,-1.0,1.0,-0.8921,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.2234,1.0,-1.0,-1.0,0.8713,0.019,0.279,0.033,0.026,0.0,0.019,0.052,0.331,0.013,0.026,0.006,0.019,0.013,0.0,0.006,0.006,0.006,0.033,-0.1365,0.0153,-0.0031,-0.1411,-0.1427,0.1457,-0.0368,-0.0353,0.0399,0.1519,-0.1488,0.1503,0.023,-0.0813,0.0537,-0.1626,-0.1519,0.135,-0.2013,0.1143,0.0502,-0.2505,-0.2011,0.2596,-0.122,0.0124,0.0548,0.2429,-0.2413,0.2547,0.0323,-0.1055,0.1594,-0.2488,-0.2482,0.2386,-0.1818,0.0191,-0.0794,-0.0447,-0.0993,-1.0,1.0,0.4267,-1.0,0.7038,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.2031,-1.0,-1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
