t_unix,roll_deg,pitch_deg,gx_dps,gy_dps,gz_dps
1786485272.532,-1.64,4.3,-0.26,0.1,-0.12
1786485272.548,-1.59,4.4,-0.11,-0.05,-0.19
1786485272.849,-0.83,4.23,-0.05,0.03,0.31
1786485273.149,-1.35,4.25,-0.38,0.0,0.07
1786485273.449,-1.68,4.39,-0.03,0.18,0.54
1786485273.75,-0.89,4.3,-0.1,-0.06,0.32
1786485274.05,-1.08,4.08,-0.57,-0.13,0.12
1786485274.35,-1.47,4.31,-0.05,0.27,0.63
1786485274.65,-1.49,4.41,-0.4,0.16,0.23
1786485274.961,-1.78,4.41,-0.12,0.04,0.24
1786485275.251,-1.54,4.24,-0.17,0.03,0.28
1786485275.552,-1.11,4.18,-0.5,-0.13,0.11
1786485275.852,-1.5,4.37,-0.21,0.07,0.41
1786485276.152,-1.69,4.46,-0.07,0.34,0.44
1786485276.453,-1.28,4.28,-0.41,-0.04,0.05
1786485276.753,-1.03,4.39,-0.45,-0.13,0.06
1786485277.059,-0.86,4.32,0.0,-0.05,0.27
1786485277.354,-0.96,4.22,-0.5,-0.11,0.14
1786485277.654,-1.36,4.35,-0.29,-0.03,0.21
1786485277.954,-1.02,4.35,-0.17,0.01,0.16
1786485278.255,-1.49,4.3,0.05,0.07,0.55
1786485278.555,-1.28,4.2,0.05,0.08,0.67
1786485278.855,-1.19,4.26,-0.02,0.26,0.63
1786485279.166,-0.8,4.35,-0.23,0.02,0.42
1786485279.457,-1.4,4.35,-0.73,0.0,0.16
1786485279.757,-1.67,4.43,0.02,0.06,0.52
1786485280.058,-1.28,4.3,-0.42,-0.03,0.12
1786485280.374,-1.51,4.38,-0.58,0.12,0.25
1786485280.674,-1.67,4.38,0.0,0.08,0.42
1786485280.958,-1.22,4.41,-0.01,0.1,0.5
1786485281.259,-1.36,4.24,-0.2,-0.22,0.39
1786485281.559,-1.63,4.23,-0.17,0.17,0.54
1786485281.859,-1.75,4.29,0.04,0.15,0.58
1786485282.16,-0.92,4.36,0.24,-0.09,0.47
1786485282.46,-1.02,4.43,-0.6,-0.1,0.27
1786485282.76,-1.46,4.29,-0.56,0.07,0.13
1786485283.061,-0.98,4.26,0.11,0.1,0.53
1786485283.361,-1.24,4.29,-0.47,0.15,0.35
1786485283.685,-1.13,4.45,-0.69,0.02,0.22
1786485283.961,-1.48,4.42,0.41,0.0,0.41
1786485284.262,-0.64,4.36,0.16,-0.29,0.16
1786485284.562,-0.74,4.19,-0.8,0.31,0.45
1786485284.862,-1.65,4.27,-0.45,0.04,0.25
1786485285.163,-1.67,4.39,0.63,-0.13,0.58
1786485285.463,-0.68,4.59,0.21,0.21,0.82
1786485285.763,-1.25,4.38,-0.21,-0.03,0.74
1786485286.064,-1.63,4.2,0.08,0.26,0.58
1786485286.364,-1.89,4.3,0.1,-0.01,0.12
1786485286.664,-1.68,4.5,0.27,0.14,0.59
1786485286.964,-0.72,4.4,-0.02,-0.26,0.19
1786485287.265,-1.06,4.27,-0.66,-0.04,0.19
1786485287.565,-0.85,4.09,-0.62,0.12,0.45
1786485287.865,-1.64,4.37,-0.17,0.12,0.45
1786485288.166,-1.26,4.55,-0.6,0.23,0.39
1786485288.483,-1.46,4.31,-0.4,-0.02,0.36
1786485288.767,-1.31,4.17,0.19,0.12,0.52
1786485289.067,-1.55,4.5,-0.23,-0.07,0.06
1786485289.367,-1.44,4.31,-0.17,0.06,0.23
1786485289.668,-1.13,4.21,-0.27,-0.03,-0.04
1786485289.968,-1.76,4.41,-0.06,-0.03,0.28
1786485290.268,-1.14,4.43,0.31,-0.06,0.67
1786485290.569,-0.99,4.19,-0.73,0.13,0.25
1786485290.885,-1.69,4.33,-0.35,0.2,0.32
1786485291.175,-1.13,4.16,-0.43,-0.0,-0.15
