t_unix,roll_deg,pitch_deg,gx_dps,gy_dps,gz_dps
1786485291.47,-1.45,4.46,-0.06,0.0,0.36
1786485291.769,-1.03,4.43,-0.17,-0.16,0.13
1786485292.07,-0.89,4.33,-0.51,-0.15,0.12
1786485292.37,-1.36,4.13,-0.3,-0.1,0.16
1786485292.673,-1.8,4.39,0.05,0.13,0.48
1786485292.973,-1.37,4.51,-0.34,-0.1,0.23
1786485293.273,-1.3,4.46,-0.1,0.0,0.47
1786485293.574,-0.97,4.29,0.28,-0.12,0.41
1786485293.874,-1.34,4.19,-0.73,0.03,-0.03
1786485294.174,-1.71,4.3,0.23,0.26,0.54
1786485294.475,-1.44,4.49,0.06,-0.12,0.48
1786485294.775,-1.43,4.49,-0.4,-0.06,0.12
1786485295.075,-1.81,4.41,0.28,0.0,0.76
1786485295.376,-0.77,4.24,-0.13,-0.17,0.37
1786485295.676,-1.18,4.49,-0.63,0.13,0.55
1786485295.976,-2.21,4.41,-0.19,-0.04,0.29
1786485296.277,-1.13,4.46,0.19,0.02,0.55
1786485296.577,-0.63,4.42,-0.36,-0.14,0.2
1786485296.877,-1.54,4.19,-0.43,0.13,0.14
1786485297.177,-1.87,4.05,0.28,0.13,0.38
1786485297.478,-1.21,4.34,-0.16,0.15,0.33
1786485297.78,-1.52,4.41,-0.1,-0.06,0.32
1786485298.078,-1.83,4.44,0.11,0.06,0.31
1786485298.378,-1.28,4.16,0.31,-0.06,0.48
1786485298.678,-1.42,4.48,-0.3,-0.08,0.37
1786485298.979,-1.22,4.34,-0.03,0.07,0.55
1786485299.279,-1.49,4.36,0.26,0.03,0.46
1786485299.596,-1.7,4.29,0.33,0.23,0.41
1786485299.88,-1.36,4.45,0.07,-0.04,0.2
1786485300.18,-1.63,4.44,0.03,-0.11,0.54
1786485300.48,-1.17,4.28,-0.18,0.03,0.5
1786485300.789,-1.31,4.29,-0.52,0.13,0.25
1786485301.085,-0.8,4.33,-0.72,-0.16,0.16
1786485301.381,-1.37,4.32,-0.34,0.04,0.17
