t_s,tick,seg,phase,joint,t_send_s,t_recv_s,overrun,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,cur_a,load_pct,volt,temp_c
0.0011,-184,-1,glide,-1,0.0011,0.0102,0,-0.527,-21.885,58.359,0.703,-11.953,42.539,2.461,-24.873,73.740,2.373,0.967,73.564,1.670,-17.578,77.783,-0.967,-18.809,68.027,-0.527,-21.885,58.359,0.703,-11.953,42.539,2.461,-24.873,73.740,2.373,0.967,73.564,1.670,-17.578,77.783,-0.967,-18.809,68.027,0.000,0.0,12.00,32.0
0.0414,-183,-1,glide,-1,0.0414,0.0507,0,-0.527,-21.885,58.359,0.703,-11.953,42.539,2.461,-24.873,73.740,2.373,0.967,73.564,1.670,-17.578,77.783,-0.967,-18.809,68.027,-0.527,-21.882,58.353,0.703,-11.951,42.534,2.461,-24.870,73.732,2.373,0.967,73.556,1.670,-17.576,77.774,-0.966,-18.806,68.019,0.000,0.0,12.00,32.0
0.0814,-182,-1,glide,-1,0.0814,0.0908,0,-0.527,-21.885,58.359,0.703,-11.953,42.539,2.461,-24.873,73.740,2.373,0.967,73.564,1.670,-17.578,77.783,-0.967,-18.809,68.027,-0.527,-21.874,58.333,0.704,-11.947,42.520,2.460,-24.862,73.706,2.371,0.967,73.530,1.670,-17.570,77.747,-0.966,-18.799,67.996,0.000,0.0,12.00,32.0
0.1214,-181,-1,glide,-1,0.1214,0.1307,0,-0.527,-21.885,58.359,0.703,-11.953,42.539,2.461,-24.873,73.740,2.373,0.967,73.564,1.670,-17.578,77.783,-0.967,-18.809,68.027,-0.527,-21.860,58.299,0.704,-11.938,42.496,2.460,-24.848,73.664,2.369,0.968,73.488,1.670,-17.561,77.703,-0.964,-18.787,67.957,0.000,0.0,12.00,32.0
0.1616,-180,-1,glide,-1,0.1616,1.6563,0,-0.527,-21.885,58.359,0.703,-11.953,42.539,2.461,-24.873,73.740,2.373,0.967,73.477,1.670,-17.578,77.695,-0.967,-18.809,68.027,-0.526,-21.840,58.253,0.705,-11.927,42.462,2.459,-24.829,73.606,2.366,0.968,73.430,1.669,-17.548,77.640,-0.962,-18.770,67.903,0.006,2.4,12.00,32.0
1.6833,-179,-1,glide,-1,1.6833,1.6973,0,-0.527,-21.885,58.359,0.703,-11.953,42.539,2.461,-24.873,73.740,2.373,0.967,73.477,1.670,-17.578,77.695,-0.967,-18.809,68.027,-0.526,-21.816,58.194,0.705,-11.913,42.420,2.458,-24.805,73.531,2.362,0.969,73.355,1.669,-17.531,77.561,-0.959,-18.749,67.834,0.006,2.4,12.00,32.0
1.6981,-178,-1,glide,-1,1.6981,1.7071,0,-0.527,-21.885,58.359,0.703,-11.953,42.539,2.461,-24.873,73.740,2.373,0.967,73.477,1.670,-17.578,77.695,-0.967,-18.809,68.027,-0.525,-21.786,58.123,0.706,-11.895,42.368,2.456,-24.775,73.440,2.357,0.970,73.264,1.669,-17.510,77.465,-0.956,-18.723,67.750,0.006,2.4,12.00,32.0
1.7079,-177,-1,glide,-1,1.7079,1.7172,0,-0.527,-21.885,58.359,0.703,-11.953,42.539,2.461,-24.873,73.740,2.373,0.967,73.477,1.670,-17.578,77.695,-0.967,-18.809,68.027,-0.524,-21.750,58.038,0.708,-11.874,42.307,2.454,-24.740,73.334,2.352,0.972,73.157,1.668,-17.486,77.352,-0.952,-18.692,67.652,0.006,2.4,12.00,32.0
1.7180,-176,-1,glide,-1,1.7180,1.7264,0,-0.527,-21.885,58.359,0.703,-11.953,42.539,2.461,-24.873,73.740,2.373,0.967,73.477,1.670,-17.578,77.695,-0.967,-18.809,68.027,-0.523,-21.710,57.942,0.709,-11.851,42.238,2.453,-24.700,73.212,2.345,0.973,73.034,1.668,-17.458,77.222,-0.948,-18.657,67.539,0.006,2.4,12.00,32.0
1.7272,-175,-1,glide,-1,1.7272,1.7364,0,-0.527,-21.885,58.359,0.703,-11.953,42.451,2.461,-24.873,73.740,2.373,0.967,73.477,1.670,-17.578,77.695,-0.967,-18.809,68.027,-0.522,-21.665,57.833,0.711,-11.824,42.159,2.450,-24.655,73.074,2.338,0.975,72.897,1.668,-17.427,77.076,-0.943,-18.618,67.412,0.006,2.4,12.00,32.0
1.7371,-174,-1,glide,-1,1.7371,1.7458,0,-0.527,-21.885,58.271,0.703,-11.953,42.451,2.461,-24.873,73.740,2.373,0.967,73.389,1.670,-17.578,77.607,-0.967,-18.809,67.939,-0.521,-21.614,57.713,0.712,-11.795,42.072,2.448,-24.605,72.921,2.330,0.977,72.744,1.667,-17.393,76.914,-0.938,-18.574,67.271,0.006,2.4,12.00,32.0
