time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/total_timesteps,train/explained_variance,train/std,train/loss,train/clip_fraction,train/value_loss,train/n_updates,train/learning_rate,train/policy_gradient_loss,train/clip_range,train/entropy_loss,train/approx_kl
1,800.0,1311.910888671875,5,5578,32768,,,,,,,,,,,
2,795.0,1277.2203369140625,12,5138,65536,-0.7827974557876587,0.18262839317321777,0.007845677435398102,0.3984883626302083,0.18623114424796464,6,0.00015,0.004253377198134937,0.2,7.313276095936696,0.032220937
3,796.0,1279.483642578125,19,4993,98304,0.26550590991973877,0.18268956243991852,0.017782416194677353,0.3894195556640625,0.03704579444941677,12,0.00015,0.0018056303645911005,0.2,7.3103810002406435,0.03184036
4,796.0,1278.2689208984375,26,4910,131072,0.7189102172851562,0.18257901072502136,0.01002546027302742,0.3920338948567708,0.026512419904368773,18,0.00015,-0.0008386678321888515,0.2,7.3173863142728806,0.032516107
5,796.0,1300.2301025390625,33,4872,163840,0.7775651216506958,0.18255315721035004,0.002055223099887371,0.3983815511067708,0.023118669584315892,24,0.00015,0.001365369386500485,0.2,7.328694769491752,0.033052363
6,796.0,1304.50537109375,40,4843,196608,0.8652387857437134,0.18245594203472137,0.008328573778271675,0.39752197265625,0.020711194364897285,30,0.00015,-0.00036192216794006526,0.2,7.3380792153378325,0.033295803
7,798.0,1306.706298828125,47,4816,229376,0.899542510509491,0.1823432594537735,-0.008082923479378223,0.3966725667317708,0.020219626174366567,36,0.00015,0.00019157927514849385,0.2,7.352456615616878,0.033128183
8,798.0,1315.811767578125,54,4790,262144,0.9163686037063599,0.1821845918893814,0.006935489363968372,0.4054056803385417,0.020194808161856297,42,0.00015,-0.0016301961859426228,0.2,7.372813381254673,0.03451886
9,800.0,1325.68212890625,61,4775,294912,0.9337145090103149,0.18223513662815094,0.0034268912859261036,0.397125244140625,0.01738431576086441,48,0.00015,-0.000578051252887235,0.2,7.372405134141445,0.034092586
10,798.0,1306.83447265625,68,4770,327680,0.931725800037384,0.18213337659835815,-0.0006329575553536415,0.4027201334635417,0.016422701861301903,54,0.00015,-0.0016015542666233766,0.2,7.386297836899757,0.036571424
11,794.0,1287.3544921875,75,4757,360448,0.94525545835495,0.18194866180419922,-0.0010125376284122467,0.3963216145833333,0.015275425030267797,60,0.00015,-0.001645865368724723,0.2,7.405582866321008,0.035397194
12,796.0,1283.50146484375,82,4747,393216,0.9476364850997925,0.1817069798707962,-0.0013776998966932297,0.4059906005859375,0.015399723779410124,66,0.00015,-0.0010333554121946993,0.2,7.43575790648659,0.03523524
13,794.0,1264.6617431640625,90,4730,425984,0.9352408051490784,0.18170931935310364,-0.0013282634317874908,0.4235178629557292,0.01942205759890688,72,0.00015,-0.0019007905587689795,0.2,7.448828887194395,0.03952515
14,796.0,1284.8145751953125,97,4693,458752,0.9537241458892822,0.18157808482646942,0.0024736281484365463,0.4183298746744792,0.016525209347795073,78,0.00015,-0.0028075040318071842,0.2,7.4614852132896585,0.038980946
15,796.0,1287.319091796875,104,4694,491520,0.9636278748512268,0.18125885725021362,0.0061017246916890144,0.4214223225911458,0.01421574499545386,84,0.00015,-0.0015283383078591821,0.2,7.497000427295764,0.03947554
16,800.0,1305.89892578125,112,4676,524288,0.9520384669303894,0.1811174750328064,0.003237785305827856,0.4188944498697917,0.014054570708443256,90,0.00015,-0.001120011786648926,0.2,7.522956745078166,0.038310442
17,800.0,1286.4119873046875,119,4678,557056,0.9506559371948242,0.18099826574325562,-0.01014783512800932,0.4259541829427083,0.01581326363035866,96,0.00015,-0.0017220365474107286,0.2,7.546355317036311,0.04335985
18,798.0,1294.7724609375,126,4674,589824,0.951593279838562,0.18076246976852417,-0.004978417884558439,0.4144948323567708,0.013734179012923656,102,0.00015,-0.002207995809537048,0.2,7.570516811062892,0.038466357
19,798.0,1314.5780029296875,133,4671,622592,0.9604101181030273,0.1807093322277069,-0.0051857172511518,0.4239095052083333,0.013624549904003894,108,0.00015,-0.0014834573363865882,0.2,7.590304339925448,0.039511424
20,798.0,1328.7801513671875,140,4659,655360,0.9547430276870728,0.18048909306526184,0.0003793565556406975,0.4212137858072917,0.012282178448610162,114,0.00015,-0.0018095831631702215,0.2,7.611963817228873,0.03851573
21,798.0,1328.6767578125,147,4651,688128,0.962298572063446,0.18059387803077698,-0.025817159563302994,0.4268391927083333,0.01232870580861345,120,0.00015,-0.0022626745121669956,0.2,7.6175650134682655,0.04037348
22,798.0,1312.4251708984375,162,4447,720896,0.9620615243911743,0.18059632182121277,0.008022350259125233,0.4250335693359375,0.013071551325992914,126,0.00015,-0.0018038891345592372,0.2,7.6098828588922816,0.039464217
23,800.0,1307.47607421875,178,4217,753664,0.9653201699256897,0.18042145669460297,-0.004312353208661079,0.4212443033854167,0.0108853198204694,132,0.00015,-0.003477625987822345,0.2,7.626630862553914,0.04002205
24,798.0,1296.285888671875,194,4044,786432,0.9705268740653992,0.18039986491203308,-0.007698525208979845,0.4317576090494792,0.011290774173782362,138,0.00015,-0.004098747965448031,0.2,7.64009531835715,0.043315373
25,794.0,1290.9583740234375,209,3904,819200,0.9653858542442322,0.1802220344543457,-0.005242167506366968,0.4441986083984375,0.013030606051567398,144,0.00015,-0.0036333423728744187,0.2,7.655340044448773,0.04434151
26,794.0,1299.0439453125,216,3927,851968,0.9524796605110168,0.18019308149814606,0.002406613901257515,0.4405771891276042,0.015903130857623182,150,0.00015,-0.0037183983367867768,0.2,7.670550727595885,0.043131642
27,798.0,1304.4786376953125,224,3949,884736,0.9639112949371338,0.1800294667482376,-0.018669061362743378,0.4395192464192708,0.013695722055369211,156,0.00015,-0.0027305572275508894,0.2,7.682866379618645,0.043638896
28,800.0,1291.2579345703125,231,3969,917504,0.955097496509552,0.18007469177246094,0.00034175440669059753,0.4496714274088542,0.014755918469745666,162,0.00015,-0.002634810722762874,0.2,7.685939287145932,0.044057243
29,800.0,1308.9349365234375,245,3873,950272,0.9658157825469971,0.18014977872371674,-0.010163722559809685,0.4343668619791667,0.011959633894245295,168,0.00015,-0.0025986947215036102,0.2,7.6807422911127405,0.042066205
30,800.0,1316.2789306640625,258,3799,983040,0.9658868312835693,0.18002170324325562,-0.01679425686597824,0.4382069905598958,0.011757871990994317,174,0.00015,-0.0017336698480600414,0.2,7.6892690894504385,0.043210417
31,800.0,1322.5330810546875,269,3765,1015808,0.9410378336906433,0.18010041117668152,-0.0004597129300236702,0.45391845703125,0.015103177749551833,180,0.00015,-0.003924403453008078,0.2,7.68927173440655,0.048415266
32,798.0,1308.6590576171875,280,3744,1048576,0.968431293964386,0.1799013465642929,-0.0034016037825495005,0.444122314453125,0.010012143435839485,186,0.00015,-0.003335059157204038,0.2,7.70056614279747,0.04435926
33,798.0,1323.5196533203125,290,3719,1081344,0.963262140750885,0.17968258261680603,-0.0015820013359189034,0.4425099690755208,0.012161413518091043,192,0.00015,-0.0026198892198105264,0.2,7.734797665228446,0.044069562
