time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/std,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss
6,800.0,1056.8193359375,5070,1,32768,,,,,,,,,,,
13,800.0,1003.7327270507812,4752,2,65536,0.1826932728290558,0.00015,7.3079340271651745,-0.8925678730010986,0.2,0.4021402994791667,0.13835544131385782,0.03236341,6,0.0031385565768384063,0.011124150827527046
21,800.0,992.8543701171875,4675,3,98304,0.18277794122695923,0.00015,7.298156846314669,0.41601377725601196,0.2,0.4010213216145833,0.03376049830694683,0.03412626,12,0.0013906230639501398,0.00502809789031744
28,800.0,1019.2809448242188,4625,4,131072,0.18287315964698792,0.00015,7.285478577017784,0.7592636346817017,0.2,0.4017486572265625,0.027958038728684187,0.032850854,18,0.00042289007372649695,0.00465987715870142
35,794.22,1038.282470703125,4596,5,163840,0.18278703093528748,0.00015,7.289374762525161,0.7980629801750183,0.2,0.4026082356770833,0.028484017656107124,0.034897048,24,0.0002341505041840719,0.02054411917924881
43,794.22,1040.9423828125,4527,6,196608,0.1826135516166687,0.00015,7.3106256400545435,0.848349392414093,0.2,0.4115498860677083,0.02567785635377125,0.034575853,30,-0.0007580623441754142,-0.0028478559106588364
51,796.22,990.7355346679688,4468,7,229376,0.1826615333557129,0.00015,7.31748778745532,0.8748300671577454,0.2,0.4109903971354167,0.030970694390513625,0.035746716,36,-0.00031636518997402163,-0.002776937559247017
59,798.0,987.426513671875,4435,8,262144,0.1827712059020996,0.00015,7.299156039953232,0.9105016589164734,0.2,0.4068145751953125,0.03181482867512386,0.03653428,42,-0.0001236472514089352,0.01078900508582592
66,795.5,998.5055541992188,4426,9,294912,0.18292135000228882,0.00015,7.282868331919114,0.905247151851654,0.2,0.4165751139322917,0.03378208548626086,0.037534095,48,-0.002048523895912998,0.011908242478966713
74,795.5,1006.5504150390625,4421,10,327680,0.1828940212726593,0.00015,7.276627454906702,0.9051747918128967,0.2,0.422149658203125,0.03362152003198086,0.0376738,54,-0.0012850991855278455,-0.006263721734285355
81,800.0,1028.700439453125,4413,11,360448,0.18308815360069275,0.00015,7.261261182526748,0.8983643054962158,0.2,0.4292195638020833,0.03822226055490319,0.037901007,60,-0.00022373743498368034,0.011430536396801472
89,800.0,1017.5521850585938,4400,12,393216,0.18317291140556335,0.00015,7.249867097785075,0.9376556873321533,0.2,0.4166310628255208,0.03258430703135673,0.036361307,66,-0.0009202782581875605,0.019245050847530365
96,794.62,988.2686157226562,4396,13,425984,0.18314412236213684,0.00015,7.240395665168762,0.9297078847885132,0.2,0.4246114095052083,0.03714785674916735,0.03853891,72,-0.001509723532459854,0.005614658817648888
104,794.62,1018.9249877929688,4383,14,458752,0.1832737773656845,0.00015,7.233623581628005,0.9282359480857849,0.2,0.4282887776692708,0.035894113393927306,0.040172465,78,-0.001791659282995776,-0.011489886790513992
112,796.0,1026.9454345703125,4373,15,491520,0.18329206109046936,0.00015,7.226756198952596,0.9156702756881714,0.2,0.4358062744140625,0.031013026780177217,0.039614182,84,-0.0016223823840846308,0.004325302317738533
120,798.88,997.30078125,4364,16,524288,0.18355637788772583,0.00015,7.199069702376922,0.9203794002532959,0.2,0.4308115641276042,0.03399820235305621,0.038833592,90,-0.0018198222357265574,0.014147402718663216
127,798.88,1000.6099243164062,4359,17,557056,0.18365280330181122,0.00015,7.178958331545194,0.920482873916626,0.2,0.430267333984375,0.03289296342700254,0.038991824,96,-0.0018168976621382171,0.007063540630042553
135,796.18,1015.1600952148438,4355,18,589824,0.1835402101278305,0.00015,7.184378889699777,0.9050025343894958,0.2,0.4358011881510417,0.03230651538372816,0.040555403,102,-0.000298667897368432,0.016212359070777893
142,795.12,1018.029052734375,4354,19,622592,0.1835983544588089,0.00015,7.183563896765311,0.933087170124054,0.2,0.4466196695963542,0.03047578453454965,0.04143554,108,-0.003508903373585781,-0.007660704664885998
150,796.77,982.3591918945312,4349,20,655360,0.18369412422180176,0.00015,7.170781601220369,0.938082754611969,0.2,0.443603515625,0.03114354751596693,0.041987687,114,-0.0021341645242500817,0.00462301354855299
