time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/std,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance
31,300.0,94,351.5708312988281,5399,507904,0.440875244140625,-0.03351679816842079,0.17566747963428497,300,0.048434034,5.766849800944328,0.0003,0.2,-0.01727545179237495,0.007801806743373163,0.9917548298835754
32,300.0,96,396.05340576171875,5405,524288,0.42581787109375,-0.0288881603628397,0.17556805908679962,310,0.04342372,5.773187081515789,0.0003,0.2,-0.01742147785698762,0.005557331649470143,0.9899038672447205
33,300.0,100,369.90069580078125,5402,540672,0.429449462890625,-0.0288764126598835,0.17487293481826782,320,0.04579777,5.825215689837933,0.0003,0.2,-0.01711111041076947,0.00522858615295263,0.9900879263877869
34,300.0,103,356.33819580078125,5400,557056,0.434918212890625,-0.020012710243463516,0.17400816082954407,330,0.046939664,5.907561002671718,0.0003,0.2,-0.016319327220116975,0.007080764076090418,0.9924689531326294
35,300.0,106,360.5101318359375,5403,573440,0.4337158203125,-0.011891528964042664,0.1736910045146942,340,0.04631266,5.958742652833462,0.0003,0.2,-0.01497827974235406,0.006328499472874683,0.9924047589302063
36,300.0,109,367.80743408203125,5407,589824,0.438494873046875,-0.01906159706413746,0.17328132688999176,350,0.045890894,5.9967371568083765,0.0003,0.2,-0.0182700517027115,0.006183995261380915,0.9918962121009827
37,300.0,112,369.04034423828125,5411,606208,0.449053955078125,-0.02044878527522087,0.1728750467300415,360,0.046018656,6.044849082827568,0.0003,0.2,-0.016069935870473274,0.005650600403896533,0.9904158711433411
38,300.0,114,360.0299987792969,5415,622592,0.461181640625,-0.020849063992500305,0.17252369225025177,370,0.047338724,6.082609434425831,0.0003,0.2,-0.014606440801435383,0.005901927244849503,0.9912447929382324
39,300.0,117,378.0191345214844,5427,638976,0.4537841796875,-0.02464965358376503,0.1722244769334793,380,0.04809914,6.112530729174614,0.0003,0.2,-0.01592808198183775,0.005509712191997096,0.9889343976974487
40,300.0,120,375.44195556640625,5431,655360,0.452313232421875,-0.0257338248193264,0.17212843894958496,390,0.04785469,6.130145180225372,0.0003,0.2,-0.017710965100559407,0.005397158581763506,0.9841384887695312
41,300.0,123,364.00640869140625,5436,671744,0.4521728515625,-0.04390791803598404,0.1722160130739212,400,0.04819446,6.122362276911735,0.0003,0.2,-0.017810482181812404,0.005820264988869894,0.9921548962593079
42,300.0,126,378.509033203125,5440,688128,0.44981689453125,-0.037519894540309906,0.17166045308113098,410,0.047258615,6.163215760886669,0.0003,0.2,-0.01609360875809216,0.005733608345326502,0.9916765689849854
43,300.0,129,361.2286071777344,5441,704512,0.45069580078125,-0.009717877022922039,0.17133685946464539,420,0.050497994,6.206511895358562,0.0003,0.2,-0.016705225018085912,0.004939743306022137,0.9940370321273804
44,300.0,132,338.85980224609375,5441,720896,0.46070556640625,-0.03339127078652382,0.17087095975875854,430,0.052026626,6.25226538926363,0.0003,0.2,-0.015974613837897778,0.0064144736883463335,0.9915316104888916
45,300.0,135,343.9596862792969,5441,737280,0.463824462890625,-0.019335338845849037,0.17093327641487122,440,0.051487822,6.262638518214226,0.0003,0.2,-0.012969447338400641,0.007719811458082404,0.990605890750885
46,300.0,138,375.2388000488281,5449,753664,0.46297607421875,-0.039356306195259094,0.17094501852989197,450,0.050377574,6.25985378921032,0.0003,0.2,-0.016784192682098364,0.006012925440154504,0.9934306144714355
47,300.0,141,381.4124755859375,5452,770048,0.45709228515625,-0.04231775552034378,0.1706199049949646,460,0.05148823,6.288477809727192,0.0003,0.2,-0.01739798507624073,0.00463876129797427,0.9926436543464661
48,300.0,144,373.771728515625,5454,786432,0.4724365234375,-0.01910514198243618,0.17008566856384277,470,0.052552134,6.3285621255636215,0.0003,0.2,-0.019012304919306187,0.006200493243522942,0.9933333396911621
49,300.0,147,367.5614318847656,5456,802816,0.4619140625,-0.03119673766195774,0.16985805332660675,480,0.051338926,6.367607280611992,0.0003,0.2,-0.015510950310272165,0.0052550978201907125,0.9918360710144043
50,300.0,150,384.7447509765625,5458,819200,0.46407470703125,-0.0037559999618679285,0.1695231944322586,490,0.054136094,6.39885236620903,0.0003,0.2,-0.016638106355821948,0.005527338680985849,0.9941662549972534
51,300.0,152,394.0105895996094,5461,835584,0.47156982421875,-0.039107806980609894,0.16924108564853668,500,0.05222777,6.430938512086868,0.0003,0.2,-0.01559893129815464,0.004651219285733532,0.9932258725166321
52,300.0,156,371.1520690917969,5460,851968,0.46650390625,-0.017911549657583237,0.1691693514585495,510,0.055213433,6.44713341742754,0.0003,0.2,-0.01689479089982342,0.004723852569441078,0.992518961429596
53,300.0,158,351.7021179199219,5462,868352,0.458929443359375,-0.0327446311712265,0.16912521421909332,520,0.051113226,6.45248419046402,0.0003,0.2,-0.014275474923488218,0.006083389413834084,0.9933024644851685
54,300.0,161,368.6090087890625,5465,884736,0.49046630859375,-0.00978109985589981,0.1688164919614792,530,0.05794724,6.480640012025833,0.0003,0.2,-0.01725294968709932,0.005954184266738593,0.9910761713981628
55,300.0,164,385.1509094238281,5469,901120,0.47039794921875,-0.039476241916418076,0.16861742734909058,540,0.05573024,6.4986188352108005,0.0003,0.2,-0.016619089526648166,0.0043247026049357375,0.9931562542915344
56,300.0,167,380.4609680175781,5472,917504,0.479656982421875,-0.02925099991261959,0.16840189695358276,550,0.057747632,6.526638358831406,0.0003,0.2,-0.014662969722121489,0.005474744078674121,0.9928022027015686
57,300.0,170,396.82891845703125,5478,933888,0.485638427734375,-0.02886555902659893,0.16816359758377075,560,0.059228342,6.547203899919987,0.0003,0.2,-0.016940481252095196,0.004803618995356374,0.9923431277275085
58,300.0,173,387.326416015625,5479,950272,0.483367919921875,-0.029768895357847214,0.16789446771144867,570,0.05771764,6.577254693210125,0.0003,0.2,-0.015825328205391998,0.00416158021762385,0.9936279058456421
59,300.0,176,387.4062194824219,5485,966656,0.484747314453125,-0.03221176937222481,0.16770155727863312,580,0.056728348,6.597152657806873,0.0003,0.2,-0.014533568511251361,0.004865118757879827,0.994123101234436
60,300.0,179,405.6512145996094,5489,983040,0.482244873046875,-0.03661056235432625,0.16721037030220032,590,0.056013077,6.646517252922058,0.0003,0.2,-0.014642957998148631,0.004442166513035773,0.9890507459640503
61,300.0,181,396.3625793457031,5492,999424,0.48687744140625,-0.017344368621706963,0.1668885350227356,600,0.058059562,6.679385827481747,0.0003,0.2,-0.011943713759683306,0.004538631287869066,0.9935476779937744
62,300.0,184,407.9937744140625,5494,1015808,0.48477783203125,-0.026630204170942307,0.16675585508346558,610,0.05902045,6.70939838886261,0.0003,0.2,-0.01544179659249494,0.004744274001859594,0.9911728501319885
63,300.0,187,412.91876220703125,5501,1032192,0.48067626953125,-0.024902231991291046,0.1663709282875061,620,0.05593095,6.742438885569572,0.0003,0.2,-0.01609075857559219,0.00346873317976133,0.9950497150421143
64,300.0,190,417.1209716796875,5507,1048576,0.48868408203125,-0.02287459746003151,0.16614875197410583,630,0.060815517,6.76602324694395,0.0003,0.2,-0.015145435823797015,0.004076106725551654,0.9869199395179749
65,300.0,193,405.33203125,5508,1064960,0.489599609375,-0.023828772827982903,0.1656898707151413,640,0.05746373,6.807116279006005,0.0003,0.2,-0.014866958161292132,0.004090328462916659,0.9924288392066956
66,300.0,196,374.5901184082031,5510,1081344,0.48927001953125,-0.020790357142686844,0.1657266914844513,650,0.059624705,6.822974823415279,0.0003,0.2,-0.016527335508726537,0.004174368662643246,0.994185209274292
67,300.0,199,367.510009765625,5511,1097728,0.49686279296875,-0.028693316504359245,0.16526126861572266,660,0.06485818,6.856448335945606,0.0003,0.2,-0.015365354177629343,0.005444063623144757,0.9918659329414368
68,300.0,202,370.4662780761719,5512,1114112,0.500262451171875,-0.02688128873705864,0.16483478248119354,670,0.06360361,6.901513440907001,0.0003,0.2,-0.017182773500098846,0.005072312535776291,0.9915939569473267
69,300.0,205,391.34149169921875,5512,1130496,0.49913330078125,-0.018215565010905266,0.16480444371700287,680,0.06263504,6.916455210745335,0.0003,0.2,-0.014209955121623352,0.0056059308939438775,0.993164598941803
70,300.0,207,401.6576843261719,5514,1146880,0.504998779296875,-0.030686447396874428,0.16501379013061523,690,0.06308587,6.906916092336178,0.0003,0.2,-0.014639000689203385,0.004116915394115494,0.9940122365951538
71,300.0,210,398.4554748535156,5518,1163264,0.495343017578125,-0.025888171046972275,0.16465365886688232,700,0.06287849,6.921455623209477,0.0003,0.2,-0.017560008079453838,0.004773523257608758,0.9937825798988342
72,300.0,213,425.4772644042969,5524,1179648,0.50028076171875,-0.03257149085402489,0.16418936848640442,710,0.064287454,6.968151649832725,0.0003,0.2,-0.015321762907115044,0.0035464696898998226,0.9941357970237732
73,300.0,216,406.7735290527344,5524,1196032,0.498663330078125,-0.025648223236203194,0.16367317736148834,720,0.063179694,7.027791026234627,0.0003,0.2,-0.015106080511031905,0.003223824685846921,0.993658185005188
74,300.0,219,394.2159118652344,5526,1212416,0.510394287109375,-0.03379125893115997,0.16363488137722015,730,0.06758796,7.042727583646775,0.0003,0.2,-0.013032334566378267,0.004692613716906635,0.9935428500175476
75,300.0,222,399.9617919921875,5529,1228800,0.500238037109375,-0.027309492230415344,0.16364122927188873,740,0.06598188,7.041692999005318,0.0003,0.2,-0.015906671664561146,0.004668201934691751,0.9940353631973267
76,300.0,225,411.426513671875,5531,1245184,0.505950927734375,-0.011485493741929531,0.16349823772907257,750,0.06783454,7.058007219433785,0.0003,0.2,-0.012295348842599196,0.0038161903132277073,0.9939494132995605
77,300.0,227,407.69097900390625,5535,1261568,0.5087890625,-0.03432207554578781,0.16318602859973907,760,0.06335094,7.087034130096436,0.0003,0.2,-0.01644028207156225,0.003615507113863714,0.9928491115570068
78,300.0,230,412.83905029296875,5538,1277952,0.51116943359375,-0.031338322907686234,0.16299520432949066,770,0.06768254,7.116686706244946,0.0003,0.2,-0.014130481721076648,0.0042952937823429235,0.991033136844635
79,300.0,233,416.316650390625,5541,1294336,0.514337158203125,-0.01981409266591072,0.1628694236278534,780,0.06359241,7.1320172399282455,0.0003,0.2,-0.0127781275758025,0.004159212186641526,0.9917929172515869
80,300.0,236,384.03973388671875,5543,1310720,0.4981201171875,-0.004964987747371197,0.1620551347732544,790,0.0641975,7.190914426743984,0.0003,0.2,-0.01576789578903117,0.004513059491000604,0.9929079413414001
81,300.0,239,395.41668701171875,5546,1327104,0.512445068359375,-0.016546081751585007,0.1616695076227188,800,0.06803317,7.252785974740982,0.0003,0.2,-0.01383033921229071,0.004409346915781498,0.9928126931190491
82,300.0,242,421.6976623535156,5550,1343488,0.516387939453125,-0.020842360332608223,0.16150109469890594,810,0.0647641,7.277414801716804,0.0003,0.2,-0.016117780770582613,0.003472049892297946,0.9928072094917297
83,300.0,244,408.6004638671875,5551,1359872,0.509991455078125,-0.016286451369524002,0.16134284436702728,820,0.064000785,7.3004535883665085,0.0003,0.2,-0.013588837328279623,0.003622774310497334,0.9940704107284546
84,300.0,247,393.4302673339844,5553,1376256,0.520263671875,-0.03475121408700943,0.16109122335910797,830,0.0674198,7.331752255558968,0.0003,0.2,-0.014405095981783234,0.004513058518205071,0.993360698223114
85,300.0,250,397.1396789550781,5555,1392640,0.529901123046875,-0.03597981482744217,0.16086985170841217,840,0.07169031,7.347917433083057,0.0003,0.2,-0.011688417362165637,0.005158961738197831,0.992245078086853
86,300.0,253,404.9565734863281,5558,1409024,0.51759033203125,-0.028034862130880356,0.16067850589752197,850,0.06830956,7.370592042803764,0.0003,0.2,-0.012846217338665155,0.0037054629196063616,0.9934313297271729
87,300.0,256,400.0950927734375,5562,1425408,0.524560546875,-0.012577390298247337,0.1601955145597458,860,0.067105904,7.413860037922859,0.0003,0.2,-0.01483720544638345,0.0036289417032094205,0.9919553399085999
88,300.0,259,382.03692626953125,5560,1441792,0.525079345703125,-0.017966624349355698,0.15975210070610046,870,0.06964916,7.466300523281097,0.0003,0.2,-0.014825527447101194,0.004142156480520498,0.9908745288848877
89,300.0,262,393.63934326171875,5563,1458176,0.535223388671875,-0.02493089623749256,0.15932947397232056,880,0.077390544,7.5104502364993095,0.0003,0.2,-0.014319041384442243,0.005284268991817953,0.9940880537033081
90,300.0,264,414.46429443359375,5566,1474560,0.516864013671875,-0.015825180336833,0.15919843316078186,890,0.06959488,7.542787474393845,0.0003,0.2,-0.013855461419734639,0.003390942973055644,0.9931049942970276
91,300.0,267,400.2499084472656,5567,1490944,0.52086181640625,-0.029751315712928772,0.15887901186943054,900,0.06951086,7.574665194749832,0.0003,0.2,-0.012664154123922345,0.003435195492056664,0.9940372109413147
92,300.0,270,398.9694519042969,5570,1507328,0.5348876953125,-0.020598599687218666,0.1582949459552765,910,0.07646221,7.636490148305893,0.0003,0.2,-0.009882029789150693,0.004729871592280688,0.9920003414154053
93,300.0,273,393.62835693359375,5570,1523712,0.525689697265625,-0.024560214951634407,0.15792173147201538,920,0.07264733,7.681122206151485,0.0003,0.2,-0.012196183084597578,0.003903392265783623,0.9924750924110413
94,300.0,276,393.0986633300781,5572,1540096,0.53857421875,-0.019168734550476074,0.15767918527126312,930,0.07402037,7.7128780141472815,0.0003,0.2,-0.012486760343745119,0.00564061231125379,0.9923776984214783
95,300.0,279,406.7147216796875,5574,1556480,0.523614501953125,-0.013714078813791275,0.15748508274555206,940,0.06689977,7.737516337633133,0.0003,0.2,-0.01008000706860912,0.0038836349878692998,0.9933096170425415
96,300.0,281,420.0922546386719,5578,1572864,0.5416259765625,-0.028918515890836716,0.15743380784988403,950,0.07470791,7.749378228187561,0.0003,0.2,-0.00725803299646941,0.005015452683437616,0.9909062385559082
97,300.0,284,407.0733947753906,5578,1589248,0.537274169921875,-0.030759816989302635,0.15705963969230652,960,0.0697701,7.771309235692025,0.0003,0.2,-0.011515405411046231,0.0037816971751453822,0.9935411214828491
98,300.0,287,399.4341125488281,5580,1605632,0.53023681640625,-0.015873856842517853,0.15665139257907867,970,0.07330598,7.824164466559887,0.0003,0.2,-0.013272478803992271,0.004797026324376929,0.9927984476089478
99,300.0,290,406.8915710449219,5581,1622016,0.52308349609375,-0.021106822416186333,0.15622742474079132,980,0.07384877,7.87217318713665,0.0003,0.2,-0.010101877121633152,0.004050059570727171,0.9934983253479004
100,300.0,293,411.57843017578125,5582,1638400,0.523760986328125,-0.033723313361406326,0.15564247965812683,990,0.07004741,7.927889077365398,0.0003,0.2,-0.01213980260581593,0.0033567442478670273,0.9946771264076233
101,300.0,296,420.3537902832031,5586,1654784,0.5303955078125,-0.018746400251984596,0.15541402995586395,1000,0.07355963,7.964862871170044,0.0003,0.2,-0.00973503387940582,0.004406118589395191,0.992693305015564
102,300.0,299,419.1470031738281,5587,1671168,0.532098388671875,-0.028733855113387108,0.15511846542358398,1010,0.07063967,8.000472176074982,0.0003,0.2,-0.012828834712854587,0.0032303570536896587,0.9919341802597046
103,300.0,302,412.8411865234375,5587,1687552,0.53731689453125,-0.021378569304943085,0.15489192306995392,1020,0.07535053,8.030389887094497,0.0003,0.2,-0.01202469859708799,0.0036655258394603153,0.9929736852645874
104,300.0,304,402.77996826171875,5588,1703936,0.537481689453125,-0.01862369477748871,0.1546647548675537,1030,0.078305356,8.057386791706085,0.0003,0.2,-0.011285757911537075,0.0037503487576032056,0.994871199131012
105,300.0,307,392.0721130371094,5589,1720320,0.5447509765625,-0.016132865101099014,0.15452617406845093,1040,0.07608493,8.087543925642967,0.0003,0.2,-0.011491788567218464,0.00456061109143775,0.9930933117866516
106,300.0,310,411.8448486328125,5591,1736704,0.54014892578125,-0.01127713918685913,0.1542731076478958,1050,0.07331581,8.09806668162346,0.0003,0.2,-0.01196025995304808,0.004229972886969335,0.9922266602516174
107,300.0,313,423.2714538574219,5593,1753088,0.536114501953125,-0.012601286172866821,0.1539805829524994,1060,0.074939415,8.135577428340913,0.0003,0.2,-0.013543340608885046,0.002812016811367357,0.9942004680633545
108,300.0,316,433.0981140136719,5597,1769472,0.5300048828125,-0.03443066403269768,0.1535881608724594,1070,0.07402546,8.180589300394058,0.0003,0.2,-0.010109066132281441,0.0036120043303526474,0.9941538572311401
109,300.0,319,414.4923095703125,5598,1785856,0.5409423828125,-0.010136855766177177,0.15331284701824188,1080,0.07423486,8.21426436305046,0.0003,0.2,-0.011481871524301824,0.0030851122814056,0.9925619959831238
110,300.0,321,391.9064025878906,5598,1802240,0.555804443359375,-0.022821269929409027,0.1530679613351822,1090,0.081297174,8.238468286395072,0.0003,0.2,-0.009314171557343797,0.004121196592313936,0.9929184317588806
111,300.0,324,395.523193359375,5599,1818624,0.549969482421875,-0.030979346483945847,0.1527552306652069,1100,0.07675582,8.273812860250473,0.0003,0.2,-0.01196195027223439,0.004405642941128463,0.9937140345573425
112,300.0,327,417.0169982910156,5601,1835008,0.547760009765625,-0.021171394735574722,0.15235695242881775,1110,0.076014385,8.315991294384002,0.0003,0.2,-0.010389288848091382,0.00363672984749428,0.9922151565551758
113,300.0,330,424.8124084472656,5604,1851392,0.54365234375,-0.023619089275598526,0.1520726978778839,1120,0.07706408,8.347343987226486,0.0003,0.2,-0.01164806025190046,0.0035576949041569604,0.9950181245803833
114,300.0,333,431.228271484375,5606,1867776,0.542578125,-0.029071945697069168,0.15203173458576202,1130,0.07691665,8.36545508801937,0.0003,0.2,-0.011311968698282725,0.0033393252932000907,0.9939681887626648
115,300.0,336,416.2274475097656,5607,1884160,0.555145263671875,-0.024318745359778404,0.1516365259885788,1140,0.08083682,8.402149578928947,0.0003,0.2,-0.013315796900860733,0.003308120348083321,0.9936028718948364
116,300.0,338,416.8765869140625,5608,1900544,0.553656005859375,-0.005754034034907818,0.15136784315109253,1150,0.0782256,8.43622321486473,0.0003,0.2,-0.009042577275249642,0.0035540998083888552,0.9932379722595215
117,300.0,341,421.4073791503906,5611,1916928,0.55394287109375,-0.03149447217583656,0.1511605679988861,1160,0.084042735,8.46358506679535,0.0003,0.2,-0.013972044864931376,0.003307527769356966,0.9947333335876465
118,300.0,344,430.1150817871094,5612,1933312,0.54610595703125,-0.01803007535636425,0.15068167448043823,1170,0.07863117,8.517167460918426,0.0003,0.2,-0.010439960021176375,0.0029358780113398096,0.9945011734962463
119,300.0,347,411.5982666015625,5613,1949696,0.5552490234375,-0.018285633996129036,0.1501942127943039,1180,0.08335586,8.564087268710136,0.0003,0.2,-0.011975241877371446,0.0038921078608836978,0.9934764504432678
120,300.0,350,424.8294982910156,5615,1966080,0.5635498046875,-0.030103057622909546,0.15006130933761597,1190,0.08548341,8.60293418765068,0.0003,0.2,-0.008312873464092263,0.00479151610925328,0.9917016625404358
121,300.0,352,439.9186706542969,5618,1982464,0.5539306640625,-0.008068825118243694,0.14994801580905914,1200,0.07966199,8.607137817144395,0.0003,0.2,-0.008641758876183302,0.0029893486145738278,0.9931674599647522
122,300.0,355,427.5103759765625,5620,1998848,0.552679443359375,-0.01917594112455845,0.14959262311458588,1210,0.07527155,8.642597842216492,0.0003,0.2,-0.007620056999439839,0.003295211384102004,0.9931342005729675
123,300.0,358,425.0044860839844,5622,2015232,0.56641845703125,-0.03874700516462326,0.14936265349388123,1220,0.08247718,8.681142285466194,0.0003,0.2,-0.009105702539090998,0.0033690977536025455,0.9921053647994995
