rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/entropy_loss
300.0,3508,16384,440.6225280761719,1,4,,,,,,,,,,,
300.0,3198,32768,448.43499755859375,2,10,0.2,0.27168126063188536,0.22300121188163757,-0.007355331679718802,0.0003,0.4371826171875,0.26743194460868835,0.041893374,-0.47557950019836426,10,1.4653256688266993
300.0,3033,49152,441.55792236328125,3,16,0.2,0.023997964948648587,0.22293154895305634,-0.006983703160949517,0.0003,0.417828369140625,0.007860701531171799,0.03874714,0.20246750116348267,20,1.4770319152623415
300.0,3031,65536,430.5516052246094,4,21,0.2,0.02058216438163072,0.22277092933654785,-0.00872145037574228,0.0003,0.433612060546875,-0.02427988499403,0.041893214,0.7810204029083252,30,1.4864666067063808
300.0,3036,81920,441.8534851074219,5,26,0.2,0.018223176372703164,0.22275331616401672,-0.008914762266067555,0.0003,0.433709716796875,0.0009387638419866562,0.04401564,0.85787034034729,40,1.4906371548771857
300.0,3032,98304,452.09222412109375,6,32,0.2,0.015355515535338782,0.2223999798297882,-0.011083960907853907,0.0003,0.44969482421875,-0.020100701600313187,0.044533476,0.8908891081809998,50,1.5104406867176294
300.0,3038,114688,448.11260986328125,7,37,0.2,0.01344967412587721,0.22194528579711914,-0.011831022369733546,0.0003,0.443817138671875,-0.017067529261112213,0.04821811,0.9115554094314575,60,1.5452438943088054
300.0,3028,131072,442.3664855957031,8,43,0.2,0.01143487182125682,0.22191163897514343,-0.011583031808550004,0.0003,0.456805419921875,-0.0013067065738141537,0.0473686,0.9343416094779968,70,1.5574138306081295
300.0,3035,147456,438.32281494140625,9,48,0.2,0.010190181485086214,0.22157743573188782,-0.01283200047473656,0.0003,0.45743408203125,-0.03822404146194458,0.047329377,0.9318408966064453,80,1.570182027667761
300.0,3034,163840,449.04656982421875,10,53,0.2,0.00944125605019508,0.2211662381887436,-0.013671772698580753,0.0003,0.46822509765625,-0.025653306394815445,0.047884643,0.9546053409576416,90,1.608094396442175
300.0,3039,180224,444.5302429199219,11,59,0.2,0.007720961034647189,0.22052538394927979,-0.015165744580735918,0.0003,0.470477294921875,-0.021789859980344772,0.047686514,0.9653487801551819,100,1.6559033792465925
300.0,3032,196608,444.0835266113281,12,64,0.2,0.007545162964379415,0.22019727528095245,-0.013246996977250092,0.0003,0.467047119140625,-0.025647465139627457,0.051267117,0.9596419930458069,110,1.6908038280904294
300.0,3038,212992,455.2828063964844,13,70,0.2,0.007064920927223284,0.22007030248641968,-0.015989615770376987,0.0003,0.472735595703125,-0.027241621166467667,0.055736378,0.9780935049057007,120,1.6992630645632745
300.0,3026,229376,461.0229187011719,14,75,0.2,0.005627644481137395,0.21993470191955566,-0.01447668437831453,0.0003,0.465643310546875,-0.03354907035827637,0.047965273,0.97585129737854,130,1.716259441524744
300.0,2984,245760,440.3959655761719,15,82,0.2,0.006877581248409115,0.2195177674293518,-0.01397141744964756,0.0003,0.47396240234375,-0.025878015905618668,0.055927373,0.9777176380157471,140,1.7407364405691623
300.0,2998,262144,470.2275085449219,16,87,0.2,0.005509953228465747,0.2195078581571579,-0.015836372369085437,0.0003,0.483447265625,-0.023508260026574135,0.05510375,0.9730574488639832,150,1.7542836144566536
300.0,3005,278528,487.6537170410156,17,92,0.2,0.004617215042526368,0.21879957616329193,-0.01593552334961714,0.0003,0.470062255859375,-0.013381285592913628,0.053925596,0.9858114719390869,160,1.7919345151633024
300.0,3006,294912,487.0049133300781,18,98,0.2,0.004051815405546222,0.21825964748859406,-0.016012825279904063,0.0003,0.46893310546875,-0.032846782356500626,0.052765105,0.9865596294403076,170,1.8448732398450374
300.0,2998,311296,464.7278137207031,19,103,0.2,0.004470294101338368,0.2175871729850769,-0.014204503766814014,0.0003,0.486285400390625,-0.013161640614271164,0.0561276,0.9869888424873352,180,1.8942029673606158
300.0,2991,327680,470.1405944824219,20,109,0.2,0.004504548425757093,0.21745727956295013,-0.015730504906969145,0.0003,0.506292724609375,-0.03008514642715454,0.064032,0.9847321510314941,190,1.9192815870046616
300.0,2985,344064,478.4928894042969,21,115,0.2,0.00355173892021412,0.21662499010562897,-0.018467177064303543,0.0003,0.505743408203125,-0.04585724696516991,0.06677315,0.9902121424674988,200,1.9768532507121563
