rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/std,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss
400.0,1,1503,8192,5,683.5025634765625,,,,,,,,,,,
400.0,2,1348,16384,12,686.287841796875,-0.028810354220331645,0.2,0.0003,0.056511156260967255,-0.8973791599273682,0.13521039485931396,15.119451171159744,10,0.55123291015625,0.07703866,0.42101444620639084
400.0,3,1252,24576,19,687.8400268554688,-0.03326774519518949,0.2,0.0003,-0.025841599330306053,-0.5823583602905273,0.1353011429309845,15.111650729179383,20,0.507177734375,0.06501084,0.07309849309967831
400.0,4,1243,32768,26,677.4585571289062,-0.035642462733085266,0.2,0.0003,-0.050833553075790405,0.1212543249130249,0.1353827267885208,15.098979419469833,30,0.52332763671875,0.073963374,0.0420057543204166
400.0,5,1226,40960,33,678.1359252929688,-0.038642511563375594,0.2,0.0003,-0.032576754689216614,0.747207760810852,0.1352393925189972,15.110754787921906,40,0.525244140625,0.06755723,0.0348971743369475
400.0,6,1222,49152,40,675.195068359375,-0.038041330510168336,0.2,0.0003,-0.0491684265434742,0.7245385646820068,0.1352105736732483,15.121869057416916,50,0.52205810546875,0.06945052,0.02683257203316316
400.0,7,1202,57344,47,665.6634521484375,-0.03806805229687597,0.2,0.0003,-0.05187481641769409,0.8371874094009399,0.13501550257205963,15.14582426548004,60,0.5335205078125,0.0761435,0.02452257519471459
400.0,8,1191,65536,55,645.9754028320312,-0.0320091052853968,0.2,0.0003,-0.032833781093358994,0.7515701055526733,0.1347702443599701,15.191085368394852,70,0.53660888671875,0.076681,0.029461319930851458
400.0,9,1193,73728,61,650.027099609375,-0.024416075918998102,0.2,0.0003,-0.0207722969353199,0.6971914768218994,0.1346762478351593,15.218278908729554,80,0.54334716796875,0.08124264,0.051209914148785174
400.0,10,1192,81920,68,647.864501953125,-0.03964602835330879,0.2,0.0003,-0.06300906091928482,0.8851626515388489,0.1345406025648117,15.245871049165725,90,0.56121826171875,0.088214785,0.016276244539767504
400.0,11,1208,90112,74,648.2958374023438,-0.036386003281222656,0.2,0.0003,-0.03858679533004761,0.8810701370239258,0.13447095453739166,15.264039397239685,100,0.546484375,0.083634466,0.014714257878949866
400.0,12,1214,98304,80,650.8089599609375,-0.03946954301209189,0.2,0.0003,-0.04941117390990257,0.9060776829719543,0.13438476622104645,15.284543228149413,110,0.56136474609375,0.086399145,0.014543088345089928
400.0,13,1228,106496,86,666.492431640625,-0.03894974405702669,0.2,0.0003,-0.04634124040603638,0.8814312815666199,0.13407433032989502,15.32311879992485,120,0.55416259765625,0.088513196,0.014434745372273027
