t_s,tick,seg,phase,joint,t_send_s,t_recv_s,overrun,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,cur_a,load_pct,volt,temp_c
0.0060,0,0,pre,6,0.0060,0.0134,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
0.0411,1,0,pre,6,0.0411,0.0492,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
0.0813,2,0,pre,6,0.0813,0.0893,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
0.1213,3,0,pre,6,0.1213,0.1293,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
0.1613,4,0,pre,6,0.1613,0.1697,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
0.2013,5,0,pre,6,0.2013,0.2097,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
0.2413,6,0,pre,6,0.2413,0.2490,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
0.2813,7,0,pre,6,0.2813,0.2893,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
0.3213,8,0,pre,6,0.3213,0.3295,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
0.3613,9,0,pre,6,0.3613,0.3696,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
0.4013,10,0,pre,6,0.4013,1.8338,0,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
1.8548,11,0,pre,6,1.8548,1.8624,1,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
1.8631,12,0,pre,6,1.8631,1.8705,1,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
1.8713,13,0,pre,6,1.8713,1.8787,1,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,0.352,2.021,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,33.0
