t_unix,roll_deg,pitch_deg
1786331946.926,1.1,2.3
1786331947.227,0.9,2.1
1786331947.527,0.8,2.1
1786331947.827,0.8,2.4
1786331948.127,0.7,2.2
1786331948.428,0.9,2.2
1786331948.728,1.0,2.3
1786331949.028,1.0,2.3
1786331949.328,1.1,2.2
1786331949.628,0.9,2.3
1786331949.928,0.8,2.3
1786331950.228,0.9,2.2
1786331950.529,0.8,2.3
1786331950.829,-0.1,0.2
1786331951.129,0.2,1.0
1786331951.429,0.8,2.0
1786331951.730,7.6,4.8
1786331952.030,10.1,-0.1
1786331952.331,-3.8,-0.0
1786331952.631,-1.4,3.7
1786331952.931,2.7,-0.9
1786331953.231,7.5,6.7
1786331953.531,7.5,7.4
1786331953.832,-2.0,0.7
1786331954.132,-1.1,4.7
1786331954.432,1.8,5.2
1786331954.732,5.4,4.7
1786331955.033,6.3,6.6
1786331955.333,-2.0,-1.7
1786331955.633,-3.5,-2.8
1786331955.933,1.7,1.0
1786331956.233,1.6,8.3
1786331956.533,7.6,2.1
1786331956.834,-5.6,5.0
1786331957.134,-1.3,6.8
1786331957.434,1.2,6.3
1786331957.734,3.7,8.4
1786331958.034,7.6,2.1
1786331958.335,-2.8,5.1
1786331958.635,6.5,-1.6
1786331958.936,-0.4,2.8
1786331959.236,0.0,10.6
1786331959.536,6.6,1.8
1786331959.836,-9.8,-2.8
1786331960.136,-3.6,6.8
1786331960.437,-0.3,-8.8
1786331960.737,-0.5,8.0
1786331961.037,4.9,7.0
1786331961.337,0.9,6.0
1786331961.638,-3.1,-5.1
1786331961.938,-5.1,-2.0
1786331962.238,-4.2,-0.5
1786331962.538,6.0,5.7
1786331962.838,-5.2,-4.1
1786331963.139,-2.4,-5.1
1786331963.439,-0.2,4.2
1786331963.739,0.8,6.1
1786331964.039,1.5,9.1
1786331964.339,-5.4,-13.7
1786331964.640,-5.4,-3.3
1786331964.940,0.7,4.3
1786331965.240,0.7,6.9
1786331965.541,6.0,6.8
1786331965.841,-11.7,-3.1
1786331966.141,-2.7,2.8
1786331966.442,4.5,9.8
1786331966.742,4.0,9.8
1786331967.042,6.3,6.2
1786331967.342,-8.4,-6.9
1786331967.642,-4.4,-4.3
1786331967.943,4.8,10.7
1786331968.243,2.1,6.3
1786331968.543,-0.3,3.9
1786331968.844,1.0,4.3
1786331969.144,0.6,2.3
1786331969.444,1.1,2.2
1786331969.745,0.8,2.9
1786331970.045,0.6,3.1
1786331970.345,0.9,2.7
1786331970.646,0.6,2.7
1786331970.946,0.7,3.1
1786331971.246,0.6,2.9
1786331971.547,0.8,2.7
1786331971.847,0.8,3.0
1786331972.147,0.8,2.8
1786331972.448,0.7,2.8
1786331972.748,0.8,2.8
1786331973.048,0.7,2.9
1786331973.348,0.8,2.7
1786331973.648,0.8,2.8
1786331973.949,0.9,2.8
1786331974.249,0.6,2.9
1786331974.549,0.9,2.7
1786331974.850,0.7,2.7
1786331975.150,0.9,3.0
1786331975.450,0.8,2.8
1786331975.751,0.8,2.9
1786331976.051,0.9,2.7
1786331976.351,0.9,2.9
1786331976.652,0.8,2.7
1786331976.952,0.8,2.8
1786331977.252,0.7,2.9
1786331977.552,0.8,2.9
1786331977.853,0.8,2.7
1786331978.153,0.8,2.8
1786331978.453,0.9,2.8
1786331978.753,0.7,2.9
1786331979.053,0.8,2.8
1786331979.353,0.9,2.8
1786331979.654,0.7,2.9
1786331979.954,0.8,2.9
1786331980.254,0.8,2.8
1786331980.555,0.9,3.0
1786331980.855,0.7,2.9
1786331981.155,0.8,2.9
1786331981.456,0.6,2.9
1786331981.756,0.9,2.9
1786331982.056,0.9,2.8
1786331982.356,0.8,2.8
1786331982.657,0.8,3.0
1786331982.957,0.6,2.7
1786331983.257,0.8,2.8
1786331983.558,0.7,2.9
1786331983.858,0.7,2.9
1786331984.158,0.7,2.9
1786331984.459,0.8,2.9
1786331984.759,0.8,2.8
1786331985.060,0.6,2.9
1786331985.360,0.7,3.0
1786331985.660,0.7,3.0
1786331985.961,0.8,2.7
1786331986.261,0.8,2.7
1786331986.561,0.8,2.8
1786331986.861,0.8,2.9
1786331987.161,0.7,2.9
1786331987.462,0.9,2.8
1786331987.762,0.9,2.8
1786331988.062,0.8,2.9
1786331988.363,0.8,3.0
1786331988.663,0.8,2.9
1786331988.963,0.8,2.9
1786331989.263,0.9,2.7
1786331989.564,0.9,3.0
1786331989.864,0.8,2.9
1786331990.164,0.8,2.8
1786331990.464,0.8,2.8
1786331990.765,0.7,2.9
1786331991.065,0.7,2.8
1786331991.365,0.7,2.8
1786331991.665,0.8,2.8
1786331991.965,0.7,2.6
1786331992.265,0.6,3.1
1786331992.566,0.7,2.8
1786331992.866,0.8,2.7
1786331993.166,0.7,2.8
1786331993.466,0.8,2.8
1786331993.766,0.7,2.9
1786331994.066,0.7,3.0
1786331994.367,0.8,2.7
1786331994.667,0.7,2.7
1786331994.967,0.9,2.9
1786331995.267,0.9,2.8
1786331995.568,1.0,2.9
1786331995.868,0.8,2.8
1786331996.168,0.9,2.9
1786331996.468,0.9,2.8
1786331996.768,0.9,2.9
1786331997.068,0.8,2.9
1786331997.369,0.8,3.0
1786331997.669,0.8,2.7
1786331997.969,0.9,2.9
1786331998.269,0.7,2.8
1786331998.570,0.7,2.9
1786331998.870,0.8,3.0
1786331999.170,0.9,2.9
1786331999.470,0.8,2.8
1786331999.771,0.9,2.8
1786332000.071,0.8,2.8
1786332000.371,0.6,2.8
1786332000.672,0.7,2.8
1786332000.972,0.8,2.8
1786332001.272,0.9,2.9
1786332001.573,0.7,2.8
1786332001.873,0.8,2.7
1786332002.174,0.6,3.0
1786332002.474,0.8,2.8
1786332002.774,0.6,2.7
1786332003.074,0.7,2.9
1786332003.374,0.7,2.8
1786332003.675,0.8,2.8
1786332003.975,0.9,3.0
1786332004.275,0.9,3.0
1786332004.576,0.7,2.8
1786332004.876,0.8,2.7
1786332005.176,0.7,2.7
1786332005.476,0.8,2.8
1786332005.777,0.7,2.9
1786332006.077,0.8,2.9
1786332006.377,0.8,2.9
1786332006.678,0.8,2.7
1786332006.978,0.8,2.8
1786332007.278,0.6,2.8
1786332007.578,0.6,2.8
1786332007.879,0.7,2.8
1786332008.179,0.9,2.8
1786332008.479,0.7,2.9
1786332008.780,0.9,2.8
1786332009.080,0.8,2.8
1786332009.380,0.8,2.8
1786332009.680,0.8,2.8
1786332009.980,0.8,2.8
1786332010.281,0.8,2.8
1786332010.581,0.9,2.9
1786332010.881,0.8,2.8
1786332011.181,0.8,2.9
1786332011.481,0.8,2.8
1786332011.782,0.8,2.8
