t_unix,status,q0_deg,cur0_a,temp0_c,q1_deg,cur1_a,temp1_c,q2_deg,cur2_a,temp2_c,q3_deg,cur3_a,temp3_c,q4_deg,cur4_a,temp4_c,q5_deg,cur5_a,temp5_c,q6_deg,cur6_a,temp6_c,q7_deg,cur7_a,temp7_c,q8_deg,cur8_a,temp8_c,q9_deg,cur9_a,temp9_c,q10_deg,cur10_a,temp10_c,q11_deg,cur11_a,temp11_c,q12_deg,cur12_a,temp12_c,q13_deg,cur13_a,temp13_c,q14_deg,cur14_a,temp14_c,q15_deg,cur15_a,temp15_c,q16_deg,cur16_a,temp16_c,q17_deg,cur17_a,temp17_c
1786369574.758,live 18/18,-0.18,0.0,32,19.6,0.0,34,79.19,0.0,34,0.62,0.006,33,16.7,0.013,34,78.84,0.013,34,-0.09,0.0,33,19.42,0.0,32,78.93,0.0,35,0.0,0.0,30,17.14,0.013,33,79.28,0.013,33,-0.09,0.0,31,18.98,0.0,32,79.28,0.0,31,-0.09,0.0,32,17.49,0.019,34,78.22,0.0,35
1786369575.229,live 18/18,-2.72,0.0,32,6.42,0.006,34,91.23,0.006,34,5.54,0.006,33,16.88,0.0,34,80.07,0.013,34,-3.34,0.006,33,6.77,0.006,32,93.34,0.013,35,-2.99,0.033,30,16.7,0.0,33,77.08,0.013,33,5.98,0.0,31,6.33,0.006,32,93.16,0.006,31,-3.52,0.013,32,17.49,0.0,34,82.88,0.013,35
1786369575.359,live 18/18,-0.18,0.0,32,7.73,0.019,34,89.56,0.019,34,5.98,0.045,33,12.48,0.0,34,84.9,0.039,34,-1.23,0.013,33,9.4,0.006,36,94.22,0.052,35,-0.44,0.019,30,11.95,0.0,33,81.65,0.033,33,5.1,0.013,31,9.4,0.013,34,90.97,0.013,31,-0.7,0.006,32,13.18,0.0,34,88.33,0.026,35
1786369575.769,live 18/18,-0.35,0.006,32,17.23,0.006,34,84.11,0.0,34,-5.36,0.019,45,6.94,0.039,34,91.41,0.019,34,0.35,0.026,33,14.24,0.013,32,79.63,0.019,35,-0.53,0.0,30,7.65,0.019,33,91.23,0.019,33,-4.66,0.039,31,14.77,0.019,32,80.24,0.026,31,-0.35,0.019,32,5.98,0.045,34,90.18,0.078,35
1786369575.962,live 18/18,-2.72,0.013,32,10.2,0.013,34,89.91,0.0,34,3.08,0.0,33,15.64,0.052,34,81.65,0.033,34,-2.99,0.0,33,8.79,0.006,32,82.71,0.006,35,-2.55,0.013,30,16.17,0.026,33,81.21,0.045,33,4.13,0.0,31,8.88,0.0,32,87.71,0.0,31,-3.25,0.006,32,15.64,0.071,34,81.56,0.019,35
1786369576.46,live 18/18,0.97,0.006,32,18.9,0.019,34,82.44,0.013,34,-5.71,0.013,33,12.22,0.045,34,85.61,0.039,34,0.97,0.006,33,14.68,0.019,32,78.93,0.0,35,1.05,0.019,30,12.74,0.039,33,81.56,0.019,33,-6.5,0.006,31,15.64,0.039,32,80.51,0.033,31,0.44,0.006,32,11.69,0.039,34,86.92,0.163,35
1786369576.572,live 18/18,-1.23,0.006,32,15.73,0.026,34,87.71,0.0,34,-5.54,0.019,33,15.73,0.045,33,81.74,0.058,34,-0.88,0.019,33,9.32,0.013,32,83.58,0.019,35,-1.14,0.026,30,16.44,0.039,33,78.57,0.033,33,-5.01,0.019,31,10.2,0.019,32,86.04,0.0,31,-1.49,0.006,32,15.12,0.039,34,82.88,0.084,35
1786369577.176,live 18/18,1.23,0.0,32,16.61,0.006,34,81.74,0.006,34,-4.57,0.006,33,4.39,0.019,34,90.7,0.013,34,1.67,0.013,33,16.61,0.006,32,80.16,0.143,35,1.23,0.0,30,5.27,0.019,33,92.81,0.019,33,-5.01,0.013,31,17.84,0.013,32,79.37,0.0,31,1.05,0.013,32,8.26,0.013,34,95.27,0.026,35
1786369577.29,live 18/18,-1.14,0.013,32,11.51,0.026,34,85.87,0.026,34,-4.31,0.006,33,8.09,0.045,34,86.04,0.052,34,-0.18,0.019,33,12.04,0.019,32,78.84,0.019,35,-0.97,0.006,30,10.02,0.019,33,88.95,0.026,33,-4.92,0.013,31,13.62,0.033,32,81.12,0.013,31,-0.88,0.006,32,12.13,0.045,34,93.34,0.319,35
1786369577.694,live 18/18,0.53,0.013,32,11.07,0.033,34,88.15,0.039,34,5.27,0.026,33,14.94,0.0,34,84.81,0.006,34,-0.26,0.006,34,11.95,0.013,32,80.16,0.033,35,0.35,0.0,30,13.36,0.0,33,77.87,0.0,33,3.43,0.013,30,16.08,0.019,32,83.76,0.019,31,0.09,0.013,32,13.97,0.039,34,84.29,0.0,35
