t_unix,roll_deg,pitch_deg
1786369711.062,-0.09,4.19
1786369711.476,-3.67,1.72
1786369711.743,3.87,6.32
1786369712.14,-0.83,1.94
1786369712.278,5.06,10.36
1786369712.583,0.72,3.28
1786369713.03,-2.43,8.96
1786369713.273,3.0,0.06
1786369713.582,0.1,-8.1
1786369713.982,-3.5,2.08
1786369714.099,4.89,3.39
1786369714.613,6.61,-0.76
1786369714.708,5.86,-5.58
1786369715.012,1.99,5.32
1786369715.322,-2.18,11.46
1786369715.629,2.92,4.59
1786369716.038,-14.57,12.93
1786369716.427,7.16,13.19
1786369716.535,2.7,-1.11
1786369716.858,-1.84,4.42
1786369717.282,4.47,-4.01
1786369717.472,0.39,10.16
1786369717.78,3.02,-4.65
1786369718.13,0.02,-3.16
1786369718.35,4.88,8.35
1786369718.701,-0.35,5.27
1786369719.009,0.18,8.58
1786369719.316,1.28,3.23
1786369719.635,3.31,-5.16
1786369719.877,-5.13,9.12
1786369720.238,-0.39,3.88
1786369720.638,0.08,-6.83
1786369720.853,-2.02,4.11
1786369721.162,-2.89,6.63
1786369721.378,-0.28,6.48
1786369721.752,-0.58,5.41
1786369722.125,1.11,3.7
