t_unix,status,q0_deg,cur0_a,temp0_c,q1_deg,cur1_a,temp1_c,q2_deg,cur2_a,temp2_c,q3_deg,cur3_a,temp3_c,q4_deg,cur4_a,temp4_c,q5_deg,cur5_a,temp5_c,q6_deg,cur6_a,temp6_c,q7_deg,cur7_a,temp7_c,q8_deg,cur8_a,temp8_c,q9_deg,cur9_a,temp9_c,q10_deg,cur10_a,temp10_c,q11_deg,cur11_a,temp11_c,q12_deg,cur12_a,temp12_c,q13_deg,cur13_a,temp13_c,q14_deg,cur14_a,temp14_c,q15_deg,cur15_a,temp15_c,q16_deg,cur16_a,temp16_c,q17_deg,cur17_a,temp17_c
1786369711.062,live 18/18,-0.18,0.0,32,19.07,0.006,34,79.72,0.006,34,0.62,0.006,33,16.7,0.013,34,78.84,0.013,34,0.0,0.0,33,19.34,0.0,32,79.63,0.006,36,0.09,0.0,30,17.23,0.006,33,79.28,0.013,33,-0.09,0.0,31,18.9,0.0,32,79.45,0.0,31,0.0,0.0,32,17.75,0.006,34,77.78,0.013,35
1786369711.476,live 18/18,0.7,0.013,32,13.45,0.033,34,88.15,0.0,34,-3.87,0.013,35,15.29,0.065,34,80.16,0.013,34,0.26,0.006,33,11.16,0.052,33,80.33,0.052,36,0.18,0.0,30,15.91,0.039,33,84.11,0.026,33,-3.34,0.013,31,11.34,0.045,32,86.04,0.033,31,0.44,0.013,32,15.64,0.111,34,79.45,0.006,35
1786369711.743,live 18/18,-2.37,0.019,32,4.92,0.006,34,96.42,0.006,34,5.8,0.0,33,16.61,0.0,34,80.68,0.013,34,-3.08,0.013,33,3.78,0.006,32,92.99,0.013,36,-2.37,0.013,30,16.52,0.006,33,76.55,0.0,33,5.89,0.006,31,4.39,0.006,32,94.75,0.019,31,-3.08,0.026,32,17.4,0.0,34,83.06,0.026,35
1786369712.14,live 18/18,3.08,0.026,32,18.02,0.033,34,81.65,0.013,34,-5.71,0.006,33,4.13,0.013,34,93.52,0.019,34,2.02,0.013,33,18.19,0.006,32,81.12,0.117,36,2.9,0.013,30,3.69,0.006,33,89.74,0.006,33,-6.33,0.006,31,18.28,0.0,32,79.8,0.045,31,1.85,0.006,32,4.92,0.006,34,95.54,0.019,35
1786369712.278,live 18/18,-0.35,0.006,32,17.05,0.026,34,83.32,0.0,34,-5.27,0.019,33,7.47,0.078,34,88.68,0.065,34,0.18,0.026,33,15.12,0.006,32,77.7,0.039,36,-0.79,0.0,30,7.47,0.045,33,87.1,0.019,33,-4.66,0.039,31,15.21,0.026,32,80.51,0.026,31,-0.62,0.013,32,8.44,0.104,34,90.26,0.117,35
1786369712.583,live 18/18,-0.62,0.006,32,12.3,0.013,34,87.36,0.026,34,5.89,0.006,33,17.31,0.0,34,79.72,0.0,34,-1.76,0.006,33,11.43,0.0,32,80.95,0.006,36,-0.97,0.013,30,17.31,0.006,33,77.08,0.0,33,6.15,0.0,31,11.25,0.013,32,84.46,0.019,31,-1.41,0.026,32,18.11,0.0,34,81.21,0.0,35
1786369713.03,live 18/18,-0.62,0.013,32,13.01,0.033,34,86.4,0.0,34,-4.83,0.019,33,11.95,0.084,34,87.1,0.091,34,-0.26,0.006,33,11.16,0.013,32,82.71,0.039,36,-0.62,0.006,30,13.27,0.039,33,81.12,0.045,33,-4.83,0.026,31,11.69,0.033,32,88.07,0.013,31,-0.7,0.006,32,11.07,0.045,34,84.99,0.143,35
1786369713.273,live 18/18,-1.67,0.013,32,5.45,0.0,34,93.34,0.026,34,4.13,0.006,33,17.49,0.006,34,79.89,0.045,34,-3.25,0.033,33,6.24,0.0,32,93.25,0.0,36,-1.67,0.0,30,16.88,0.0,33,77.17,0.0,33,4.66,0.006,31,5.8,0.006,32,93.87,0.013,31,-2.64,0.013,32,18.19,0.013,34,82.27,0.006,35
1786369713.582,live 18/18,3.6,0.0,32,16.7,0.013,34,81.21,0.0,34,-1.14,0.013,33,7.29,0.0,34,87.54,0.006,34,2.46,0.0,33,17.93,0.0,32,85.17,0.273,36,3.52,0.006,30,6.94,0.0,33,89.91,0.0,33,-2.55,0.026,31,17.58,0.013,32,80.68,0.019,31,2.9,0.013,32,10.37,0.006,34,94.92,0.0,35
1786369713.982,live 18/18,-2.2,0.006,32,12.48,0.0,34,90.44,0.0,34,1.49,0.013,33,16.61,0.052,33,79.37,0.019,34,-2.99,0.006,33,7.73,0.006,32,80.42,0.0,36,-1.93,0.006,30,17.75,0.006,33,79.01,0.091,33,1.58,0.006,31,9.49,0.006,32,86.04,0.013,31,-3.25,0.026,32,19.16,0.013,34,84.02,0.227,35
