t_unix,roll_deg,pitch_deg
1786368347.594,3.74,5.35
1786368347.97,1.3,1.82
1786368348.176,4.54,12.27
1786368348.588,9.87,13.27
1786368348.761,-3.32,4.55
1786368349.061,7.71,7.45
1786368349.397,-3.66,1.2
1786368349.718,6.25,3.29
1786368350.066,8.78,8.54
1786368350.319,-4.64,2.36
1786368350.625,-0.33,3.35
1786368350.953,-2.36,1.22
1786368351.204,1.99,8.01
1786368351.549,9.26,8.95
1786368351.865,3.18,6.24
1786368352.162,5.83,1.84
1786368352.473,2.45,5.07
1786368352.723,-3.42,5.32
1786368353.138,6.07,15.06
1786368353.391,1.84,8.59
1786368353.714,10.35,5.21
1786368354.007,0.07,0.45
1786368354.314,-0.69,-0.45
1786368354.633,7.68,13.69
1786368354.943,3.01,21.06
1786368355.344,5.73,10.37
1786368355.523,-1.26,2.73
1786368355.752,-1.56,6.68
1786368356.048,6.02,11.9
1786368356.463,0.25,20.36
1786368356.776,12.43,3.02
1786368356.975,-0.05,0.76
1786368357.323,-0.5,0.56
1786368357.591,5.37,17.35
1786368357.896,6.01,14.46
1786368358.205,5.58,2.4
1786368358.475,5.59,9.32
