t_s,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a
0.0,-0.02,2.14,0.51,0.15,3.67,0.0,0.0,0.0,0.019,0.26,0.0,0.18,-0.09,-0.09,0.09,0.18,0.09,0.35,0.09,-0.09,0.09,0.09,0.0,0.0,0.09,-0.09,-0.09,2.03,-1.5,1.68,1.41,-1.59,1.59,1.68,-1.41,1.85,-1.41,-1.59,1.59,1.59,-1.5,-1.5,1.59,-1.59,1.41,0.3328,0.1933,-0.334,0.3633,0.0349,-0.142,0.7915,-1.0,-0.4886,-1.0,-0.1676,0.394,0.1701,-0.3535,-1.0,1.0,-0.0978,-0.2063,0.006,0.006,0.0,0.006,0.013,0.006,0.006,0.013,0.006,0.013,0.006,0.013,0.006,0.013,0.019,0.013,0.006,0.006
0.04,-0.01,2.15,-0.01,0.19,-4.04,0.0,0.0,0.0,0.019,1.23,0.0,0.18,-0.09,-0.09,0.35,0.18,-0.18,0.44,-0.18,-0.09,0.26,0.18,-0.18,-0.26,0.18,-0.18,0.09,0.53,-3.0,3.18,2.91,-3.09,3.09,3.18,-2.91,3.35,0.09,-3.09,3.09,0.09,-3.0,0.0,3.09,-3.09,2.91,-0.1138,-0.296,-0.1161,0.8213,-0.6537,0.7208,0.1152,-1.0,-0.6306,0.0334,-0.3762,-0.5088,-0.4485,-0.357,-0.1163,0.8907,0.0327,-0.4269,0.006,0.006,0.0,0.006,0.013,0.006,0.006,0.013,0.006,0.013,0.006,0.013,0.006,0.013,0.019,0.013,0.006,0.006
0.08,-0.01,2.13,0.18,0.19,2.87,0.0,0.0,0.0,0.019,0.97,-0.44,0.79,0.53,-0.53,0.97,0.53,-0.79,0.7,-1.05,-0.53,1.05,0.97,-0.88,-0.97,1.14,-0.62,0.62,2.03,-4.5,4.68,4.41,-4.59,4.59,4.68,-4.41,4.85,-1.41,-4.59,4.59,-1.41,-4.5,1.5,4.59,-4.59,4.41,0.2711,-0.8346,0.0253,0.3415,-1.0,0.6242,0.9831,-0.8639,-0.3312,-0.7297,-0.1672,-0.2807,-0.0808,-0.4107,-0.1275,0.4476,-0.008,-0.3212,0.006,0.006,0.0,0.006,0.013,0.006,0.006,0.013,0.006,0.013,0.006,0.013,0.006,0.013,0.019,0.013,0.006,0.006
0.12,-0.01,2.16,0.31,0.29,-0.95,0.0,0.0,0.0,0.045,2.11,-1.32,1.67,1.32,-1.32,2.11,1.58,-1.58,1.49,-1.14,-1.49,2.11,1.05,-1.76,-1.05,1.93,-1.32,1.49,2.97,-6.0,6.18,5.91,-6.09,6.09,6.18,-5.91,6.35,-2.91,-6.09,6.09,-2.91,-6.0,3.0,6.09,-6.09,5.91,0.0848,-0.2038,-0.0111,0.393,-0.4246,0.1682,0.7252,-0.7133,-0.0813,-0.5175,-0.3733,-0.5556,-0.2734,-0.4559,-0.0782,0.7296,0.1657,-0.3446,0.013,0.026,0.013,0.019,0.033,0.006,0.019,0.045,0.006,0.013,0.026,0.006,0.006,0.033,0.0,0.013,0.033,0.006
0.16,-0.04,2.14,-0.76,-0.51,-1.98,0.0,0.0,0.0,0.045,2.2,-2.46,2.81,2.46,-2.46,3.25,2.64,-2.81,2.81,-1.67,-2.55,3.25,0.88,-2.99,-0.79,3.25,-2.46,2.55,1.47,-7.5,7.68,7.41,-7.59,7.59,7.68,-7.41,7.85,-4.41,-7.59,7.59,-4.41,-7.5,4.5,7.59,-4.59,7.41,0.0329,-0.3029,-0.3052,0.5278,-0.4467,0.1636,0.5386,-1.0,-0.1296,-0.4216,-0.0231,-0.3568,-0.2692,-0.4751,-0.0823,0.6227,0.5354,-0.2355,0.013,0.026,0.013,0.019,0.033,0.006,0.019,0.045,0.006,0.013,0.026,0.006,0.006,0.033,0.0,0.013,0.033,0.006
0.2,-0.03,2.18,0.17,-0.11,4.64,0.0,0.0,0.0,0.045,2.55,-3.6,4.04,3.69,-3.69,4.57,3.96,-4.13,4.04,-2.46,-3.78,4.57,0.0,-4.31,-0.09,4.48,-3.6,3.78,2.97,-9.0,9.18,8.91,-9.09,9.09,9.18,-8.91,9.35,-5.91,-9.09,6.09,-5.91,-9.0,6.0,9.09,-3.09,5.91,0.1198,-0.3461,-0.3712,0.488,-0.4076,0.0498,0.4188,-1.0,0.0589,-0.4974,-0.1198,-0.7765,-0.3319,-0.3452,-0.1294,0.4244,0.4448,-1.0,0.013,0.026,0.013,0.019,0.033,0.006,0.019,0.045,0.006,0.013,0.026,0.006,0.006,0.033,0.0,0.013,0.033,0.006
0.24,-0.02,2.21,0.32,0.45,-4.67,0.0,0.0,0.0,0.045,3.25,-5.01,5.36,5.01,-5.01,5.98,5.27,-5.54,5.36,-3.43,-5.1,5.8,-0.79,-5.62,0.88,5.89,-4.48,5.01,1.47,-10.5,10.68,10.41,-10.59,10.59,7.68,-10.41,10.85,-7.41,-10.59,7.59,-4.41,-10.5,7.5,10.59,-1.59,4.41,-0.0733,-0.2207,-0.2851,0.316,-0.1339,-0.0915,0.0684,-0.9266,0.2139,-0.5268,-0.114,-0.6321,-0.0666,-0.2166,-0.3057,0.4277,0.7098,-1.0,0.006,0.026,0.006,0.026,0.026,0.013,0.013,0.026,0.019,0.019,0.026,0.0,0.019,0.019,0.019,0.006,0.019,0.006
0.28,0.92,3.22,0.64,0.66,0.07,0.0,0.0,0.0,0.045,1.23,-9.93,10.46,10.2,-10.02,10.46,7.82,-10.11,10.55,-7.29,-10.2,7.56,-4.31,-10.28,7.38,10.46,-1.67,4.57,-0.03,-12.0,12.18,8.91,-12.09,12.09,6.18,-11.91,12.35,-8.91,-12.09,9.09,-2.91,-12.0,9.0,10.05,-0.09,2.91,-0.197,-0.2244,-0.3124,0.0643,-0.1062,-0.2443,-0.0733,-1.0,0.3275,-0.613,0.0933,-0.4738,-0.0028,-0.2434,-0.0821,0.2872,0.756,-1.0,0.026,0.013,0.006,0.0,0.019,0.006,0.006,0.026,0.006,0.006,0.013,0.0,0.0,0.013,0.006,0.0,0.006,0.006
0.32,0.92,3.22,0.71,0.62,-3.27,0.0,0.0,0.0,0.045,1.67,-10.02,10.46,10.2,-10.11,10.55,7.82,-10.2,10.55,-7.47,-10.2,7.56,-4.31,-10.28,7.38,10.46,-1.67,4.48,-1.53,-13.5,13.68,7.41,-13.59,13.59,4.68,-13.41,13.85,-10.41,-13.59,7.59,-1.41,-13.5,10.5,10.91,1.41,1.41,-0.1375,-0.2433,-0.2516,0.1003,-0.1479,-0.3749,-0.0811,-1.0,0.5969,-0.3981,-0.3502,-0.8058,0.1994,-0.0572,0.2536,0.3117,1.0,-1.0,0.026,0.013,0.006,0.0,0.019,0.006,0.006,0.026,0.006,0.006,0.013,0.0,0.0,0.013,0.006,0.0,0.006,0.006
0.36,0.86,3.16,-0.84,-0.57,1.77,0.0,0.0,0.0,0.045,0.35,-10.55,10.9,10.11,-10.63,11.25,7.29,-10.72,11.07,-8.0,-10.63,8.17,-3.96,-10.81,8.17,10.11,-1.23,3.96,-2.82,-15.0,15.18,5.91,-15.09,15.09,3.18,-14.91,15.35,-11.91,-15.09,9.09,0.09,-15.0,12.0,10.1,2.91,-0.09,-0.0804,-0.1852,-0.3094,-0.1655,-0.2099,-0.2846,-0.1812,-1.0,0.5837,-0.3939,-0.0644,-0.2864,0.076,-0.4038,0.1049,0.2886,1.0,-1.0,0.026,0.013,0.006,0.0,0.019,0.006,0.006,0.026,0.006,0.006,0.013,0.0,0.0,0.013,0.006,0.0,0.006,0.006
