t_unix,roll_deg,pitch_deg
1786368232.979,2.98,3.49
1786368233.284,2.67,2.48
1786368233.581,3.57,6.73
1786368233.838,2.27,9.99
1786368234.196,9.35,19.07
1786368234.504,9.17,-0.48
1786368234.905,8.6,9.83
1786368235.051,-4.69,1.63
1786368235.364,0.84,6.01
1786368235.732,2.29,8.08
1786368236.039,4.99,-1.41
1786368236.458,3.91,2.38
