t_s,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a
0.0,-1.46,4.03,-0.21,-0.03,0.65,0.0,0.0,0.0,0.019,-0.18,19.25,79.19,-0.09,14.68,77.43,0.0,18.37,78.05,0.18,15.03,77.7,-0.18,17.49,78.66,0.18,16.79,76.99,-1.68,17.75,77.69,1.5,13.62,76.28,1.5,17.22,79.72,-1.32,14.06,76.63,1.32,16.43,77.43,-1.41,15.81,78.76,-0.1127,0.3822,-1.0,0.7815,-1.0,-0.3409,1.0,-0.7962,0.431,-0.8557,-1.0,-0.6137,1.0,0.097,0.1061,-1.0,-1.0,1.0,0.013,0.006,0.006,0.006,0.0,0.0,0.006,0.0,0.013,0.013,0.0,0.006,0.013,0.0,0.0,0.019,0.0,0.013
0.04,-1.44,4.04,0.55,0.37,0.55,0.0,0.0,0.0,0.019,-0.44,18.98,79.01,-0.09,14.33,77.08,0.0,18.02,78.05,-0.09,14.77,77.52,0.0,17.14,78.31,-0.18,16.44,76.99,-3.18,16.25,76.19,3.0,15.12,77.78,3.0,15.72,81.22,-2.82,12.56,78.13,2.82,14.93,75.93,-2.91,14.31,80.26,-1.0,-0.3591,-0.0278,1.0,0.8601,1.0,1.0,-0.5134,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.3198,1.0,0.013,0.006,0.006,0.006,0.0,0.0,0.006,0.0,0.013,0.013,0.0,0.006,0.013,0.0,0.0,0.019,0.0,0.013
0.08,-1.56,4.04,-1.3,0.16,4.01,0.0,0.0,0.0,0.019,-1.23,18.46,78.4,0.44,13.89,76.73,0.26,17.49,78.49,-0.88,14.06,76.99,0.7,16.44,77.87,-0.79,15.82,77.34,-4.68,14.75,74.69,1.5,16.62,76.28,4.5,14.22,82.72,-4.32,11.06,76.63,4.32,13.43,77.43,-4.41,12.81,81.76,-1.0,-1.0,-1.0,-0.5126,1.0,-1.0,1.0,-1.0,0.9048,-1.0,-1.0,-0.4155,1.0,-1.0,0.7671,-1.0,-0.7359,0.717,0.013,0.006,0.006,0.006,0.0,0.0,0.006,0.0,0.013,0.013,0.0,0.006,0.013,0.0,0.0,0.019,0.0,0.013
0.12,-1.65,4.61,-0.81,2.87,1.23,0.0,0.0,0.0,0.111,-4.66,15.29,75.06,1.58,14.15,76.38,4.04,14.33,82.0,-3.96,10.9,76.55,3.69,13.54,77.26,-4.13,12.66,80.77,-6.18,13.25,76.19,3.0,15.12,74.78,6.0,12.72,84.22,-5.82,12.56,78.13,5.82,11.93,77.17,-5.91,11.31,83.26,-1.0,-1.0,0.4392,0.7559,-0.1534,-1.0,1.0,-1.0,0.758,-1.0,0.8786,1.0,1.0,-1.0,0.1432,-1.0,-1.0,1.0,0.0,0.006,0.0,0.0,0.111,0.006,0.0,0.006,0.0,0.006,0.0,0.0,0.026,0.006,0.006,0.006,0.006,0.013
0.16,-1.66,4.64,-0.02,-1.31,2.09,0.0,0.0,0.0,0.111,-4.66,15.03,74.88,1.58,14.33,76.29,4.31,14.24,82.0,-4.13,10.81,76.55,3.87,13.1,77.43,-4.13,12.3,81.12,-7.68,14.75,77.69,2.82,13.62,73.28,7.5,11.22,82.72,-7.32,11.06,79.63,4.32,10.43,75.67,-7.41,9.81,84.76,-1.0,1.0,0.32,0.0805,0.1287,-0.7298,1.0,-1.0,-0.8034,-1.0,-1.0,1.0,-0.3166,-1.0,-1.0,-1.0,0.2936,1.0,0.0,0.006,0.0,0.0,0.111,0.006,0.0,0.006,0.0,0.006,0.0,0.0,0.026,0.006,0.006,0.006,0.006,0.013
0.2,-1.64,4.56,1.95,-1.82,-6.43,0.0,0.0,0.0,0.111,-5.54,14.68,74.97,1.67,14.5,75.67,4.66,13.62,82.0,-4.57,10.81,76.9,4.22,12.83,76.99,-4.57,11.87,81.47,-9.18,16.25,76.19,1.32,12.12,71.78,9.0,12.72,81.22,-8.82,9.56,81.13,2.82,11.93,77.17,-8.91,8.31,86.26,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,0.7781,-0.5112,-1.0,-1.0,1.0,-0.9441,1.0,1.0,-1.0,-1.0,1.0,0.0,0.006,0.0,0.0,0.111,0.006,0.0,0.006,0.0,0.006,0.0,0.0,0.026,0.006,0.006,0.006,0.006,0.013
0.24,-1.75,4.44,-3.7,-0.52,-7.3,0.0,0.0,0.0,0.111,-5.71,14.68,75.59,2.02,14.59,74.97,5.36,13.01,82.0,-5.36,10.72,77.7,4.22,12.04,76.82,-5.27,11.25,82.09,-7.68,17.75,77.69,-0.18,10.62,70.28,10.5,14.22,82.72,-10.32,8.06,82.63,1.32,13.43,78.67,-10.41,6.81,87.76,0.6765,1.0,0.3682,-0.4785,-1.0,-0.3536,1.0,1.0,1.0,-1.0,-1.0,1.0,-0.4261,1.0,1.0,-1.0,-1.0,1.0,0.039,0.0,0.006,0.006,0.006,0.026,0.013,0.006,0.006,0.039,0.0,0.019,0.0,0.0,0.0,0.039,0.0,0.039
0.28,-1.83,4.26,-2.2,-2.02,-13.42,0.0,0.0,0.0,0.111,-7.03,15.03,76.11,2.11,14.5,74.0,6.24,12.83,82.0,-6.5,10.2,78.57,3.69,11.95,77.17,-6.24,10.2,83.14,-6.18,19.25,76.19,-1.68,9.12,71.78,12.0,15.72,81.22,-11.82,6.56,84.13,2.82,14.93,77.17,-11.91,5.31,89.26,1.0,1.0,-0.1822,-1.0,-1.0,1.0,1.0,1.0,-0.6196,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,0.039,0.0,0.006,0.006,0.006,0.026,0.013,0.006,0.006,0.039,0.0,0.019,0.0,0.0,0.0,0.039,0.0,0.039
0.32,-1.98,4.12,-4.63,-3.22,-4.84,0.0,0.0,0.0,0.111,-7.29,15.64,76.55,2.11,13.8,72.95,7.47,12.83,82.09,-7.82,9.49,79.8,2.9,11.95,77.87,-7.56,9.05,84.38,-4.68,20.75,74.69,-3.18,7.62,73.28,13.5,17.22,79.72,-13.32,5.06,85.63,1.32,16.43,75.67,-13.41,3.81,90.76,1.0,1.0,-0.595,-1.0,-1.0,0.9586,1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.5999,1.0,0.0832,-1.0,-1.0,1.0,0.039,0.0,0.006,0.006,0.006,0.026,0.013,0.006,0.006,0.039,0.0,0.019,0.0,0.0,0.0,0.039,0.0,0.039
0.36,-2.0,4.13,0.4,0.1,4.05,0.0,0.0,0.0,0.111,-7.56,16.17,77.7,1.58,12.66,72.07,8.79,13.62,82.09,-9.32,8.44,81.21,2.11,12.22,78.31,-9.23,7.82,85.69,-3.18,22.25,73.19,-4.68,6.12,74.78,15.0,18.72,78.22,-14.82,3.56,87.13,-0.18,17.93,77.17,-14.91,2.31,92.26,1.0,1.0,-0.067,-1.0,-1.0,0.2375,0.6951,1.0,-0.9704,-1.0,-1.0,1.0,-0.9454,1.0,0.653,-1.0,-1.0,1.0,0.006,0.033,0.0,0.013,0.0,0.026,0.019,0.013,0.0,0.019,0.0,0.033,0.013,0.104,0.019,0.019,0.0,0.033
