t_s,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a
0.0,-0.0,2.32,0.0,0.04,0.09,0.0,0.0,0.0,0.019,0.0,0.0,-0.09,-0.26,-0.09,0.09,-0.18,0.0,-0.26,0.0,-0.18,0.0,-0.18,-0.09,-0.18,-0.09,-0.09,-0.09,1.5,-1.5,1.41,1.24,-1.59,1.59,1.32,-1.5,1.24,-1.5,-1.68,1.5,1.32,-1.59,-1.68,1.41,-1.59,1.41,0.3288,0.2177,-0.2857,0.3379,0.0706,-0.1422,0.7953,-1.0,-0.4989,-1.0,-0.0943,0.4348,0.1248,-0.3869,-1.0,1.0,-0.101,-0.1885,0.019,0.013,0.0,0.006,0.006,0.0,0.006,0.013,0.0,0.0,0.006,0.0,0.006,0.006,0.0,0.0,0.006,0.006
0.04,-0.84,1.87,-0.59,-0.3,-0.73,0.0,0.0,0.0,0.026,1.67,-1.05,1.32,0.97,-1.14,1.58,1.05,-1.14,1.05,-1.41,-1.32,1.49,1.23,-1.41,-1.67,1.32,-1.14,1.23,0.0,-3.0,2.91,2.74,-3.09,3.09,2.82,-3.0,2.74,0.0,-3.18,3.0,-0.18,-3.09,-0.18,2.91,-3.09,2.91,-0.0953,-0.2971,-0.1059,0.8536,-0.6404,0.7172,0.1537,-1.0,-0.61,0.0336,-0.3222,-0.5165,-0.5222,-0.3959,-0.0436,0.8427,0.0153,-0.4036,0.013,0.013,0.0,0.006,0.013,0.0,0.006,0.026,0.0,0.0,0.006,0.0,0.006,0.019,0.0,0.0,0.013,0.0
0.08,-0.82,1.89,0.08,-0.33,2.99,0.0,0.0,0.0,0.026,1.05,-1.05,1.32,0.97,-1.14,1.58,1.05,-1.32,1.05,-1.41,-1.32,1.49,1.23,-1.41,-1.67,1.32,-1.14,1.23,1.5,-4.5,4.41,4.24,-4.59,4.59,4.32,-4.5,4.24,-1.5,-4.68,4.5,-1.68,-4.59,1.32,4.41,-4.59,4.41,0.2829,-0.7451,0.15,0.3677,-0.7122,0.6018,0.9056,-0.5324,-0.3786,-0.4935,0.0201,-0.2113,-0.0944,-0.6675,-0.1965,0.3928,-0.369,-0.2937,0.013,0.013,0.0,0.006,0.013,0.0,0.006,0.026,0.0,0.0,0.006,0.0,0.006,0.019,0.0,0.0,0.013,0.0
0.12,-0.79,1.92,-0.35,-0.16,-1.22,0.0,0.0,0.0,0.026,1.23,-1.49,1.67,1.32,-1.49,2.11,1.41,-1.76,1.32,-1.41,-1.67,2.02,0.79,-2.02,-1.23,1.85,-1.49,1.76,3.0,-6.0,5.91,5.74,-6.09,6.09,5.82,-6.0,5.74,-3.0,-6.18,6.0,-2.37,-6.09,2.82,5.91,-6.09,5.91,0.2015,-0.1488,0.2069,0.4947,-0.0506,0.1084,0.8975,-0.4576,-0.3194,-0.4552,-0.19,-0.3251,-0.0678,-0.5338,-0.2912,0.8877,-0.2621,0.0629,0.013,0.013,0.0,0.006,0.013,0.0,0.006,0.026,0.0,0.0,0.006,0.0,0.006,0.019,0.0,0.0,0.013,0.0
0.16,-0.79,1.91,-0.16,-0.18,0.54,0.0,0.0,0.0,0.039,1.05,-2.2,2.29,2.11,-2.2,2.9,2.11,-2.55,2.02,-1.23,-2.46,2.81,0.0,-2.72,-0.35,2.72,-2.2,2.37,4.5,-7.5,7.41,7.24,-7.59,7.59,7.32,-7.5,7.24,-4.5,-7.68,7.5,-0.87,-7.59,4.32,7.41,-7.59,7.41,0.1483,-0.2551,0.2361,0.5823,-0.2989,0.1429,0.7122,-0.9265,-0.489,-0.2819,0.0347,-0.2472,-0.0048,-0.5168,-0.1068,0.7206,0.0745,0.1129,0.039,0.019,0.013,0.013,0.026,0.006,0.013,0.033,0.019,0.033,0.019,0.006,0.006,0.033,0.006,0.013,0.026,0.013
0.2,-0.78,1.95,0.34,0.4,0.99,0.0,0.0,0.0,0.039,1.93,-3.16,3.25,2.99,-3.16,3.96,3.08,-3.52,2.99,-2.11,-3.34,3.87,-0.79,-3.69,0.79,3.69,-3.16,3.34,6.0,-9.0,8.91,8.74,-9.09,9.09,8.82,-9.0,8.74,-6.0,-9.18,6.0,-2.37,-9.09,5.82,8.91,-9.09,8.91,0.327,-0.4645,-0.084,0.5839,-0.5383,0.2185,0.7343,-0.7723,-0.3152,-0.3883,-0.2231,-0.7916,-0.2104,-0.4639,-0.079,0.4677,0.091,-0.5441,0.039,0.019,0.013,0.013,0.026,0.006,0.013,0.033,0.019,0.033,0.019,0.006,0.006,0.033,0.006,0.013,0.026,0.013
0.24,-0.76,1.97,-0.08,-0.06,-1.72,0.0,0.0,0.0,0.039,3.08,-4.39,4.48,4.13,-4.39,5.27,4.22,-4.92,4.13,-2.99,-4.57,5.01,-1.32,-5.1,2.02,5.1,-4.31,4.57,5.37,-10.5,10.41,10.24,-10.59,10.59,10.32,-10.5,10.24,-7.5,-10.68,7.5,-1.81,-10.59,7.32,10.41,-7.59,8.98,0.1533,-0.141,-0.0688,0.3606,-0.1011,0.0272,0.4212,-0.6556,-0.0064,-0.5473,0.0552,-0.4462,-0.0517,-0.4306,-0.4913,0.5781,0.4038,-0.659,0.039,0.019,0.013,0.013,0.026,0.006,0.013,0.033,0.019,0.033,0.019,0.006,0.006,0.033,0.006,0.013,0.026,0.013
0.28,-0.79,1.92,-0.88,-0.68,1.62,0.0,0.0,0.0,0.039,3.6,-5.71,5.89,5.62,-5.71,6.68,5.71,-6.33,5.54,-4.04,-5.98,6.06,-2.02,-6.5,3.52,6.5,-5.62,5.8,3.87,-12.0,11.91,11.74,-12.09,12.09,8.82,-12.0,11.74,-9.0,-12.18,9.0,-3.13,-12.09,8.82,11.91,-6.09,7.48,-0.0509,-0.1082,-0.2508,0.4219,0.0753,-0.1694,0.1147,-0.7915,0.1413,-0.4746,0.1957,-0.5192,-0.0896,-0.3683,-0.2595,0.4286,0.5169,-1.0,0.0,0.026,0.013,0.013,0.026,0.013,0.013,0.026,0.019,0.019,0.019,0.006,0.0,0.033,0.0,0.013,0.026,0.006
0.32,-0.73,1.95,0.43,0.26,-0.28,0.0,0.0,0.0,0.039,5.01,-7.12,7.29,6.94,-7.12,8.09,6.94,-7.73,6.94,-5.54,-7.38,7.12,-2.55,-7.91,4.92,7.82,-6.68,6.94,2.37,-13.5,13.41,10.24,-12.82,13.59,7.32,-13.5,13.24,-10.5,-13.68,10.5,-1.63,-13.59,10.32,10.41,-4.59,5.98,-0.0559,-0.2046,-0.1566,0.2371,0.2215,-0.3379,-0.1048,-0.6919,0.3171,-0.3767,0.1277,-0.5826,0.0406,-0.3159,-0.1588,0.2442,0.5647,-1.0,0.0,0.026,0.013,0.013,0.026,0.013,0.013,0.026,0.019,0.019,0.019,0.006,0.0,0.033,0.0,0.013,0.026,0.006
0.36,-0.75,1.94,-0.76,-0.42,0.08,0.0,0.0,0.0,0.039,4.75,-8.53,8.7,8.35,-8.53,9.49,8.09,-9.23,8.35,-6.86,-8.79,8.09,-3.08,-9.32,6.33,9.23,-7.56,7.82,0.87,-15.0,14.91,8.74,-11.32,15.09,5.82,-15.0,14.74,-12.0,-12.81,12.0,-0.13,-15.09,11.82,8.91,-3.09,4.48,-0.2216,-0.2185,-0.1346,-0.0315,0.2608,-0.5122,-0.1347,-0.7908,0.4748,-0.4655,0.2217,-0.4187,0.319,-0.2523,-0.1617,0.2386,0.6767,-1.0,0.0,0.026,0.013,0.013,0.026,0.013,0.013,0.026,0.019,0.019,0.019,0.006,0.0,0.033,0.0,0.013,0.026,0.006
0.4,-0.62,2.04,0.67,0.6,-3.12,0.0,0.0,0.0,0.039,3.78,-13.8,13.97,11.16,-12.04,14.68,9.58,-14.41,13.54,-11.07,-12.57,12.66,-0.97,-14.59,11.51,11.6,-7.73,8.17,-0.63,-16.5,16.41,7.24,-9.82,16.59,4.32,-16.5,16.24,-10.5,-13.28,13.5,1.37,-16.59,13.32,7.59,-1.59,2.98,-0.2087,-0.1682,-0.1011,-0.0846,0.3616,-0.5027,-0.2455,-0.8245,0.5239,-0.2343,0.213,-0.4025,0.1961,-0.3513,0.1655,0.217,0.6036,-1.0,0.013,0.019,0.006,0.006,0.006,0.0,0.019,0.019,0.006,0.006,0.006,0.0,0.0,0.013,0.006,0.006,0.006,0.013
0.44,-0.66,2.04,-1.04,-0.7,1.03,0.0,0.0,0.0,0.039,2.11,-14.5,14.68,11.16,-12.22,15.38,9.49,-15.12,14.33,-11.43,-12.83,13.1,-0.18,-15.29,12.22,11.6,-7.21,7.56,-2.13,-18.0,17.91,5.74,-11.32,16.89,2.82,-18.0,17.74,-9.0,-11.78,15.0,2.87,-18.09,14.82,9.09,-0.09,1.48,-0.2259,-0.2408,0.028,-0.0849,0.1848,-0.566,-0.1034,-0.9764,0.5611,0.0229,0.2992,-0.5229,0.308,-0.2521,0.2396,0.3424,0.7065,-1.0,0.013,0.019,0.006,0.006,0.006,0.0,0.019,0.019,0.006,0.006,0.006,0.0,0.0,0.013,0.006,0.006,0.006,0.013
0.48,-0.65,2.08,0.73,0.8,-0.15,0.0,0.0,0.0,0.039,1.14,-15.47,15.56,11.16,-12.22,16.17,8.44,-15.91,15.21,-11.69,-12.92,13.54,0.7,-16.0,12.92,10.81,-5.98,6.5,-3.63,-19.5,19.41,4.24,-12.82,18.39,2.96,-19.5,19.24,-7.5,-10.28,16.5,2.51,-19.59,16.32,10.59,-0.78,-0.02,-0.1085,-0.2418,-0.0748,-0.1494,0.2157,-0.5278,0.0845,-1.0,0.4327,0.0717,0.2736,-0.4715,0.0716,-0.4419,0.3887,0.364,0.4403,-1.0,0.013,0.019,0.006,0.006,0.006,0.0,0.019,0.019,0.006,0.006,0.006,0.0,0.0,0.013,0.006,0.006,0.006,0.013
0.52,-0.7,2.01,-1.54,-0.91,-0.63,0.0,0.0,0.0,0.039,-0.53,-16.44,16.7,10.37,-12.04,17.05,6.94,-16.96,16.35,-11.6,-12.83,14.41,1.67,-17.14,14.06,10.28,-4.39,4.92,-2.13,-21.0,20.91,2.74,-14.32,19.89,4.46,-21.0,20.74,-6.0,-11.78,18.0,1.01,-21.09,17.82,12.09,-2.28,-1.52,-0.0243,-0.1652,-0.0273,0.0505,0.1107,-0.4794,0.2498,-1.0,0.3059,0.1618,0.2175,-0.5431,0.0163,-0.4614,0.2638,0.5873,0.2977,-1.0,0.033,0.033,0.013,0.013,0.0,0.019,0.013,0.033,0.019,0.019,0.006,0.013,0.006,0.026,0.006,0.006,0.006,0.019
0.56,-0.7,1.98,-0.88,-1.46,6.0,0.0,0.0,0.0,0.039,-2.02,-17.58,17.67,9.14,-11.95,18.02,5.98,-18.19,17.4,-10.72,-12.3,15.29,2.2,-18.28,15.21,9.84,-3.25,3.69,-1.39,-22.5,22.41,3.69,-15.82,21.39,5.96,-22.5,22.24,-4.5,-13.28,18.56,-0.49,-22.59,19.32,13.59,-3.78,-3.02,-0.0397,-0.1931,-0.0275,0.1055,0.0679,-0.3745,0.42,-1.0,0.0603,0.179,0.2041,-0.5464,-0.0219,-0.5136,0.3217,0.6764,0.1775,-1.0,0.033,0.033,0.013,0.013,0.0,0.019,0.013,0.033,0.019,0.019,0.006,0.013,0.006,0.026,0.006,0.006,0.006,0.019
0.6,-0.61,2.04,1.47,1.55,-3.11,0.0,0.0,0.0,0.039,-1.93,-18.81,18.9,7.73,-11.95,18.98,4.92,-19.34,18.63,-9.76,-12.04,16.44,2.37,-19.42,16.35,10.02,-2.29,2.29,0.11,-24.0,23.91,5.19,-17.32,22.89,7.46,-24.0,23.74,-3.0,-14.78,17.06,0.73,-24.09,20.82,15.09,-5.28,-4.52,0.1124,-0.2854,-0.0374,0.2604,-0.121,-0.3823,0.5061,-1.0,0.0139,0.2085,-0.0296,-0.7377,0.0207,-0.4679,0.1512,0.8248,0.0495,-1.0,0.033,0.033,0.013,0.013,0.0,0.019,0.013,0.033,0.019,0.019,0.006,0.013,0.006,0.026,0.006,0.006,0.006,0.019
