time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/loss,train/std,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_fraction
5,5685,1,448.4520568847656,32768,400.0,,,,,,,,,,,
12,5316,2,424.1416931152344,65536,400.0,5.8987570740282536,0.00015,0.2,0.11150370005634613,0.017418552190065384,0.18273691833019257,0.001871815646760903,6,-0.0017642974853515625,0.024921339,0.3450419108072917
19,5166,3,425.9623107910156,98304,400.0,5.892954297363758,0.00015,0.2,0.020491279423974145,-0.009051097556948662,0.18277256190776825,0.0011190635838526457,12,0.740925669670105,0.025065618,0.3299306233723958
25,5136,4,420.6705017089844,131072,400.0,5.912734944373369,0.00015,0.2,0.01739943140273681,-0.0018154201097786427,0.18250444531440735,0.0018292280783498427,18,0.8794982433319092,0.026365638,0.3351694742838542
32,5113,5,456.1484069824219,163840,400.0,5.930698217203219,0.00015,0.2,0.01567866187542677,-0.0005657942965626717,0.1824149191379547,0.0006885988235201997,24,0.9247947335243225,0.026010787,0.330963134765625
38,5083,6,418.0968017578125,196608,400.0,5.951354982952277,0.00015,0.2,0.014703781622908233,-0.011866859160363674,0.18219631910324097,-0.000529489730373219,30,0.9395679831504822,0.025209097,0.3335367838541667
45,5056,7,406.02227783203125,229376,400.0,5.970655971517165,0.00015,0.2,0.01542918633640511,-0.00738858338445425,0.18203803896903992,-0.0008561300734678904,36,0.9507328867912292,0.025126908,0.3320058186848958
51,5059,8,420.5184020996094,262144,400.0,5.987737117956082,0.00015,0.2,0.015423629209787274,0.007740963716059923,0.18191221356391907,-0.001747358734064619,42,0.9526023864746094,0.027228152,0.33642578125
58,5052,9,436.59149169921875,294912,400.0,6.014565293987592,0.00015,0.2,0.013637643620313611,-9.195972234010696e-05,0.18159498274326324,9.067701527480192e-05,48,0.9632117748260498,0.02607501,0.3372446695963542
64,5046,10,404.48968505859375,327680,400.0,6.037301721672217,0.00015,0.2,0.013696205998712685,0.01139366440474987,0.18143995106220245,-0.002425811567566901,54,0.9692068696022034,0.026219565,0.3338165283203125
71,5062,11,475.2674560546875,360448,400.0,6.051728747785091,0.00015,0.2,0.014368076391595727,-0.0015979763120412827,0.1813642680644989,-0.000627222954184011,60,0.9730124473571777,0.024371373,0.3246968587239583
77,5059,12,468.9560852050781,393216,400.0,6.076048621286948,0.00015,0.2,0.01152607396215899,0.0006286539137363434,0.18111029267311096,-0.0018201499199979783,66,0.9775140285491943,0.025049422,0.3288777669270833
84,5047,13,437.7001647949219,425984,400.0,6.092859550068776,0.00015,0.2,0.012120378227943244,0.0030767270363867283,0.18099777400493622,-0.0023355305863030176,72,0.9786389470100403,0.026056468,0.3308512369791667
90,5043,14,414.9078369140625,458752,400.0,6.100794695317745,0.00015,0.2,0.01217696859384887,-0.0031592524610459805,0.18095938861370087,-0.0036727219594467897,78,0.9771245718002319,0.026241714,0.3405812581380208
97,5049,15,409.0950927734375,491520,400.0,6.108031898736954,0.00015,0.2,0.01178772143854682,0.0012595979496836662,0.18090377748012543,-0.0026279916977121807,84,0.9805580377578735,0.026004799,0.335968017578125
103,5056,16,454.5545349121094,524288,400.0,6.127472221851349,0.00015,0.2,0.011543824199179653,0.006034244783222675,0.180671826004982,-0.0029536322642040127,90,0.9808287620544434,0.027173292,0.3423207600911458
110,5047,17,394.51995849609375,557056,400.0,6.14071524515748,0.00015,0.2,0.010382138854765799,-0.004621719475835562,0.18065884709358215,-0.0023065060704539064,96,0.978645384311676,0.026506266,0.3426157633463542
116,5045,18,442.4766540527344,589824,400.0,6.138653974980116,0.00015,0.2,0.012348208416369744,-0.011706078425049782,0.18064042925834656,-0.0017798208640063724,102,0.9821009635925293,0.027138915,0.3357289632161458
