t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,rot60_k
0.0,run,0.05,3.33,0.02,0.0,0.12,0.0,0.0,0.0,0.019,0.0,0.44,0.18,0.18,0.44,0.26,0.09,0.18,0.62,0.09,0.44,0.26,-0.09,0.09,0.09,0.0,0.35,0.18,-0.0,-1.15,1.68,1.68,-0.96,1.68,1.59,-1.32,2.03,-1.41,1.85,1.68,1.41,-1.41,1.59,1.5,-1.07,1.68,-0.0001,0.3331,-0.0874,0.1328,0.4371,-0.319,0.1656,-0.0846,-0.2038,-0.2255,0.5728,-0.087,0.0702,-0.032,-0.2556,0.4159,0.4351,-0.1814,0.0,0.006,0.0,0.006,0.006,0.006,0.0,0.013,0.006,0.019,0.0,0.006,0.006,0.019,0.013,0.013,0.006,0.006,0.0,0.0015,0.0,0.0,0.0015,0.0015,0.0,0.0031,0.0015,0.0,0.0015,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0038,0.0032,0.0,0.0069,0.0038,0.0,0.0038,0.0032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029,0.0002,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,run,0.05,3.33,-0.07,-0.03,-0.01,0.0,0.0,0.0,0.019,0.0,0.44,0.26,0.18,0.44,0.35,0.09,-0.09,0.7,-0.18,0.53,0.26,0.09,-0.18,0.35,0.0,0.35,0.26,-0.46,0.35,3.18,3.18,0.54,3.18,3.09,-2.82,3.53,-2.11,3.35,3.18,2.91,-2.91,3.09,3.0,0.43,3.18,-0.0131,0.5432,-0.2898,0.1651,0.5594,-0.4461,0.1796,0.1611,-0.1711,-0.0603,0.6159,-0.4064,0.137,0.132,-0.0312,0.3355,0.5769,-0.5208,0.0,0.006,0.0,0.006,0.006,0.006,0.0,0.013,0.006,0.019,0.0,0.006,0.006,0.019,0.013,0.013,0.006,0.006,0.0,0.0015,0.0,0.0,0.0015,0.0015,0.0,0.0,0.0015,0.0,0.0015,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0,0.0,0.0026,0.0022,0.0,-0.0002,0.0026,0.0,0.0026,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,-0.0001,0.0,0.0004,0.0001,0.002,-0.0001,0.3331,-0.0874,0.1328,0.4371,-0.319,0.1656,-0.0846,-0.2038,-0.2255,0.5728,-0.087,0.0702,-0.032,-0.2556,0.4159,0.4351,-0.1814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,run,0.04,3.34,-0.22,0.31,1.64,0.0,0.0,0.0,0.019,0.0,0.0,0.88,0.44,0.0,1.14,0.62,-0.7,1.23,-1.05,1.14,0.97,0.88,-0.88,1.05,1.14,0.0,0.88,-0.37,1.85,4.68,4.68,2.04,4.68,4.59,-4.32,5.03,-0.61,4.85,4.68,4.41,-4.41,4.59,4.5,1.93,4.68,-0.0104,0.6074,-0.3755,0.1901,0.6317,-0.4846,0.2016,0.1749,-0.0913,-0.0165,0.6293,-0.4604,0.1602,0.1745,-0.0838,0.2857,0.558,-0.5136,0.0,0.006,0.0,0.006,0.006,0.006,0.0,0.013,0.006,0.019,0.0,0.006,0.006,0.019,0.013,0.013,0.006,0.006,0.0,0.0015,0.0015,0.0,0.0015,0.0031,0.0,-0.0046,0.0031,-0.0046,0.0031,0.0015,0.0031,-0.0046,0.0046,0.0,0.0,0.0015,0.0,0.0018,0.0058,0.0,0.0018,0.0073,0.0,-0.0174,0.0076,-0.0173,0.0076,0.0016,0.0115,-0.0173,0.0173,0.0,0.0,0.0058,0.0002,-0.0003,-0.0012,-0.0006,-0.0002,-0.0131,0.5432,-0.2898,0.1651,0.5594,-0.4461,0.1796,0.1611,-0.1711,-0.0603,0.6159,-0.4064,0.137,0.132,-0.0312,0.3355,0.5769,-0.5208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12,run,0.03,3.3,-0.84,-1.0,-1.66,0.0,0.0,0.0,0.039,-0.44,-0.35,1.67,1.49,-0.26,2.2,1.58,-1.49,1.58,-1.76,2.02,2.2,1.67,-1.67,2.11,1.93,-0.26,1.67,-0.52,3.35,6.18,6.14,3.54,6.18,6.09,-5.82,6.53,0.03,6.35,6.18,4.99,-5.91,6.09,6.0,3.43,6.18,-0.0149,0.5885,-0.3841,0.1754,0.626,-0.4936,0.1916,0.1815,-0.1215,0.0009,0.6237,-0.475,0.1426,0.1941,-0.1467,0.2716,0.5747,-0.5427,0.006,0.006,0.013,0.013,0.0,0.013,0.019,0.039,0.033,0.006,0.006,0.013,0.013,0.026,0.013,0.039,0.0,0.013,0.0,-0.0061,0.0123,0.0046,-0.0061,0.0169,0.0092,-0.0153,0.0123,-0.0199,0.0138,0.0138,0.0169,-0.0169,0.0169,0.0199,-0.0061,0.0123,0.0,-0.0274,0.0442,0.0172,-0.0274,0.0568,0.0345,-0.0524,0.0398,-0.0695,0.0455,0.047,0.0598,-0.0581,0.0581,0.0747,-0.023,0.0442,-0.0006,0.0007,-0.0039,0.0054,0.0286,-0.0104,0.6074,-0.3755,0.1901,0.6317,-0.4846,0.2016,0.1749,-0.0913,-0.0165,0.6293,-0.4604,0.1602,0.1745,-0.0838,0.2857,0.558,-0.5136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,run,0.03,3.3,0.12,0.25,2.2,0.0,0.0,0.0,0.039,-0.79,-0.26,2.81,2.64,-0.26,3.34,2.64,-2.72,2.72,-2.02,3.08,3.34,2.99,-2.9,3.34,3.08,-0.26,2.81,-1.08,4.85,7.68,5.71,5.04,7.68,5.85,-7.32,8.03,0.03,7.42,7.68,3.74,-7.41,7.59,7.5,4.93,7.68,-0.0309,0.5609,-0.4043,0.1631,0.5852,-0.5033,0.1671,0.2091,-0.2025,0.0008,0.5894,-0.4951,0.1067,0.2171,-0.2707,0.2648,0.5748,-0.5943,0.006,0.006,0.013,0.013,0.0,0.013,0.019,0.039,0.033,0.006,0.006,0.013,0.013,0.026,0.013,0.039,0.0,0.013,-0.0077,-0.0123,0.0261,0.023,-0.0107,0.0353,0.0261,-0.0291,0.0184,-0.0322,0.0291,0.0353,0.0307,-0.0307,0.0353,0.0337,-0.0107,0.0261,-0.0286,-0.0421,0.0825,0.0807,-0.0364,0.1084,0.0871,-0.0882,0.0507,-0.0945,0.0891,0.113,0.0933,-0.0921,0.1093,0.1038,-0.0332,0.0825,-0.0019,-0.0029,-0.0146,-0.0174,-0.029,-0.0149,0.5885,-0.3841,0.1754,0.626,-0.4936,0.1916,0.1815,-0.1215,0.0009,0.6237,-0.475,0.1426,0.1941,-0.1467,0.2716,0.5747,-0.5427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,run,0.04,3.3,-0.35,-0.48,-1.88,0.0,0.0,0.0,0.039,-0.53,0.09,4.04,3.78,0.0,4.66,3.78,-4.04,4.13,-2.29,4.39,4.66,3.87,-4.13,4.66,4.75,0.09,4.04,-2.03,3.65,9.18,5.62,3.95,9.18,4.78,-8.82,9.53,-0.05,5.92,9.18,2.24,-8.91,9.09,9.0,5.83,9.08,-0.0581,0.521,-0.4274,0.1605,0.5263,-0.5074,0.1366,0.2578,-0.3249,-0.0014,0.5316,-0.4995,0.0506,0.2614,-0.4446,0.2593,0.5606,-0.6579,0.006,0.006,0.013,0.013,0.0,0.013,0.019,0.039,0.033,0.006,0.006,0.013,0.013,0.026,0.013,0.039,0.0,0.013,-0.0138,-0.0107,0.046,0.043,-0.0107,0.0552,0.0445,-0.0506,0.0383,-0.0368,0.0476,0.0552,0.0537,-0.0522,0.0568,0.0537,-0.0107,0.046,-0.0432,-0.0237,0.1329,0.1317,-0.0255,0.1511,0.1303,-0.1427,0.1107,-0.0835,0.1317,0.1543,0.1521,-0.1454,0.1575,0.1478,-0.0233,0.1329,-0.0021,-0.0021,0.0021,0.0043,0.0384,-0.0309,0.5609,-0.4043,0.1631,0.5852,-0.5033,0.1671,0.2091,-0.2025,0.0008,0.5894,-0.4951,0.1067,0.2171,-0.2707,0.2648,0.5748,-0.5943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.24,run,0.03,3.26,-0.09,-0.13,1.25,0.0,0.0,0.0,0.039,-1.23,0.97,5.36,4.75,0.88,6.06,4.66,-5.36,5.45,-1.23,5.45,6.06,4.48,-5.54,5.98,5.62,0.97,5.36,-2.69,2.27,10.68,5.82,2.45,10.68,3.89,-8.32,11.03,-0.55,4.42,10.68,0.74,-8.91,10.59,9.38,4.6,7.58,-0.0769,0.4958,-0.4642,0.1662,0.4551,-0.5181,0.111,0.3032,-0.4341,-0.0157,0.467,-0.5213,0.0104,0.2925,-0.5831,0.2681,0.5382,-0.7204,0.0,0.006,0.013,0.0,0.006,0.013,0.006,0.019,0.019,0.013,0.0,0.006,0.006,0.019,0.006,0.0,0.013,0.006,-0.0092,-0.0046,0.0675,0.0629,-0.0061,0.0782,0.0644,-0.0736,0.0629,-0.0414,0.0706,0.0782,0.069,-0.0736,0.0798,0.0828,-0.0046,0.0675,-0.0129,0.0065,0.1737,0.1671,-0.0005,0.1922,0.1661,-0.1863,0.1696,-0.0757,0.1786,0.1944,0.164,-0.1825,0.1966,0.2129,0.0068,0.1737,-0.0012,-0.0028,-0.0061,-0.0083,-0.0327,-0.0581,0.521,-0.4274,0.1605,0.5263,-0.5074,0.1366,0.2578,-0.3249,-0.0014,0.5316,-0.4995,0.0506,0.2614,-0.4446,0.2593,0.5606,-0.6579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,run,0.07,3.28,0.53,0.24,-0.71,0.0,0.0,0.0,0.039,-2.29,1.93,6.77,5.36,1.85,7.47,5.36,-6.59,6.86,-0.7,6.33,7.38,4.83,-6.77,7.38,7.56,2.02,6.59,-2.98,0.77,12.18,6.04,0.95,12.18,3.85,-7.22,12.53,-0.59,2.92,12.18,-0.25,-8.58,11.24,9.88,3.1,6.08,-0.0853,0.4533,-0.5049,0.1725,0.3973,-0.5269,0.1099,0.3232,-0.4955,-0.0168,0.4023,-0.5335,-0.0071,0.2985,-0.6325,0.2823,0.4896,-0.7614,0.0,0.006,0.013,0.0,0.006,0.013,0.006,0.019,0.019,0.013,0.0,0.006,0.006,0.019,0.006,0.0,0.013,0.006,-0.0215,0.0107,0.0905,0.0798,0.0092,0.1028,0.0798,-0.0966,0.0859,-0.023,0.089,0.1028,0.0798,-0.0982,0.1028,0.0982,0.0107,0.0905,-0.055,0.0619,0.2076,0.1801,0.057,0.2263,0.1737,-0.2165,0.2048,0.0159,0.1939,0.2279,0.155,-0.2195,0.2237,0.2064,0.0621,0.2076,-0.0016,-0.0059,-0.0016,-0.0023,0.0219,-0.0769,0.4958,-0.4642,0.1662,0.4551,-0.5181,0.111,0.3032,-0.4341,-0.0157,0.467,-0.5213,0.0104,0.2925,-0.5831,0.2681,0.5382,-0.7204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.32,run,0.06,3.27,-0.57,0.08,0.87,0.0,0.0,0.0,0.039,-2.11,2.72,8.09,5.71,2.64,8.79,5.71,-7.56,8.26,-0.7,6.94,8.79,4.75,-7.73,8.7,8.0,3.08,7.65,-3.03,-0.73,13.68,5.54,-0.55,13.68,4.13,-8.08,14.03,-0.34,1.42,13.68,-0.27,-10.08,10.25,10.77,1.6,4.58,-0.0866,0.3894,-0.5396,0.1583,0.3251,-0.5314,0.1179,0.3077,-0.5271,-0.0097,0.337,-0.5472,-0.0077,0.2708,-0.6441,0.3076,0.4426,-0.7964,0.0,0.006,0.013,0.0,0.006,0.013,0.006,0.019,0.019,0.013,0.0,0.006,0.006,0.019,0.006,0.0,0.013,0.006,-0.0399,0.0276,0.115,0.0905,0.0261,0.1273,0.092,-0.1181,0.1104,-0.0138,0.1043,0.1258,0.0859,-0.1197,0.1273,0.1319,0.0291,0.112,-0.1077,0.1068,0.2376,0.1664,0.1033,0.2507,0.1677,-0.2323,0.2357,0.0457,0.1934,0.246,0.1316,-0.2344,0.2489,0.2714,0.1127,0.2261,0.0016,-0.0047,0.0093,0.0042,-0.0125,-0.0853,0.4533,-0.5049,0.1725,0.3973,-0.5269,0.1099,0.3232,-0.4955,-0.0168,0.4023,-0.5335,-0.0071,0.2985,-0.6325,0.2823,0.4896,-0.7614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.36,run,0.03,3.28,-0.26,-0.16,2.63,0.0,0.0,0.0,0.039,-3.16,3.16,9.49,5.8,3.08,10.2,5.71,-8.09,9.58,-0.7,7.21,10.28,4.31,-8.53,9.76,9.14,3.78,8.26,-3.4,-2.23,15.18,4.81,-2.05,15.18,4.45,-9.31,15.53,0.1,-0.08,15.18,-0.11,-11.58,11.1,11.8,0.1,3.08,-0.0971,0.3116,-0.5585,0.1374,0.2516,-0.5243,0.1272,0.2852,-0.5447,0.0029,0.2661,-0.5403,-0.0032,0.2403,-0.6341,0.337,0.3862,-0.8112,0.013,0.0,0.013,0.006,0.0,0.013,0.013,0.019,0.019,0.006,0.0,0.013,0.013,0.026,0.0,0.0,0.0,0.006,-0.0368,0.0414,0.1381,0.0966,0.0399,0.1503,0.0982,-0.135,0.135,-0.0138,0.115,0.1503,0.0844,-0.1365,0.1503,0.1396,0.0476,0.1304,-0.0639,0.1265,0.2526,0.1395,0.1241,0.2618,0.1404,-0.2259,0.257,0.032,0.1756,0.2642,0.0863,-0.2274,0.2605,0.2187,0.1479,0.2273,0.001,-0.0052,-0.01,0.0014,0.0152,-0.0866,0.3894,-0.5396,0.1583,0.3251,-0.5314,0.1179,0.3077,-0.5271,-0.0097,0.337,-0.5472,-0.0077,0.2708,-0.6441,0.3076,0.4426,-0.7964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
