t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,rot60_k
0.0,run,0.47,3.95,-0.27,0.13,1.95,0.0,0.0,0.0,0.039,-0.09,0.62,0.18,0.18,0.0,0.26,-0.18,0.26,0.44,0.0,0.44,0.09,0.18,0.35,0.44,0.0,0.18,0.35,-0.01,-0.88,1.68,1.68,-0.86,1.68,1.32,-1.32,1.94,-1.5,1.85,1.59,1.68,-1.32,1.76,1.5,-1.05,1.76,-0.0002,0.3349,-0.0872,0.1336,0.4389,-0.318,0.166,-0.0849,-0.2013,-0.2263,0.5732,-0.0852,0.0707,-0.0328,-0.2546,0.4169,0.4354,-0.1797,0.0,0.006,0.0,0.0,0.006,0.0,0.006,0.013,0.006,0.019,0.0,0.013,0.006,0.039,0.0,0.006,0.006,0.006,-0.0015,0.0,0.0,0.0,0.0,0.0015,0.0,0.0031,0.0,0.0,0.0015,0.0,0.0,0.0031,0.0015,0.0,0.0,0.0015,0.0052,0.0,0.0,0.0,0.0,0.0032,0.0,0.007,0.0,0.0,0.0038,0.0,0.0,0.007,0.0038,0.0,0.0,0.0038,0.0,0.0,0.0037,0.0033,-0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,run,0.48,3.93,0.24,0.06,-1.54,0.0,0.0,0.0,0.039,0.26,0.62,0.26,0.18,0.0,0.44,-0.09,-0.26,0.53,-0.44,0.62,0.35,0.26,0.09,0.7,0.18,0.18,0.35,-0.41,0.62,3.18,3.18,0.64,3.18,2.82,-2.82,3.44,-2.11,3.35,3.09,3.18,-2.82,3.26,3.0,0.45,3.26,-0.0116,0.5442,-0.2903,0.1673,0.5618,-0.4455,0.1811,0.16,-0.1664,-0.0602,0.6176,-0.4039,0.1395,0.1309,-0.0239,0.3351,0.5751,-0.5179,0.0,0.006,0.0,0.0,0.006,0.0,0.006,0.013,0.006,0.019,0.0,0.013,0.006,0.039,0.0,0.006,0.006,0.006,-0.0046,0.0,0.0,0.0,0.0,0.0015,0.0,0.0015,0.0,0.0,0.0015,0.0,0.0,0.0031,0.0031,0.0,0.0,0.0015,-0.0014,0.0,0.0,0.0,0.0,0.0022,0.0,0.0024,0.0,0.0,0.0027,0.0,0.0,0.0049,0.0052,0.0,0.0,0.0027,-0.0014,0.0002,-0.0047,0.0023,0.034,-0.0002,0.3349,-0.0872,0.1336,0.4389,-0.318,0.166,-0.0849,-0.2013,-0.2263,0.5732,-0.0852,0.0707,-0.0328,-0.2546,0.4169,0.4354,-0.1797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,run,0.51,3.87,-0.05,0.1,0.58,0.0,0.0,0.0,0.039,-0.35,0.09,0.88,0.53,-0.26,1.23,0.53,-0.88,1.14,-1.41,1.23,1.23,1.32,-0.79,1.49,1.41,-0.35,0.97,-0.36,2.12,4.68,4.68,2.14,4.68,4.32,-4.32,4.94,-0.61,4.85,4.59,4.68,-4.32,4.76,4.5,1.95,4.76,-0.0103,0.6068,-0.3772,0.1885,0.631,-0.4873,0.2011,0.1733,-0.0909,-0.0157,0.6293,-0.4656,0.1617,0.1707,-0.0858,0.2867,0.5595,-0.5171,0.0,0.006,0.0,0.0,0.006,0.0,0.006,0.013,0.006,0.019,0.0,0.013,0.006,0.039,0.0,0.006,0.006,0.006,0.0015,0.0,0.0015,0.0,0.0,0.0046,0.0015,-0.0077,0.0015,-0.0077,0.0046,0.0046,0.0015,-0.0015,0.0077,0.0031,0.0,0.0015,0.0189,0.0,0.005,0.0,0.0,0.0115,0.005,-0.0281,0.005,-0.0248,0.0118,0.0149,0.005,-0.0115,0.0185,0.0099,0.0,0.0019,-0.0004,-0.0017,0.0043,0.001,-0.0269,-0.0116,0.5442,-0.2903,0.1673,0.5618,-0.4455,0.1811,0.16,-0.1664,-0.0602,0.6176,-0.4039,0.1395,0.1309,-0.0239,0.3351,0.5751,-0.5179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12,run,0.73,3.76,0.15,-0.07,-1.49,0.0,0.0,0.0,0.039,-0.18,3.52,5.98,5.8,3.52,6.06,5.71,-5.54,6.06,0.09,6.24,6.06,4.75,-5.45,6.24,5.98,3.25,6.06,-0.55,3.62,6.18,6.11,3.64,6.18,5.82,-5.82,6.44,0.01,6.35,6.09,4.91,-5.82,6.26,6.0,3.45,6.26,-0.0158,0.5812,-0.3867,0.1745,0.6191,-0.4942,0.1906,0.1827,-0.1326,0.0003,0.6222,-0.4807,0.1402,0.1922,-0.1611,0.2737,0.5765,-0.5498,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,-0.0092,-0.0092,0.0123,0.0061,-0.0046,0.0184,0.0123,-0.0184,0.0123,-0.0245,0.0153,0.0199,0.0199,-0.0169,0.0215,0.0245,-0.0092,0.0123,-0.0262,-0.0338,0.0429,0.0225,-0.0169,0.0587,0.0429,-0.0591,0.0429,-0.0793,0.0476,0.0667,0.071,-0.0643,0.0636,0.0857,-0.0338,0.0407,0.0018,-0.0068,-0.0008,0.0017,0.01,-0.0103,0.6068,-0.3772,0.1885,0.631,-0.4873,0.2011,0.1733,-0.0909,-0.0157,0.6293,-0.4656,0.1617,0.1707,-0.0858,0.2867,0.5595,-0.5171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,run,0.7,3.75,-0.37,0.02,1.22,0.0,0.0,0.0,0.039,-0.7,3.52,5.98,5.8,3.52,6.06,5.71,-5.54,6.06,0.09,6.24,6.06,4.75,-5.45,6.24,5.98,3.25,6.06,-2.05,2.12,7.68,4.61,2.14,7.68,5.37,-7.32,7.94,1.51,4.85,7.59,3.41,-7.32,7.76,7.5,4.43,4.76,-0.0789,0.3402,-0.4881,0.0973,0.4333,-0.4964,0.1534,0.1621,-0.3292,0.0749,0.4353,-0.5402,0.0663,0.1866,-0.4516,0.3198,0.535,-0.7267,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,-0.0061,0.0506,0.1012,0.0982,0.0614,0.1028,0.1028,-0.0997,0.0982,0.0015,0.1028,0.1043,0.0798,-0.0982,0.1043,0.1043,0.0537,0.1012,-0.0262,-0.0338,0.0429,0.0225,-0.0169,0.0587,0.0429,-0.0591,0.0429,-0.0793,0.0476,0.0667,0.071,-0.0643,0.0636,0.0857,-0.0338,0.0407,0.0209,-0.0171,0.0027,-0.0013,-0.0261,-0.0158,0.5812,-0.3867,0.1745,0.6191,-0.4942,0.1906,0.1827,-0.1326,0.0003,0.6222,-0.4807,0.1402,0.1922,-0.1611,0.2737,0.5765,-0.5498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,run,0.7,3.76,0.2,0.24,0.13,0.0,0.0,0.0,0.039,-0.7,3.52,5.98,5.8,3.52,6.06,5.71,-5.54,6.06,0.09,6.24,6.06,4.75,-5.45,6.24,5.98,3.25,6.06,-3.55,0.62,9.18,3.88,0.64,9.18,4.81,-8.82,9.44,0.79,3.35,9.09,1.91,-8.82,9.26,9.0,2.93,3.26,-0.1053,0.3062,-0.4918,0.1108,0.317,-0.5069,0.1375,0.2299,-0.4615,0.0226,0.3409,-0.5361,0.0321,0.1996,-0.5812,0.3495,0.4577,-0.7688,0.0,0.0,0.0,0.006,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,-0.0153,0.0506,0.1012,0.0982,0.0614,0.1028,0.1028,-0.0997,0.0982,0.0015,0.1028,0.1043,0.0798,-0.0982,0.1043,0.1043,0.0537,0.1012,-0.0507,-0.0236,0.03,0.0158,-0.0118,0.0411,0.03,-0.0413,0.03,-0.0555,0.0333,0.0467,0.0497,-0.045,0.0445,0.06,-0.0236,0.0285,0.0184,-0.0177,-0.0064,0.0003,0.0214,-0.0789,0.3402,-0.4881,0.0973,0.4333,-0.4964,0.1534,0.1621,-0.3292,0.0749,0.4353,-0.5402,0.0663,0.1866,-0.4516,0.3198,0.535,-0.7267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.24,run,0.68,3.74,-0.08,-0.04,-0.94,0.0,0.0,0.0,0.039,-0.88,3.52,6.24,5.8,3.52,6.59,5.71,-6.06,6.33,0.35,6.15,6.5,4.66,-5.89,6.77,6.42,3.43,5.98,-3.53,-0.88,10.68,4.56,-0.86,10.68,4.85,-10.32,10.94,-0.03,1.85,10.59,0.98,-10.32,10.76,10.5,1.43,1.76,-0.101,0.3181,-0.5079,0.1304,0.2803,-0.5186,0.1387,0.2664,-0.4964,-0.0009,0.3145,-0.5362,0.0281,0.2126,-0.5914,0.3564,0.4157,-0.7723,0.006,0.033,0.006,0.013,0.026,0.006,0.006,0.019,0.019,0.0,0.019,0.006,0.019,0.019,0.006,0.006,0.0,0.019,-0.0153,0.0506,0.1012,0.0982,0.0614,0.1028,0.1028,-0.0997,0.0982,0.0015,0.1028,0.1043,0.0798,-0.0982,0.1043,0.1043,0.0537,0.1012,-0.0355,-0.0165,0.021,0.011,-0.0083,0.0288,0.021,-0.0289,0.021,-0.0388,0.0233,0.0327,0.0348,-0.0315,0.0312,0.042,-0.0165,0.0199,0.0184,-0.0168,0.0035,0.0042,0.0023,-0.1053,0.3062,-0.4918,0.1108,0.317,-0.5069,0.1375,0.2299,-0.4615,0.0226,0.3409,-0.5361,0.0321,0.1996,-0.5812,0.3495,0.4577,-0.7688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,run,0.69,3.75,0.28,0.1,0.36,0.0,0.0,0.0,0.039,-2.29,2.99,7.12,5.71,3.08,7.47,5.36,-6.86,7.12,0.88,5.62,7.38,3.52,-6.77,7.65,7.47,3.43,5.27,-3.4,-2.38,12.18,4.84,-2.36,12.18,4.99,-9.98,12.44,-0.17,0.35,12.09,1.02,-11.82,12.26,12.0,-0.07,0.26,-0.0972,0.3179,-0.5239,0.1384,0.2661,-0.5229,0.1426,0.2731,-0.5017,-0.0048,0.3027,-0.5378,0.0292,0.2121,-0.5904,0.3586,0.4012,-0.7747,0.006,0.033,0.006,0.013,0.026,0.006,0.006,0.019,0.019,0.0,0.019,0.006,0.019,0.019,0.006,0.006,0.0,0.019,-0.0184,0.0506,0.1058,0.0982,0.0614,0.112,0.1028,-0.1089,0.1028,0.0061,0.1012,0.112,0.0782,-0.1058,0.1135,0.112,0.0568,0.0997,-0.0363,-0.0116,0.0319,0.0077,-0.0058,0.0545,0.0147,-0.0546,0.0319,-0.01,0.0106,0.0515,0.0186,-0.0507,0.0562,0.058,-0.0001,0.0082,0.0172,-0.0188,-0.0013,-0.0007,-0.0163,-0.101,0.3181,-0.5079,0.1304,0.2803,-0.5186,0.1387,0.2664,-0.4964,-0.0009,0.3145,-0.5362,0.0281,0.2126,-0.5914,0.3564,0.4157,-0.7723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.32,run,0.67,3.71,0.04,0.1,-0.6,0.0,0.0,0.0,0.039,-2.29,2.02,7.82,5.01,2.11,8.35,4.92,-7.91,8.0,0.35,4.66,8.35,2.64,-7.82,8.61,8.09,2.9,4.39,-3.27,-3.88,13.68,4.97,-3.86,13.68,5.35,-10.39,13.94,-0.1,-1.15,13.59,1.32,-13.32,13.76,12.84,-1.57,-1.24,-0.0934,0.2998,-0.5334,0.1421,0.2533,-0.5253,0.1529,0.2657,-0.4977,-0.0029,0.2967,-0.5391,0.0376,0.1928,-0.5794,0.3669,0.4005,-0.782,0.006,0.033,0.006,0.013,0.026,0.006,0.006,0.019,0.019,0.0,0.019,0.006,0.019,0.019,0.006,0.006,0.0,0.019,-0.043,0.0414,0.1212,0.0966,0.0537,0.1273,0.0966,-0.1227,0.1166,0.0153,0.092,0.1273,0.0583,-0.1212,0.1289,0.1304,0.0568,0.0874,-0.1173,-0.0426,0.0797,-0.0003,-0.0328,0.0956,-0.0127,-0.0899,0.074,0.0275,-0.027,0.0935,-0.0616,-0.0929,0.0967,0.1095,-0.0001,-0.0402,0.0176,-0.0175,0.0049,0.0017,0.0063,-0.0972,0.3179,-0.5239,0.1384,0.2661,-0.5229,0.1426,0.2731,-0.5017,-0.0048,0.3027,-0.5378,0.0292,0.2121,-0.5904,0.3586,0.4012,-0.7747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.36,run,0.69,3.67,0.43,-0.12,0.46,0.0,0.0,0.0,0.039,-3.34,0.79,9.14,4.39,0.88,9.84,4.92,-8.96,9.14,-0.44,3.43,9.76,1.76,-9.05,10.02,9.67,2.11,3.16,-3.27,-5.38,15.18,4.55,-5.36,15.18,5.69,-10.93,15.44,0.3,-2.65,15.09,1.79,-14.82,15.26,13.22,-2.42,-1.37,-0.0934,0.2754,-0.5207,0.1301,0.2344,-0.5207,0.1626,0.2558,-0.4883,0.0087,0.2916,-0.5402,0.0511,0.1779,-0.5723,0.3777,0.4106,-0.7808,0.013,0.026,0.006,0.006,0.033,0.006,0.006,0.019,0.026,0.013,0.019,0.013,0.006,0.033,0.006,0.0,0.033,0.013,-0.043,0.0245,0.1335,0.0844,0.0368,0.1427,0.089,-0.1411,0.1319,0.0061,0.0752,0.1442,0.043,-0.1396,0.1457,0.1411,0.0476,0.0721,-0.0821,-0.0935,0.1022,-0.0466,-0.0867,0.1248,-0.0378,-0.1324,0.1097,-0.0155,-0.0826,0.1291,-0.1011,-0.1345,0.1314,0.1172,-0.0348,-0.0861,0.0161,-0.0206,0.0007,0.0017,-0.0105,-0.0934,0.2998,-0.5334,0.1421,0.2533,-0.5253,0.1529,0.2657,-0.4977,-0.0029,0.2967,-0.5391,0.0376,0.1928,-0.5794,0.3669,0.4005,-0.782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
