t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,rot60_k
0.0,run,-0.94,4.15,-0.47,-0.08,1.29,0.0,0.0,0.0,0.026,-0.26,0.62,0.18,-0.26,-0.09,0.26,0.18,0.09,0.44,-1.14,0.79,0.44,-0.09,0.35,0.0,0.0,0.53,0.35,-0.03,-0.97,1.68,1.24,-0.9,1.68,1.68,-1.41,1.94,-2.29,2.12,1.76,1.41,-1.32,1.5,1.5,-0.83,1.76,-0.0009,0.3344,-0.0886,0.1333,0.4383,-0.3203,0.1648,-0.0838,-0.2035,-0.226,0.5735,-0.0905,0.0697,-0.0346,-0.2575,0.4181,0.4394,-0.1855,0.0,0.013,0.0,0.0,0.006,0.006,0.006,0.019,0.006,0.006,0.0,0.0,0.013,0.026,0.006,0.013,0.006,0.0,0.0031,0.0015,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,-0.0061,0.0031,0.0031,0.0,0.0031,0.0,0.0,0.0,0.0015,0.0062,0.003,0.0,0.0,0.0,0.0032,0.0,0.0,0.0,-0.012,0.006,0.006,0.0,0.0062,0.0,0.0,0.0,0.003,0.0,0.0,0.0105,0.0031,-0.0185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,run,-0.92,4.14,0.1,0.14,-1.32,0.0,0.0,0.0,0.026,0.26,0.62,0.26,-0.18,-0.09,0.35,0.18,-0.18,0.53,-1.41,0.88,0.7,0.0,0.09,0.18,0.26,0.53,0.35,-0.39,0.53,3.18,2.74,0.6,3.18,3.18,-2.91,3.44,-2.17,3.62,3.26,2.91,-2.82,3.0,3.0,0.67,3.26,-0.0112,0.5443,-0.294,0.1683,0.5607,-0.4487,0.1806,0.1611,-0.169,-0.0619,0.6182,-0.4086,0.1393,0.1297,-0.0266,0.3369,0.5771,-0.5218,0.0,0.013,0.0,0.0,0.006,0.006,0.006,0.019,0.006,0.006,0.0,0.0,0.013,0.026,0.006,0.013,0.006,0.0,-0.0061,0.0015,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,-0.0061,0.0031,0.0031,0.0,0.0031,0.0,0.0,0.0,0.0015,-0.0108,0.0021,0.0,0.0,0.0,0.0022,0.0,0.0,0.0,-0.0084,0.0042,0.0042,0.0,0.0043,0.0,0.0,0.0,0.0021,-0.0032,-0.0001,-0.0082,-0.0014,0.0224,-0.0009,0.3344,-0.0886,0.1333,0.4383,-0.3203,0.1648,-0.0838,-0.2035,-0.226,0.5735,-0.0905,0.0697,-0.0346,-0.2575,0.4181,0.4394,-0.1855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,run,-0.89,4.17,0.21,1.26,-3.0,0.0,0.0,0.0,0.026,-0.18,0.26,0.79,0.26,-0.18,1.05,0.35,-0.79,1.05,-2.02,1.49,1.32,0.79,-0.7,0.97,1.05,0.26,0.88,-0.34,2.03,4.68,4.24,2.1,4.68,4.68,-4.41,4.94,-0.67,5.12,4.76,4.41,-4.32,4.5,4.5,2.17,4.76,-0.0098,0.6053,-0.3783,0.1888,0.6301,-0.4903,0.201,0.171,-0.0915,-0.016,0.6296,-0.4687,0.1623,0.1688,-0.0861,0.2884,0.5589,-0.5192,0.0,0.013,0.0,0.0,0.006,0.006,0.006,0.019,0.006,0.006,0.0,0.0,0.013,0.026,0.006,0.013,0.006,0.0,0.0031,0.0015,0.0015,0.0015,0.0,0.0031,0.0,-0.0046,0.0015,-0.0107,0.0046,0.0077,0.0015,-0.0015,0.0031,0.0046,0.0,0.0015,0.0269,0.0015,0.0057,0.0057,0.0,0.0073,0.0,-0.0172,0.0057,-0.0231,0.0087,0.0202,0.0057,-0.0142,0.0115,0.0172,0.0,0.0015,-0.001,-0.0009,0.0017,0.0025,-0.023,-0.0112,0.5443,-0.294,0.1683,0.5607,-0.4487,0.1806,0.1611,-0.169,-0.0619,0.6182,-0.4086,0.1393,0.1297,-0.0266,0.3369,0.5771,-0.5218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12,run,-0.93,4.15,-0.52,-0.75,0.2,0.0,0.0,0.0,0.039,-0.62,-0.18,1.58,1.05,-0.26,2.2,1.58,-1.67,1.49,-2.11,2.29,2.29,1.76,-1.58,2.11,1.93,-0.09,1.76,-0.56,3.53,6.18,5.74,3.6,6.18,6.18,-5.91,6.44,-0.01,6.62,6.26,5.01,-5.82,6.0,6.0,3.67,6.26,-0.0159,0.5854,-0.3903,0.175,0.6213,-0.5056,0.1935,0.1674,-0.1227,-0.0002,0.6198,-0.4872,0.1432,0.1798,-0.151,0.2806,0.5768,-0.5537,0.006,0.0,0.013,0.026,0.0,0.019,0.019,0.039,0.039,0.0,0.006,0.013,0.013,0.033,0.013,0.013,0.006,0.019,-0.0046,-0.0046,0.0107,0.0092,-0.0015,0.0153,0.0031,-0.0153,0.0107,-0.0215,0.0153,0.0184,0.0153,-0.0153,0.0169,0.0184,-0.0046,0.0107,-0.01,-0.0221,0.0387,0.0329,-0.0058,0.0513,0.0116,-0.0525,0.0387,-0.0566,0.0465,0.0545,0.056,-0.0619,0.06,0.064,-0.0173,0.0357,0.0009,0.0016,0.0037,0.0221,-0.0523,-0.0098,0.6053,-0.3783,0.1888,0.6301,-0.4903,0.201,0.171,-0.0915,-0.016,0.6296,-0.4687,0.1623,0.1688,-0.0861,0.2884,0.5589,-0.5192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,run,-0.9,4.15,0.37,0.39,-1.23,0.0,0.0,0.0,0.039,-0.18,-0.26,2.81,2.29,-0.09,3.43,2.72,-2.9,2.64,-2.11,3.52,3.6,3.08,-2.9,3.34,3.25,-0.09,2.9,-1.2,5.03,7.68,5.74,5.1,7.68,5.96,-7.41,7.94,0.16,7.01,7.76,3.67,-7.32,7.5,7.5,5.17,7.76,-0.0342,0.5512,-0.4064,0.164,0.5804,-0.5087,0.1702,0.2063,-0.2108,0.0047,0.582,-0.496,0.1048,0.2124,-0.2802,0.268,0.568,-0.599,0.006,0.0,0.013,0.026,0.0,0.019,0.019,0.039,0.039,0.0,0.006,0.013,0.013,0.033,0.013,0.013,0.006,0.019,-0.0123,-0.0123,0.0245,0.023,-0.0031,0.0353,0.0245,-0.0307,0.0184,-0.023,0.0291,0.0353,0.0322,-0.0307,0.0368,0.0337,-0.0107,0.0261,-0.0357,-0.0441,0.0787,0.0747,-0.0098,0.1105,0.0884,-0.0941,0.0558,-0.0454,0.0842,0.1013,0.1023,-0.1007,0.1166,0.1022,-0.0351,0.0823,-0.002,0.0003,-0.009,-0.0131,0.0035,-0.0159,0.5854,-0.3903,0.175,0.6213,-0.5056,0.1935,0.1674,-0.1227,-0.0002,0.6198,-0.4872,0.1432,0.1798,-0.151,0.2806,0.5768,-0.5537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,run,-0.9,4.16,-0.62,0.02,-0.23,0.0,0.0,0.0,0.039,-0.88,0.0,4.04,3.43,0.62,4.66,3.96,-4.13,4.04,-1.85,4.66,4.66,3.87,-4.13,4.57,4.48,0.18,4.13,-2.23,3.53,9.18,5.53,3.6,9.18,4.75,-8.91,9.44,0.02,5.51,9.26,2.17,-8.82,9.0,9.0,5.51,8.57,-0.0639,0.5161,-0.4255,0.158,0.5155,-0.5116,0.1358,0.2582,-0.3377,0.0006,0.5223,-0.5032,0.0472,0.262,-0.4605,0.2618,0.5547,-0.6639,0.006,0.0,0.013,0.026,0.0,0.019,0.019,0.039,0.039,0.0,0.006,0.013,0.013,0.033,0.013,0.013,0.006,0.019,-0.0046,-0.0138,0.046,0.0445,0.0,0.0568,0.0445,-0.0522,0.0383,-0.023,0.0506,0.0583,0.0552,-0.0537,0.0583,0.0568,-0.0107,0.046,0.0023,-0.0364,0.1315,0.1286,0.0041,0.1537,0.1328,-0.1423,0.1099,-0.0317,0.1353,0.1527,0.1534,-0.1523,0.158,0.1534,-0.0246,0.1286,0.0001,0.0,0.0064,0.0067,-0.0215,-0.0342,0.5512,-0.4064,0.164,0.5804,-0.5087,0.1702,0.2063,-0.2108,0.0047,0.582,-0.496,0.1048,0.2124,-0.2802,0.268,0.568,-0.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.24,run,-0.89,4.14,0.3,0.15,1.67,0.0,0.0,0.0,0.039,-1.05,0.79,5.36,4.31,1.58,5.98,4.83,-5.45,5.36,-1.05,5.62,6.06,4.57,-5.45,5.89,5.71,0.79,5.36,-2.81,2.11,10.68,5.94,2.1,10.68,4.02,-8.07,10.94,-0.53,4.01,10.76,0.67,-8.71,10.5,9.35,4.11,7.07,-0.0801,0.493,-0.4609,0.1697,0.4533,-0.5184,0.1149,0.3078,-0.4413,-0.015,0.4623,-0.5139,0.0074,0.2961,-0.5815,0.2672,0.5293,-0.7203,0.026,0.006,0.006,0.006,0.0,0.013,0.006,0.026,0.026,0.026,0.0,0.006,0.006,0.019,0.013,0.013,0.006,0.013,-0.0169,-0.0092,0.0675,0.0644,0.0123,0.0782,0.066,-0.0736,0.0629,-0.0184,0.0706,0.0767,0.069,-0.0752,0.0798,0.0782,-0.0061,0.0675,-0.0439,-0.0084,0.1717,0.1641,0.0484,0.1873,0.1727,-0.1793,0.1681,-0.0051,0.1687,0.1752,0.1586,-0.1863,0.1903,0.1871,-0.0001,0.1697,0.0005,0.0009,-0.0108,0.0003,-0.004,-0.0639,0.5161,-0.4255,0.158,0.5155,-0.5116,0.1358,0.2582,-0.3377,0.0006,0.5223,-0.5032,0.0472,0.262,-0.4605,0.2618,0.5547,-0.6639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,run,-0.84,4.16,1.05,0.89,-3.18,0.0,0.0,0.0,0.039,-1.76,1.76,6.68,5.01,2.46,7.38,5.45,-6.77,6.77,-0.7,6.33,7.56,4.83,-6.68,7.29,7.21,1.85,6.59,-3.06,0.61,12.18,5.99,0.6,12.18,3.91,-7.13,12.44,-0.43,2.51,12.26,-0.26,-8.5,11.2,9.76,2.61,5.57,-0.0874,0.4515,-0.4964,0.1711,0.3951,-0.525,0.1116,0.3249,-0.4999,-0.0123,0.4019,-0.5309,-0.0073,0.3001,-0.633,0.2788,0.4881,-0.7629,0.026,0.006,0.006,0.006,0.0,0.013,0.006,0.026,0.026,0.026,0.0,0.006,0.006,0.019,0.013,0.013,0.006,0.013,-0.0199,0.0046,0.0905,0.0798,0.0291,0.1012,0.0813,-0.0966,0.0859,-0.0046,0.0874,0.1012,0.0813,-0.0982,0.1028,0.0997,0.0046,0.089,-0.0423,0.046,0.2067,0.1725,0.0973,0.2176,0.1785,-0.212,0.2041,0.0483,0.1815,0.2149,0.1572,-0.2169,0.2197,0.2117,0.0403,0.1995,0.0012,-0.0009,0.0052,0.0026,0.0291,-0.0801,0.493,-0.4609,0.1697,0.4533,-0.5184,0.1149,0.3078,-0.4413,-0.015,0.4623,-0.5139,0.0074,0.2961,-0.5815,0.2672,0.5293,-0.7203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.32,run,-0.88,4.13,-0.74,-0.75,0.61,0.0,0.0,0.0,0.039,-2.9,2.46,8.09,5.45,3.08,8.79,5.8,-7.65,8.09,-0.53,6.77,8.88,4.75,-7.56,8.61,8.17,2.9,7.47,-3.17,-0.89,13.68,5.34,-0.9,13.68,4.15,-8.0,13.94,-0.15,1.01,13.76,-0.21,-9.97,10.18,10.69,1.11,4.07,-0.0905,0.3894,-0.5286,0.1527,0.3222,-0.529,0.1185,0.3091,-0.5304,-0.0042,0.3358,-0.5453,-0.0059,0.2732,-0.6449,0.3054,0.4436,-0.7989,0.026,0.006,0.006,0.006,0.0,0.013,0.006,0.026,0.026,0.026,0.0,0.006,0.006,0.019,0.013,0.013,0.006,0.013,-0.0322,0.0215,0.1135,0.092,0.0445,0.1258,0.092,-0.1197,0.1104,0.0015,0.0997,0.1273,0.0859,-0.1197,0.1273,0.1258,0.023,0.1104,-0.0756,0.0955,0.2309,0.1667,0.1256,0.2443,0.1652,-0.2346,0.2349,0.0568,0.1731,0.2482,0.1273,-0.2323,0.2458,0.2459,0.0972,0.2202,0.0059,0.0011,0.0184,0.0155,-0.0555,-0.0874,0.4515,-0.4964,0.1711,0.3951,-0.525,0.1116,0.3249,-0.4999,-0.0123,0.4019,-0.5309,-0.0073,0.3001,-0.633,0.2788,0.4881,-0.7629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.36,run,-0.91,4.15,0.21,0.36,1.67,0.0,0.0,0.0,0.039,-2.9,2.99,9.49,5.45,3.34,10.2,5.8,-8.26,9.49,-0.7,6.77,10.55,4.22,-8.44,9.67,9.14,3.43,8.0,-3.32,-2.39,15.18,4.83,-2.4,15.18,4.58,-9.23,15.44,0.06,-0.49,15.26,-0.04,-11.47,11.44,11.74,-0.39,2.57,-0.0949,0.3138,-0.5543,0.1381,0.2525,-0.5265,0.1308,0.2867,-0.5433,0.0017,0.2718,-0.5424,-0.0013,0.2368,-0.6302,0.3353,0.3906,-0.813,0.019,0.006,0.013,0.006,0.0,0.013,0.013,0.019,0.019,0.026,0.013,0.0,0.006,0.019,0.006,0.006,0.0,0.0,-0.0522,0.0337,0.1381,0.0997,0.0552,0.1503,0.0982,-0.135,0.1335,0.0046,0.1074,0.1503,0.0844,-0.135,0.1503,0.1427,0.0414,0.1258,-0.1277,0.1129,0.2537,0.1455,0.1282,0.2631,0.1387,-0.2218,0.2507,0.0513,0.1499,0.26,0.0833,-0.2202,0.2584,0.2354,0.1371,0.2116,0.0019,-0.0014,-0.0129,-0.0131,0.0107,-0.0905,0.3894,-0.5286,0.1527,0.3222,-0.529,0.1185,0.3091,-0.5304,-0.0042,0.3358,-0.5453,-0.0059,0.2732,-0.6449,0.3054,0.4436,-0.7989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
