t_s,tick,seg,phase,joint,t_send_s,t_recv_s,overrun,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,cur_a,load_pct,volt,temp_c
0.0014,-39,-1,glide,-1,0.0014,0.0108,0,6.592,1.494,1.758,0.879,1.670,0.439,-0.703,1.582,-1.406,0.176,1.494,0.352,-0.176,0.967,0.264,-0.264,1.494,0.352,6.592,1.494,1.758,0.879,1.670,0.439,-0.703,1.582,-1.406,0.176,1.494,0.352,-0.176,0.967,0.264,-0.264,1.494,0.352,0.000,0.0,12.00,32.0
0.0417,-38,-1,glide,-1,0.0417,0.0511,0,6.592,1.494,1.758,0.879,1.670,0.439,-0.703,1.582,-1.406,0.176,1.494,0.352,-0.176,0.967,0.264,-0.264,1.494,0.352,6.491,1.500,1.757,0.888,1.674,0.457,-0.672,1.536,-1.355,0.151,1.500,0.371,-0.151,0.932,0.284,-0.235,1.498,0.373,0.000,0.0,12.00,32.0
0.0817,-37,-1,glide,-1,0.0817,0.0912,0,6.592,1.494,1.758,0.879,1.670,0.439,-0.703,1.582,-1.406,0.176,1.494,0.352,-0.176,0.967,0.264,-0.264,1.494,0.352,6.211,1.515,1.753,0.915,1.686,0.507,-0.585,1.408,-1.211,0.083,1.515,0.424,-0.083,0.834,0.341,-0.156,1.510,0.434,0.000,0.0,12.00,32.0
0.1217,-36,-1,glide,-1,0.1217,0.1311,0,6.592,1.494,1.758,0.879,1.670,0.439,-0.703,1.582,-1.406,0.176,1.494,0.352,-0.176,0.967,0.264,-0.264,1.494,0.352,5.780,1.538,1.748,0.956,1.703,0.582,-0.452,1.211,-0.991,-0.021,1.538,0.505,0.021,0.683,0.428,-0.034,1.527,0.526,0.000,0.0,12.00,32.0
0.1617,-35,-1,glide,-1,0.1617,0.1710,0,5.977,1.494,1.758,0.879,1.670,0.439,-0.703,1.582,-1.406,0.176,1.494,0.439,-0.176,0.967,0.264,-0.264,1.494,0.352,5.232,1.568,1.742,1.008,1.726,0.679,-0.283,0.960,-0.711,-0.154,1.568,0.609,0.154,0.491,0.539,0.122,1.549,0.644,0.000,0.0,12.00,32.0
0.2017,-34,-1,glide,-1,0.2017,0.2110,0,5.977,1.494,1.758,0.879,1.670,0.615,-0.703,1.230,-1.318,0.000,1.494,0.439,-0.176,0.879,0.352,-0.088,1.494,0.439,4.596,1.603,1.734,1.068,1.752,0.790,-0.086,0.669,-0.386,-0.308,1.603,0.729,0.308,0.269,0.668,0.302,1.575,0.781,0.000,0.0,12.00,32.0
0.2417,-33,-1,glide,-1,0.2417,0.2510,0,5.273,1.494,1.758,0.879,1.670,0.615,-0.527,1.055,-0.967,-0.264,1.494,0.527,0.088,0.527,0.439,0.176,1.494,0.439,3.904,1.640,1.726,1.134,1.781,0.912,0.128,0.353,-0.032,-0.476,1.640,0.860,0.476,0.027,0.809,0.498,1.603,0.930,0.006,4.4,12.00,32.0
0.2817,-32,-1,glide,-1,0.2817,0.2910,0,4.570,1.494,1.758,0.879,1.670,0.791,-0.264,0.967,-0.703,-0.352,1.494,0.703,0.264,0.352,0.703,0.176,1.494,0.527,3.187,1.679,1.717,1.202,1.810,1.038,0.350,0.025,0.335,-0.649,1.679,0.996,0.649,-0.223,0.954,0.701,1.633,1.085,0.006,4.4,12.00,32.0
0.3217,-31,-1,glide,-1,0.3217,0.3313,0,4.395,1.494,1.758,0.879,1.758,0.791,-0.176,0.615,-0.352,-0.439,1.582,0.879,0.264,0.264,0.791,0.615,1.494,0.791,2.476,1.718,1.709,1.270,1.840,1.163,0.570,-0.300,0.699,-0.822,1.718,1.131,0.822,-0.472,1.098,0.903,1.661,1.238,0.006,4.4,12.00,32.0
0.3617,-30,-1,glide,-1,0.3617,0.3710,0,3.076,1.494,1.758,0.879,1.758,1.055,0.176,0.264,0.000,-0.703,1.582,0.967,0.527,-0.176,0.967,0.879,1.494,0.967,1.801,1.755,1.701,1.334,1.868,1.282,0.778,-0.609,1.044,-0.985,1.755,1.258,0.985,-0.708,1.235,1.094,1.689,1.383,0.006,3.2,12.00,32.0
