rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/value_loss,train/entropy_loss,train/n_updates,train/std,train/learning_rate,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
443.4349670410156,2,300.0,5891,16384,1,,,,,,,,,,,
447.44500732421875,5,300.0,5489,32768,2,0.27228354655671866,1.462819567322731,10,0.2229534536600113,0.0003,0.3373291015625,0.20903536677360535,0.028405085,0.2,-0.34089910984039307,-0.01686341262975475
437.0672607421875,9,300.0,5381,49152,3,0.03492617293959484,1.4941302068531512,20,0.2226599007844925,0.0003,0.320989990234375,-0.020526237785816193,0.027039433,0.2,0.31158560514450073,-0.019360636347846592
431.05645751953125,12,300.0,5312,65536,4,0.026022415223997085,1.5189276866614818,30,0.2223282903432846,0.0003,0.326287841796875,-0.023026786744594574,0.027710259,0.2,0.6112173199653625,-0.020372517340729247
441.7423095703125,15,300.0,5274,81920,5,0.023549478879431263,1.5268486008048057,40,0.2222777158021927,0.0003,0.332086181640625,-0.02948322333395481,0.028012097,0.2,0.7955389022827148,-0.022957230127212826
454.58819580078125,18,300.0,5287,98304,6,0.019602415786357595,1.5294952370226382,50,0.2222842574119568,0.0003,0.338775634765625,-0.016957463696599007,0.029784894,0.2,0.7979154586791992,-0.021607965872681233
449.8720397949219,21,300.0,5280,114688,7,0.017086863069562242,1.5549001902341844,60,0.2219020128250122,0.0003,0.33443603515625,-0.02858644165098667,0.02770118,0.2,0.8721117973327637,-0.02272093583451351
441.63311767578125,26,300.0,4979,131072,8,0.014937759249005467,1.5960516512393952,70,0.22128912806510925,0.0003,0.350238037109375,-0.02565215341746807,0.032815285,0.2,0.9115351438522339,-0.02482537721225526
438.3114929199219,31,300.0,4631,147456,9,0.0124742123298347,1.6196739971637726,80,0.22109216451644897,0.0003,0.356549072265625,-0.02351921983063221,0.032464005,0.2,0.9125452041625977,-0.024030218063853682
450.9757385253906,36,300.0,4438,163840,10,0.011308896148693747,1.651427872478962,90,0.22057968378067017,0.0003,0.35616455078125,-0.028326716274023056,0.031826846,0.2,0.9355459213256836,-0.023519871788448655
447.070556640625,42,300.0,4268,180224,11,0.009622593375388533,1.6753438465297221,100,0.220320925116539,0.0003,0.362945556640625,-0.02956928312778473,0.03086689,0.2,0.9516690373420715,-0.02376439472536731
447.80645751953125,47,300.0,4150,196608,12,0.008793888667423744,1.715367777645588,110,0.219829261302948,0.0003,0.365576171875,-0.03423533961176872,0.032892715,0.2,0.9486804604530334,-0.02470065592933679
457.39727783203125,52,300.0,4063,212992,13,0.00796641793422168,1.7458815328776836,120,0.21951048076152802,0.0003,0.368756103515625,-0.03261660411953926,0.031826735,0.2,0.9703212380409241,-0.024265222050598823
