Loaded env config from env_cfg.json: gait_period=0.85, residual_scale=0.05, filter_tau=0.08
Loaded VecNormalize stats from hexapod_walker/policies/walker_v4/vec_normalize.pkl
Loaded policy hexapod_walker/policies/walker_v4/walker_v4.zip
Trained-policy rollout.  Arrow keys / PgUp/PgDn drive the command.
  t= 81.82s  pos=( +5.76, -1.01,+0.31)  reward=-1.268
  t= 82.84s  pos=( +5.81, -1.07,+0.33)  reward=-4.032
  t= 83.86s  pos=( +5.89, -1.16,+0.33)  reward=+1.111
  t= 84.88s  pos=( +5.94, -1.23,+0.33)  reward=+0.779
  t= 85.90s  pos=( +5.96, -1.27,+0.29)  reward=-1.151
  t= 86.92s  pos=( +5.98, -1.29,+0.31)  reward=+0.896
  t= 87.94s  pos=( +6.02, -1.35,+0.34)  reward=+1.281
  t= 88.96s  pos=( +6.11, -1.46,+0.33)  reward=+1.185
  t= 89.98s  pos=( +6.18, -1.56,+0.33)  reward=-0.247
  t= 91.00s  pos=( +6.22, -1.64,+0.29)  reward=-0.304
  t= 92.02s  pos=( +6.26, -1.70,+0.31)  reward=-1.133
  t= 93.04s  pos=( +6.34, -1.83,+0.33)  reward=+1.164
  t= 94.06s  pos=( +6.47, -2.00,+0.32)  reward=+1.177
  t= 95.08s  pos=( +6.61, -2.19,+0.33)  reward=+0.448
  t= 96.10s  pos=( +6.82, -2.41,+0.33)  reward=+1.334
  t= 97.12s  pos=( +7.06, -2.64,+0.33)  reward=+0.453
  t= 98.14s  pos=( +7.27, -2.84,+0.33)  reward=-0.810
  t= 99.16s  pos=( +7.51, -3.09,+0.32)  reward=+0.840
  t=100.18s  pos=( +7.71, -3.30,+0.33)  reward=+1.455
  t=101.20s  pos=( +7.95, -3.54,+0.32)  reward=+1.341
  t=102.22s  pos=( +8.19, -3.77,+0.32)  reward=+0.994
  t=103.24s  pos=( +8.41, -3.98,+0.32)  reward=+1.297
  t=104.26s  pos=( +8.65, -4.22,+0.31)  reward=+0.597
  t=105.28s  pos=( +8.86, -4.44,+0.33)  reward=+1.478
  t=106.30s  pos=( +9.10, -4.67,+0.31)  reward=+1.352
  t=107.32s  pos=( +9.34, -4.90,+0.31)  reward=+0.488
  t=108.34s  pos=( +9.55, -5.11,+0.31)  reward=+1.324
  t=109.36s  pos=( +9.80, -5.36,+0.30)  reward=+1.286
  t=110.38s  pos=(+10.01, -5.57,+0.32)  reward=+0.203
  t=111.40s  pos=(+10.25, -5.81,+0.30)  reward=+1.325
  t=112.42s  pos=(+10.50, -6.03,+0.30)  reward=+0.854
  t=113.44s  pos=(+10.72, -6.18,+0.29)  reward=+1.289
  t=114.46s  pos=(+10.98, -6.34,+0.28)  reward=+1.366
  t=115.48s  pos=(+11.17, -6.42,+0.30)  reward=+0.714
  t=116.50s  pos=(+11.37, -6.48,+0.28)  reward=+1.289
  t=117.52s  pos=(+11.57, -6.51,+0.28)  reward=+1.426
  t=118.54s  pos=(+11.78, -6.51,+0.28)  reward=+1.747
  t=119.56s  pos=(+12.04, -6.51,+0.25)  reward=+1.701
  t=120.58s  pos=(+12.26, -6.48,+0.28)  reward=-1.099
  t=121.60s  pos=(+12.51, -6.40,+0.27)  reward=+1.514
  t=122.62s  pos=(+12.72, -6.31,+0.27)  reward=+1.020
  t=123.64s  pos=(+12.87, -6.22,+0.26)  reward=+1.442
  t=124.66s  pos=(+13.03, -6.13,+0.24)  reward=+1.030
  t=125.68s  pos=(+13.13, -6.05,+0.26)  reward=+1.401
  t=126.70s  pos=(+13.24, -5.96,+0.25)  reward=+0.945
  t=127.72s  pos=(+13.33, -5.86,+0.25)  reward=-0.255
  t=128.72s  pos=(+13.40, -5.77,+0.26)  reward=+0.965
  t=129.72s  pos=(+13.49, -5.66,+0.24)  reward=+0.629
  t=130.72s  pos=(+13.56, -5.56,+0.25)  reward=+1.116
  t=131.72s  pos=(+13.61, -5.48,+0.24)  reward=+0.008
  t=132.72s  pos=(+13.68, -5.36,+0.23)  reward=+0.478
  t=133.72s  pos=(+13.72, -5.26,+0.25)  reward=+0.953
  t=134.72s  pos=(+13.75, -5.14,+0.24)  reward=+0.413
  t=135.72s  pos=(+13.80, -5.01,+0.23)  reward=+1.271
  t=136.72s  pos=(+13.83, -4.91,+0.25)  reward=+0.489
  t=137.72s  pos=(+13.86, -4.80,+0.23)  reward=+0.818
  t=138.72s  pos=(+13.87, -4.68,+0.23)  reward=-0.041
  t=139.72s  pos=(+13.87, -4.58,+0.24)  reward=+0.822
  t=140.72s  pos=(+13.87, -4.46,+0.23)  reward=+0.293
  t=141.72s  pos=(+13.87, -4.35,+0.23)  reward=+1.159
  t=142.72s  pos=(+13.87, -4.26,+0.24)  reward=+1.217
  t=143.72s  pos=(+13.86, -4.15,+0.22)  reward=+1.155
  t=144.72s  pos=(+13.84, -4.05,+0.23)  reward=+1.449
  t=145.72s  pos=(+13.82, -3.98,+0.24)  reward=+0.767
  t=146.72s  pos=(+13.79, -3.88,+0.22)  reward=+1.214
  t=147.72s  pos=(+13.77, -3.80,+0.23)  reward=+1.248
  t=148.72s  pos=(+13.76, -3.72,+0.22)  reward=+0.264
  t=149.72s  pos=(+13.72, -3.63,+0.21)  reward=+1.295
  t=150.72s  pos=(+13.69, -3.57,+0.23)  reward=+1.376
  t=151.72s  pos=(+13.64, -3.49,+0.22)  reward=-0.186
  t=152.72s  pos=(+13.60, -3.41,+0.21)  reward=-0.834
  t=153.72s  pos=(+13.57, -3.35,+0.23)  reward=+1.423
  t=154.72s  pos=(+13.54, -3.28,+0.21)  reward=+1.213
  t=155.72s  pos=(+13.49, -3.21,+0.22)  reward=+0.733
  t=156.72s  pos=(+13.45, -3.16,+0.23)  reward=+1.507
  t=157.72s  pos=(+13.38, -3.09,+0.21)  reward=-0.316
  t=158.72s  pos=(+13.33, -3.01,+0.22)  reward=+0.230
  t=159.72s  pos=(+13.29, -2.95,+0.23)  reward=-0.331
  t=160.72s  pos=(+13.23, -2.88,+0.21)  reward=-0.153
  t=161.72s  pos=(+13.17, -2.83,+0.22)  reward=+0.830
  t=162.72s  pos=(+13.09, -2.77,+0.23)  reward=+1.407
  t=163.72s  pos=(+13.00, -2.69,+0.21)  reward=+0.681
  t=164.72s  pos=(+12.93, -2.63,+0.23)  reward=+0.822
  t=165.72s  pos=(+12.86, -2.58,+0.22)  reward=-0.063
  t=166.72s  pos=(+12.75, -2.50,+0.22)  reward=+1.526
  t=167.72s  pos=(+12.65, -2.45,+0.23)  reward=+1.262
  t=168.72s  pos=(+12.52, -2.37,+0.24)  reward=+1.227
  t=169.72s  pos=(+12.24, -2.18,+0.23)  reward=+1.375
  t=170.72s  pos=(+12.00, -2.02,+0.25)  reward=+1.511
  t=171.72s  pos=(+11.73, -1.84,+0.23)  reward=+1.457
  t=172.72s  pos=(+11.45, -1.67,+0.23)  reward=+0.860
  t=173.72s  pos=(+11.21, -1.53,+0.25)  reward=+1.613
  t=174.72s  pos=(+10.93, -1.35,+0.25)  reward=+1.478
  t=175.72s  pos=(+10.65, -1.18,+0.25)  reward=+0.714
  t=176.72s  pos=(+10.41, -1.03,+0.26)  reward=+1.580
  t=177.72s  pos=(+10.12, -0.86,+0.25)  reward=+1.473
  t=178.72s  pos=( +9.85, -0.71,+0.26)  reward=+0.786
  t=179.72s  pos=( +9.62, -0.57,+0.27)  reward=+1.332
  t=180.72s  pos=( +9.39, -0.41,+0.26)  reward=-1.484
  t=181.72s  pos=( +9.21, -0.26,+0.27)  reward=+1.289
  t=182.72s  pos=( +8.99, -0.07,+0.27)  reward=+1.433
  t=183.72s  pos=( +8.74, +0.14,+0.26)  reward=+0.428
  t=184.72s  pos=( +8.51, +0.32,+0.29)  reward=+1.578
  t=185.72s  pos=( +8.29, +0.51,+0.28)  reward=+1.271
  t=186.72s  pos=( +8.04, +0.72,+0.28)  reward=+1.283
  t=187.72s  pos=( +7.82, +0.91,+0.29)  reward=+1.412
  t=188.72s  pos=( +7.59, +1.11,+0.28)  reward=+1.335
  t=189.72s  pos=( +7.33, +1.31,+0.28)  reward=+1.240
  t=190.72s  pos=( +7.12, +1.48,+0.30)  reward=+1.501
  t=191.72s  pos=( +6.89, +1.69,+0.29)  reward=+1.302
  t=192.72s  pos=( +6.63, +1.89,+0.29)  reward=+1.147
  t=193.72s  pos=( +6.42, +2.08,+0.30)  reward=+1.337
  t=194.72s  pos=( +6.15, +2.28,+0.28)  reward=+0.311
  t=195.72s  pos=( +5.89, +2.47,+0.29)  reward=+0.788
  t=196.72s  pos=( +5.67, +2.64,+0.29)  reward=+0.686
  t=197.72s  pos=( +5.41, +2.84,+0.27)  reward=+1.155
  t=198.72s  pos=( +5.16, +3.02,+0.27)  reward=+1.490
  t=199.72s  pos=( +4.95, +3.17,+0.26)  reward=+0.672
  t=200.72s  pos=( +4.70, +3.33,+0.26)  reward=-0.449
  t=201.72s  pos=( +4.47, +3.47,+0.27)  reward=+1.548
  t=202.72s  pos=( +4.25, +3.61,+0.27)  reward=+1.553
  t=203.72s  pos=( +4.00, +3.75,+0.25)  reward=+1.528
  t=204.72s  pos=( +3.79, +3.87,+0.26)  reward=+0.267
  t=205.72s  pos=( +3.58, +3.99,+0.24)  reward=-0.457
