time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/clip_fraction,train/loss,train/approx_kl,train/std,train/learning_rate,train/value_loss,train/n_updates,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,721,0,64,,,,,,,,,,,,,
2,687,0,128,0.203125,4.170112609863281,0.054931685,0.22309915721416473,0.0003,8.6098313331604,2,0.2,-0.09402501583099365,-0.03860463574528694,2.1084803342819214,,
3,768,0,192,0.109375,0.3640804886817932,0.01370055,0.22308063507080078,0.0003,0.9184110760688782,4,0.2,0.2079516053199768,-0.04174269177019596,2.111691474914551,,
4,810,0,256,0.078125,0.17122158408164978,0.01075649,0.22306974232196808,0.0003,0.5288055837154388,6,0.2,-4.068260669708252,-0.04018496349453926,2.113762617111206,,
5,832,0,320,0.0625,0.03270457684993744,0.0070248935,0.22305525839328766,0.0003,0.21970394253730774,8,0.2,-1.3757503032684326,-0.03601488098502159,2.115037441253662,,
6,850,0,384,0.0390625,0.13650855422019958,0.005746932,0.22303523123264313,0.0003,0.4034939855337143,10,0.2,-0.8683886528015137,-0.0281219482421875,2.1168792247772217,,
7,869,0,448,0.0234375,0.09691886603832245,0.0045027537,0.2230175882577896,0.0003,0.31420645117759705,12,0.2,-1.134155035018921,-0.0260477215051651,2.1192493438720703,400.0,262.71319580078125
8,871,0,512,0.0078125,0.09932619333267212,0.002222173,0.22300440073013306,0.0003,0.2976832538843155,14,0.2,0.20680469274520874,-0.023876681923866272,2.1211541891098022,400.0,262.71319580078125
