time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_range,train/n_updates,train/loss,train/entropy_loss,train/value_loss,train/std,train/explained_variance,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
16384,1,2,400.0,5783,478.66497802734375,,,,,,,,,,,
32768,2,6,400.0,5080,472.50616455078125,0.2,10,0.18711911141872406,5.885087285935879,0.17108866991475224,0.18285854160785675,0.015517592430114746,0.0003,0.5477294921875,0.0015023497238871642,0.0680861
49152,3,10,400.0,4908,441.39886474609375,0.2,20,0.012518737465143204,5.889261804521084,0.020708013480179942,0.18266262114048004,0.6768442392349243,0.0003,0.520526123046875,0.00142493100502179,0.06636412
65536,4,13,400.0,4856,449.33758544921875,0.2,30,-0.007924909703433514,5.897972927987576,0.014566834116703831,0.18270835280418396,0.866876482963562,0.0003,0.52781982421875,0.000887331798003288,0.06680593
81920,5,17,400.0,4812,450.13641357421875,0.2,40,-0.008252568542957306,5.914694246649742,0.011590670855366626,0.18254263699054718,0.907557487487793,0.0003,0.527691650390625,-0.0031810362299438564,0.06499368
98304,6,20,400.0,4760,452.7242431640625,0.2,50,-0.007589359767735004,5.927729767560959,0.011535481033206452,0.18237312138080597,0.9326272010803223,0.0003,0.531097412109375,0.0011750057150493377,0.07230911
114688,7,24,400.0,4727,443.2503967285156,0.2,60,-0.01326734945178032,5.955563950538635,0.011142484549782238,0.18215447664260864,0.9498649835586548,0.0003,0.53660888671875,-0.002308974399784347,0.07108639
131072,8,27,400.0,4708,453.08367919921875,0.2,70,-0.01843808963894844,5.966591908037662,0.00997314881096827,0.18207211792469025,0.9610772132873535,0.0003,0.542303466796875,-0.004719357338035479,0.07187773
147456,9,31,400.0,4692,488.5754699707031,0.2,80,-0.002497101668268442,6.0043442964553835,0.009037701450870373,0.181727796792984,0.9639449119567871,0.0003,0.52271728515625,-0.0066282610299822405,0.060474303
163840,10,35,400.0,4678,489.5874938964844,0.2,90,-0.015429139137268066,6.013864603638649,0.008428566707880236,0.18171492218971252,0.9655589461326599,0.0003,0.5354248046875,-0.0049404002755181866,0.07677716
180224,11,38,400.0,4682,487.8321228027344,0.2,100,-0.00010211765766143799,6.02716539055109,0.008086930232821032,0.18159182369709015,0.971758246421814,0.0003,0.540631103515625,-0.00342448006849736,0.07011321
196608,12,42,400.0,4666,456.8330078125,0.2,110,0.0057464949786663055,6.036808231472969,0.008411135131609626,0.1814812868833542,0.9740082025527954,0.0003,0.537030029296875,-0.007711639836634277,0.0730159
