t_s,tick,seg,phase,joint,t_send_s,t_recv_s,overrun,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,cur_a,load_pct,volt,temp_c
1.3120,0,0,pre,6,1.3120,1.3281,0,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,34.0
1.3386,1,0,pre,6,1.3386,1.3466,1,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,34.0
1.3472,2,0,pre,6,1.3472,1.3548,1,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,34.0
1.3554,3,0,pre,6,1.3554,1.3630,1,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,34.0
1.3636,4,0,pre,6,1.3636,1.3710,1,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,34.0
1.3717,5,0,pre,6,1.3717,1.3793,1,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,34.0
1.3799,6,0,pre,6,1.3799,1.3874,1,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,34.0
1.3880,7,0,pre,6,1.3880,1.3957,1,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,34.0
1.3963,8,0,pre,6,1.3963,1.4038,1,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,34.0
1.4044,9,0,pre,6,1.4044,1.4118,1,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.439,0.176,-0.088,0.527,0.088,-0.176,0.088,0.439,0.088,0.439,0.176,-0.176,0.264,0.000,0.000,0.088,0.264,0.000,0.0,12.00,34.0
